LA,ESTAB,URN,PERCTOT,PPERSABS10
392,3320,148816,6.2,11.6
392,3321,108626,8,28.2
392,4000,139658,5.3,11
392,4001,144279,10.5,39.1
392,4006,108627,6.7,20.3
392,4008,108628,8.2,28.9
392,4025,108635,6.2,16.6
392,4026,108636,6.1,13.6
392,4027,108637,9.9,31.1
392,4029,108638,6.3,16.1
392,4030,108639,8.8,29.3
392,4032,108640,8.2,26.2
392,4033,108641,11.5,37
392,4034,108642,9.9,28
392,4038,108644,10,32.8
392,4039,108645,10.5,32.4
392,4605,137734,8.3,26
392,5400,108649,5.8,14.7
392,7001,108652,10.7,32.4
392,7002,108653,9.4,30.3
392,7004,108655,6.1,15.7
392,7006,108657,11.2,38.8
392,7007,133432,18,46.5
392,7008,131544,9.2,28.3
393,2000,108668,7.8,26.3
393,2001,134187,6,19.1
393,2002,134230,6.6,21.3
393,2003,139124,7.1,22.5
393,2015,108672,6.1,19.5
393,2017,108673,5.9,15.3
393,2020,108675,7.9,29.4
393,2023,108676,5.3,18.3
393,2028,108678,6,17.9
393,2033,108682,6.7,21.3
393,2036,138025,8,28.8
393,2037,139314,9.7,25
393,2038,108685,6.2,17.2
393,2040,108686,5.7,14
393,2042,108687,5,12.6
393,2043,108688,5,12.7
393,2050,108692,5.3,11.7
393,2055,108693,6.4,18.6
393,2056,108694,5.4,12.7
393,2063,108695,7.9,24.6
393,2073,108698,7.1,21.5
393,2075,108699,6.9,23.4
393,2076,108700,6.5,21.6
393,2080,108701,7.2,22.4
393,2083,108704,7.8,28.8
393,2085,108706,7.5,24.8
393,2086,131917,7.1,21.5
393,3006,108711,4.5,11.4
393,3010,133680,7.5,26.4
393,3301,148486,4.8,8.9
393,3303,108716,4.9,7.7
393,3304,148606,5.6,14.7
393,3305,108718,6.5,20.7
393,3306,148274,5.6,14.2
393,3307,148275,5,8.3
393,3311,108721,4.8,6.7
393,3312,147102,6.6,22.2
393,3313,148778,6.2,15.8
393,3314,148276,5.3,14
393,3315,148779,6.4,21.6
393,3316,140924,4.7,9.2
393,3317,141160,6,19.8
393,3318,135842,6.5,22.1
393,3319,136163,6.3,19.9
393,3320,136178,7.6,27.6
393,4004,144204,8.9,28.3
393,4006,108727,9.6,32.4
393,4019,108730,9,27.9
393,4026,108731,10,30.3
393,4033,133725,10.4,32.5
393,4603,139878,8.3,27
393,4604,142601,8.1,25.3
393,4605,136386,7.5,21.7
393,7000,108738,9,31.7
393,7004,108741,6.7,24.7
393,7006,134813,28.5,65.2
393,7007,136252,10.3,32.5
394,2000,138976,8.1,27.8
394,2001,139389,8.1,25.6
394,2002,108755,5.6,11.2
394,2003,141045,6.3,16.5
394,2004,108757,6,15.4
394,2005,139391,8.4,29.3
394,2006,139425,8.9,34.4
394,2007,140684,7.9,27
394,2008,143414,7.7,31.4
394,2009,143415,6.8,21.3
394,2010,108758,8,27.4
394,2011,143524,6.1,20.1
394,2015,143363,7.6,29.9
394,2016,139849,7.3,22.8
394,2019,108763,5.1,9.8
394,2020,139026,4.5,8.5
394,2021,108765,7.7,28.7
394,2026,108766,8.5,33.3
394,2035,108769,8.8,30.5
394,2038,144224,6.5,18.6
394,2039,144222,6,16.4
394,2042,108772,6,17.4
394,2070,108776,5.9,20.4
394,2081,136486,6.8,18.1
394,2083,136487,8.3,27.9
394,2088,108783,7.4,22
394,2089,108784,6.1,16.4
394,2091,138331,6.1,15.9
394,2092,108786,6.6,21.3
394,2093,108787,5.9,17.5
394,2094,140928,7.4,32.1
394,2097,144447,6.9,22.6
394,2099,108792,6,14
394,2104,108794,5.7,17.5
394,2105,108795,7.3,25.1
394,2107,138213,6,16
394,2112,144225,6.3,17.8
394,2115,108799,7.9,28.3
394,2117,148780,5.8,11.2
394,2118,140584,5.8,13.5
394,2126,108803,6.9,19.9
394,2139,140700,5.9,12.8
394,2144,142997,6,16.4
394,2153,108816,4.7,9.3
394,2157,108817,6.2,21.2
394,2158,108818,5.8,11.9
394,2159,108819,7.8,27.8
394,2163,138534,5.7,15.1
394,2167,108822,7.7,29.2
394,2168,142996,8.5,31.3
394,2170,144223,7.8,23.6
394,2171,108826,8.9,33.5
394,2174,108828,7.7,25
394,2175,143493,6.7,29.2
394,2176,108830,3.4,5.6
394,2177,137463,5,10.1
394,2178,108832,6.2,20.6
394,2179,108833,6.5,20.5
394,2181,108835,6.2,22.2
394,2182,131036,5.9,16.8
394,2338,139103,9.3,33.2
394,2339,144220,7.1,26.6
394,2341,144221,7.7,29.6
394,3005,108836,6.2,17.1
394,3301,108837,5.8,14
394,3302,108838,7.2,20.8
394,3306,148781,6.4,19.4
394,3308,108841,6,14.3
394,3313,108842,7.1,24.5
394,3315,108843,6.2,18.9
394,3316,148782,5.3,13.5
394,3317,148452,7,22.9
394,3319,148277,6.1,15.4
394,3322,137831,4.6,6.3
394,3323,147131,4.8,8.3
394,3326,147123,6,18.2
394,3327,147139,5.5,12.7
394,3329,147138,5.5,14.7
394,3330,147147,5.3,8.4
394,3332,134532,8,27
394,3333,144219,9.2,36
394,4001,141986,11.3,37.7
394,4002,144990,11.3,34.3
394,4003,145477,10.1,34.5
