2021 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
HIGHER LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    % FEMALE ,69.1,19.1,8.8,1.5,1.5,0,0,0,
,,,,,,,,,
    TOTAL MALE,44,24,17,8,2,0,0,1,96
,,,,,,,,,
    % MALE ,45.8,25,17.7,8.3,2.1,0,0,1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    TEICNEOLAÍOCHT,284,418,445,344,193,83,22,18,1807
,,,,,,,,,
    TECHNOLOGY,15.7,23.1,24.6,19,10.7,4.6,1.2,1,
,,,,,,,,,
    TOTAL FEMALE,79,98,80,58,26,14,2,6,363
,,,,,,,,,
    % FEMALE ,21.8,27,22,16,7.2,3.9,0.6,1.7,
,,,,,,,,,
    TOTAL MALE,205,320,365,286,167,69,20,12,1444
,,,,,,,,,
    % MALE ,14.2,22.2,25.3,19.8,11.6,4.8,1.4,0.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CEOL,1305,2385,1770,682,185,65,21,22,6435
,,,,,,,,,
    MUSIC,20.3,37.1,27.5,10.6,2.9,1,0.3,0.3,
,,,,,,,,,
    TOTAL FEMALE,951,1745,1177,413,100,40,10,9,4445
,,,,,,,,,
    % FEMALE ,21.4,39.3,26.5,9.3,2.2,0.9,0.2,0.2,
,,,,,,,,,
    TOTAL MALE,354,640,593,269,85,25,11,13,1990
,,,,,,,,,
    % MALE ,17.8,32.2,29.8,13.5,4.3,1.3,0.6,0.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EACNAMAÍOCHT BHAIL,1409,2590,2684,2265,1254,523,101,89,10915
,,,,,,,,,
    HOME ECONOMICS S &,12.9,23.7,24.6,20.8,11.5,4.8,0.9,0.8,
,,,,,,,,,
    TOTAL FEMALE,1342,2442,2384,1899,964,357,64,63,9515
,,,,,,,,,
    % FEMALE ,14.1,25.7,25.1,20,10.1,3.8,0.7,0.7,
,,,,,,,,,
    TOTAL MALE,67,148,300,366,290,166,37,26,1400
,,,,,,,,,
    % MALE ,4.8,10.6,21.4,26.1,20.7,11.9,2.6,1.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    RÚISIS,339,74,33,21,3,2,0,2,474
,,,,,,,,,
    RUSSIAN,71.5,15.6,7,4.4,0.6,0.4,0,0.4,
,,,,,,,,,
    TOTAL FEMALE,185,31,16,3,2,0,0,0,237
,,,,,,,,,
    % FEMALE ,78.1,13.1,6.8,1.3,0.8,0,0,0,
,,,,,,,,,
    TOTAL MALE,154,43,17,18,1,2,0,2,237
,,,,,,,,,
    % MALE ,65,18.1,7.2,7.6,0.4,0.8,0,0.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    RÍOMHEOLAÍOCHT,91,104,135,121,104,54,21,10,640
,,,,,,,,,
    COMPUTER SCIENCE,14.2,16.3,21.1,18.9,16.3,8.4,3.3,1.6,
,,,,,,,,,
    TOTAL FEMALE,21,29,40,40,27,13,2,6,178
,,,,,,,,,
    % FEMALE ,11.8,16.3,22.5,22.5,15.2,7.3,1.1,3.4,
,,,,,,,,,
    TOTAL MALE,70,75,95,81,77,41,19,4,462
,,,,,,,,,
    % MALE ,15.2,16.2,20.6,17.5,16.7,8.9,4.1,0.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    OIDEACHAS REILIGIÚ,145,282,244,186,102,52,12,13,1036
,,,,,,,,,
    RELIGIOUS EDUCATIO,14,27.2,23.6,18,9.8,5,1.2,1.3,
,,,,,,,,,
    TOTAL FEMALE,77,161,107,89,47,24,6,3,514
,,,,,,,,,
    % FEMALE ,15,31.3,20.8,17.3,9.1,4.7,1.2,0.6,
,,,,,,,,,
    TOTAL MALE,68,121,137,97,55,28,6,10,522
,,,,,,,,,
    % MALE ,13,23.2,26.2,18.6,10.5,5.4,1.1,1.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CORPOIDEACHAS,171,311,373,314,200,89,28,15,1501
,,,,,,,,,
    PHYSICAL EDUCATION,11.4,20.7,24.9,20.9,13.3,5.9,1.9,1,
,,,,,,,,,
    TOTAL FEMALE,92,158,135,102,55,20,8,3,573
,,,,,,,,,
    % FEMALE ,16.1,27.6,23.6,17.8,9.6,3.5,1.4,0.5,
,,,,,,,,,
    TOTAL MALE,79,153,238,212,145,69,20,12,928
,,,,,,,,,
    % MALE ,8.5,16.5,25.6,22.8,15.6,7.4,2.2,1.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    POLAINNIS,194,161,155,95,41,22,7,9,684
,,,,,,,,,
    POLISH,28.4,23.6,22.5,13.9,6,3.2,1,1.3,
,,,,,,,,,
    TOTAL FEMALE,112,85,70,40,14,11,2,2,336
,,,,,,,,,
    % FEMALE ,33.4,25.4,20.6,11.9,4.2,3.3,0.6,0.6,
,,,,,,,,,
    TOTAL MALE,82,76,85,55,27,11,5,7,348
,,,,,,,,,
    % MALE ,23.6,21.8,24.4,15.8,7.8,3.2,1.4,2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LAITVIS,5,5,6,9,9,3,3,0,40
,,,,,,,,,
    LATVIAN,12.5,12.5,15,22.5,22.5,7.5,7.5,0,
