2021 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
ORDINARY LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
,,,,,,,,,
    TOTAL MALE,149,149,141,96,71,73,24,41,744
,,,,,,,,,
    % MALE ,20,20,19,12.9,9.5,9.8,3.2,5.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GNÓ,144,299,499,519,457,334,103,105,2460
,,,,,,,,,
    BUSINESS,5.9,12.2,20.3,21.1,18.6,13.6,4.2,4.3,
,,,,,,,,,
    TOTAL FEMALE,81,142,208,229,176,129,38,51,1054
,,,,,,,,,
    % FEMALE ,7.7,13.5,19.7,21.7,16.7,12.2,3.6,4.8,
,,,,,,,,,
    TOTAL MALE,63,157,291,290,281,205,65,54,1406
,,,,,,,,,
    % MALE ,4.5,11.2,20.7,20.6,20,14.6,4.6,3.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EACNAMAÍOCHT,14,51,92,105,87,87,21,29,486
,,,,,,,,,
    ECONOMICS,2.9,10.5,18.9,21.6,17.9,17.9,4.3,6,
,,,,,,,,,
    TOTAL FEMALE,2,16,26,32,24,24,3,13,140
,,,,,,,,,
    % FEMALE ,1.4,11.4,18.6,22.9,17.1,17.1,2.1,9.3,
,,,,,,,,,
    TOTAL MALE,12,35,66,73,63,63,18,16,346
,,,,,,,,,
    % MALE ,3.5,10.1,19.1,21.1,18.2,18.2,5.2,4.6,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SEAPÁINIS,2,6,9,9,7,10,4,1,48
,,,,,,,,,
    JAPANESE,4.2,12.5,18.8,18.8,14.6,20.8,8.3,2.1,
,,,,,,,,,
    TOTAL FEMALE,1,2,3,3,3,2,1,0,15
,,,,,,,,,
    % FEMALE ,6.7,13.3,20,20,20,13.3,6.7,0,
,,,,,,,,,
    TOTAL MALE,1,4,6,6,4,8,3,1,33
,,,,,,,,,
    % MALE ,3,12.1,18.2,18.2,12.1,24.2,9.1,3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    TEICNEOLAÍOCHT,3,25,20,28,26,28,11,12,153
,,,,,,,,,
    TECHNOLOGY,2,16.3,13.1,18.3,17,18.3,7.2,7.8,
,,,,,,,,,
    TOTAL FEMALE,0,2,6,5,2,7,0,3,25
,,,,,,,,,
    % FEMALE ,0,8,24,20,8,28,0,12,
,,,,,,,,,
    TOTAL MALE,3,23,14,23,24,21,11,9,128
,,,,,,,,,
    % MALE ,2.3,18,10.9,18,18.8,16.4,8.6,7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
