RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,359,4608,106534,The Deanery Church of England High School and Sixth Form College,VA,0,0,-12,-1,-22,64,53%,5%,44%,5%,3%,0%,5%,53,57%,-12,0,-23,7,43%,-7,29,-43,4,SUPP,SUPP,SUPP,SUPP,69%,SUPP,54%,0%,0%,0%,SUPP
1,359,4615,106538,St Mary's Catholic High School,VA,0,0,-13,-5,-20,124,59%,3%,55%,20%,15%,1%,1%,120,58%,-15,-7,-22,4,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,36%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,359,8003,130521,Wigan and Leigh College,General Further Education College,0,0,-2,1,-5,623,43%,2%,28%,1%,1%,0%,12%,27,70%,-4,11,-19,19,26%,-12,9,-33,577,42%,-2,1,-5,43%,0%,32%,1%,1%,0%,11%
1,359,8600,130522,Winstanley College,Sixth Form College,0,0,1,3,-1,898,83%,2%,80%,34%,27%,1%,1%,897,83%,1,3,-1,0,0%,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,80%,2%,78%,21%,14%,1%,0%
1,359,8601,130523,St John Rigby RC Sixth Form College,Sixth Form College,0,0,1,4,-2,529,64%,2%,61%,11%,6%,SP,1%,348,68%,-4,0,-8,16,81%,31,54,7,165,54%,8,15,0,62%,1%,60%,10%,6%,0%,0%
LA,359,,,,,,,-1,NA,NA,2254,65%,3%,59%,18%,13%,1%,4%,1446,76%,-2,NA,NA,61,49%,3,NA,NA,747,45%,0,NA,NA,67%,3%,61%,20%,15%,1%,4%
1,340,4615,135479,All Saints Catholic High School,VA,0,0,-13,3,-29,28,39%,0%,39%,4%,4%,0%,0%,9,44%,-21,5,-47,0,0%,NA,NA,NA,19,37%,-10,11,-31,38%,0%,38%,SUPP,SUPP,0%,0%
LA,340,,,,,,,-13,NA,NA,28,39%,0%,39%,4%,4%,0%,0%,9,44%,-21,NA,NA,0,0%,NA,NA,NA,19,37%,-10,NA,NA,40%,0%,40%,SUPP,SUPP,0%,0%
1,341,4001,138787,Childwall Sports & Science Academy,AC,0,0,4,16,-8,44,68%,0%,68%,18%,16%,0%,0%,42,67%,2,14,-10,2,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,75%,0%,75%,25%,19%,0%,0%
1,341,4002,139588,Liverpool Life Sciences UTC,UTC,0,0,22,31,12,89,89%,0%,88%,21%,18%,0%,1%,89,89%,22,30,13,0,0%,NA,NA,NA,0,0%,NA,NA,NA,94%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,341,4003,139589,The Studio School Liverpool,SS,0,0,16,27,4,58,74%,3%,71%,17%,5%,0%,0%,18,61%,-13,6,-32,40,80%,29,44,13,0,0%,NA,NA,NA,77%,0%,77%,15%,8%,0%,0%
1,341,4004,139686,Liverpool College,AC,0,0,0,8,-8,94,81%,1%,80%,39%,35%,2%,0%,94,81%,0,8,-8,0,0%,NA,NA,NA,0,0%,NA,NA,NA,80%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,341,4007,142891,LIPA Sixth Form College,F1619,0,0,23,29,16,164,74%,0%,66%,25%,3%,0%,7%,2,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,162,73%,22,29,14,66%,0%,56%,6%,0%,0%,9%
1,341,4306,138696,West Derby School,ACC,0,0,-17,-4,-29,49,57%,4%,53%,12%,12%,0%,0%,49,57%,-17,-5,-28,0,0%,NA,NA,NA,0,0%,NA,NA,NA,67%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,341,4404,104688,Holly Lodge Girls' College,CY,0,0,13,26,0,38,84%,0%,84%,16%,16%,0%,0%,38,84%,13,26,0,0,0%,NA,NA,NA,0,0%,NA,NA,NA,86%,0%,86%,14%,14%,0%,0%
1,341,4421,104693,Alsop High School Technology & Applied Learning Specialist College,CY,0,1,-23,-15,-30,126,40%,0%,40%,6%,7%,0%,0%,126,40%,-23,-15,-30,0,0%,NA,NA,NA,0,0%,NA,NA,NA,43%,0%,43%,7%,9%,0%,0%
1,341,4425,104696,"Broadgreen International School, A Technology College",FD,0,0,-5,3,-13,109,51%,0%,42%,5%,3%,0%,9%,68,57%,-7,2,-16,40,40%,-2,13,-17,1,SUPP,SUPP,SUPP,SUPP,51%,0%,46%,4%,SUPP,0%,6%
