Code,Subject,         Level,Year,    Total,         A,         B,         C,         D,         E,         F,         NG,
  7,ANCIENT GREEK          ,A,   2018,   33,        48.50,    15.20,    27.30,     3.00,     0.00,     6.10,     0.00,
  8,CLASSICAL STUDIES      ,A,   2018,  564,        21.10,    32.40,    27.00,    14.50,     4.30,     0.70,     0.00,
  8,CLASSICAL STUDIES      ,G,   2018,   76,         5.30,    26.30,    25.00,    15.80,     6.60,    15.80,     5.30,
 10,FRENCH                 ,A,   2018,23624,        10.70,    28.60,    33.90,    22.20,     4.00,     0.50,     0.00,
 10,FRENCH                 ,G,   2018, 7442,         2.20,    21.10,    35.10,    29.80,     9.70,     2.00,     0.10,
 11,GERMAN                 ,A,   2018, 9612,        13.00,    30.60,    30.60,    20.10,     4.70,     1.00,     0.10,
 11,GERMAN                 ,G,   2018, 2854,         5.00,    34.90,    34.80,    18.10,     4.90,     2.20,     0.20,
 12,SPANISH                ,A,   2018, 7804,        15.70,    30.60,    30.50,    17.90,     4.20,     1.00,     0.10,
 12,SPANISH                ,G,   2018, 2757,         6.00,    34.60,    32.40,    17.20,     5.60,     3.10,     1.10,
 13,ITALIAN                ,A,   2018,  320,        22.50,    20.30,    25.00,    24.70,     6.90,     0.30,     0.30,
 13,ITALIAN                ,G,   2018,   94,         1.10,    18.10,    28.70,    41.50,     6.40,     4.30,     0.00,
 41,ART  CRAFT  DESIGN     ,A,   2018,15355,        20.20,    31.90,    34.80,    11.80,     1.10,     0.20,     0.00,
 41,ART  CRAFT  DESIGN     ,G,   2018, 4445,         8.50,    29.50,    35.20,    18.30,     5.70,     2.50,     0.30,
 42,BUSINESS STUDIES       ,A,   2018,27839,         9.80,    31.80,    33.70,    20.50,     3.60,     0.50,     0.10,
 42,BUSINESS STUDIES       ,G,   2018, 7006,         8.10,    37.20,    29.80,    15.50,     5.60,     3.40,     0.40,
 46,MUSIC                  ,A,   2018, 8924,        14.80,    39.30,    31.10,    13.20,     1.10,     0.60,     0.00,
 46,MUSIC                  ,G,   2018, 1638,         1.40,    24.70,    39.40,    24.40,     4.00,     5.90,     0.20,
 47,MATERIAL TECHNOLOGY (W ,A,   2018,14635,         7.90,    37.50,    35.70,    15.90,     2.10,     0.70,     0.30,
 47,MATERIAL TECHNOLOGY (W ,G,   2018, 2837,         4.80,    28.90,    38.40,    19.40,     3.70,     3.50,     1.40,
 48,TECHNICAL GRAPHICS     ,A,   2018, 9447,        14.80,    31.60,    30.80,    18.70,     3.20,     0.80,     0.10,
 48,TECHNICAL GRAPHICS     ,G,   2018, 3599,        11.70,    34.60,    26.30,    18.60,     6.20,     2.30,     0.30,
 52,HOME ECONOMICS         ,A,   2018,19152,        12.80,    49.30,    30.50,     6.60,     0.60,     0.20,     0.10,
 52,HOME ECONOMICS         ,G,   2018, 3494,         1.30,    32.30,    43.70,    15.50,     3.90,     2.00,     1.20,
 54,METALWORK              ,A,   2018, 6450,        10.80,    42.20,    30.00,    13.60,     2.40,     0.60,     0.40,
 54,METALWORK              ,G,   2018, 1592,         6.40,    33.40,    26.80,    19.70,     7.50,     5.30,     0.80,
 57,SCIENCE                ,A,   2018,46423,         9.20,    32.40,    38.20,    18.80,     1.20,     0.20,     0.00,
 57,SCIENCE                ,G,   2018,11785,         1.20,    33.60,    48.00,    13.60,     2.80,     0.80,     0.10,
 65,TECHNOLOGY             ,A,   2018, 3573,         7.60,    29.20,    35.20,    22.10,     4.30,     1.50,     0.20,
 65,TECHNOLOGY             ,G,   2018,  497,         5.00,    24.50,    31.60,    22.90,     9.90,     5.20,     0.80,
 81,ENVIRON & SOCIAL STUDI ,A,   2018,  241,         6.20,    35.70,    39.00,    18.70,     0.00,     0.40,     0.00,
 81,ENVIRON & SOCIAL STUDI ,G,   2018,  228,         6.10,    35.10,    28.90,    18.40,     6.10,     4.40,     0.90,
218,C.S.P.E                ,C,   2018,59361,        20.80,    42.40,    25.70,     8.50,     1.70,     0.80,     0.10,
220,RELIGIOUS EDUCATION    ,A,   2018,22609,        13.30,    39.00,    34.50,    11.40,     1.40,     0.20,     0.00,
220,RELIGIOUS EDUCATION    ,G,   2018, 4561,        11.20,    35.00,    35.20,    13.40,     3.70,     1.30,     0.20,
                            G,

