"Year","Achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","125","105","0.8170000000000001","0"
"2012","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","165","145","0.902","0"
"2013","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","180","155","0.85","0"
"2014","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","155","150","0.961","0"
"2015","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","200","185","0.935","0"
"2016","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","170","150","0.894","0"
"2017","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","200","185","0.925","0"
"2018","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","205","190","0.9460000000000001","0"
"2019","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","225","195","0.863","0"
"2020","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","540","510","0.937","0"
"2021","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","265","235","0.879","0"
"2022","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","355","310","0.875","0"
"2023","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","280","250","0.879","0"
"2010","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","75","55","0.781","0"
"2011","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","75","65","0.865","0"
"2012","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","90","80","0.9","0"
"2013","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","100","90","0.899","0"
"2014","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","90","85","0.9460000000000001","0"
"2015","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","85","70","0.8190000000000001","0"
"2016","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","90","80","0.9","0"
"2017","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","100","90","0.91","0"
"2018","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","85","75","0.884","0"
"2019","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","105","95","0.894","0"
"2020","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","385","370","0.9530000000000001","0"
"2021","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","185","165","0.893","0"
"2022","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","185","155","0.8240000000000001","0"
"2023","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","170","150","0.878","0"
"2010","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","30","20","0.733","0"
"2011","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","40","30","0.8160000000000001","0"
"2012","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","50","45","0.917","0"
"2013","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","50","40","0.8160000000000001","0"
"2014","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","35","25","0.8180000000000001","0"
"2015","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","45","40","0.93","0"
