"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","Medium tariff","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Medium tariff","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Higher tariff","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Higher tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","50","30","0.592"
"2020","Higher tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","50","10"," "
"2021","Higher tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","70","25","0.333"
"2022","Higher tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","45","30","0.63"
"2023","Higher tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","30","20","0.667"
"2019","Medium tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","15","0"," "
"2020","Medium tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Medium tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2022","Medium tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Higher tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","30","20","0.6"
"2020","Higher tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","35","20","0.486"
"2021","Higher tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","45","15","0.378"
"2022","Higher tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.615"
"2023","Higher tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.833"
"2019","Medium tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2020","Medium tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2021","Medium tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2022","Medium tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Higher tariff","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Higher tariff","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2021","Higher tariff","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","15","10"," "
"2022","Higher tariff","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2023","Higher tariff","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
