"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","Higher tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","25","10"," "
"2021","Higher tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","55","15","0.246"
"2022","Higher tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","30","10"," "
"2023","Higher tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","25","5"," "
"2019","Medium tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","15","0"," "
"2020","Medium tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2021","Medium tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","15","0"," "
"2022","Medium tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","35","15","0.405"
"2023","Medium tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","40","15","0.333"
"2019","Lower tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Lower tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2021","Lower tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2022","Lower tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Lower tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","5","5"," "
"2019","Higher tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","Higher tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","15","10"," "
"2021","Higher tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","30","10","0.367"
"2022","Higher tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","20","5"," "
"2023","Higher tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","Medium tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Medium tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2021","Medium tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","15","0"," "
"2022","Medium tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","10","0"," "
