"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2021","Higher tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","55","5"," "
"2022","Higher tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","55","5"," "
"2023","Higher tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","0"," "
"2019","Medium tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","165","10","0.067"
"2020","Medium tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","190","20","0.115"
"2021","Medium tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","250","25","0.095"
"2022","Medium tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","280","35","0.129"
"2023","Medium tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","255","25","0.107"
"2019","Lower tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","25","0"," "
"2020","Lower tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","20","0"," "
"2021","Lower tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","0"," "
"2022","Lower tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","20","5"," "
"2023","Lower tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2019","Higher tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","5"," "
"2020","Higher tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Higher tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2022","Higher tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2023","Higher tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","Medium tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","60","10"," "
"2020","Medium tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","10"," "
"2021","Medium tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","80","5"," "
"2022","Medium tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","80","10"," "
"2023","Medium tariff","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","5"," "
"2019","Lower tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
