"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","Lower tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Lower tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Lower tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2023","Lower tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","Higher tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Higher tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Higher tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Higher tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Medium tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","0"," "
"2020","Medium tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","25","0"," "
"2021","Medium tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","0"," "
"2022","Medium tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","0"," "
"2023","Medium tariff","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","5"," "
"2019","Lower tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","Lower tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2021","Lower tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2022","Lower tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2023","Lower tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","Higher tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Higher tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2021","Higher tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Higher tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Higher tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Medium tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","5"," "
"2020","Medium tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","15","0.191"
"2021","Medium tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","105","15","0.125"
"2022","Medium tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","5"," "
"2023","Medium tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","5"," "
"2019","Lower tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Lower tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Lower tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Higher tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","Medium tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","80","10","0.154"
"2020","Medium tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","15","0.20600000000000002"
"2021","Medium tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","90","15","0.159"
"2022","Medium tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","60","10","0.203"
"2023","Medium tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","45","5"," "
"2019","Medium tariff","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","50","5"," "
"2020","Medium tariff","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","50","10"," "
"2021","Medium tariff","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","20","0.265"
"2022","Medium tariff","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","15","0.219"
"2023","Medium tariff","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","60","10","0.183"
"2019","Medium tariff","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","75","15","0.184"
"2020","Medium tariff","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","40","10","0.268"
"2021","Medium tariff","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","10","0.169"
"2022","Medium tariff","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","15","0.203"
"2023","Medium tariff","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","55","5"," "
"2020","Lower tariff","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Lower tariff","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Lower tariff","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," "
