"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2021","Northern Ireland","35 and over","All","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Northern Ireland","35 and over","All","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Scotland","35 and over","All","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","35 and over","All","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Scotland","35 and over","All","Male","Main scheme applicant","Not main scheme application","15","10"," "
"2022","Scotland","35 and over","All","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Scotland","35 and over","All","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2019","Wales","35 and over","All","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Wales","35 and over","All","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Wales","35 and over","All","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Wales","35 and over","All","Male","Main scheme applicant","Not main scheme application","10","0"," "
"2019","England","17 and under","All","Female","Main scheme applicant","Main scheme application","70","10","0.162"
"2020","England","17 and under","All","Female","Main scheme applicant","Main scheme application","75","15","0.176"
"2021","England","17 and under","All","Female","Main scheme applicant","Main scheme application","115","10","0.088"
"2022","England","17 and under","All","Female","Main scheme applicant","Main scheme application","160","20","0.124"
"2023","England","17 and under","All","Female","Main scheme applicant","Main scheme application","155","20","0.124"
"2019","Northern Ireland","17 and under","All","Female","Main scheme applicant","Main scheme application","15","0"," "
"2020","Northern Ireland","17 and under","All","Female","Main scheme applicant","Main scheme application","15","5"," "
"2021","Northern Ireland","17 and under","All","Female","Main scheme applicant","Main scheme application","20","0"," "
"2022","Northern Ireland","17 and under","All","Female","Main scheme applicant","Main scheme application","20","5"," "
"2023","Northern Ireland","17 and under","All","Female","Main scheme applicant","Main scheme application","35","5"," "
"2019","Scotland","17 and under","All","Female","Main scheme applicant","Main scheme application","85","25","0.28600000000000003"
"2020","Scotland","17 and under","All","Female","Main scheme applicant","Main scheme application","75","20","0.276"
"2021","Scotland","17 and under","All","Female","Main scheme applicant","Main scheme application","100","20","0.20400000000000001"
"2022","Scotland","17 and under","All","Female","Main scheme applicant","Main scheme application","110","30","0.275"
"2023","Scotland","17 and under","All","Female","Main scheme applicant","Main scheme application","80","30","0.34600000000000003"
"2019","Wales","17 and under","All","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Wales","17 and under","All","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Wales","17 and under","All","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Wales","17 and under","All","Female","Main scheme applicant","Main scheme application","15","0"," "
"2023","Wales","17 and under","All","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","England","18","All","Female","Main scheme applicant","Main scheme application","7545","3690","0.489"
"2020","England","18","All","Female","Main scheme applicant","Main scheme application","8310","4540","0.546"
"2021","England","18","All","Female","Main scheme applicant","Main scheme application","10480","5520","0.527"
"2022","England","18","All","Female","Main scheme applicant","Main scheme application","10645","4945","0.464"
"2023","England","18","All","Female","Main scheme applicant","Main scheme application","8660","3980","0.459"
"2019","Northern Ireland","18","All","Female","Main scheme applicant","Main scheme application","895","200","0.225"
"2020","Northern Ireland","18","All","Female","Main scheme applicant","Main scheme application","920","290","0.317"
"2021","Northern Ireland","18","All","Female","Main scheme applicant","Main scheme application","1175","245","0.209"
"2022","Northern Ireland","18","All","Female","Main scheme applicant","Main scheme application","1215","280","0.229"
"2023","Northern Ireland","18","All","Female","Main scheme applicant","Main scheme application","975","230","0.23700000000000002"
"2019","Scotland","18","All","Female","Main scheme applicant","Main scheme application","1630","615","0.378"
"2020","Scotland","18","All","Female","Main scheme applicant","Main scheme application","1600","655","0.41100000000000003"
"2021","Scotland","18","All","Female","Main scheme applicant","Main scheme application","1990","755","0.38"
"2022","Scotland","18","All","Female","Main scheme applicant","Main scheme application","1855","640","0.34400000000000003"
"2023","Scotland","18","All","Female","Main scheme applicant","Main scheme application","1365","490","0.36"
"2019","Wales","18","All","Female","Main scheme applicant","Main scheme application","990","245","0.25"
"2020","Wales","18","All","Female","Main scheme applicant","Main scheme application","1020","275","0.27"
"2021","Wales","18","All","Female","Main scheme applicant","Main scheme application","1445","315","0.217"
"2022","Wales","18","All","Female","Main scheme applicant","Main scheme application","1415","235","0.164"
"2023","Wales","18","All","Female","Main scheme applicant","Main scheme application","1025","260","0.255"
"2019","England","19","All","Female","Main scheme applicant","Main scheme application","3755","1765","0.47100000000000003"
"2020","England","19","All","Female","Main scheme applicant","Main scheme application","3765","1850","0.491"
"2021","England","19","All","Female","Main scheme applicant","Main scheme application","4330","1940","0.448"
"2022","England","19","All","Female","Main scheme applicant","Main scheme application","4390","1770","0.403"
"2023","England","19","All","Female","Main scheme applicant","Main scheme application","3685","1480","0.402"
"2019","Northern Ireland","19","All","Female","Main scheme applicant","Main scheme application","425","120","0.28400000000000003"
"2020","Northern Ireland","19","All","Female","Main scheme applicant","Main scheme application","370","150","0.40800000000000003"
