"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2020","International","EU (excluding UK)","Slovakia","18","Female","5","5","5"
"2019","International","EU (excluding UK)","Cyprus (European Union)","18","Female","20","15","15"
"2020","International","EU (excluding UK)","Cyprus (European Union)","18","Female","30","15","15"
"2021","International","EU (excluding UK)","Cyprus (European Union)","18","Female","20","5","5"
"2022","International","EU (excluding UK)","Cyprus (European Union)","18","Female","5","0","0"
"2023","International","EU (excluding UK)","Cyprus (European Union)","18","Female","15","5","5"
"2019","International","Not EU","Guernsey","18","Female","5","5","5"
"2020","International","Not EU","Guernsey","18","Female","10","5","5"
"2021","International","Not EU","Guernsey","18","Female","5","5","5"
"2022","International","Not EU","Guernsey","18","Female","5","5","5"
"2023","International","Not EU","Guernsey","18","Female","5","5","5"
"2019","International","Not EU","Jersey","18","Female","10","5","5"
"2020","International","Not EU","Jersey","18","Female","10","5","5"
"2021","International","Not EU","Jersey","18","Female","10","5","5"
"2022","International","Not EU","Jersey","18","Female","10","5","5"
"2023","International","Not EU","Jersey","18","Female","25","10","10"
"2019","International","Not EU","Isle of Man","18","Female","15","10","10"
"2020","International","Not EU","Isle of Man","18","Female","15","10","10"
"2021","International","Not EU","Isle of Man","18","Female","10","5","5"
"2022","International","Not EU","Isle of Man","18","Female","25","10","10"
"2023","International","Not EU","Isle of Man","18","Female","20","10","10"
"2020","International","Not EU","Albania","18","Female","5","5","5"
"2019","International","Not EU","Australia","18","Female","5","0","0"
"2023","International","Not EU","Australia","18","Female","5","0","0"
"2021","International","Not EU","Bahamas","18","Female","5","0","0"
"2019","International","Not EU","Bahrain","18","Female","5","0","0"
"2020","International","Not EU","Bahrain","18","Female","10","5","5"
"2021","International","Not EU","Bahrain","18","Female","5","5","5"
"2022","International","Not EU","Bahrain","18","Female","10","5","5"
"2023","International","Not EU","Bahrain","18","Female","10","5","5"
"2021","International","Not EU","Bermuda","18","Female","5","0","0"
"2022","International","Not EU","Bermuda","18","Female","5","0","0"
"2021","International","Not EU","Brazil","18","Female","5","0","0"
"2022","International","Not EU","Brazil","18","Female","5","0","0"
"2023","International","Not EU","Brazil","18","Female","5","0","0"
"2019","International","Not EU","Brunei Darussalam","18","Female","10","5","5"
"2020","International","Not EU","Brunei Darussalam","18","Female","10","5","5"
"2021","International","Not EU","Brunei Darussalam","18","Female","10","0","0"
"2022","International","Not EU","Brunei Darussalam","18","Female","15","5","5"
"2023","International","Not EU","Brunei Darussalam","18","Female","15","0","0"
"2022","International","Not EU","Burma (Myanmar)","18","Female","5","0","0"
"2023","International","Not EU","Burma (Myanmar)","18","Female","5","5","5"
"2019","International","Not EU","Cambodia","18","Female","5","0","0"
"2022","International","Not EU","Cambodia","18","Female","5","5","5"
"2023","International","Not EU","Cambodia","18","Female","5","0","0"
"2020","International","Not EU","Canada","18","Female","5","0","0"
"2021","International","Not EU","Canada","18","Female","10","0","0"
"2022","International","Not EU","Canada","18","Female","5","5","5"
"2023","International","Not EU","Canada","18","Female","10","0","0"
"2019","International","Not EU","Sri Lanka","18","Female","5","0","0"
"2021","International","Not EU","Sri Lanka","18","Female","5","0","0"
"2022","International","Not EU","Sri Lanka","18","Female","5","0","0"
"2019","International","Not EU","China","18","Female","105","50","50"
"2020","International","Not EU","China","18","Female","205","145","145"
"2021","International","Not EU","China","18","Female","210","20","20"
"2022","International","Not EU","China","18","Female","195","30","30"
"2023","International","Not EU","China","18","Female","160","30","25"
"2019","International","Not EU","Taiwan","18","Female","5","5","5"
"2020","International","Not EU","Taiwan","18","Female","10","5","5"
"2021","International","Not EU","Taiwan","18","Female","5","0","0"
"2022","International","Not EU","Taiwan","18","Female","5","0","0"
"2023","International","Not EU","Taiwan","18","Female","5","0","0"
