"Year","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","130","40","0.298","0"
"2019","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","155","45","0.274","0"
"2020","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","205","50","0.23600000000000002","0"
"2021","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","270","50","0.193","0"
"2022","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","185","40","0.209","0"
"2023","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","125","35","0.29","0"
"2019","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","115","25","0.23900000000000002","0"
"2020","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","145","40","0.259","0"
"2021","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","175","30","0.158","0"
"2022","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","150","30","0.187","0"
"2023","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","110","40","0.339","0"
"2019","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","145","25","0.188","0"
"2020","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","155","40","0.25","0"
"2021","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","225","25","0.10200000000000001","0"
"2022","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","180","40","0.22","0"
"2023","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","140","40","0.302","0"
"2019","18","Wales","Female","Main scheme applicant","Main scheme application","105","20","0.202","0"
"2020","18","Wales","Female","Main scheme applicant","Main scheme application","125","35","0.28300000000000003","0"
"2021","18","Wales","Female","Main scheme applicant","Main scheme application","195","50","0.254","0"
"2022","18","Wales","Female","Main scheme applicant","Main scheme application","165","45","0.281","0"
"2023","18","Wales","Female","Main scheme applicant","Main scheme application","125","40","0.306","0"
"2019","19","Wales","Female","Main scheme applicant","Main scheme application","60","15","0.226","0"
"2020","19","Wales","Female","Main scheme applicant","Main scheme application","60","15","0.276","0"
"2021","19","Wales","Female","Main scheme applicant","Main scheme application","90","15","0.14400000000000002","0"
"2022","19","Wales","Female","Main scheme applicant","Main scheme application","60","15","0.28300000000000003","0"
"2023","19","Wales","Female","Main scheme applicant","Main scheme application","40","5"," ","0"
"2019","20","Wales","Female","Main scheme applicant","Main scheme application","30","5"," ","0"
"2020","20","Wales","Female","Main scheme applicant","Main scheme application","30","5"," ","0"
"2021","20","Wales","Female","Main scheme applicant","Main scheme application","45","10"," ","0"
"2022","20","Wales","Female","Main scheme applicant","Main scheme application","40","10"," ","0"
"2023","20","Wales","Female","Main scheme applicant","Main scheme application","30","10"," ","0"
"2019","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","130","40","0.311","0"
"2020","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","110","30","0.279","0"
"2021","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","135","25","0.203","0"
"2022","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","80","25","0.293","0"
"2023","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","75","25","0.35100000000000003","0"
"2019","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","110","25","0.232","0"
"2020","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","110","40","0.376","0"
"2021","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","155","40","0.252","0"
"2022","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","105","30","0.295","0"
"2023","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","85","35","0.391","0"
"2019","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","90","20","0.209","0"
"2020","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","90","30","0.333","0"
"2021","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","95","30","0.309","0"
"2022","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","90","30","0.304","0"
"2023","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","70","35","0.47100000000000003","0"
