"Year","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","30 - 34","England","All","All","Main scheme application","1185","500","0.421","0"
"2022","30 - 34","England","All","All","Main scheme application","1070","445","0.418","0"
"2023","30 - 34","England","All","All","Main scheme application","770","345","0.447","0"
"2019","35 and over","England","All","All","Main scheme application","785","310","0.395","0"
"2020","35 and over","England","All","All","Main scheme application","960","405","0.421","0"
"2021","35 and over","England","All","All","Main scheme application","1245","455","0.367","0"
"2022","35 and over","England","All","All","Main scheme application","1105","420","0.378","0"
"2023","35 and over","England","All","All","Main scheme application","990","430","0.432","0"
"2019","17 and under","Scotland","All","All","Main scheme application","10","0"," ","0"
"2020","17 and under","Scotland","All","All","Main scheme application","20","0"," ","0"
"2021","17 and under","Scotland","All","All","Main scheme application","15","5"," ","0"
"2022","17 and under","Scotland","All","All","Main scheme application","20","0"," ","0"
"2023","17 and under","Scotland","All","All","Main scheme application","10","5"," ","0"
"2019","18","Scotland","All","All","Main scheme application","305","65","0.20800000000000002","0"
"2020","18","Scotland","All","All","Main scheme application","245","65","0.273","0"
"2021","18","Scotland","All","All","Main scheme application","350","55","0.16","0"
"2022","18","Scotland","All","All","Main scheme application","295","60","0.209","0"
"2023","18","Scotland","All","All","Main scheme application","195","55","0.272","0"
"2019","19","Scotland","All","All","Main scheme application","95","25","0.277","0"
"2020","19","Scotland","All","All","Main scheme application","85","25","0.321","0"
"2021","19","Scotland","All","All","Main scheme application","115","15","0.124","0"
"2022","19","Scotland","All","All","Main scheme application","100","20","0.2","0"
"2023","19","Scotland","All","All","Main scheme application","100","30","0.327","0"
"2019","20","Scotland","All","All","Main scheme application","50","10","0.216","0"
"2020","20","Scotland","All","All","Main scheme application","65","10","0.19","0"
"2021","20","Scotland","All","All","Main scheme application","65","10","0.149","0"
"2022","20","Scotland","All","All","Main scheme application","70","15","0.23500000000000001","0"
"2023","20","Scotland","All","All","Main scheme application","45","5"," ","0"
"2019","21 - 24","Scotland","All","All","Main scheme application","150","35","0.24","0"
"2020","21 - 24","Scotland","All","All","Main scheme application","200","45","0.226","0"
"2021","21 - 24","Scotland","All","All","Main scheme application","205","35","0.18","0"
"2022","21 - 24","Scotland","All","All","Main scheme application","200","45","0.216","0"
"2023","21 - 24","Scotland","All","All","Main scheme application","130","40","0.295","0"
"2019","25 - 29","Scotland","All","All","Main scheme application","160","45","0.272","0"
"2020","25 - 29","Scotland","All","All","Main scheme application","205","50","0.234","0"
"2021","25 - 29","Scotland","All","All","Main scheme application","270","50","0.191","0"
"2022","25 - 29","Scotland","All","All","Main scheme application","190","40","0.20700000000000002","0"
"2023","25 - 29","Scotland","All","All","Main scheme application","125","35","0.28800000000000003","0"
"2019","30 - 34","Scotland","All","All","Main scheme application","115","25","0.23900000000000002","0"
"2020","30 - 34","Scotland","All","All","Main scheme application","145","40","0.259","0"
"2021","30 - 34","Scotland","All","All","Main scheme application","175","30","0.158","0"
"2022","30 - 34","Scotland","All","All","Main scheme application","150","30","0.187","0"
"2023","30 - 34","Scotland","All","All","Main scheme application","110","40","0.339","0"
"2019","35 and over","Scotland","All","All","Main scheme application","145","25","0.186","0"
"2020","35 and over","Scotland","All","All","Main scheme application","155","40","0.25","0"
"2021","35 and over","Scotland","All","All","Main scheme application","230","25","0.101","0"
"2022","35 and over","Scotland","All","All","Main scheme application","185","40","0.219","0"
"2023","35 and over","Scotland","All","All","Main scheme application","140","40","0.302","0"
"2019","18","Wales","All","All","Main scheme application","105","20","0.202","0"
"2020","18","Wales","All","All","Main scheme application","125","35","0.28300000000000003","0"
"2021","18","Wales","All","All","Main scheme application","195","50","0.254","0"
"2022","18","Wales","All","All","Main scheme application","170","45","0.278","0"
"2023","18","Wales","All","All","Main scheme application","125","40","0.304","0"
"2019","19","Wales","All","All","Main scheme application","60","15","0.226","0"
"2020","19","Wales","All","All","Main scheme application","60","15","0.276","0"
"2021","19","Wales","All","All","Main scheme application","90","15","0.14400000000000002","0"
"2022","19","Wales","All","All","Main scheme application","60","15","0.28300000000000003","0"
"2023","19","Wales","All","All","Main scheme application","40","5"," ","0"
"2019","20","Wales","All","All","Main scheme application","30","5"," ","0"
"2020","20","Wales","All","All","Main scheme application","30","5"," ","0"
"2021","20","Wales","All","All","Main scheme application","45","10"," ","0"
"2022","20","Wales","All","All","Main scheme application","40","10"," ","0"
"2023","20","Wales","All","All","Main scheme application","35","10"," ","0"
"2019","21 - 24","Wales","All","All","Main scheme application","135","40","0.308","0"
"2020","21 - 24","Wales","All","All","Main scheme application","110","30","0.279","0"
"2021","21 - 24","Wales","All","All","Main scheme application","135","25","0.203","0"
"2022","21 - 24","Wales","All","All","Main scheme application","80","25","0.293","0"
"2023","21 - 24","Wales","All","All","Main scheme application","75","25","0.35100000000000003","0"
"2019","25 - 29","Wales","All","All","Main scheme application","110","25","0.232","0"
"2020","25 - 29","Wales","All","All","Main scheme application","110","40","0.376","0"
"2021","25 - 29","Wales","All","All","Main scheme application","155","40","0.25","0"
"2022","25 - 29","Wales","All","All","Main scheme application","105","30","0.295","0"
"2023","25 - 29","Wales","All","All","Main scheme application","90","35","0.393","0"
"2019","30 - 34","Wales","All","All","Main scheme application","90","20","0.209","0"
"2020","30 - 34","Wales","All","All","Main scheme application","90","30","0.333","0"
"2021","30 - 34","Wales","All","All","Main scheme application","95","30","0.309","0"
"2022","30 - 34","Wales","All","All","Main scheme application","90","30","0.304","0"
"2023","30 - 34","Wales","All","All","Main scheme application","70","35","0.47100000000000003","0"
"2019","35 and over","Wales","All","All","Main scheme application","65","20","0.303","0"
"2020","35 and over","Wales","All","All","Main scheme application","70","20","0.294","0"
"2021","35 and over","Wales","All","All","Main scheme application","80","20","0.272","0"
"2022","35 and over","Wales","All","All","Main scheme application","65","30","0.418","0"
"2023","35 and over","Wales","All","All","Main scheme application","65","30","0.47600000000000003","0"
"2019","17 and under","Not EU","All","All","Main scheme application","5","0"," ","0"
"2020","17 and under","Not EU","All","All","Main scheme application","5","0"," ","0"
"2023","17 and under","Not EU","All","All","Main scheme application","5","0"," ","0"
"2019","18","Not EU","All","All","Main scheme application","20","0"," ","0"
"2020","18","Not EU","All","All","Main scheme application","20","5"," ","0"
"2021","18","Not EU","All","All","Main scheme application","15","5"," ","0"
"2022","18","Not EU","All","All","Main scheme application","25","5"," ","0"
"2023","18","Not EU","All","All","Main scheme application","15","0"," ","0"
"2019","19","Not EU","All","All","Main scheme application","15","0"," ","0"
"2020","19","Not EU","All","All","Main scheme application","5","0"," ","0"
"2021","19","Not EU","All","All","Main scheme application","15","0"," ","0"
"2022","19","Not EU","All","All","Main scheme application","15","0"," ","0"
"2023","19","Not EU","All","All","Main scheme application","10","0"," ","0"
"2019","20","Not EU","All","All","Main scheme application","5","0"," ","0"
"2020","20","Not EU","All","All","Main scheme application","5","0"," ","0"
"2021","20","Not EU","All","All","Main scheme application","5","0"," ","0"
"2022","20","Not EU","All","All","Main scheme application","5","0"," ","0"
"2023","20","Not EU","All","All","Main scheme application","15","0"," ","0"
"2019","21 - 24","Not EU","All","All","Main scheme application","25","5"," ","0"
"2020","21 - 24","Not EU","All","All","Main scheme application","10","5"," ","0"
"2021","21 - 24","Not EU","All","All","Main scheme application","30","0"," ","0"
"2022","21 - 24","Not EU","All","All","Main scheme application","30","5"," ","0"
"2023","21 - 24","Not EU","All","All","Main scheme application","30","5"," ","0"
"2019","25 - 29","Not EU","All","All","Main scheme application","15","5"," ","0"
"2020","25 - 29","Not EU","All","All","Main scheme application","30","5"," ","0"
"2021","25 - 29","Not EU","All","All","Main scheme application","25","5"," ","0"
"2022","25 - 29","Not EU","All","All","Main scheme application","30","0"," ","0"
"2023","25 - 29","Not EU","All","All","Main scheme application","25","5"," ","0"
"2019","30 - 34","Not EU","All","All","Main scheme application","5","0"," ","0"
"2020","30 - 34","Not EU","All","All","Main scheme application","10","0"," ","0"
"2021","30 - 34","Not EU","All","All","Main scheme application","15","0"," ","0"
"2022","30 - 34","Not EU","All","All","Main scheme application","20","0"," ","0"
"2023","30 - 34","Not EU","All","All","Main scheme application","15","0"," ","0"
"2019","35 and over","Not EU","All","All","Main scheme application","5","0"," ","0"
"2020","35 and over","Not EU","All","All","Main scheme application","5","0"," ","0"
"2021","35 and over","Not EU","All","All","Main scheme application","15","0"," ","0"
"2022","35 and over","Not EU","All","All","Main scheme application","20","0"," ","0"
"2023","35 and over","Not EU","All","All","Main scheme application","10","0"," ","0"
"2019","17 and under","EU (excluding UK)","All","All","Main scheme application","15","0"," ","0"
"2020","17 and under","EU (excluding UK)","All","All","Main scheme application","10","0"," ","0"
"2021","17 and under","EU (excluding UK)","All","All","Main scheme application","15","0"," ","0"
"2022","17 and under","EU (excluding UK)","All","All","Main scheme application","10","0"," ","0"
"2023","17 and under","EU (excluding UK)","All","All","Main scheme application","15","0"," ","0"
"2019","18","EU (excluding UK)","All","All","Main scheme application","45","0"," ","0"
"2020","18","EU (excluding UK)","All","All","Main scheme application","65","10"," ","0"
"2021","18","EU (excluding UK)","All","All","Main scheme application","60","5"," ","0"
"2022","18","EU (excluding UK)","All","All","Main scheme application","80","5"," ","0"
"2023","18","EU (excluding UK)","All","All","Main scheme application","60","5"," ","0"
"2019","19","EU (excluding UK)","All","All","Main scheme application","40","5"," ","0"
"2020","19","EU (excluding UK)","All","All","Main scheme application","40","5"," ","0"
"2021","19","EU (excluding UK)","All","All","Main scheme application","60","5"," ","0"
"2022","19","EU (excluding UK)","All","All","Main scheme application","40","0"," ","0"
"2023","19","EU (excluding UK)","All","All","Main scheme application","50","5"," ","0"
"2019","20","EU (excluding UK)","All","All","Main scheme application","30","5"," ","0"
"2020","20","EU (excluding UK)","All","All","Main scheme application","25","5"," ","0"
"2021","20","EU (excluding UK)","All","All","Main scheme application","25","0"," ","0"
"2022","20","EU (excluding UK)","All","All","Main scheme application","20","0"," ","0"
"2023","20","EU (excluding UK)","All","All","Main scheme application","5","0"," ","0"
"2019","21 - 24","EU (excluding UK)","All","All","Main scheme application","40","10"," ","0"
"2020","21 - 24","EU (excluding UK)","All","All","Main scheme application","45","5"," ","0"
"2021","21 - 24","EU (excluding UK)","All","All","Main scheme application","40","5"," ","0"
"2022","21 - 24","EU (excluding UK)","All","All","Main scheme application","30","5"," ","0"
"2023","21 - 24","EU (excluding UK)","All","All","Main scheme application","30","5"," ","0"
"2019","25 - 29","EU (excluding UK)","All","All","Main scheme application","5","0"," ","0"
"2020","25 - 29","EU (excluding UK)","All","All","Main scheme application","10","0"," ","0"
"2021","25 - 29","EU (excluding UK)","All","All","Main scheme application","15","0"," ","0"
"2022","25 - 29","EU (excluding UK)","All","All","Main scheme application","10","0"," ","0"
"2023","25 - 29","EU (excluding UK)","All","All","Main scheme application","5","0"," ","0"
"2019","30 - 34","EU (excluding UK)","All","All","Main scheme application","5","0"," ","0"
"2020","30 - 34","EU (excluding UK)","All","All","Main scheme application","5","0"," ","0"
"2021","30 - 34","EU (excluding UK)","All","All","Main scheme application","5","0"," ","0"
"2019","35 and over","EU (excluding UK)","All","All","Main scheme application","10","0"," ","0"
"2020","35 and over","EU (excluding UK)","All","All","Main scheme application","5","0"," ","0"
"2021","35 and over","EU (excluding UK)","All","All","Main scheme application","5","0"," ","0"
"2022","35 and over","EU (excluding UK)","All","All","Main scheme application","5","0"," ","0"
"2019","All","Northern Ireland","All","All","Not main scheme application","30","20","0.656","0"
"2020","All","Northern Ireland","All","All","Not main scheme application","15","10"," ","0"
"2021","All","Northern Ireland","All","All","Not main scheme application","15","5"," ","0"
"2022","All","Northern Ireland","All","All","Not main scheme application","10","5"," ","0"
"2023","All","Northern Ireland","All","All","Not main scheme application","15","10","0.769","0"
"2019","All","England","All","All","Not main scheme application","495","330","0.66","0"
"2020","All","England","All","All","Not main scheme application","400","280","0.709","0"
"2021","All","England","All","All","Not main scheme application","360","170","0.47200000000000003","0"
"2022","All","England","All","All","Not main scheme application","560","305","0.542","0"
"2023","All","England","All","All","Not main scheme application","705","515","0.733","0"
"2019","All","Scotland","All","All","Not main scheme application","35","15","0.394","0"
"2020","All","Scotland","All","All","Not main scheme application","45","25","0.535","0"
"2021","All","Scotland","All","All","Not main scheme application","40","10"," ","0"
"2022","All","Scotland","All","All","Not main scheme application","45","15","0.34","0"
"2023","All","Scotland","All","All","Not main scheme application","25","10"," ","0"
"2019","All","Wales","All","All","Not main scheme application","25","20","0.8150000000000001","0"
"2020","All","Wales","All","All","Not main scheme application","30","25","0.767","0"
"2021","All","Wales","All","All","Not main scheme application","30","20","0.656","0"
"2022","All","Wales","All","All","Not main scheme application","45","35","0.717","0"
"2023","All","Wales","All","All","Not main scheme application","45","35","0.804","0"
"2019","All","Not EU","All","All","Not main scheme application","5","0"," ","0"
"2020","All","Not EU","All","All","Not main scheme application","5","0"," ","0"
"2021","All","Not EU","All","All","Not main scheme application","5","0"," ","0"
"2022","All","Not EU","All","All","Not main scheme application","5","0"," ","0"
"2023","All","Not EU","All","All","Not main scheme application","10","0"," ","0"
"2019","All","EU (excluding UK)","All","All","Not main scheme application","15","0"," ","0"
"2020","All","EU (excluding UK)","All","All","Not main scheme application","10","0"," ","0"
"2021","All","EU (excluding UK)","All","All","Not main scheme application","10","5"," ","0"
"2022","All","EU (excluding UK)","All","All","Not main scheme application","15","0"," ","0"
"2023","All","EU (excluding UK)","All","All","Not main scheme application","5","5"," ","0"
"2019","All","Northern Ireland","All","All","Main scheme application","550","70","0.131","0"
"2020","All","Northern Ireland","All","All","Main scheme application","525","95","0.184","0"
"2021","All","Northern Ireland","All","All","Main scheme application","710","95","0.136","0"
"2022","All","Northern Ireland","All","All","Main scheme application","690","105","0.151","0"
"2023","All","Northern Ireland","All","All","Main scheme application","605","65","0.109","0"
"2019","All","England","All","All","Main scheme application","7320","2745","0.375","0"
"2020","All","England","All","All","Main scheme application","7920","3315","0.418","0"
"2021","All","England","All","All","Main scheme application","10055","3460","0.34400000000000003","0"
"2022","All","England","All","All","Main scheme application","9350","3020","0.323","0"
"2023","All","England","All","All","Main scheme application","7475","2920","0.39","0"
"2019","All","Scotland","All","All","Main scheme application","1030","235","0.229","0"
"2020","All","Scotland","All","All","Main scheme application","1115","280","0.249","0"
"2021","All","Scotland","All","All","Main scheme application","1430","225","0.156","0"
"2022","All","Scotland","All","All","Main scheme application","1205","250","0.20700000000000002","0"
"2023","All","Scotland","All","All","Main scheme application","855","250","0.294","0"
"2019","All","Wales","All","All","Main scheme application","600","145","0.246","0"
"2020","All","Wales","All","All","Main scheme application","595","180","0.305","0"
"2021","All","Wales","All","All","Main scheme application","800","190","0.23800000000000002","0"
"2022","All","Wales","All","All","Main scheme application","615","185","0.299","0"
"2023","All","Wales","All","All","Main scheme application","495","175","0.354","0"
"2019","All","Not EU","All","All","Main scheme application","90","10","0.13","0"
"2020","All","Not EU","All","All","Main scheme application","85","15","0.149","0"
"2021","All","Not EU","All","All","Main scheme application","120","15","0.131","0"
"2022","All","Not EU","All","All","Main scheme application","150","15","0.101","0"
"2023","All","Not EU","All","All","Main scheme application","135","20","0.134","0"
"2019","All","EU (excluding UK)","All","All","Main scheme application","190","20","0.111","0"
"2020","All","EU (excluding UK)","All","All","Main scheme application","210","25","0.12","0"
"2021","All","EU (excluding UK)","All","All","Main scheme application","225","15","0.07","0"
"2022","All","EU (excluding UK)","All","All","Main scheme application","200","10","0.056","0"
"2023","All","EU (excluding UK)","All","All","Main scheme application","160","15","0.093","0"
"2020","17 and under","All","All","All","Not main scheme application","5","0"," ","0"
"2022","17 and under","All","All","All","Not main scheme application","5","0"," ","0"
"2019","18","All","All","All","Not main scheme application","145","95","0.678","0"
"2020","18","All","All","All","Not main scheme application","135","110","0.796","0"
"2021","18","All","All","All","Not main scheme application","110","50","0.446","0"
"2022","18","All","All","All","Not main scheme application","220","125","0.5660000000000001","0"
"2023","18","All","All","All","Not main scheme application","200","160","0.81","0"
"2019","19","All","All","All","Not main scheme application","70","45","0.671","0"
"2020","19","All","All","All","Not main scheme application","40","30","0.667","0"
"2021","19","All","All","All","Not main scheme application","60","20","0.373","0"
"2022","19","All","All","All","Not main scheme application","70","40","0.542","0"
"2023","19","All","All","All","Not main scheme application","105","75","0.709","0"
"2019","20","All","All","All","Not main scheme application","45","25","0.535","0"
"2020","20","All","All","All","Not main scheme application","35","20","0.636","0"
"2021","20","All","All","All","Not main scheme application","40","15","0.317","0"
"2022","20","All","All","All","Not main scheme application","45","20","0.467","0"
"2023","20","All","All","All","Not main scheme application","70","50","0.743","0"
"2019","21 - 24","All","All","All","Not main scheme application","120","70","0.587","0"
"2020","21 - 24","All","All","All","Not main scheme application","90","55","0.593","0"
"2021","21 - 24","All","All","All","Not main scheme application","80","40","0.512","0"
"2022","21 - 24","All","All","All","Not main scheme application","105","50","0.457","0"
"2023","21 - 24","All","All","All","Not main scheme application","125","80","0.64","0"
"2019","25 - 29","All","All","All","Not main scheme application","100","65","0.657","0"
"2020","25 - 29","All","All","All","Not main scheme application","80","50","0.625","0"
"2021","25 - 29","All","All","All","Not main scheme application","75","40","0.534","0"
"2022","25 - 29","All","All","All","Not main scheme application","90","50","0.527","0"
"2023","25 - 29","All","All","All","Not main scheme application","105","75","0.712","0"
"2019","30 - 34","All","All","All","Not main scheme application","70","45","0.648","0"
"2020","30 - 34","All","All","All","Not main scheme application","45","30","0.667","0"
"2021","30 - 34","All","All","All","Not main scheme application","40","20","0.537","0"
"2022","30 - 34","All","All","All","Not main scheme application","65","40","0.5670000000000001","0"
"2023","30 - 34","All","All","All","Not main scheme application","80","60","0.716","0"
"2019","35 and over","All","All","All","Not main scheme application","60","35","0.583","0"
"2020","35 and over","All","All","All","Not main scheme application","65","45","0.712","0"
"2021","35 and over","All","All","All","Not main scheme application","50","25","0.5","0"
"2022","35 and over","All","All","All","Not main scheme application","75","35","0.487","0"
"2023","35 and over","All","All","All","Not main scheme application","120","80","0.65","0"
"2019","17 and under","All","All","All","Main scheme application","30","0"," ","0"
"2020","17 and under","All","All","All","Main scheme application","40","0"," ","0"
"2021","17 and under","All","All","All","Main scheme application","40","5"," ","0"
"2022","17 and under","All","All","All","Main scheme application","40","0"," ","0"
"2023","17 and under","All","All","All","Main scheme application","35","5"," ","0"
"2019","18","All","All","All","Main scheme application","2775","815","0.293","0"
"2020","18","All","All","All","Main scheme application","3005","1075","0.358","0"
"2021","18","All","All","All","Main scheme application","3775","1075","0.28400000000000003","0"
"2022","18","All","All","All","Main scheme application","3870","1035","0.268","0"
"2023","18","All","All","All","Main scheme application","3200","1120","0.35000000000000003","0"
"2019","19","All","All","All","Main scheme application","1165","380","0.328","0"
"2020","19","All","All","All","Main scheme application","1145","375","0.327","0"
"2021","19","All","All","All","Main scheme application","1440","355","0.246","0"
"2022","19","All","All","All","Main scheme application","1340","300","0.225","0"
"2023","19","All","All","All","Main scheme application","1115","320","0.289","0"
"2019","20","All","All","All","Main scheme application","660","195","0.294","0"
"2020","20","All","All","All","Main scheme application","670","220","0.326","0"
"2021","20","All","All","All","Main scheme application","770","180","0.234","0"
"2022","20","All","All","All","Main scheme application","770","175","0.224","0"
"2023","20","All","All","All","Main scheme application","640","195","0.304","0"
"2019","21 - 24","All","All","All","Main scheme application","1605","555","0.34600000000000003","0"
"2020","21 - 24","All","All","All","Main scheme application","1670","635","0.38","0"
"2021","21 - 24","All","All","All","Main scheme application","2040","595","0.292","0"
"2022","21 - 24","All","All","All","Main scheme application","1695","460","0.272","0"
"2023","21 - 24","All","All","All","Main scheme application","1265","410","0.324","0"
"2019","25 - 29","All","All","All","Main scheme application","1485","555","0.373","0"
"2020","25 - 29","All","All","All","Main scheme application","1560","665","0.426","0"
"2021","25 - 29","All","All","All","Main scheme application","2085","700","0.335","0"
"2022","25 - 29","All","All","All","Main scheme application","1650","590","0.357","0"
"2023","25 - 29","All","All","All","Main scheme application","1175","455","0.386","0"
"2019","30 - 34","All","All","All","Main scheme application","970","360","0.373","0"
"2020","30 - 34","All","All","All","Main scheme application","1130","465","0.41100000000000003","0"
"2021","30 - 34","All","All","All","Main scheme application","1550","575","0.373","0"
"2022","30 - 34","All","All","All","Main scheme application","1395","520","0.371","0"
"2023","30 - 34","All","All","All","Main scheme application","1030","430","0.41500000000000004","0"
"2019","35 and over","All","All","All","Main scheme application","1090","375","0.343","0"
"2020","35 and over","All","All","All","Main scheme application","1235","475","0.385","0"
"2021","35 and over","All","All","All","Main scheme application","1640","515","0.314","0"
"2022","35 and over","All","All","All","Main scheme application","1450","500","0.34600000000000003","0"
"2023","35 and over","All","All","All","Main scheme application","1265","510","0.403","0"
"2019","All","All","All","All","Not main scheme application","610","385","0.631","0"
"2020","All","All","All","All","Not main scheme application","500","340","0.681","0"
"2021","All","All","All","All","Not main scheme application","460","215","0.465","0"
"2022","All","All","All","All","Not main scheme application","680","355","0.525","0"
"2023","All","All","All","All","Not main scheme application","805","580","0.718","0"
"2019","All","All","All","All","Main scheme application","9775","3235","0.331","0"
"2020","All","All","All","All","Main scheme application","10450","3910","0.374","0"
"2021","All","All","All","All","Main scheme application","13340","4000","0.3","0"
"2022","All","All","All","All","Main scheme application","12205","3580","0.293","0"
"2023","All","All","All","All","Main scheme application","9725","3445","0.354","0"
"2019","18","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2020","18","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2023","18","England","Female","Not main scheme applicant","All","10","5"," ","0"
"2019","19","England","Female","Not main scheme applicant","All","10","10"," ","0"
"2020","19","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2021","19","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2022","19","England","Female","Not main scheme applicant","All","10","10"," ","0"
"2023","19","England","Female","Not main scheme applicant","All","25","25","0.852","0"
"2019","20","England","Female","Not main scheme applicant","All","10","10"," ","0"
"2020","20","England","Female","Not main scheme applicant","All","10","5"," ","0"
"2021","20","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2022","20","England","Female","Not main scheme applicant","All","10","10"," ","0"
"2023","20","England","Female","Not main scheme applicant","All","30","25","0.9","0"
"2019","21 - 24","England","Female","Not main scheme applicant","All","35","30","0.848","0"
"2020","21 - 24","England","Female","Not main scheme applicant","All","35","25","0.743","0"
"2021","21 - 24","England","Female","Not main scheme applicant","All","15","15","0.765","0"
"2022","21 - 24","England","Female","Not main scheme applicant","All","25","20","0.792","0"
"2023","21 - 24","England","Female","Not main scheme applicant","All","60","45","0.77","0"
"2019","25 - 29","England","Female","Not main scheme applicant","All","25","20","0.88","0"
"2020","25 - 29","England","Female","Not main scheme applicant","All","35","25","0.639","0"
"2021","25 - 29","England","Female","Not main scheme applicant","All","15","15","0.8130000000000001","0"
"2022","25 - 29","England","Female","Not main scheme applicant","All","25","15","0.6960000000000001","0"
"2023","25 - 29","England","Female","Not main scheme applicant","All","50","45","0.8270000000000001","0"
"2019","30 - 34","England","Female","Not main scheme applicant","All","20","15","0.773","0"
"2020","30 - 34","England","Female","Not main scheme applicant","All","15","15","0.9380000000000001","0"
"2021","30 - 34","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2022","30 - 34","England","Female","Not main scheme applicant","All","25","20","0.75","0"
"2023","30 - 34","England","Female","Not main scheme applicant","All","40","30","0.769","0"
"2019","35 and over","England","Female","Not main scheme applicant","All","20","15","0.75","0"
"2020","35 and over","England","Female","Not main scheme applicant","All","25","20","0.84","0"
"2021","35 and over","England","Female","Not main scheme applicant","All","15","10"," ","0"
"2022","35 and over","England","Female","Not main scheme applicant","All","25","15","0.52","0"
"2023","35 and over","England","Female","Not main scheme applicant","All","60","45","0.729","0"
"2020","21 - 24","Scotland","Female","Not main scheme applicant","All","5","0"," ","0"
"2022","30 - 34","Scotland","Female","Not main scheme applicant","All","5","0"," ","0"
"2023","30 - 34","Scotland","Female","Not main scheme applicant","All","5","0"," ","0"
"2021","17 and under","Northern Ireland","Female","Main scheme applicant","All","5","0"," ","0"
"2019","18","Northern Ireland","Female","Main scheme applicant","All","175","25","0.138","0"
"2020","18","Northern Ireland","Female","Main scheme applicant","All","195","40","0.194","0"
"2021","18","Northern Ireland","Female","Main scheme applicant","All","265","30","0.12","0"
"2022","18","Northern Ireland","Female","Main scheme applicant","All","300","45","0.146","0"
"2023","18","Northern Ireland","Female","Main scheme applicant","All","265","35","0.133","0"
"2019","19","Northern Ireland","Female","Main scheme applicant","All","70","15","0.203","0"
"2020","19","Northern Ireland","Female","Main scheme applicant","All","70","10","0.159","0"
"2021","19","Northern Ireland","Female","Main scheme applicant","All","85","10"," ","0"
"2022","19","Northern Ireland","Female","Main scheme applicant","All","85","15","0.155","0"
"2023","19","Northern Ireland","Female","Main scheme applicant","All","75","10"," ","0"
"2019","20","Northern Ireland","Female","Main scheme applicant","All","35","0"," ","0"
"2020","20","Northern Ireland","Female","Main scheme applicant","All","25","5"," ","0"
"2021","20","Northern Ireland","Female","Main scheme applicant","All","30","5"," ","0"
"2022","20","Northern Ireland","Female","Main scheme applicant","All","40","5"," ","0"
"2023","20","Northern Ireland","Female","Main scheme applicant","All","35","5"," ","0"
"2019","21 - 24","Northern Ireland","Female","Main scheme applicant","All","65","5"," ","0"
"2020","21 - 24","Northern Ireland","Female","Main scheme applicant","All","70","15","0.232","0"
"2021","21 - 24","Northern Ireland","Female","Main scheme applicant","All","105","15","0.14300000000000002","0"
"2022","21 - 24","Northern Ireland","Female","Main scheme applicant","All","70","5"," ","0"
"2023","21 - 24","Northern Ireland","Female","Main scheme applicant","All","65","5"," ","0"
"2019","25 - 29","Northern Ireland","Female","Main scheme applicant","All","80","20","0.244","0"
"2020","25 - 29","Northern Ireland","Female","Main scheme applicant","All","70","15","0.217","0"
"2021","25 - 29","Northern Ireland","Female","Main scheme applicant","All","90","15","0.193","0"
"2022","25 - 29","Northern Ireland","Female","Main scheme applicant","All","60","10","0.203","0"
"2023","25 - 29","Northern Ireland","Female","Main scheme applicant","All","45","5"," ","0"
"2019","30 - 34","Northern Ireland","Female","Main scheme applicant","All","50","10","0.2","0"
"2020","30 - 34","Northern Ireland","Female","Main scheme applicant","All","50","10","0.196","0"
"2021","30 - 34","Northern Ireland","Female","Main scheme applicant","All","70","20","0.265","0"
"2022","30 - 34","Northern Ireland","Female","Main scheme applicant","All","65","15","0.219","0"
"2023","30 - 34","Northern Ireland","Female","Main scheme applicant","All","60","10","0.197","0"
"2019","35 and over","Northern Ireland","Female","Main scheme applicant","All","75","15","0.211","0"
"2020","35 and over","Northern Ireland","Female","Main scheme applicant","All","40","10","0.268","0"
"2021","35 and over","Northern Ireland","Female","Main scheme applicant","All","65","10","0.169","0"
"2022","35 and over","Northern Ireland","Female","Main scheme applicant","All","70","15","0.2","0"
"2023","35 and over","Northern Ireland","Female","Main scheme applicant","All","55","10"," ","0"
"2020","17 and under","England","Female","Main scheme applicant","All","5","0"," ","0"
"2021","17 and under","England","Female","Main scheme applicant","All","5","0"," ","0"
"2022","17 and under","England","Female","Main scheme applicant","All","5","0"," ","0"
"2023","17 and under","England","Female","Main scheme applicant","All","5","0"," ","0"
"2019","18","England","Female","Main scheme applicant","All","2135","785","0.366","0"
"2020","18","England","Female","Main scheme applicant","All","2370","1010","0.427","0"
"2021","18","England","Female","Main scheme applicant","All","2890","965","0.334","0"
"2022","18","England","Female","Main scheme applicant","All","3025","985","0.326","0"
"2023","18","England","Female","Main scheme applicant","All","2580","1125","0.436","0"
"2019","19","England","Female","Main scheme applicant","All","890","355","0.401","0"
"2020","19","England","Female","Main scheme applicant","All","890","335","0.377","0"
"2021","19","England","Female","Main scheme applicant","All","1085","330","0.303","0"
"2022","19","England","Female","Main scheme applicant","All","1040","275","0.263","0"
"2023","19","England","Female","Main scheme applicant","All","855","320","0.375","0"
