"Year","Difference between predicted and achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","1 points","All","Wales","Female","All","All","80","65","0.8170000000000001","0"
"2020","1 points","All","Wales","Female","All","All","95","80","0.853","0"
"2021","1 points","All","Wales","Female","All","All","95","80","0.86","0"
"2022","1 points","All","Wales","Female","All","All","60","55","0.883","0"
"2023","1 points","All","Wales","Female","All","All","45","40","0.8300000000000001","0"
"2010","2 points","All","Northern Ireland","Female","All","All","15","10","0.8","0"
"2011","2 points","All","Northern Ireland","Female","All","All","15","10","0.846","0"
"2012","2 points","All","Northern Ireland","Female","All","All","20","15","0.684","0"
"2013","2 points","All","Northern Ireland","Female","All","All","15","15","0.8130000000000001","0"
"2014","2 points","All","Northern Ireland","Female","All","All","20","15","0.842","0"
"2015","2 points","All","Northern Ireland","Female","All","All","15","10","0.625","0"
"2016","2 points","All","Northern Ireland","Female","All","All","30","20","0.667","0"
"2017","2 points","All","Northern Ireland","Female","All","All","30","20","0.71","0"
"2018","2 points","All","Northern Ireland","Female","All","All","15","15","0.875","0"
"2019","2 points","All","Northern Ireland","Female","All","All","20","15","0.773","0"
"2020","2 points","All","Northern Ireland","Female","All","All","35","25","0.75","0"
"2021","2 points","All","Northern Ireland","Female","All","All","30","25","0.767","0"
"2022","2 points","All","Northern Ireland","Female","All","All","10","5"," ","0"
"2023","2 points","All","Northern Ireland","Female","All","All","20","15","0.8","0"
"2010","2 points","All","England","Female","All","All","1030","800","0.775","0"
"2011","2 points","All","England","Female","All","All","990","785","0.794","0"
"2012","2 points","All","England","Female","All","All","1230","950","0.773","0"
"2013","2 points","All","England","Female","All","All","1345","1045","0.778","0"
"2014","2 points","All","England","Female","All","All","1360","1125","0.8290000000000001","0"
"2015","2 points","All","England","Female","All","All","1395","1155","0.8270000000000001","0"
"2016","2 points","All","England","Female","All","All","1335","1090","0.8180000000000001","0"
"2017","2 points","All","England","Female","All","All","1245","1035","0.8310000000000001","0"
"2018","2 points","All","England","Female","All","All","1115","940","0.841","0"
"2019","2 points","All","England","Female","All","All","965","820","0.852","0"
"2020","2 points","All","England","Female","All","All","1185","1020","0.861","0"
"2021","2 points","All","England","Female","All","All","1405","1200","0.856","0"
"2022","2 points","All","England","Female","All","All","1255","1055","0.84","0"
"2023","2 points","All","England","Female","All","All","970","840","0.863","0"
"2010","2 points","All","Wales","Female","All","All","50","45","0.882","0"
"2011","2 points","All","Wales","Female","All","All","45","40","0.809","0"
"2012","2 points","All","Wales","Female","All","All","50","35","0.725","0"
"2013","2 points","All","Wales","Female","All","All","40","35","0.85","0"
"2014","2 points","All","Wales","Female","All","All","50","40","0.804","0"
"2015","2 points","All","Wales","Female","All","All","70","55","0.838","0"
"2016","2 points","All","Wales","Female","All","All","55","50","0.889","0"
"2017","2 points","All","Wales","Female","All","All","45","35","0.804","0"
"2018","2 points","All","Wales","Female","All","All","60","50","0.8170000000000001","0"
"2019","2 points","All","Wales","Female","All","All","35","35","0.9440000000000001","0"
"2020","2 points","All","Wales","Female","All","All","50","40","0.875","0"
"2021","2 points","All","Wales","Female","All","All","55","45","0.772","0"
"2022","2 points","All","Wales","Female","All","All","40","35","0.895","0"
"2023","2 points","All","Wales","Female","All","All","15","15","0.875","0"
"2010","3 points","All","Northern Ireland","Female","All","All","5","5"," ","0"
"2012","3 points","All","Northern Ireland","Female","All","All","10","10"," ","0"
"2013","3 points","All","Northern Ireland","Female","All","All","25","15","0.63","0"
"2014","3 points","All","Northern Ireland","Female","All","All","15","10","0.923","0"
"2015","3 points","All","Northern Ireland","Female","All","All","10","10"," ","0"
"2016","3 points","All","Northern Ireland","Female","All","All","5","5"," ","0"
"2017","3 points","All","Northern Ireland","Female","All","All","20","15","0.789","0"
"2018","3 points","All","Northern Ireland","Female","All","All","10","10"," ","0"
