"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2006","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5"
"2007","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15"
"2008","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","30"
"2009","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15"
"2010","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15"
"2011","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5"
"2012","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10"
"2013","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20"
"2014","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15"
"2015","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15"
"2016","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15"
"2017","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20"
"2018","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15"
"2019","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","30"
"2020","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20"
"2021","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10"
"2022","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20"
"2023","Direct Clearing","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25"
"2006","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","45"
"2007","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","50"
"2008","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","70"
"2009","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","40"
"2010","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25"
"2011","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15"
"2012","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5"
"2013","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","35"
"2014","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","30"
"2015","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25"
"2016","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25"
"2017","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","30"
"2018","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","30"
"2019","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","30"
"2020","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","40"
"2021","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","40"
"2022","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","75"
"2023","RPA","17 and under","England","Female","Not main scheme applicant","Not main scheme application","60"
"2006","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","360"
"2007","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","400"
"2008","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","400"
"2009","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","370"
"2010","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","175"
"2011","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","300"
"2012","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","540"
"2013","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","685"
"2014","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","575"
"2015","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","660"
"2016","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","665"
"2017","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","815"
"2018","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","875"
"2019","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","950"
"2020","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","1390"
"2021","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","735"
"2022","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","695"
"2023","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","875"
"2006","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","800"
"2007","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","860"
"2008","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","860"
"2009","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","640"
"2010","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","280"
"2011","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","245"
"2012","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","370"
"2013","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","480"
"2014","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","490"
"2015","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","540"
"2016","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","530"
"2017","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","730"
"2018","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","975"
"2019","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","1165"
"2020","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","1410"
"2021","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","1120"
"2022","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","1100"
"2023","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","1020"
"2006","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","605"
"2007","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","660"
"2008","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","745"
"2009","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","670"
"2010","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","535"
"2011","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","515"
"2012","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","865"
"2013","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","1065"
