"Year","Age group","Individual age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2010","19","19","Scotland","All","21240","11410","0.537"
"2011","19","19","Scotland","All","23540","11240","0.47700000000000004"
"2012","19","19","Scotland","All","24440","12260","0.502"
"2013","19","19","Scotland","All","23565","12090","0.513"
"2014","19","19","Scotland","All","23815","12610","0.529"
"2015","19","19","Scotland","All","24685","12810","0.519"
"2016","19","19","Scotland","All","25930","13695","0.528"
"2017","19","19","Scotland","All","25605","13870","0.542"
"2018","19","19","Scotland","All","26000","14650","0.5630000000000001"
"2019","19","19","Scotland","All","24565","14180","0.577"
"2020","19","19","Scotland","All","23245","13730","0.591"
"2021","19","19","Scotland","All","25960","14710","0.5670000000000001"
"2022","19","19","Scotland","All","26285","15050","0.5730000000000001"
"2023","19","19","Scotland","All","25950","15950","0.615"
"2006","20","20","Scotland","All","8510","4985","0.586"
"2007","20","20","Scotland","All","9535","5555","0.583"
"2008","20","20","Scotland","All","8930","5485","0.614"
"2009","20","20","Scotland","All","9380","5645","0.602"
"2010","20","20","Scotland","All","11855","5730","0.483"
"2011","20","20","Scotland","All","13670","5645","0.41300000000000003"
"2012","20","20","Scotland","All","14085","6215","0.441"
"2013","20","20","Scotland","All","15480","6950","0.449"
"2014","20","20","Scotland","All","15720","7185","0.457"
"2015","20","20","Scotland","All","15785","7195","0.456"
"2016","20","20","Scotland","All","16090","7340","0.456"
"2017","20","20","Scotland","All","16560","7765","0.46900000000000003"
"2018","20","20","Scotland","All","16075","8050","0.501"
"2019","20","20","Scotland","All","14460","7260","0.502"
"2020","20","20","Scotland","All","13345","6980","0.523"
"2021","20","20","Scotland","All","14580","7235","0.496"
"2022","20","20","Scotland","All","12755","6525","0.512"
"2023","20","20","Scotland","All","11925","6695","0.561"
"2006","21 - 24","21","Scotland","All","5215","3000","0.5750000000000001"
"2007","21 - 24","21","Scotland","All","5660","3175","0.561"
"2008","21 - 24","21","Scotland","All","5400","3260","0.604"
"2009","21 - 24","21","Scotland","All","5790","3420","0.59"
"2010","21 - 24","21","Scotland","All","7185","3305","0.46"
"2011","21 - 24","21","Scotland","All","8045","3290","0.40900000000000003"
"2012","21 - 24","21","Scotland","All","9080","3685","0.406"
"2013","21 - 24","21","Scotland","All","9540","4030","0.422"
"2014","21 - 24","21","Scotland","All","9765","4210","0.431"
"2015","21 - 24","21","Scotland","All","10115","4200","0.41500000000000004"
"2016","21 - 24","21","Scotland","All","10240","4405","0.43"
"2017","21 - 24","21","Scotland","All","10425","4605","0.442"
"2018","21 - 24","21","Scotland","All","10330","4790","0.464"
"2019","21 - 24","21","Scotland","All","9870","4760","0.482"
"2020","21 - 24","21","Scotland","All","9315","4600","0.494"
"2021","21 - 24","21","Scotland","All","9240","4365","0.47300000000000003"
"2022","21 - 24","21","Scotland","All","8070","3825","0.47400000000000003"
"2023","21 - 24","21","Scotland","All","7940","4090","0.515"
"2006","21 - 24","22","Scotland","All","3480","1880","0.54"
"2007","21 - 24","22","Scotland","All","3955","2190","0.553"
"2008","21 - 24","22","Scotland","All","4115","2445","0.594"
"2009","21 - 24","22","Scotland","All","4385","2510","0.5720000000000001"
"2010","21 - 24","22","Scotland","All","5440","2385","0.439"
"2011","21 - 24","22","Scotland","All","5985","2285","0.382"
"2012","21 - 24","22","Scotland","All","6145","2435","0.396"
"2013","21 - 24","22","Scotland","All","6985","2815","0.403"
"2014","21 - 24","22","Scotland","All","7025","2780","0.395"
"2015","21 - 24","22","Scotland","All","8890","3270","0.368"
"2016","21 - 24","22","Scotland","All","8765","3270","0.373"
"2017","21 - 24","22","Scotland","All","8840","3570","0.404"
"2018","21 - 24","22","Scotland","All","9105","3785","0.41500000000000004"
"2019","21 - 24","22","Scotland","All","8910","3740","0.42"
"2020","21 - 24","22","Scotland","All","8650","3765","0.435"
"2021","21 - 24","22","Scotland","All","9385","3670","0.391"
"2022","21 - 24","22","Scotland","All","8000","3415","0.427"
"2023","21 - 24","22","Scotland","All","7085","3335","0.47100000000000003"
"2006","21 - 24","23","Scotland","All","2605","1415","0.542"
"2007","21 - 24","23","Scotland","All","2945","1560","0.53"
"2008","21 - 24","23","Scotland","All","2880","1690","0.588"
"2009","21 - 24","23","Scotland","All","3040","1705","0.561"
"2010","21 - 24","23","Scotland","All","3940","1685","0.428"
"2011","21 - 24","23","Scotland","All","4965","1945","0.392"
"2012","21 - 24","23","Scotland","All","4430","1685","0.381"
"2013","21 - 24","23","Scotland","All","4845","1995","0.41200000000000003"
"2014","21 - 24","23","Scotland","All","5495","2130","0.387"
"2015","21 - 24","23","Scotland","All","7010","2435","0.34700000000000003"
"2016","21 - 24","23","Scotland","All","7315","2735","0.374"
"2017","21 - 24","23","Scotland","All","7060","2710","0.384"
"2018","21 - 24","23","Scotland","All","7180","2740","0.382"
"2019","21 - 24","23","Scotland","All","6865","2785","0.406"
"2020","21 - 24","23","Scotland","All","7440","3100","0.417"
"2021","21 - 24","23","Scotland","All","8200","3025","0.369"
"2022","21 - 24","23","Scotland","All","6430","2530","0.394"
"2023","21 - 24","23","Scotland","All","5575","2595","0.465"
"2006","21 - 24","24","Scotland","All","1910","1055","0.551"
"2007","21 - 24","24","Scotland","All","2150","1245","0.58"
"2008","21 - 24","24","Scotland","All","2200","1265","0.5750000000000001"
"2009","21 - 24","24","Scotland","All","2265","1275","0.5630000000000001"
"2010","21 - 24","24","Scotland","All","3395","1425","0.419"
"2011","21 - 24","24","Scotland","All","3690","1455","0.394"
"2012","21 - 24","24","Scotland","All","3575","1430","0.4"
"2013","21 - 24","24","Scotland","All","3615","1450","0.401"
"2014","21 - 24","24","Scotland","All","3985","1610","0.404"
"2015","21 - 24","24","Scotland","All","5670","1870","0.33"
"2016","21 - 24","24","Scotland","All","5925","2020","0.341"
"2017","21 - 24","24","Scotland","All","5600","2080","0.371"
"2018","21 - 24","24","Scotland","All","5620","2110","0.376"
"2019","21 - 24","24","Scotland","All","5475","2210","0.403"
"2020","21 - 24","24","Scotland","All","5690","2180","0.383"
"2021","21 - 24","24","Scotland","All","6570","2355","0.358"
"2022","21 - 24","24","Scotland","All","5110","2120","0.41400000000000003"
"2023","21 - 24","24","Scotland","All","4180","1840","0.441"
"2006","25 - 29","25","Scotland","All","1595","855","0.536"
"2007","25 - 29","25","Scotland","All","1670","915","0.549"
"2008","25 - 29","25","Scotland","All","1710","935","0.547"
"2009","25 - 29","25","Scotland","All","2095","1235","0.59"
"2010","25 - 29","25","Scotland","All","2540","1070","0.421"
"2011","25 - 29","25","Scotland","All","2890","1145","0.396"
"2012","25 - 29","25","Scotland","All","2720","1055","0.387"
"2013","25 - 29","25","Scotland","All","2750","1085","0.395"
"2014","25 - 29","25","Scotland","All","3295","1285","0.39"
"2015","25 - 29","25","Scotland","All","4385","1520","0.34700000000000003"
"2016","25 - 29","25","Scotland","All","4770","1640","0.34400000000000003"
"2017","25 - 29","25","Scotland","All","4920","1715","0.34900000000000003"
"2018","25 - 29","25","Scotland","All","4260","1670","0.392"
"2019","25 - 29","25","Scotland","All","4350","1765","0.406"
"2020","25 - 29","25","Scotland","All","4655","1945","0.418"
"2021","25 - 29","25","Scotland","All","5445","1950","0.358"
"2022","25 - 29","25","Scotland","All","4340","1795","0.41400000000000003"
"2023","25 - 29","25","Scotland","All","3505","1565","0.447"
"2006","25 - 29","26","Scotland","All","1275","715","0.562"
"2007","25 - 29","26","Scotland","All","1475","885","0.6"
"2008","25 - 29","26","Scotland","All","1400","795","0.5690000000000001"
"2009","25 - 29","26","Scotland","All","1505","850","0.5650000000000001"
"2010","25 - 29","26","Scotland","All","2150","925","0.431"
"2011","25 - 29","26","Scotland","All","2285","900","0.393"
"2012","25 - 29","26","Scotland","All","2310","955","0.41400000000000003"
"2013","25 - 29","26","Scotland","All","2380","980","0.41200000000000003"
"2014","25 - 29","26","Scotland","All","2480","990","0.4"
"2015","25 - 29","26","Scotland","All","3555","1235","0.34700000000000003"
"2016","25 - 29","26","Scotland","All","3755","1345","0.359"
"2017","25 - 29","26","Scotland","All","3920","1470","0.374"
"2018","25 - 29","26","Scotland","All","3930","1540","0.391"
"2019","25 - 29","26","Scotland","All","3660","1465","0.401"
"2020","25 - 29","26","Scotland","All","3860","1655","0.429"
"2021","25 - 29","26","Scotland","All","4715","1815","0.385"
"2022","25 - 29","26","Scotland","All","3480","1475","0.424"
"2023","25 - 29","26","Scotland","All","2800","1260","0.45"
"2006","25 - 29","27","Scotland","All","1080","585","0.543"
"2007","25 - 29","27","Scotland","All","1160","650","0.56"
"2008","25 - 29","27","Scotland","All","1080","630","0.581"
"2009","25 - 29","27","Scotland","All","1135","670","0.589"
"2010","25 - 29","27","Scotland","All","1865","825","0.442"
"2011","25 - 29","27","Scotland","All","1970","740","0.377"
"2012","25 - 29","27","Scotland","All","1905","760","0.399"
"2013","25 - 29","27","Scotland","All","1960","775","0.395"
"2014","25 - 29","27","Scotland","All","2280","870","0.382"
"2015","25 - 29","27","Scotland","All","3130","1030","0.328"
"2016","25 - 29","27","Scotland","All","3125","1110","0.355"
"2017","25 - 29","27","Scotland","All","3060","1145","0.375"
"2018","25 - 29","27","Scotland","All","3300","1340","0.406"
"2019","25 - 29","27","Scotland","All","3190","1265","0.396"
"2020","25 - 29","27","Scotland","All","3330","1390","0.418"
"2021","25 - 29","27","Scotland","All","3875","1445","0.373"
"2022","25 - 29","27","Scotland","All","3010","1260","0.418"
"2023","25 - 29","27","Scotland","All","2250","1035","0.46"
"2006","25 - 29","28","Scotland","All","815","490","0.604"
"2007","25 - 29","28","Scotland","All","985","585","0.592"
"2008","25 - 29","28","Scotland","All","910","485","0.535"
"2009","25 - 29","28","Scotland","All","1035","600","0.582"
"2010","25 - 29","28","Scotland","All","1555","650","0.417"
"2011","25 - 29","28","Scotland","All","1660","665","0.4"
"2012","25 - 29","28","Scotland","All","1540","615","0.399"
"2013","25 - 29","28","Scotland","All","1640","665","0.40700000000000003"
"2014","25 - 29","28","Scotland","All","1830","745","0.40700000000000003"
"2015","25 - 29","28","Scotland","All","2530","895","0.353"
"2016","25 - 29","28","Scotland","All","2620","955","0.365"
"2017","25 - 29","28","Scotland","All","2525","990","0.393"
"2018","25 - 29","28","Scotland","All","2580","1005","0.39"
"2019","25 - 29","28","Scotland","All","2505","980","0.391"
"2020","25 - 29","28","Scotland","All","2730","1120","0.41100000000000003"
"2021","25 - 29","28","Scotland","All","3225","1275","0.396"
"2022","25 - 29","28","Scotland","All","2490","1085","0.436"
"2023","25 - 29","28","Scotland","All","1800","865","0.482"
"2006","25 - 29","29","Scotland","All","625","370","0.589"
"2007","25 - 29","29","Scotland","All","645","365","0.5690000000000001"
"2008","25 - 29","29","Scotland","All","745","435","0.583"
"2009","25 - 29","29","Scotland","All","885","545","0.614"
"2010","25 - 29","29","Scotland","All","1380","605","0.44"
"2011","25 - 29","29","Scotland","All","1435","575","0.402"
"2012","25 - 29","29","Scotland","All","1525","585","0.383"
"2013","25 - 29","29","Scotland","All","1445","585","0.405"
"2014","25 - 29","29","Scotland","All","1565","675","0.433"
"2015","25 - 29","29","Scotland","All","2075","780","0.377"
"2016","25 - 29","29","Scotland","All","2440","830","0.341"
"2017","25 - 29","29","Scotland","All","2350","910","0.387"
"2018","25 - 29","29","Scotland","All","2115","875","0.41500000000000004"
"2019","25 - 29","29","Scotland","All","2050","870","0.424"
"2020","25 - 29","29","Scotland","All","2405","1010","0.421"
"2021","25 - 29","29","Scotland","All","2885","1125","0.39"
"2022","25 - 29","29","Scotland","All","2225","955","0.43"
"2023","25 - 29","29","Scotland","All","1500","765","0.509"
"2006","30 - 34","30","Scotland","All","580","335","0.579"
"2007","30 - 34","30","Scotland","All","570","360","0.628"
"2008","30 - 34","30","Scotland","All","560","315","0.559"
"2009","30 - 34","30","Scotland","All","780","425","0.544"
"2010","30 - 34","30","Scotland","All","1195","535","0.447"
"2011","30 - 34","30","Scotland","All","1195","470","0.393"
"2012","30 - 34","30","Scotland","All","1190","490","0.41200000000000003"
"2013","30 - 34","30","Scotland","All","1240","525","0.423"
"2014","30 - 34","30","Scotland","All","1295","530","0.40800000000000003"
"2015","30 - 34","30","Scotland","All","1830","660","0.361"
"2016","30 - 34","30","Scotland","All","1935","695","0.36"
"2017","30 - 34","30","Scotland","All","2005","770","0.385"
"2018","30 - 34","30","Scotland","All","1840","750","0.40800000000000003"
"2019","30 - 34","30","Scotland","All","1835","785","0.428"
"2020","30 - 34","30","Scotland","All","1900","805","0.425"
"2021","30 - 34","30","Scotland","All","2545","1050","0.41300000000000003"
"2022","30 - 34","30","Scotland","All","1940","800","0.41200000000000003"
"2023","30 - 34","30","Scotland","All","1355","675","0.497"
"2006","30 - 34","31","Scotland","All","540","350","0.648"
"2007","30 - 34","31","Scotland","All","545","310","0.5670000000000001"
"2008","30 - 34","31","Scotland","All","510","300","0.586"
"2009","30 - 34","31","Scotland","All","615","350","0.5710000000000001"
"2010","30 - 34","31","Scotland","All","950","450","0.47500000000000003"
"2011","30 - 34","31","Scotland","All","1115","450","0.404"
"2012","30 - 34","31","Scotland","All","1035","455","0.439"
"2013","30 - 34","31","Scotland","All","1070","445","0.41400000000000003"
"2014","30 - 34","31","Scotland","All","1130","435","0.386"
"2015","30 - 34","31","Scotland","All","1450","585","0.405"
"2016","30 - 34","31","Scotland","All","1710","575","0.337"
"2017","30 - 34","31","Scotland","All","1770","670","0.379"
"2018","30 - 34","31","Scotland","All","1720","655","0.38"
"2019","30 - 34","31","Scotland","All","1580","690","0.438"
"2020","30 - 34","31","Scotland","All","1730","760","0.44"
"2021","30 - 34","31","Scotland","All","1995","775","0.389"
"2022","30 - 34","31","Scotland","All","1705","750","0.439"
"2023","30 - 34","31","Scotland","All","1395","670","0.482"
"2006","30 - 34","32","Scotland","All","470","245","0.519"
"2007","30 - 34","32","Scotland","All","470","275","0.581"
"2008","30 - 34","32","Scotland","All","415","230","0.559"
"2009","30 - 34","32","Scotland","All","515","310","0.6"
"2010","30 - 34","32","Scotland","All","820","350","0.426"
"2011","30 - 34","32","Scotland","All","1020","385","0.379"
"2012","30 - 34","32","Scotland","All","960","390","0.406"
"2013","30 - 34","32","Scotland","All","855","370","0.43"
"2014","30 - 34","32","Scotland","All","1020","430","0.422"
"2015","30 - 34","32","Scotland","All","1285","485","0.377"
"2016","30 - 34","32","Scotland","All","1360","435","0.32"
"2017","30 - 34","32","Scotland","All","1410","530","0.377"
"2018","30 - 34","32","Scotland","All","1515","640","0.422"
"2019","30 - 34","32","Scotland","All","1490","625","0.418"
"2020","30 - 34","32","Scotland","All","1460","620","0.423"
"2021","30 - 34","32","Scotland","All","1825","755","0.41500000000000004"
"2022","30 - 34","32","Scotland","All","1535","670","0.436"
"2023","30 - 34","32","Scotland","All","1155","550","0.47800000000000004"
"2006","30 - 34","33","Scotland","All","460","295","0.646"
"2007","30 - 34","33","Scotland","All","440","240","0.55"
"2008","30 - 34","33","Scotland","All","395","240","0.603"
"2009","30 - 34","33","Scotland","All","490","265","0.541"
"2010","30 - 34","33","Scotland","All","705","300","0.424"
"2011","30 - 34","33","Scotland","All","855","325","0.381"
"2012","30 - 34","33","Scotland","All","780","305","0.391"
"2013","30 - 34","33","Scotland","All","795","360","0.452"
"2014","30 - 34","33","Scotland","All","920","385","0.421"
"2015","30 - 34","33","Scotland","All","1145","420","0.368"
"2016","30 - 34","33","Scotland","All","1210","460","0.38"
"2017","30 - 34","33","Scotland","All","1390","555","0.4"
"2018","30 - 34","33","Scotland","All","1350","560","0.41400000000000003"
"2019","30 - 34","33","Scotland","All","1340","565","0.42"
"2020","30 - 34","33","Scotland","All","1485","605","0.40900000000000003"
"2021","30 - 34","33","Scotland","All","1540","580","0.377"
"2022","30 - 34","33","Scotland","All","1525","635","0.41600000000000004"
"2023","30 - 34","33","Scotland","All","1080","550","0.508"
"2006","30 - 34","34","Scotland","All","405","265","0.652"
"2007","30 - 34","34","Scotland","All","370","230","0.619"
"2008","30 - 34","34","Scotland","All","325","220","0.68"
"2009","30 - 34","34","Scotland","All","395","240","0.613"
"2010","30 - 34","34","Scotland","All","565","265","0.465"
"2011","30 - 34","34","Scotland","All","755","315","0.41600000000000004"
"2012","30 - 34","34","Scotland","All","665","290","0.438"
"2013","30 - 34","34","Scotland","All","805","335","0.41400000000000003"
"2014","30 - 34","34","Scotland","All","795","340","0.426"
"2015","30 - 34","34","Scotland","All","1125","360","0.319"
"2016","30 - 34","34","Scotland","All","1160","450","0.386"
"2017","30 - 34","34","Scotland","All","1145","480","0.421"
"2018","30 - 34","34","Scotland","All","1210","470","0.39"
"2019","30 - 34","34","Scotland","All","1210","485","0.402"
"2020","30 - 34","34","Scotland","All","1325","560","0.421"
"2021","30 - 34","34","Scotland","All","1530","600","0.392"
"2022","30 - 34","34","Scotland","All","1305","550","0.421"
"2023","30 - 34","34","Scotland","All","1075","555","0.517"
"2006","35 and over","35","Scotland","All","395","240","0.61"
"2007","35 and over","35","Scotland","All","370","220","0.595"
"2008","35 and over","35","Scotland","All","350","220","0.623"
"2009","35 and over","35","Scotland","All","340","205","0.603"
"2010","35 and over","35","Scotland","All","620","320","0.516"
"2011","35 and over","35","Scotland","All","620","255","0.40800000000000003"
"2012","35 and over","35","Scotland","All","630","245","0.39"
"2013","35 and over","35","Scotland","All","635","275","0.436"
"2014","35 and over","35","Scotland","All","745","315","0.424"
"2015","35 and over","35","Scotland","All","925","355","0.386"
"2016","35 and over","35","Scotland","All","1070","385","0.358"
"2017","35 and over","35","Scotland","All","1020","395","0.386"
"2018","35 and over","35","Scotland","All","1205","460","0.381"
"2019","35 and over","35","Scotland","All","1175","465","0.397"
"2020","35 and over","35","Scotland","All","1235","535","0.432"
"2021","35 and over","35","Scotland","All","1255","505","0.402"
"2022","35 and over","35","Scotland","All","1135","510","0.45"
"2023","35 and over","35","Scotland","All","930","425","0.456"
"2006","35 and over","36","Scotland","All","380","220","0.5740000000000001"
"2007","35 and over","36","Scotland","All","350","225","0.649"
"2008","35 and over","36","Scotland","All","285","195","0.677"
"2009","35 and over","36","Scotland","All","350","210","0.597"
"2010","35 and over","36","Scotland","All","500","250","0.5"
"2011","35 and over","36","Scotland","All","565","225","0.396"
"2012","35 and over","36","Scotland","All","570","220","0.384"
"2013","35 and over","36","Scotland","All","555","270","0.485"
"2014","35 and over","36","Scotland","All","630","245","0.39"
"2015","35 and over","36","Scotland","All","830","340","0.41000000000000003"
"2016","35 and over","36","Scotland","All","955","360","0.377"
"2017","35 and over","36","Scotland","All","1040","410","0.394"
"2018","35 and over","36","Scotland","All","990","370","0.372"
"2019","35 and over","36","Scotland","All","955","390","0.406"
"2020","35 and over","36","Scotland","All","1130","460","0.40900000000000003"
"2021","35 and over","36","Scotland","All","1185","470","0.396"
"2022","35 and over","36","Scotland","All","1150","515","0.447"
"2023","35 and over","36","Scotland","All","915","415","0.455"
"2006","35 and over","37","Scotland","All","400","250","0.62"
"2007","35 and over","37","Scotland","All","365","225","0.616"
"2008","35 and over","37","Scotland","All","330","195","0.597"
"2009","35 and over","37","Scotland","All","320","190","0.597"
"2010","35 and over","37","Scotland","All","470","245","0.523"
"2011","35 and over","37","Scotland","All","555","260","0.465"
"2012","35 and over","37","Scotland","All","495","195","0.394"
"2013","35 and over","37","Scotland","All","475","205","0.436"
"2014","35 and over","37","Scotland","All","575","235","0.41200000000000003"
"2015","35 and over","37","Scotland","All","685","275","0.403"
"2016","35 and over","37","Scotland","All","915","320","0.34800000000000003"
"2017","35 and over","37","Scotland","All","940","370","0.394"
"2018","35 and over","37","Scotland","All","1025","405","0.394"
"2019","35 and over","37","Scotland","All","985","410","0.41600000000000004"
"2020","35 and over","37","Scotland","All","1065","445","0.42"
"2021","35 and over","37","Scotland","All","1125","445","0.396"
"2022","35 and over","37","Scotland","All","1020","470","0.461"
"2023","35 and over","37","Scotland","All","710","315","0.444"
"2006","35 and over","38","Scotland","All","300","200","0.667"
"2007","35 and over","38","Scotland","All","365","225","0.622"
"2008","35 and over","38","Scotland","All","250","160","0.632"
"2009","35 and over","38","Scotland","All","330","215","0.648"
"2010","35 and over","38","Scotland","All","495","230","0.463"
"2011","35 and over","38","Scotland","All","525","235","0.444"
"2012","35 and over","38","Scotland","All","440","165","0.38"
"2013","35 and over","38","Scotland","All","500","230","0.458"
"2014","35 and over","38","Scotland","All","495","215","0.434"
"2015","35 and over","38","Scotland","All","625","250","0.397"
"2016","35 and over","38","Scotland","All","705","250","0.357"
"2017","35 and over","38","Scotland","All","775","265","0.34500000000000003"
"2018","35 and over","38","Scotland","All","880","340","0.389"
"2019","35 and over","38","Scotland","All","940","360","0.385"
"2020","35 and over","38","Scotland","All","970","425","0.437"
"2021","35 and over","38","Scotland","All","1085","390","0.359"
"2022","35 and over","38","Scotland","All","840","380","0.45"
"2023","35 and over","38","Scotland","All","650","305","0.47200000000000003"
"2006","35 and over","39","Scotland","All","340","215","0.629"
"2007","35 and over","39","Scotland","All","340","225","0.659"
"2008","35 and over","39","Scotland","All","250","160","0.632"
"2009","35 and over","39","Scotland","All","250","155","0.62"
"2010","35 and over","39","Scotland","All","495","250","0.509"
"2011","35 and over","39","Scotland","All","460","200","0.43"
"2012","35 and over","39","Scotland","All","445","175","0.398"
"2013","35 and over","39","Scotland","All","460","175","0.38"
"2014","35 and over","39","Scotland","All","430","210","0.486"
"2015","35 and over","39","Scotland","All","635","255","0.405"
"2016","35 and over","39","Scotland","All","720","265","0.365"
"2017","35 and over","39","Scotland","All","675","260","0.388"
"2018","35 and over","39","Scotland","All","805","320","0.399"
"2019","35 and over","39","Scotland","All","910","370","0.404"
"2020","35 and over","39","Scotland","All","860","345","0.402"
"2021","35 and over","39","Scotland","All","905","355","0.394"
"2022","35 and over","39","Scotland","All","795","340","0.43"
"2023","35 and over","39","Scotland","All","675","325","0.483"
"2006","35 and over","40","Scotland","All","235","150","0.638"
"2007","35 and over","40","Scotland","All","235","165","0.706"
"2008","35 and over","40","Scotland","All","220","125","0.577"
"2009","35 and over","40","Scotland","All","265","150","0.5740000000000001"
"2010","35 and over","40","Scotland","All","500","240","0.48"
"2011","35 and over","40","Scotland","All","405","175","0.427"
"2012","35 and over","40","Scotland","All","390","180","0.467"
"2013","35 and over","40","Scotland","All","390","170","0.438"
"2014","35 and over","40","Scotland","All","430","175","0.40900000000000003"
"2015","35 and over","40","Scotland","All","535","220","0.40700000000000003"
"2016","35 and over","40","Scotland","All","710","255","0.359"
"2017","35 and over","40","Scotland","All","625","260","0.41600000000000004"
"2018","35 and over","40","Scotland","All","670","265","0.397"
"2019","35 and over","40","Scotland","All","730","300","0.41400000000000003"
"2020","35 and over","40","Scotland","All","820","350","0.426"
"2021","35 and over","40","Scotland","All","880","325","0.37"
"2022","35 and over","40","Scotland","All","665","305","0.456"
"2023","35 and over","40","Scotland","All","640","305","0.47500000000000003"
"2006","35 and over","41","Scotland","All","215","120","0.5670000000000001"
"2007","35 and over","41","Scotland","All","245","145","0.584"
"2008","35 and over","41","Scotland","All","150","115","0.76"
"2009","35 and over","41","Scotland","All","220","140","0.636"
"2010","35 and over","41","Scotland","All","375","200","0.528"
"2011","35 and over","41","Scotland","All","350","140","0.394"
"2012","35 and over","41","Scotland","All","380","180","0.47100000000000003"
"2013","35 and over","41","Scotland","All","320","145","0.447"
"2014","35 and over","41","Scotland","All","410","165","0.405"
"2015","35 and over","41","Scotland","All","550","195","0.356"
"2016","35 and over","41","Scotland","All","525","185","0.352"
"2017","35 and over","41","Scotland","All","515","225","0.439"
"2018","35 and over","41","Scotland","All","555","215","0.386"
"2019","35 and over","41","Scotland","All","570","220","0.386"
"2020","35 and over","41","Scotland","All","810","330","0.406"
"2021","35 and over","41","Scotland","All","815","315","0.389"
"2022","35 and over","41","Scotland","All","685","305","0.445"
"2023","35 and over","41","Scotland","All","590","285","0.485"
"2006","35 and over","42","Scotland","All","235","140","0.6"
"2007","35 and over","42","Scotland","All","235","140","0.604"
"2008","35 and over","42","Scotland","All","215","135","0.628"
"2009","35 and over","42","Scotland","All","240","150","0.621"
"2010","35 and over","42","Scotland","All","350","180","0.517"
"2011","35 and over","42","Scotland","All","375","155","0.41600000000000004"
"2012","35 and over","42","Scotland","All","355","140","0.389"
"2013","35 and over","42","Scotland","All","295","135","0.461"
"2014","35 and over","42","Scotland","All","310","135","0.435"
"2015","35 and over","42","Scotland","All","515","180","0.35100000000000003"
"2016","35 and over","42","Scotland","All","565","205","0.365"
"2017","35 and over","42","Scotland","All","490","210","0.424"
"2018","35 and over","42","Scotland","All","575","225","0.388"
"2019","35 and over","42","Scotland","All","560","215","0.388"
"2020","35 and over","42","Scotland","All","525","240","0.455"
"2021","35 and over","42","Scotland","All","770","315","0.406"
"2022","35 and over","42","Scotland","All","625","260","0.41600000000000004"
"2023","35 and over","42","Scotland","All","490","235","0.482"
"2006","35 and over","43","Scotland","All","165","100","0.606"
"2007","35 and over","43","Scotland","All","195","130","0.662"
"2008","35 and over","43","Scotland","All","150","100","0.667"
"2009","35 and over","43","Scotland","All","165","115","0.7030000000000001"
"2010","35 and over","43","Scotland","All","330","155","0.464"
"2011","35 and over","43","Scotland","All","310","135","0.435"
"2012","35 and over","43","Scotland","All","290","130","0.452"
"2013","35 and over","43","Scotland","All","280","120","0.436"
"2014","35 and over","43","Scotland","All","305","120","0.397"
"2015","35 and over","43","Scotland","All","415","150","0.361"
"2016","35 and over","43","Scotland","All","445","170","0.387"
"2017","35 and over","43","Scotland","All","480","200","0.419"
"2018","35 and over","43","Scotland","All","445","190","0.425"
"2019","35 and over","43","Scotland","All","505","185","0.362"
"2020","35 and over","43","Scotland","All","595","230","0.39"
"2021","35 and over","43","Scotland","All","555","225","0.40900000000000003"
"2022","35 and over","43","Scotland","All","575","245","0.424"
"2023","35 and over","43","Scotland","All","430","200","0.46"
"2006","35 and over","44","Scotland","All","165","105","0.63"
"2007","35 and over","44","Scotland","All","175","110","0.634"
"2008","35 and over","44","Scotland","All","150","95","0.627"
"2009","35 and over","44","Scotland","All","150","95","0.62"
"2010","35 and over","44","Scotland","All","315","155","0.495"
"2011","35 and over","44","Scotland","All","335","135","0.403"
"2012","35 and over","44","Scotland","All","230","100","0.426"
"2013","35 and over","44","Scotland","All","215","95","0.437"
"2014","35 and over","44","Scotland","All","330","140","0.424"
"2015","35 and over","44","Scotland","All","450","160","0.35100000000000003"
"2016","35 and over","44","Scotland","All","400","140","0.353"
"2017","35 and over","44","Scotland","All","440","175","0.4"
"2018","35 and over","44","Scotland","All","500","195","0.394"
"2019","35 and over","44","Scotland","All","440","190","0.427"
"2020","35 and over","44","Scotland","All","495","190","0.384"
"2021","35 and over","44","Scotland","All","530","205","0.391"
"2022","35 and over","44","Scotland","All","400","180","0.445"
"2023","35 and over","44","Scotland","All","485","225","0.46"
"2006","35 and over","45","Scotland","All","150","100","0.66"
"2007","35 and over","45","Scotland","All","145","100","0.683"
"2008","35 and over","45","Scotland","All","105","55","0.533"
"2009","35 and over","45","Scotland","All","135","80","0.6"
"2010","35 and over","45","Scotland","All","220","140","0.632"
"2011","35 and over","45","Scotland","All","260","115","0.435"
"2012","35 and over","45","Scotland","All","250","100","0.4"
"2013","35 and over","45","Scotland","All","195","60","0.303"
"2014","35 and over","45","Scotland","All","195","85","0.436"
"2015","35 and over","45","Scotland","All","410","155","0.373"
"2016","35 and over","45","Scotland","All","370","125","0.338"
"2017","35 and over","45","Scotland","All","405","150","0.365"
"2018","35 and over","45","Scotland","All","420","175","0.41200000000000003"
"2019","35 and over","45","Scotland","All","435","155","0.361"
"2020","35 and over","45","Scotland","All","405","160","0.4"
"2021","35 and over","45","Scotland","All","540","230","0.426"
"2022","35 and over","45","Scotland","All","365","145","0.392"
"2023","35 and over","45","Scotland","All","300","145","0.483"
