"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","30 - 34","England","Female","1805","520","0.28800000000000003"
"2020","30 - 34","England","Female","2055","655","0.319"
"2021","30 - 34","England","Female","3125","950","0.303"
"2022","30 - 34","England","Female","2740","815","0.297"
"2023","30 - 34","England","Female","1940","615","0.316"
"2019","35 and over","England","Female","1930","525","0.273"
"2020","35 and over","England","Female","2240","700","0.312"
"2021","35 and over","England","Female","3145","865","0.276"
"2022","35 and over","England","Female","2765","800","0.29"
"2023","35 and over","England","Female","2405","785","0.327"
"2019","17 and under","Scotland","Female","15","0"," "
"2020","17 and under","Scotland","Female","30","5"," "
"2021","17 and under","Scotland","Female","35","5"," "
"2022","17 and under","Scotland","Female","50","5"," "
"2023","17 and under","Scotland","Female","20","5"," "
"2019","18","Scotland","Female","670","135","0.201"
"2020","18","Scotland","Female","550","120","0.22"
"2021","18","Scotland","Female","780","95","0.121"
"2022","18","Scotland","Female","665","100","0.15"
"2023","18","Scotland","Female","455","100","0.224"
"2019","19","Scotland","Female","195","35","0.17400000000000002"
"2020","19","Scotland","Female","170","35","0.218"
"2021","19","Scotland","Female","235","20","0.089"
"2022","19","Scotland","Female","210","25","0.129"
"2023","19","Scotland","Female","205","50","0.249"
"2019","20","Scotland","Female","110","20","0.164"
"2020","20","Scotland","Female","100","15","0.15"
"2021","20","Scotland","Female","140","15","0.107"
"2022","20","Scotland","Female","145","25","0.186"
"2023","20","Scotland","Female","85","15","0.176"
"2019","21 - 24","Scotland","Female","300","55","0.187"
"2020","21 - 24","Scotland","Female","375","70","0.192"
"2021","21 - 24","Scotland","Female","410","65","0.154"
"2022","21 - 24","Scotland","Female","375","60","0.155"
"2023","21 - 24","Scotland","Female","245","55","0.233"
"2019","25 - 29","Scotland","Female","265","50","0.192"
"2020","25 - 29","Scotland","Female","360","65","0.178"
"2021","25 - 29","Scotland","Female","535","85","0.163"
"2022","25 - 29","Scotland","Female","325","55","0.17500000000000002"
"2023","25 - 29","Scotland","Female","205","45","0.22"
"2019","30 - 34","Scotland","Female","170","40","0.229"
"2020","30 - 34","Scotland","Female","220","45","0.195"
"2021","30 - 34","Scotland","Female","280","50","0.17500000000000002"
"2022","30 - 34","Scotland","Female","220","40","0.17300000000000001"
"2023","30 - 34","Scotland","Female","155","45","0.29"
"2019","35 and over","Scotland","Female","185","40","0.216"
"2020","35 and over","Scotland","Female","215","50","0.233"
"2021","35 and over","Scotland","Female","305","35","0.111"
"2022","35 and over","Scotland","Female","255","45","0.18"
"2023","35 and over","Scotland","Female","185","50","0.259"
"2020","17 and under","Wales","Female","5","0"," "
"2019","18","Wales","Female","360","40","0.111"
"2020","18","Wales","Female","500","75","0.146"
"2021","18","Wales","Female","770","110","0.145"
"2022","18","Wales","Female","630","95","0.149"
"2023","18","Wales","Female","465","95","0.2"
"2019","19","Wales","Female","225","25","0.116"
"2020","19","Wales","Female","205","20","0.107"
"2021","19","Wales","Female","310","25","0.081"
"2022","19","Wales","Female","190","35","0.184"
"2023","19","Wales","Female","120","15","0.133"
"2019","20","Wales","Female","115","15","0.122"
"2020","20","Wales","Female","85","15","0.153"
"2021","20","Wales","Female","150","15","0.08700000000000001"
"2022","20","Wales","Female","125","20","0.152"
"2023","20","Wales","Female","105","20","0.19"
"2019","21 - 24","Wales","Female","425","65","0.158"
"2020","21 - 24","Wales","Female","335","50","0.152"
"2021","21 - 24","Wales","Female","365","45","0.11800000000000001"
"2022","21 - 24","Wales","Female","230","40","0.178"
"2023","21 - 24","Wales","Female","185","40","0.227"
"2019","25 - 29","Wales","Female","290","35","0.114"
"2020","25 - 29","Wales","Female","260","60","0.223"
"2021","25 - 29","Wales","Female","440","60","0.14100000000000001"
"2022","25 - 29","Wales","Female","275","55","0.193"
"2023","25 - 29","Wales","Female","210","60","0.281"
"2019","30 - 34","Wales","Female","195","30","0.149"
"2020","30 - 34","Wales","Female","230","45","0.191"
"2021","30 - 34","Wales","Female","240","40","0.158"
"2022","30 - 34","Wales","Female","220","45","0.2"
"2023","30 - 34","Wales","Female","180","50","0.289"
"2019","35 and over","Wales","Female","135","25","0.178"
"2020","35 and over","Wales","Female","140","30","0.221"
"2021","35 and over","Wales","Female","185","25","0.146"
"2022","35 and over","Wales","Female","155","40","0.271"
"2023","35 and over","Wales","Female","120","40","0.333"
"2019","17 and under","Not EU","Female","5","0"," "
"2020","17 and under","Not EU","Female","10","0"," "
"2021","17 and under","Not EU","Female","10","0"," "
"2022","17 and under","Not EU","Female","5","0"," "
