"Year","Subject group HECoS","Detailed subject group HECoS","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Scotland","All","2140","1785","0.834"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Scotland","All","2025","1700","0.841"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Scotland","All","2110","1770","0.839"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Scotland","All","330","205","0.619"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Scotland","All","340","215","0.639"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Scotland","All","435","265","0.606"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Scotland","All","540","315","0.582"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Scotland","All","450","310","0.6930000000000001"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","All","Scotland","All","1975","1500","0.759"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","All","Scotland","All","2135","1695","0.793"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","All","Scotland","All","2150","1630","0.759"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","All","Scotland","All","2035","1625","0.797"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","All","Scotland","All","2085","1725","0.8270000000000001"
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Scotland","All","2190","1475","0.673"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Scotland","All","2315","1680","0.726"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Scotland","All","2540","1690","0.666"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Scotland","All","2005","1605","0.8"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Scotland","All","1950","1800","0.923"
"2019","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Scotland","All","140","120","0.848"
"2020","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Scotland","All","155","120","0.768"
"2021","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Scotland","All","155","125","0.8130000000000001"
"2022","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Scotland","All","140","115","0.836"
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Scotland","All","105","95","0.888"
"2020","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","Scotland","All","5","5"," "
"2022","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","Scotland","All","60","50","0.867"
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","Scotland","All","55","45","0.8180000000000001"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Scotland","All","5990","3615","0.604"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Scotland","All","5840","3595","0.616"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Scotland","All","6930","4075","0.588"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Scotland","All","6975","4205","0.603"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Scotland","All","6650","4255","0.64"
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Scotland","All","10","5"," "
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Scotland","All","10","10","1.014"
"2021","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Scotland","All","10","10"," "
"2022","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Scotland","All","10","10"," "
"2023","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Scotland","All","10","10"," "
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Scotland","All","2825","2005","0.709"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Scotland","All","2620","1965","0.75"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Scotland","All","2430","1810","0.746"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Scotland","All","2325","1745","0.75"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Scotland","All","2705","2000","0.739"
"2022","(CAH09) mathematical sciences","(CAH09-01-02) operational research","All","Scotland","All","5","0"," "
"2023","(CAH09) mathematical sciences","(CAH09-01-02) operational research","All","Scotland","All","5","0"," "
"2019","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Scotland","All","265","195","0.732"
"2020","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Scotland","All","285","230","0.799"
"2021","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Scotland","All","325","250","0.762"
"2022","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Scotland","All","290","225","0.769"
"2023","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Scotland","All","290","200","0.6910000000000001"
"2019","(CAH22) education and teaching","(CAH22-01-01) education","All","Scotland","All","2335","870","0.372"
"2020","(CAH22) education and teaching","(CAH22-01-01) education","All","Scotland","All","2415","945","0.391"
"2021","(CAH22) education and teaching","(CAH22-01-01) education","All","Scotland","All","2815","1025","0.363"
"2022","(CAH22) education and teaching","(CAH22-01-01) education","All","Scotland","All","2475","965","0.389"
"2023","(CAH22) education and teaching","(CAH22-01-01) education","All","Scotland","All","2105","880","0.418"
"2019","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Scotland","All","20565","5130","0.25"
"2020","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Scotland","All","20390","5525","0.271"
"2021","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Scotland","All","25465","5700","0.224"
"2022","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Scotland","All","20110","5460","0.271"
"2023","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Scotland","All","15800","5020","0.318"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Scotland","All","65","65","0.994"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Scotland","All","140","135","0.9530000000000001"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Scotland","All","130","125","0.961"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Scotland","All","160","150","0.934"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Scotland","All","130","120","0.905"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","Scotland","All","30","20","0.743"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","Scotland","All","20","15","0.63"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","Scotland","All","10","10"," "
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","Scotland","All","5","5"," "
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","Scotland","All","15","15","0.853"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Scotland","All","970","790","0.812"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Scotland","All","1095","930","0.849"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Scotland","All","1330","1100","0.8250000000000001"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Scotland","All","1405","1175","0.837"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Scotland","All","1155","980","0.848"
