"Year","Age group","Individual age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","25 - 29","26","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","25 - 29","27","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","25 - 29","27","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","25 - 29","28","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","25 - 29","29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","30 - 34","30","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","30 - 34","30","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","30 - 34","31","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","30 - 34","31","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","30 - 34","33","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","30 - 34","34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2020","30 - 34","34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","35 and over","39","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2022","35 and over","39","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","35 and over","40","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","50","50","0.98","5"
"2007","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","65","65","0.985","10"
"2008","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","100","100","0.98","30"
"2009","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.885","25"
"2010","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","40","40","0.976","15"
"2011","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","30","20","0.724","10"
"2012","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001","10"
"2013","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.887","15"
"2014","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.9380000000000001","5"
"2015","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","45","40","0.891","10"
"2016","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","45","40","0.911","10"
"2017","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.898","5"
"2018","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.9590000000000001","5"
"2019","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","70","60","0.882","10"
"2020","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","65","60","0.896","15"
"2021","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.883","5"
"2022","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","110","95","0.874","10"
"2023","17 and under","17 and under","England","Female","Not main scheme applicant","Not main scheme application","105","85","0.81","20"
"2006","18","18","England","Female","Not main scheme applicant","Not main scheme application","1185","1155","0.978","110"
"2007","18","18","England","Female","Not main scheme applicant","Not main scheme application","1285","1265","0.984","125"
"2008","18","18","England","Female","Not main scheme applicant","Not main scheme application","1290","1260","0.977","195"
"2009","18","18","England","Female","Not main scheme applicant","Not main scheme application","1065","1010","0.9500000000000001","205"
"2010","18","18","England","Female","Not main scheme applicant","Not main scheme application","475","455","0.9560000000000001","125"
"2011","18","18","England","Female","Not main scheme applicant","Not main scheme application","590","545","0.92","135"
"2012","18","18","England","Female","Not main scheme applicant","Not main scheme application","950","905","0.9530000000000001","100"
"2013","18","18","England","Female","Not main scheme applicant","Not main scheme application","1235","1165","0.9450000000000001","120"
"2014","18","18","England","Female","Not main scheme applicant","Not main scheme application","1135","1065","0.9400000000000001","120"
"2015","18","18","England","Female","Not main scheme applicant","Not main scheme application","1250","1200","0.96","120"
"2016","18","18","England","Female","Not main scheme applicant","Not main scheme application","1275","1195","0.9400000000000001","110"
"2017","18","18","England","Female","Not main scheme applicant","Not main scheme application","1645","1545","0.9400000000000001","130"
"2018","18","18","England","Female","Not main scheme applicant","Not main scheme application","1940","1850","0.9550000000000001","90"
"2019","18","18","England","Female","Not main scheme applicant","Not main scheme application","2220","2115","0.9540000000000001","100"
"2020","18","18","England","Female","Not main scheme applicant","Not main scheme application","2960","2800","0.9470000000000001","195"
"2021","18","18","England","Female","Not main scheme applicant","Not main scheme application","1945","1855","0.9540000000000001","95"
"2022","18","18","England","Female","Not main scheme applicant","Not main scheme application","1925","1795","0.933","110"
"2023","18","18","England","Female","Not main scheme applicant","Not main scheme application","2040","1895","0.928","130"
"2006","19","19","England","Female","Not main scheme applicant","Not main scheme application","1725","1700","0.984","180"
"2007","19","19","England","Female","Not main scheme applicant","Not main scheme application","1910","1870","0.98","215"
"2008","19","19","England","Female","Not main scheme applicant","Not main scheme application","2125","2080","0.978","255"
"2009","19","19","England","Female","Not main scheme applicant","Not main scheme application","1695","1610","0.9490000000000001","330"
"2010","19","19","England","Female","Not main scheme applicant","Not main scheme application","1080","1020","0.9450000000000001","265"
"2011","19","19","England","Female","Not main scheme applicant","Not main scheme application","1000","925","0.922","250"
"2012","19","19","England","Female","Not main scheme applicant","Not main scheme application","1575","1495","0.9510000000000001","165"
"2013","19","19","England","Female","Not main scheme applicant","Not main scheme application","1895","1805","0.9510000000000001","195"
"2014","19","19","England","Female","Not main scheme applicant","Not main scheme application","1930","1800","0.933","185"
"2015","19","19","England","Female","Not main scheme applicant","Not main scheme application","2295","2155","0.9400000000000001","190"
"2016","19","19","England","Female","Not main scheme applicant","Not main scheme application","2375","2250","0.9480000000000001","175"
"2017","19","19","England","Female","Not main scheme applicant","Not main scheme application","2730","2585","0.9470000000000001","155"
"2018","19","19","England","Female","Not main scheme applicant","Not main scheme application","3140","2990","0.9530000000000001","150"
"2019","19","19","England","Female","Not main scheme applicant","Not main scheme application","3590","3400","0.9480000000000001","155"
"2020","19","19","England","Female","Not main scheme applicant","Not main scheme application","3645","3425","0.9390000000000001","170"
"2021","19","19","England","Female","Not main scheme applicant","Not main scheme application","2895","2720","0.9400000000000001","125"
"2022","19","19","England","Female","Not main scheme applicant","Not main scheme application","3430","3175","0.925","195"
"2023","19","19","England","Female","Not main scheme applicant","Not main scheme application","4020","3720","0.925","205"
"2006","20","20","England","Female","Not main scheme applicant","Not main scheme application","1305","1285","0.982","185"
"2007","20","20","England","Female","Not main scheme applicant","Not main scheme application","1440","1425","0.987","180"
"2008","20","20","England","Female","Not main scheme applicant","Not main scheme application","1785","1745","0.977","225"
"2009","20","20","England","Female","Not main scheme applicant","Not main scheme application","1405","1335","0.9510000000000001","320"
"2010","20","20","England","Female","Not main scheme applicant","Not main scheme application","950","880","0.928","285"
