"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","Medium tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2021","Medium tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","Medium tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2019","Lower tariff","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Lower tariff","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Lower tariff","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Medium tariff","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","Medium tariff","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Lower tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Lower tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Higher tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Medium tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","Medium tariff","17 and under","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","18","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Lower tariff","18","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","18","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","18","Not EU","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","Lower tariff","19","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","Lower tariff","19","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2021","Lower tariff","19","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","19","Not EU","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Lower tariff","19","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","19","Not EU","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2019","Lower tariff","20","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","20","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","20","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2021","Medium tariff","20","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","20","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Lower tariff","21 - 24","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","21 - 24","Not EU","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Lower tariff","21 - 24","Not EU","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","Lower tariff","21 - 24","Not EU","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Lower tariff","21 - 24","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","21 - 24","Not EU","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","Medium tariff","21 - 24","Not EU","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Medium tariff","21 - 24","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","21 - 24","Not EU","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Medium tariff","21 - 24","Not EU","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2019","Lower tariff","25 - 29","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","Lower tariff","25 - 29","Not EU","Female","Not main scheme applicant","Not main scheme application","15","10","0.786"
"2021","Lower tariff","25 - 29","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","25 - 29","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Lower tariff","25 - 29","Not EU","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","Medium tariff","25 - 29","Not EU","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","Medium tariff","25 - 29","Not EU","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2021","Medium tariff","25 - 29","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","25 - 29","Not EU","Female","Not main scheme applicant","Not main scheme application","15","10","0.714"
"2023","Medium tariff","25 - 29","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Lower tariff","30 - 34","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","30 - 34","Not EU","Female","Not main scheme applicant","Not main scheme application","15","5"," "
"2021","Lower tariff","30 - 34","Not EU","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Lower tariff","30 - 34","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","30 - 34","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","30 - 34","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","30 - 34","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","30 - 34","Not EU","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","Lower tariff","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","Lower tariff","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","20","15","0.682"
"2021","Lower tariff","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","10","0"," "
"2019","Medium tariff","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Medium tariff","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","18","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","19","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","19","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Lower tariff","19","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","19","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","20","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2021","Lower tariff","20","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","20","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","Lower tariff","21 - 24","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Lower tariff","21 - 24","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","21 - 24","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","Lower tariff","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","19","England","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Lower tariff","19","England","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","Lower tariff","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","19","England","Male","Not main scheme applicant","Not main scheme application","15","10","0.857"
"2020","Medium tariff","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
