"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","UK","England","England","21 - 24","Female","Main scheme applicant","Main scheme application","1195","460","0.386","0"
"2020","UK","England","England","21 - 24","Female","Main scheme applicant","Main scheme application","1230","535","0.433","0"
"2021","UK","England","England","21 - 24","Female","Main scheme applicant","Main scheme application","1520","510","0.335","0"
"2022","UK","England","England","21 - 24","Female","Main scheme applicant","Main scheme application","1280","375","0.295","0"
"2023","UK","England","England","21 - 24","Female","Main scheme applicant","Main scheme application","935","335","0.357","0"
"2019","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","65","5"," ","0"
"2020","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","70","15","0.232","0"
"2021","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","105","15","0.14300000000000002","0"
"2022","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","70","5"," ","0"
"2023","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","65","5"," ","0"
"2019","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Main scheme application","150","35","0.24","0"
"2020","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Main scheme application","200","45","0.222","0"
