"Year","Difference between predicted and achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","All","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2011","All","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","All","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","All","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2015","All","Black","Main scheme applicant","Main scheme application","15","0"," ","0"
"2016","All","Black","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","All","Black","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","All","Black","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","All","Black","Main scheme applicant","Main scheme application","15","5"," ","0"
"2020","All","Black","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2021","All","Black","Main scheme applicant","Main scheme application","20","15","0.85","0"
"2022","All","Black","Main scheme applicant","Main scheme application","25","20","0.72","0"
