"Year","Difference between predicted and achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","3 points","Mixed","Main scheme applicant","All","45","40","0.872","0"
"2021","3 points","Mixed","Main scheme applicant","All","50","45","0.865","0"
"2022","3 points","Mixed","Main scheme applicant","All","50","40","0.837","0"
"2023","3 points","Mixed","Main scheme applicant","All","40","35","0.895","0"
"2010","More than 3 points","Mixed","Main scheme applicant","All","5","0"," ","0"
"2011","More than 3 points","Mixed","Main scheme applicant","All","5","0"," ","0"
"2012","More than 3 points","Mixed","Main scheme applicant","All","25","20","0.731","0"
"2013","More than 3 points","Mixed","Main scheme applicant","All","30","30","0.875","0"
"2014","More than 3 points","Mixed","Main scheme applicant","All","25","25","0.889","0"
"2015","More than 3 points","Mixed","Main scheme applicant","All","25","20","0.8150000000000001","0"
"2016","More than 3 points","Mixed","Main scheme applicant","All","15","15","0.765","0"
"2017","More than 3 points","Mixed","Main scheme applicant","All","15","15","0.9380000000000001","0"
"2018","More than 3 points","Mixed","Main scheme applicant","All","15","10","0.923","0"
"2019","More than 3 points","Mixed","Main scheme applicant","All","5","5"," ","0"
"2020","More than 3 points","Mixed","Main scheme applicant","All","10","10"," ","0"
"2021","More than 3 points","Mixed","Main scheme applicant","All","15","10","0.923","0"
"2022","More than 3 points","Mixed","Main scheme applicant","All","15","10","0.846","0"
"2023","More than 3 points","Mixed","Main scheme applicant","All","5","5"," ","0"
"2010","-1 points","Mixed","Main scheme applicant","All","100","70","0.6970000000000001","0"
"2011","-1 points","Mixed","Main scheme applicant","All","100","65","0.65","0"
"2012","-1 points","Mixed","Main scheme applicant","All","80","50","0.667","0"
"2013","-1 points","Mixed","Main scheme applicant","All","120","85","0.6970000000000001","0"
"2014","-1 points","Mixed","Main scheme applicant","All","135","100","0.737","0"
"2015","-1 points","Mixed","Main scheme applicant","All","175","130","0.763","0"
"2016","-1 points","Mixed","Main scheme applicant","All","180","140","0.775","0"
"2017","-1 points","Mixed","Main scheme applicant","All","155","130","0.844","0"
"2018","-1 points","Mixed","Main scheme applicant","All","155","135","0.876","0"
