"Year","Difference between predicted and achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","-1 points","Asian","Main scheme applicant","All","500","445","0.888","0"
"2020","-1 points","Asian","Main scheme applicant","All","600","545","0.91","0"
"2021","-1 points","Asian","Main scheme applicant","All","640","565","0.886","0"
"2022","-1 points","Asian","Main scheme applicant","All","720","625","0.868","0"
"2023","-1 points","Asian","Main scheme applicant","All","740","630","0.851","0"
"2010","-2 points","Asian","Main scheme applicant","All","55","35","0.6980000000000001","0"
"2011","-2 points","Asian","Main scheme applicant","All","85","50","0.607","0"
"2012","-2 points","Asian","Main scheme applicant","All","115","85","0.735","0"
"2013","-2 points","Asian","Main scheme applicant","All","130","100","0.769","0"
"2014","-2 points","Asian","Main scheme applicant","All","155","120","0.797","0"
"2015","-2 points","Asian","Main scheme applicant","All","210","170","0.8230000000000001","0"
"2016","-2 points","Asian","Main scheme applicant","All","200","175","0.875","0"
"2017","-2 points","Asian","Main scheme applicant","All","200","170","0.848","0"
"2018","-2 points","Asian","Main scheme applicant","All","255","230","0.894","0"
"2019","-2 points","Asian","Main scheme applicant","All","285","255","0.902","0"
"2020","-2 points","Asian","Main scheme applicant","All","325","295","0.899","0"
"2021","-2 points","Asian","Main scheme applicant","All","330","285","0.864","0"
"2022","-2 points","Asian","Main scheme applicant","All","345","285","0.8260000000000001","0"
"2023","-2 points","Asian","Main scheme applicant","All","395","315","0.793","0"
"2010","-3 points","Asian","Main scheme applicant","All","40","20","0.579","0"
"2011","-3 points","Asian","Main scheme applicant","All","50","20","0.431","0"
"2012","-3 points","Asian","Main scheme applicant","All","75","45","0.644","0"
"2013","-3 points","Asian","Main scheme applicant","All","100","75","0.765","0"
"2014","-3 points","Asian","Main scheme applicant","All","95","70","0.731","0"
"2015","-3 points","Asian","Main scheme applicant","All","120","100","0.803","0"
"2016","-3 points","Asian","Main scheme applicant","All","105","70","0.679","0"
"2017","-3 points","Asian","Main scheme applicant","All","85","65","0.744","0"
"2018","-3 points","Asian","Main scheme applicant","All","130","100","0.777","0"
"2019","-3 points","Asian","Main scheme applicant","All","145","120","0.8300000000000001","0"
"2020","-3 points","Asian","Main scheme applicant","All","170","155","0.895","0"
"2021","-3 points","Asian","Main scheme applicant","All","165","140","0.842","0"
"2022","-3 points","Asian","Main scheme applicant","All","170","135","0.779","0"
"2023","-3 points","Asian","Main scheme applicant","All","190","135","0.729","0"
"2010","-4 points","Asian","Main scheme applicant","All","25","15","0.542","0"
"2011","-4 points","Asian","Main scheme applicant","All","50","25","0.451","0"
"2012","-4 points","Asian","Main scheme applicant","All","50","30","0.625","0"
"2013","-4 points","Asian","Main scheme applicant","All","45","25","0.5740000000000001","0"
"2014","-4 points","Asian","Main scheme applicant","All","55","35","0.607","0"
"2015","-4 points","Asian","Main scheme applicant","All","60","40","0.683","0"
"2016","-4 points","Asian","Main scheme applicant","All","55","45","0.772","0"
"2017","-4 points","Asian","Main scheme applicant","All","45","40","0.848","0"
"2018","-4 points","Asian","Main scheme applicant","All","70","55","0.778","0"
"2019","-4 points","Asian","Main scheme applicant","All","85","60","0.723","0"
"2020","-4 points","Asian","Main scheme applicant","All","80","70","0.878","0"
"2021","-4 points","Asian","Main scheme applicant","All","75","55","0.743","0"
"2022","-4 points","Asian","Main scheme applicant","All","75","40","0.554","0"
"2023","-4 points","Asian","Main scheme applicant","All","95","55","0.588","0"
"2010","-5 points","Asian","Main scheme applicant","All","20","15","0.75","0"
"2011","-5 points","Asian","Main scheme applicant","All","25","20","0.72","0"
"2012","-5 points","Asian","Main scheme applicant","All","20","10","0.545","0"
"2013","-5 points","Asian","Main scheme applicant","All","25","20","0.778","0"
"2014","-5 points","Asian","Main scheme applicant","All","30","20","0.679","0"
"2015","-5 points","Asian","Main scheme applicant","All","35","25","0.657","0"
"2016","-5 points","Asian","Main scheme applicant","All","25","15","0.5","0"
"2017","-5 points","Asian","Main scheme applicant","All","35","30","0.8240000000000001","0"
"2018","-5 points","Asian","Main scheme applicant","All","40","35","0.786","0"
"2019","-5 points","Asian","Main scheme applicant","All","45","35","0.745","0"
"2020","-5 points","Asian","Main scheme applicant","All","40","35","0.872","0"
"2021","-5 points","Asian","Main scheme applicant","All","35","20","0.636","0"
"2022","-5 points","Asian","Main scheme applicant","All","50","35","0.635","0"
"2023","-5 points","Asian","Main scheme applicant","All","40","20","0.5","0"
"2010","-6 points","Asian","Main scheme applicant","All","20","15","0.682","0"
"2011","-6 points","Asian","Main scheme applicant","All","20","20","0.8180000000000001","0"
"2012","-6 points","Asian","Main scheme applicant","All","15","10","0.625","0"
"2013","-6 points","Asian","Main scheme applicant","All","30","25","0.767","0"
"2014","-6 points","Asian","Main scheme applicant","All","35","20","0.647","0"
"2015","-6 points","Asian","Main scheme applicant","All","40","25","0.65","0"
"2016","-6 points","Asian","Main scheme applicant","All","30","20","0.6900000000000001","0"
"2017","-6 points","Asian","Main scheme applicant","All","25","15","0.64","0"
"2018","-6 points","Asian","Main scheme applicant","All","35","20","0.636","0"
"2019","-6 points","Asian","Main scheme applicant","All","35","20","0.559","0"
"2020","-6 points","Asian","Main scheme applicant","All","20","15","0.773","0"
"2021","-6 points","Asian","Main scheme applicant","All","20","15","0.667","0"
"2022","-6 points","Asian","Main scheme applicant","All","35","15","0.41200000000000003","0"
"2023","-6 points","Asian","Main scheme applicant","All","30","10","0.379","0"
"2010","Less than -6 points","Asian","Main scheme applicant","All","25","20","0.88","0"
"2011","Less than -6 points","Asian","Main scheme applicant","All","30","25","0.857","0"
"2012","Less than -6 points","Asian","Main scheme applicant","All","25","20","0.769","0"
"2013","Less than -6 points","Asian","Main scheme applicant","All","35","30","0.865","0"
"2014","Less than -6 points","Asian","Main scheme applicant","All","40","30","0.683","0"
"2015","Less than -6 points","Asian","Main scheme applicant","All","60","45","0.77","0"
"2016","Less than -6 points","Asian","Main scheme applicant","All","75","55","0.743","0"
"2017","Less than -6 points","Asian","Main scheme applicant","All","55","35","0.685","0"
"2018","Less than -6 points","Asian","Main scheme applicant","All","45","30","0.636","0"
"2019","Less than -6 points","Asian","Main scheme applicant","All","85","65","0.736","0"
"2020","Less than -6 points","Asian","Main scheme applicant","All","45","35","0.761","0"
"2021","Less than -6 points","Asian","Main scheme applicant","All","30","20","0.733","0"
"2022","Less than -6 points","Asian","Main scheme applicant","All","65","45","0.672","0"
"2023","Less than -6 points","Asian","Main scheme applicant","All","25","15","0.538","0"
"2010","0 points","Mixed","Main scheme applicant","All","245","185","0.756","0"
"2011","0 points","Mixed","Main scheme applicant","All","295","240","0.812","0"
"2012","0 points","Mixed","Main scheme applicant","All","155","120","0.777","0"
"2013","0 points","Mixed","Main scheme applicant","All","235","175","0.749","0"
"2014","0 points","Mixed","Main scheme applicant","All","265","215","0.81","0"
"2015","0 points","Mixed","Main scheme applicant","All","360","300","0.8310000000000001","0"
"2016","0 points","Mixed","Main scheme applicant","All","375","325","0.87","0"
"2017","0 points","Mixed","Main scheme applicant","All","380","320","0.839","0"
"2018","0 points","Mixed","Main scheme applicant","All","340","295","0.865","0"
"2019","0 points","Mixed","Main scheme applicant","All","340","305","0.896","0"
"2020","0 points","Mixed","Main scheme applicant","All","365","315","0.858","0"
"2021","0 points","Mixed","Main scheme applicant","All","440","380","0.859","0"
"2022","0 points","Mixed","Main scheme applicant","All","350","295","0.84","0"
