"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","All","21 - 24","Wales","1345","685","0.511"
"2019","All","25 - 29","Wales","10","0"," "
"2020","All","25 - 29","Wales","15","0"," "
"2021","All","25 - 29","Wales","5","0"," "
"2022","All","25 - 29","Wales","530","280","0.526"
"2023","All","25 - 29","Wales","465","240","0.512"
"2019","All","30 - 34","Wales","5","0"," "
"2022","All","30 - 34","Wales","190","100","0.526"
"2023","All","30 - 34","Wales","155","80","0.529"
"2019","All","35 and over","Wales","5","0"," "
"2022","All","35 and over","Wales","210","105","0.495"
"2023","All","35 and over","Wales","170","90","0.518"
"2019","All","21 - 24","Not EU","45","10","0.222"
"2020","All","21 - 24","Not EU","85","25","0.294"
"2021","All","21 - 24","Not EU","45","10"," "
"2022","All","21 - 24","Not EU","60","15","0.25"
"2023","All","21 - 24","Not EU","90","15","0.14400000000000002"
"2019","All","25 - 29","Not EU","60","15","0.267"
"2020","All","25 - 29","Not EU","60","15","0.267"
"2021","All","25 - 29","Not EU","70","20","0.257"
"2022","All","25 - 29","Not EU","125","30","0.224"
"2023","All","25 - 29","Not EU","80","20","0.275"
"2019","All","30 - 34","Not EU","40","10","0.25"
"2020","All","30 - 34","Not EU","45","10","0.222"
"2021","All","30 - 34","Not EU","30","5"," "
"2022","All","30 - 34","Not EU","90","30","0.34400000000000003"
"2023","All","30 - 34","Not EU","60","10"," "
"2019","All","35 and over","Not EU","45","5"," "
"2020","All","35 and over","Not EU","35","5"," "
"2021","All","35 and over","Not EU","70","5"," "
"2022","All","35 and over","Not EU","125","25","0.2"
"2023","All","35 and over","Not EU","80","10"," "
"2020","All","19","EU (excluding UK)","5","0"," "
"2019","All","20","EU (excluding UK)","10","0"," "
"2020","All","20","EU (excluding UK)","10","0"," "
"2019","All","21 - 24","EU (excluding UK)","430","70","0.165"
"2020","All","21 - 24","EU (excluding UK)","460","95","0.209"
"2021","All","21 - 24","EU (excluding UK)","290","55","0.183"
"2022","All","21 - 24","EU (excluding UK)","205","40","0.195"
"2023","All","21 - 24","EU (excluding UK)","165","35","0.20600000000000002"
"2019","All","25 - 29","EU (excluding UK)","200","35","0.165"
"2020","All","25 - 29","EU (excluding UK)","295","60","0.197"
