"Year","Subject group HECoS","Age group","Domicile","Gender","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2021","(CAH09) mathematical sciences","18","England","Female","0","50","10","55"
"2021","(CAH09) mathematical sciences","18","Northern Ireland","Female","0","25","0","25"
"2021","(CAH09) mathematical sciences","18","Wales","Female","0","10","5","10"
"2022","(CAH09) mathematical sciences","18","England","Female","15","35","50","105"
"2022","(CAH09) mathematical sciences","18","Wales","Female","0","0","5","5"
"2023","(CAH09) mathematical sciences","18","England","Female","0","65","30","95"
"2023","(CAH09) mathematical sciences","18","Wales","Female","0","0","5","5"
"2019","(CAH22) education and teaching","18","England","Female","955","535","420","1905"
"2019","(CAH22) education and teaching","18","Northern Ireland","Female","10","5","5","20"
"2019","(CAH22) education and teaching","18","Wales","Female","10","55","15","75"
"2020","(CAH22) education and teaching","18","England","Female","505","905","1325","2735"
"2020","(CAH22) education and teaching","18","Northern Ireland","Female","0","10","250","260"
"2020","(CAH22) education and teaching","18","Wales","Female","5","75","185","265"
"2021","(CAH22) education and teaching","18","England","Female","0","370","30","400"
"2021","(CAH22) education and teaching","18","Northern Ireland","Female","0","5","0","5"
"2021","(CAH22) education and teaching","18","Wales","Female","0","45","5","50"
"2022","(CAH22) education and teaching","18","England","Female","25","545","90","660"
"2022","(CAH22) education and teaching","18","Northern Ireland","Female","0","0","0","5"
"2022","(CAH22) education and teaching","18","Wales","Female","0","15","15","30"
"2023","(CAH22) education and teaching","18","England","Female","0","405","55","460"
"2023","(CAH22) education and teaching","18","Northern Ireland","Female","0","5","0","5"
"2023","(CAH22) education and teaching","18","Wales","Female","0","5","10","10"
"2019","(CAH06) agriculture, food and related studies","18","England","Female","325","135","80","540"
"2019","(CAH06) agriculture, food and related studies","18","Northern Ireland","Female","10","0","0","10"
"2019","(CAH06) agriculture, food and related studies","18","Wales","Female","5","5","5","20"
"2020","(CAH06) agriculture, food and related studies","18","England","Female","135","215","95","445"
