"Year","Tariff group of provider released from","Tariff group of provider accepted to","Age group","Domicile","Gender","Placed after self-releasing"
"2020","Medium tariff","Higher tariff","18","England","Female","1765"
"2021","Medium tariff","Higher tariff","18","England","Female","480"
"2022","Medium tariff","Higher tariff","18","England","Female","575"
"2023","Medium tariff","Higher tariff","18","England","Female","660"
"2019","Higher tariff","Higher tariff","18","England","Female","680"
"2020","Higher tariff","Higher tariff","18","England","Female","1935"
"2021","Higher tariff","Higher tariff","18","England","Female","395"
"2022","Higher tariff","Higher tariff","18","England","Female","540"
"2023","Higher tariff","Higher tariff","18","England","Female","765"
"2019","N/A","N/A","19","England","Female","30"
"2020","N/A","N/A","19","England","Female","20"
"2021","N/A","N/A","19","England","Female","15"
"2022","N/A","N/A","19","England","Female","20"
"2023","N/A","N/A","19","England","Female","30"
"2019","Lower tariff","Lower tariff","19","England","Female","505"
"2020","Lower tariff","Lower tariff","19","England","Female","550"
"2021","Lower tariff","Lower tariff","19","England","Female","470"
"2022","Lower tariff","Lower tariff","19","England","Female","465"
"2023","Lower tariff","Lower tariff","19","England","Female","515"
"2019","Medium tariff","Lower tariff","19","England","Female","175"
"2020","Medium tariff","Lower tariff","19","England","Female","165"
"2021","Medium tariff","Lower tariff","19","England","Female","170"
"2022","Medium tariff","Lower tariff","19","England","Female","170"
"2023","Medium tariff","Lower tariff","19","England","Female","170"
"2019","Higher tariff","Lower tariff","19","England","Female","35"
"2020","Higher tariff","Lower tariff","19","England","Female","25"
"2021","Higher tariff","Lower tariff","19","England","Female","35"
"2022","Higher tariff","Lower tariff","19","England","Female","40"
"2023","Higher tariff","Lower tariff","19","England","Female","45"
"2019","Lower tariff","Medium tariff","19","England","Female","215"
"2020","Lower tariff","Medium tariff","19","England","Female","255"
"2021","Lower tariff","Medium tariff","19","England","Female","200"
"2022","Lower tariff","Medium tariff","19","England","Female","195"
"2023","Lower tariff","Medium tariff","19","England","Female","215"
"2019","Medium tariff","Medium tariff","19","England","Female","260"
"2020","Medium tariff","Medium tariff","19","England","Female","310"
"2021","Medium tariff","Medium tariff","19","England","Female","225"
"2022","Medium tariff","Medium tariff","19","England","Female","205"
"2023","Medium tariff","Medium tariff","19","England","Female","305"
"2019","Higher tariff","Medium tariff","19","England","Female","60"
"2020","Higher tariff","Medium tariff","19","England","Female","65"
"2021","Higher tariff","Medium tariff","19","England","Female","65"
"2022","Higher tariff","Medium tariff","19","England","Female","70"
"2023","Higher tariff","Medium tariff","19","England","Female","80"
"2019","Lower tariff","Higher tariff","19","England","Female","45"
"2020","Lower tariff","Higher tariff","19","England","Female","90"
"2021","Lower tariff","Higher tariff","19","England","Female","25"
"2022","Lower tariff","Higher tariff","19","England","Female","30"
"2023","Lower tariff","Higher tariff","19","England","Female","40"
"2019","Medium tariff","Higher tariff","19","England","Female","125"
"2020","Medium tariff","Higher tariff","19","England","Female","235"
"2021","Medium tariff","Higher tariff","19","England","Female","65"
"2022","Medium tariff","Higher tariff","19","England","Female","80"
"2023","Medium tariff","Higher tariff","19","England","Female","100"
"2019","Higher tariff","Higher tariff","19","England","Female","145"
"2020","Higher tariff","Higher tariff","19","England","Female","240"
"2021","Higher tariff","Higher tariff","19","England","Female","70"
"2022","Higher tariff","Higher tariff","19","England","Female","65"
"2023","Higher tariff","Higher tariff","19","England","Female","115"
"2019","N/A","N/A","20","England","Female","5"
"2020","N/A","N/A","20","England","Female","5"
"2021","N/A","N/A","20","England","Female","5"
"2022","N/A","N/A","20","England","Female","5"
"2023","N/A","N/A","20","England","Female","5"
"2019","Lower tariff","Lower tariff","20","England","Female","145"
"2020","Lower tariff","Lower tariff","20","England","Female","175"
"2021","Lower tariff","Lower tariff","20","England","Female","145"
"2022","Lower tariff","Lower tariff","20","England","Female","115"
"2023","Lower tariff","Lower tariff","20","England","Female","145"
"2019","Medium tariff","Lower tariff","20","England","Female","40"
"2020","Medium tariff","Lower tariff","20","England","Female","45"
"2021","Medium tariff","Lower tariff","20","England","Female","45"
"2022","Medium tariff","Lower tariff","20","England","Female","40"
"2023","Medium tariff","Lower tariff","20","England","Female","50"
"2019","Higher tariff","Lower tariff","20","England","Female","5"
