"Year","Predicted SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","8 point(s)","All","Scotland","All","All","Main scheme application","75","65","0.892","0"
"2020","8 point(s)","All","Scotland","All","All","Main scheme application","60","55","0.883","0"
"2021","8 point(s)","All","Scotland","All","All","Main scheme application","70","55","0.809","0"
"2022","8 point(s)","All","Scotland","All","All","Main scheme application","80","65","0.8130000000000001","0"
"2023","8 point(s)","All","Scotland","All","All","Main scheme application","70","60","0.8170000000000001","0"
"2010","9 point(s)","All","Scotland","All","All","Main scheme application","230","200","0.866","0"
"2011","9 point(s)","All","Scotland","All","All","Main scheme application","225","195","0.871","0"
"2012","9 point(s)","All","Scotland","All","All","Main scheme application","240","195","0.8280000000000001","0"
"2013","9 point(s)","All","Scotland","All","All","Main scheme application","235","200","0.856","0"
"2014","9 point(s)","All","Scotland","All","All","Main scheme application","195","170","0.872","0"
"2015","9 point(s)","All","Scotland","All","All","Main scheme application","250","210","0.839","0"
"2016","9 point(s)","All","Scotland","All","All","Main scheme application","230","195","0.864","0"
"2017","9 point(s)","All","Scotland","All","All","Main scheme application","200","170","0.855","0"
"2018","9 point(s)","All","Scotland","All","All","Main scheme application","210","185","0.88","0"
"2019","9 point(s)","All","Scotland","All","All","Main scheme application","235","210","0.898","0"
"2020","9 point(s)","All","Scotland","All","All","Main scheme application","175","150","0.873","0"
"2021","9 point(s)","All","Scotland","All","All","Main scheme application","170","140","0.833","0"
"2022","9 point(s)","All","Scotland","All","All","Main scheme application","155","140","0.897","0"
"2023","9 point(s)","All","Scotland","All","All","Main scheme application","200","175","0.866","0"
"2010","10 point(s)","All","Scotland","All","All","Main scheme application","290","255","0.889","0"
"2011","10 point(s)","All","Scotland","All","All","Main scheme application","305","275","0.905","0"
"2012","10 point(s)","All","Scotland","All","All","Main scheme application","280","240","0.851","0"
"2013","10 point(s)","All","Scotland","All","All","Main scheme application","290","255","0.889","0"
"2014","10 point(s)","All","Scotland","All","All","Main scheme application","315","285","0.904","0"
"2015","10 point(s)","All","Scotland","All","All","Main scheme application","295","265","0.901","0"
"2016","10 point(s)","All","Scotland","All","All","Main scheme application","255","230","0.895","0"
"2017","10 point(s)","All","Scotland","All","All","Main scheme application","250","220","0.884","0"
"2018","10 point(s)","All","Scotland","All","All","Main scheme application","240","215","0.887","0"
"2019","10 point(s)","All","Scotland","All","All","Main scheme application","250","220","0.883","0"
"2020","10 point(s)","All","Scotland","All","All","Main scheme application","270","245","0.907","0"
"2021","10 point(s)","All","Scotland","All","All","Main scheme application","250","215","0.871","0"
"2022","10 point(s)","All","Scotland","All","All","Main scheme application","270","235","0.884","0"
