"Year","Predicted SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","11 point(s)","18","All","All","All","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","18","All","All","All","Not main scheme application","15","10","0.857","0"
"2013","11 point(s)","18","All","All","All","Not main scheme application","5","5"," ","0"
"2014","11 point(s)","18","All","All","All","Not main scheme application","10","5"," ","0"
"2015","11 point(s)","18","All","All","All","Not main scheme application","10","10"," ","0"
"2016","11 point(s)","18","All","All","All","Not main scheme application","15","10","0.786","0"
"2017","11 point(s)","18","All","All","All","Not main scheme application","10","5"," ","0"
"2018","11 point(s)","18","All","All","All","Not main scheme application","10","10"," ","0"
"2019","11 point(s)","18","All","All","All","Not main scheme application","10","10"," ","0"
"2020","11 point(s)","18","All","All","All","Not main scheme application","10","10"," ","0"
"2021","11 point(s)","18","All","All","All","Not main scheme application","20","15","0.789","0"
"2022","11 point(s)","18","All","All","All","Not main scheme application","15","10","0.857","0"
"2023","11 point(s)","18","All","All","All","Not main scheme application","10","5"," ","0"
"2010","12 point(s)","18","All","All","All","Not main scheme application","15","10","0.923","0"
"2011","12 point(s)","18","All","All","All","Not main scheme application","15","10","0.75","0"
"2012","12 point(s)","18","All","All","All","Not main scheme application","35","30","0.879","0"
"2013","12 point(s)","18","All","All","All","Not main scheme application","35","35","0.9430000000000001","0"
"2014","12 point(s)","18","All","All","All","Not main scheme application","50","35","0.771","0"
"2015","12 point(s)","18","All","All","All","Not main scheme application","45","40","0.93","0"
"2016","12 point(s)","18","All","All","All","Not main scheme application","40","35","0.872","0"
"2017","12 point(s)","18","All","All","All","Not main scheme application","50","45","0.86","0"
"2018","12 point(s)","18","All","All","All","Not main scheme application","50","45","0.843","0"
"2019","12 point(s)","18","All","All","All","Not main scheme application","50","45","0.922","0"
"2020","12 point(s)","18","All","All","All","Not main scheme application","55","45","0.855","0"
"2021","12 point(s)","18","All","All","All","Not main scheme application","35","30","0.882","0"
"2022","12 point(s)","18","All","All","All","Not main scheme application","60","55","0.855","0"
"2023","12 point(s)","18","All","All","All","Not main scheme application","45","40","0.87","0"
"2012","5 point(s)","18","All","All","All","Main scheme application","5","5"," ","0"
"2015","5 point(s)","18","All","All","All","Main scheme application","5","0"," ","0"
"2019","5 point(s)","18","All","All","All","Main scheme application","5","5"," ","0"
"2021","5 point(s)","18","All","All","All","Main scheme application","5","0"," ","0"
"2022","5 point(s)","18","All","All","All","Main scheme application","5","0"," ","0"
"2023","5 point(s)","18","All","All","All","Main scheme application","5","5"," ","0"
"2010","6 point(s)","18","All","All","All","Main scheme application","25","15","0.654","0"
"2011","6 point(s)","18","All","All","All","Main scheme application","25","15","0.739","0"
"2012","6 point(s)","18","All","All","All","Main scheme application","20","15","0.762","0"
"2013","6 point(s)","18","All","All","All","Main scheme application","20","15","0.833","0"
"2014","6 point(s)","18","All","All","All","Main scheme application","20","10","0.667","0"
"2015","6 point(s)","18","All","All","All","Main scheme application","20","15","0.65","0"
"2016","6 point(s)","18","All","All","All","Main scheme application","10","5"," ","0"
"2017","6 point(s)","18","All","All","All","Main scheme application","15","5"," ","0"
"2018","6 point(s)","18","All","All","All","Main scheme application","10","10"," ","0"
"2019","6 point(s)","18","All","All","All","Main scheme application","15","10"," ","0"
"2020","6 point(s)","18","All","All","All","Main scheme application","15","15","0.882","0"
"2021","6 point(s)","18","All","All","All","Main scheme application","15","10","0.846","0"
"2022","6 point(s)","18","All","All","All","Main scheme application","15","15","1","0"
"2023","6 point(s)","18","All","All","All","Main scheme application","15","15","0.929","0"
"2010","7 point(s)","18","All","All","All","Main scheme application","60","55","0.855","0"
"2011","7 point(s)","18","All","All","All","Main scheme application","60","40","0.672","0"
"2012","7 point(s)","18","All","All","All","Main scheme application","40","30","0.683","0"
"2013","7 point(s)","18","All","All","All","Main scheme application","55","45","0.807","0"
"2014","7 point(s)","18","All","All","All","Main scheme application","50","40","0.784","0"
"2015","7 point(s)","18","All","All","All","Main scheme application","40","30","0.842","0"
"2016","7 point(s)","18","All","All","All","Main scheme application","30","25","0.767","0"
"2017","7 point(s)","18","All","All","All","Main scheme application","30","20","0.714","0"
"2018","7 point(s)","18","All","All","All","Main scheme application","30","25","0.793","0"
"2019","7 point(s)","18","All","All","All","Main scheme application","30","20","0.6","0"
"2020","7 point(s)","18","All","All","All","Main scheme application","20","20","0.8180000000000001","0"
"2021","7 point(s)","18","All","All","All","Main scheme application","25","20","0.875","0"
"2022","7 point(s)","18","All","All","All","Main scheme application","40","35","0.85","0"
"2023","7 point(s)","18","All","All","All","Main scheme application","40","30","0.789","0"
"2010","8 point(s)","18","All","All","All","Main scheme application","135","115","0.846","0"
"2011","8 point(s)","18","All","All","All","Main scheme application","115","100","0.863","0"
"2012","8 point(s)","18","All","All","All","Main scheme application","115","90","0.788","0"
"2013","8 point(s)","18","All","All","All","Main scheme application","120","100","0.803","0"
"2014","8 point(s)","18","All","All","All","Main scheme application","80","70","0.864","0"
"2015","8 point(s)","18","All","All","All","Main scheme application","80","65","0.79","0"
"2016","8 point(s)","18","All","All","All","Main scheme application","90","80","0.857","0"
"2017","8 point(s)","18","All","All","All","Main scheme application","55","50","0.842","0"
"2018","8 point(s)","18","All","All","All","Main scheme application","70","60","0.8310000000000001","0"
"2019","8 point(s)","18","All","All","All","Main scheme application","75","65","0.892","0"
"2020","8 point(s)","18","All","All","All","Main scheme application","60","55","0.883","0"
"2021","8 point(s)","18","All","All","All","Main scheme application","70","55","0.809","0"
"2022","8 point(s)","18","All","All","All","Main scheme application","80","65","0.8130000000000001","0"
"2023","8 point(s)","18","All","All","All","Main scheme application","70","60","0.8170000000000001","0"
"2010","9 point(s)","18","All","All","All","Main scheme application","230","200","0.866","0"
"2011","9 point(s)","18","All","All","All","Main scheme application","225","195","0.871","0"
"2012","9 point(s)","18","All","All","All","Main scheme application","240","195","0.8280000000000001","0"
"2013","9 point(s)","18","All","All","All","Main scheme application","235","200","0.856","0"
"2014","9 point(s)","18","All","All","All","Main scheme application","195","170","0.872","0"
"2015","9 point(s)","18","All","All","All","Main scheme application","250","210","0.839","0"
"2016","9 point(s)","18","All","All","All","Main scheme application","230","195","0.864","0"
"2017","9 point(s)","18","All","All","All","Main scheme application","200","170","0.855","0"
"2018","9 point(s)","18","All","All","All","Main scheme application","210","185","0.88","0"
"2019","9 point(s)","18","All","All","All","Main scheme application","235","210","0.898","0"
"2020","9 point(s)","18","All","All","All","Main scheme application","175","150","0.873","0"
"2021","9 point(s)","18","All","All","All","Main scheme application","170","140","0.833","0"
"2022","9 point(s)","18","All","All","All","Main scheme application","155","140","0.897","0"
"2023","9 point(s)","18","All","All","All","Main scheme application","200","175","0.866","0"
"2010","10 point(s)","18","All","All","All","Main scheme application","290","255","0.889","0"
"2011","10 point(s)","18","All","All","All","Main scheme application","305","275","0.905","0"
"2012","10 point(s)","18","All","All","All","Main scheme application","280","240","0.851","0"
"2013","10 point(s)","18","All","All","All","Main scheme application","290","255","0.889","0"
"2014","10 point(s)","18","All","All","All","Main scheme application","315","285","0.904","0"
"2015","10 point(s)","18","All","All","All","Main scheme application","295","265","0.901","0"
"2016","10 point(s)","18","All","All","All","Main scheme application","255","230","0.895","0"
"2017","10 point(s)","18","All","All","All","Main scheme application","250","220","0.884","0"
"2018","10 point(s)","18","All","All","All","Main scheme application","240","215","0.887","0"
"2019","10 point(s)","18","All","All","All","Main scheme application","250","220","0.883","0"
"2020","10 point(s)","18","All","All","All","Main scheme application","270","245","0.907","0"
"2021","10 point(s)","18","All","All","All","Main scheme application","250","215","0.871","0"
"2022","10 point(s)","18","All","All","All","Main scheme application","270","235","0.884","0"
"2023","10 point(s)","18","All","All","All","Main scheme application","285","250","0.89","0"
"2010","11 point(s)","18","All","All","All","Main scheme application","315","285","0.911","0"
"2011","11 point(s)","18","All","All","All","Main scheme application","350","315","0.899","0"
"2012","11 point(s)","18","All","All","All","Main scheme application","330","285","0.861","0"
"2013","11 point(s)","18","All","All","All","Main scheme application","370","340","0.921","0"
"2014","11 point(s)","18","All","All","All","Main scheme application","335","305","0.913","0"
