"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","Female","25 - 29","England","Main scheme applicant","Not main scheme application","50","25","0.47100000000000003","0"
"2023","Female","25 - 29","England","Main scheme applicant","Not main scheme application","40","25","0.658","0"
"2019","Female","30 - 34","England","Main scheme applicant","Not main scheme application","35","20","0.606","0"
"2020","Female","30 - 34","England","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2021","Female","30 - 34","England","Main scheme applicant","Not main scheme application","30","15","0.438","0"
"2022","Female","30 - 34","England","Main scheme applicant","Not main scheme application","30","15","0.406","0"
"2023","Female","30 - 34","England","Main scheme applicant","Not main scheme application","25","15","0.654","0"
"2019","Female","35 and over","England","Main scheme applicant","Not main scheme application","30","20","0.5630000000000001","0"
"2020","Female","35 and over","England","Main scheme applicant","Not main scheme application","30","20","0.6","0"
"2021","Female","35 and over","England","Main scheme applicant","Not main scheme application","25","10"," ","0"
"2022","Female","35 and over","England","Main scheme applicant","Not main scheme application","35","15","0.47200000000000003","0"
"2023","Female","35 and over","England","Main scheme applicant","Not main scheme application","50","30","0.625","0"
"2022","Female","17 and under","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","18","Scotland","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Female","18","Scotland","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","Female","18","Scotland","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2022","Female","18","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","19","Scotland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","19","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","19","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","20","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Female","20","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","21 - 24","Scotland","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Female","21 - 24","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Female","21 - 24","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","21 - 24","Scotland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","21 - 24","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","25 - 29","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","Female","25 - 29","Scotland","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Female","25 - 29","Scotland","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2022","Female","25 - 29","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","25 - 29","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","Female","30 - 34","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","30 - 34","Scotland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","35 and over","Scotland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","35 and over","Scotland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","35 and over","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","18","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","18","Wales","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Female","18","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","18","Wales","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2023","Female","18","Wales","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","Female","19","Wales","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Female","19","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","19","Wales","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","20","Wales","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","21 - 24","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","21 - 24","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","21 - 24","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","21 - 24","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","21 - 24","Wales","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","Female","25 - 29","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","25 - 29","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","25 - 29","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","25 - 29","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","30 - 34","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
