"Year","Predicted SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","12 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2023","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2010","13 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2011","13 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2012","13 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2014","13 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2016","13 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2019","13 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2020","13 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2021","13 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2023","13 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2010","14 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2011","14 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","14 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2013","14 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2014","14 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2015","14 point(s)","All","All","Not main scheme application","20","15","0.65","0"
"2016","14 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2017","14 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2018","14 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2020","14 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2021","14 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","14 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2023","14 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2010","15 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2012","15 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2013","15 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","15 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2015","15 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2016","15 point(s)","All","All","Not main scheme application","10","0"," ","0"
"2017","15 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2018","15 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2019","15 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2021","15 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","15 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2023","15 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2010","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2011","16 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2012","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2013","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2015","16 point(s)","All","All","Not main scheme application","15","5"," ","0"
"2016","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2018","16 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2019","16 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2020","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2021","16 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2022","16 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2023","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2010","17 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","17 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","17 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2015","17 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2016","17 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2017","17 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2018","17 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2019","17 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2020","17 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","17 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","18 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2015","18 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2016","18 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","18 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2018","18 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2019","18 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2020","18 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","18 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2023","18 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2015","19 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2016","19 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","19 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2020","19 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2021","19 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2023","19 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","20 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2020","20 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","20 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2023","20 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2010","9 point(s)","All","All","Main scheme application","5","5"," ","0"
"2012","9 point(s)","All","All","Main scheme application","5","0"," ","0"
"2013","9 point(s)","All","All","Main scheme application","5","0"," ","0"
"2014","9 point(s)","All","All","Main scheme application","5","0"," ","0"
"2022","9 point(s)","All","All","Main scheme application","5","0"," ","0"
"2010","10 point(s)","All","All","Main scheme application","20","10"," ","0"
"2011","10 point(s)","All","All","Main scheme application","20","5"," ","0"
"2012","10 point(s)","All","All","Main scheme application","20","0"," ","0"
"2013","10 point(s)","All","All","Main scheme application","10","5"," ","0"
"2014","10 point(s)","All","All","Main scheme application","15","5"," ","0"
"2015","10 point(s)","All","All","Main scheme application","10","0"," ","0"
"2016","10 point(s)","All","All","Main scheme application","5","0"," ","0"
"2017","10 point(s)","All","All","Main scheme application","5","0"," ","0"
"2018","10 point(s)","All","All","Main scheme application","5","0"," ","0"
"2019","10 point(s)","All","All","Main scheme application","5","0"," ","0"
"2020","10 point(s)","All","All","Main scheme application","5","5"," ","0"
"2022","10 point(s)","All","All","Main scheme application","5","0"," ","0"
"2023","10 point(s)","All","All","Main scheme application","5","0"," ","0"
"2010","11 point(s)","All","All","Main scheme application","25","15","0.577","0"
"2011","11 point(s)","All","All","Main scheme application","20","10"," ","0"
"2012","11 point(s)","All","All","Main scheme application","35","10","0.364","0"
"2013","11 point(s)","All","All","Main scheme application","25","10"," ","0"
"2014","11 point(s)","All","All","Main scheme application","25","5"," ","0"
"2015","11 point(s)","All","All","Main scheme application","10","5"," ","0"
"2016","11 point(s)","All","All","Main scheme application","20","5"," ","0"
"2017","11 point(s)","All","All","Main scheme application","10","5"," ","0"
"2018","11 point(s)","All","All","Main scheme application","15","5"," ","0"
"2019","11 point(s)","All","All","Main scheme application","10","5"," ","0"
"2020","11 point(s)","All","All","Main scheme application","10","5"," ","0"
"2021","11 point(s)","All","All","Main scheme application","10","5"," ","0"
"2022","11 point(s)","All","All","Main scheme application","5","0"," ","0"
"2023","11 point(s)","All","All","Main scheme application","10","5"," ","0"
"2010","12 point(s)","All","All","Main scheme application","60","20","0.356","0"
"2011","12 point(s)","All","All","Main scheme application","35","10","0.324","0"
"2012","12 point(s)","All","All","Main scheme application","40","10","0.28200000000000003","0"
"2013","12 point(s)","All","All","Main scheme application","35","10","0.306","0"
"2014","12 point(s)","All","All","Main scheme application","40","10","0.262","0"
"2015","12 point(s)","All","All","Main scheme application","40","10"," ","0"
"2016","12 point(s)","All","All","Main scheme application","25","5"," ","0"
"2017","12 point(s)","All","All","Main scheme application","20","5"," ","0"
"2018","12 point(s)","All","All","Main scheme application","15","5"," ","0"
"2019","12 point(s)","All","All","Main scheme application","15","0"," ","0"
"2020","12 point(s)","All","All","Main scheme application","20","10"," ","0"
"2021","12 point(s)","All","All","Main scheme application","10","5"," ","0"
"2022","12 point(s)","All","All","Main scheme application","15","5"," ","0"
"2023","12 point(s)","All","All","Main scheme application","25","10"," ","0"
"2010","13 point(s)","All","All","Main scheme application","45","20","0.426","0"
"2011","13 point(s)","All","All","Main scheme application","50","20","0.44","0"
"2012","13 point(s)","All","All","Main scheme application","65","20","0.34900000000000003","0"
"2013","13 point(s)","All","All","Main scheme application","50","20","0.373","0"
"2014","13 point(s)","All","All","Main scheme application","55","15","0.321","0"
"2015","13 point(s)","All","All","Main scheme application","45","10"," ","0"
"2016","13 point(s)","All","All","Main scheme application","35","20","0.486","0"
