"Year","Difference between predicted and achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","-6 points","Quintile 4","All","Not main scheme application","170","140","0.8290000000000001","0"
"2011","-6 points","Quintile 4","All","Not main scheme application","195","170","0.881","0"
"2012","-6 points","Quintile 4","All","Not main scheme application","180","165","0.916","0"
"2013","-6 points","Quintile 4","All","Not main scheme application","180","160","0.894","0"
"2014","-6 points","Quintile 4","All","Not main scheme application","260","230","0.881","0"
"2015","-6 points","Quintile 4","All","Not main scheme application","265","245","0.918","0"
"2016","-6 points","Quintile 4","All","Not main scheme application","310","275","0.881","0"
"2017","-6 points","Quintile 4","All","Not main scheme application","415","380","0.909","0"
"2018","-6 points","Quintile 4","All","Not main scheme application","425","410","0.9560000000000001","0"
"2019","-6 points","Quintile 4","All","Not main scheme application","635","605","0.9530000000000001","0"
"2020","-6 points","Quintile 4","All","Not main scheme application","155","135","0.872","0"
"2021","-6 points","Quintile 4","All","Not main scheme application","150","145","0.966","0"
"2022","-6 points","Quintile 4","All","Not main scheme application","465","425","0.916","0"
"2023","-6 points","Quintile 4","All","Not main scheme application","835","790","0.9410000000000001","0"
"2010","Less than -6 points","Quintile 4","All","Not main scheme application","125","100","0.803","0"
"2011","Less than -6 points","Quintile 4","All","Not main scheme application","155","125","0.8170000000000001","5"
"2012","Less than -6 points","Quintile 4","All","Not main scheme application","125","105","0.856","0"
"2013","Less than -6 points","Quintile 4","All","Not main scheme application","160","140","0.875","0"
"2014","Less than -6 points","Quintile 4","All","Not main scheme application","225","205","0.899","0"
"2015","Less than -6 points","Quintile 4","All","Not main scheme application","225","200","0.885","0"
"2016","Less than -6 points","Quintile 4","All","Not main scheme application","275","245","0.894","0"
"2017","Less than -6 points","Quintile 4","All","Not main scheme application","395","345","0.875","0"
"2018","Less than -6 points","Quintile 4","All","Not main scheme application","535","490","0.919","0"
"2019","Less than -6 points","Quintile 4","All","Not main scheme application","825","755","0.915","0"
"2020","Less than -6 points","Quintile 4","All","Not main scheme application","140","120","0.859","0"
"2021","Less than -6 points","Quintile 4","All","Not main scheme application","140","125","0.9","0"
"2022","Less than -6 points","Quintile 4","All","Not main scheme application","565","495","0.873","0"
"2023","Less than -6 points","Quintile 4","All","Not main scheme application","1155","1050","0.912","0"
"2010","0 points","Quintile 5","All","Not main scheme application","610","535","0.875","0"
"2011","0 points","Quintile 5","All","Not main scheme application","675","605","0.895","0"
"2012","0 points","Quintile 5","All","Not main scheme application","605","555","0.914","0"
"2013","0 points","Quintile 5","All","Not main scheme application","540","505","0.933","0"
"2014","0 points","Quintile 5","All","Not main scheme application","505","460","0.905","0"
"2015","0 points","Quintile 5","All","Not main scheme application","480","445","0.927","0"
"2016","0 points","Quintile 5","All","Not main scheme application","510","470","0.923","0"
"2017","0 points","Quintile 5","All","Not main scheme application","560","530","0.9450000000000001","5"
"2018","0 points","Quintile 5","All","Not main scheme application","525","485","0.925","0"
"2019","0 points","Quintile 5","All","Not main scheme application","515","495","0.9590000000000001","0"
"2020","0 points","Quintile 5","All","Not main scheme application","2180","2110","0.967","10"
"2021","0 points","Quintile 5","All","Not main scheme application","950","885","0.933","5"
"2022","0 points","Quintile 5","All","Not main scheme application","865","755","0.874","0"
"2023","0 points","Quintile 5","All","Not main scheme application","480","420","0.879","0"
"2010","1 points","Quintile 5","All","Not main scheme application","230","200","0.865","0"
"2011","1 points","Quintile 5","All","Not main scheme application","270","240","0.881","0"
"2012","1 points","Quintile 5","All","Not main scheme application","320","285","0.9","0"
"2013","1 points","Quintile 5","All","Not main scheme application","265","250","0.936","0"
"2014","1 points","Quintile 5","All","Not main scheme application","250","235","0.9400000000000001","0"
"2015","1 points","Quintile 5","All","Not main scheme application","240","230","0.9420000000000001","0"
"2016","1 points","Quintile 5","All","Not main scheme application","235","215","0.911","0"
"2017","1 points","Quintile 5","All","Not main scheme application","275","260","0.931","0"
"2018","1 points","Quintile 5","All","Not main scheme application","235","220","0.9410000000000001","0"
"2019","1 points","Quintile 5","All","Not main scheme application","195","190","0.964","0"
"2020","1 points","Quintile 5","All","Not main scheme application","745","715","0.9570000000000001","5"
"2021","1 points","Quintile 5","All","Not main scheme application","515","470","0.915","0"
"2022","1 points","Quintile 5","All","Not main scheme application","435","385","0.885","0"
"2023","1 points","Quintile 5","All","Not main scheme application","190","180","0.9430000000000001","0"
"2010","2 points","Quintile 5","All","Not main scheme application","95","75","0.809","0"
"2011","2 points","Quintile 5","All","Not main scheme application","105","90","0.893","0"
"2012","2 points","Quintile 5","All","Not main scheme application","110","105","0.964","0"
"2013","2 points","Quintile 5","All","Not main scheme application","110","105","0.963","0"
"2014","2 points","Quintile 5","All","Not main scheme application","110","105","0.937","0"
"2015","2 points","Quintile 5","All","Not main scheme application","115","110","0.966","0"
"2016","2 points","Quintile 5","All","Not main scheme application","100","90","0.9390000000000001","0"
"2017","2 points","Quintile 5","All","Not main scheme application","125","120","0.961","0"
"2018","2 points","Quintile 5","All","Not main scheme application","125","115","0.921","0"
"2019","2 points","Quintile 5","All","Not main scheme application","105","100","0.9530000000000001","0"
"2020","2 points","Quintile 5","All","Not main scheme application","200","195","0.9550000000000001","0"
"2021","2 points","Quintile 5","All","Not main scheme application","265","240","0.902","0"
"2022","2 points","Quintile 5","All","Not main scheme application","210","185","0.868","0"
"2023","2 points","Quintile 5","All","Not main scheme application","80","75","0.9380000000000001","0"
"2010","3 points","Quintile 5","All","Not main scheme application","30","25","0.862","0"
"2011","3 points","Quintile 5","All","Not main scheme application","30","30","0.9380000000000001","0"
"2012","3 points","Quintile 5","All","Not main scheme application","40","40","0.9510000000000001","0"
"2013","3 points","Quintile 5","All","Not main scheme application","45","45","0.9560000000000001","0"
"2014","3 points","Quintile 5","All","Not main scheme application","40","40","0.9510000000000001","0"
"2015","3 points","Quintile 5","All","Not main scheme application","35","35","0.919","0"
"2016","3 points","Quintile 5","All","Not main scheme application","40","35","0.9470000000000001","0"
"2017","3 points","Quintile 5","All","Not main scheme application","55","55","0.981","0"
"2018","3 points","Quintile 5","All","Not main scheme application","55","55","0.964","0"
"2019","3 points","Quintile 5","All","Not main scheme application","55","55","0.9470000000000001","0"
"2020","3 points","Quintile 5","All","Not main scheme application","55","50","0.906","0"
"2021","3 points","Quintile 5","All","Not main scheme application","115","105","0.904","0"
"2022","3 points","Quintile 5","All","Not main scheme application","85","75","0.894","0"
"2023","3 points","Quintile 5","All","Not main scheme application","35","30","0.909","0"
"2010","More than 3 points","Quintile 5","All","Not main scheme application","15","15","0.9410000000000001","0"
"2011","More than 3 points","Quintile 5","All","Not main scheme application","15","15","0.9380000000000001","0"
"2012","More than 3 points","Quintile 5","All","Not main scheme application","20","20","1","0"
"2013","More than 3 points","Quintile 5","All","Not main scheme application","15","15","1","0"
"2014","More than 3 points","Quintile 5","All","Not main scheme application","20","20","0.9500000000000001","0"
"2015","More than 3 points","Quintile 5","All","Not main scheme application","15","15","0.875","0"
"2016","More than 3 points","Quintile 5","All","Not main scheme application","30","30","1","0"
"2017","More than 3 points","Quintile 5","All","Not main scheme application","25","25","1","0"
"2018","More than 3 points","Quintile 5","All","Not main scheme application","25","25","0.9580000000000001","0"
"2019","More than 3 points","Quintile 5","All","Not main scheme application","25","20","0.833","0"
"2020","More than 3 points","Quintile 5","All","Not main scheme application","15","15","1","0"
"2021","More than 3 points","Quintile 5","All","Not main scheme application","55","50","0.907","0"
"2022","More than 3 points","Quintile 5","All","Not main scheme application","60","60","0.967","0"
"2023","More than 3 points","Quintile 5","All","Not main scheme application","15","15","0.9380000000000001","0"
