"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Unknown","20","10"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Unknown","10","10"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Unknown","10","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Unknown","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Unknown","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Unknown","5","5"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Unknown","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Unknown","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Unknown","15","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Unknown","10","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","Unknown","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","Unknown","10","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","Unknown","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","Unknown","15","10"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","Unknown","15","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","Unknown","20","15","0.717"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","Unknown","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","Unknown","35","10","0.314"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","Unknown","20","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","Unknown","35","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","Unknown","10","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","Unknown","10","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","Unknown","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","Unknown","5","5"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","Unknown","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","70","55","0.794"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","60","45","0.723"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","45","35","0.752"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","20","15","0.75"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","90","30","0.35000000000000003"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","120","45","0.358"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","135","55","0.422"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","50","15","0.34"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","30","20","0.633"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Unknown","30","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Unknown","10","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Unknown","40","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Unknown","10","0"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Unknown","10","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","Unknown","10","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","Unknown","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","Unknown","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","Unknown","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","Unknown","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","Unknown","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","20","10"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","35","10"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","70","25","0.329"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","25","5"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","25","10","0.4"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","10","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","20","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","25","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","15","0"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","20","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","10","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","15","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","30","10"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","5","0"," "
"2019","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","15","15","0.855"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","10","10","1.061"
"2021","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","5","5"," "
"2022","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","5","5"," "
"2023","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","5","5"," "
"2020","(CAH19) language and area studies","(CAH19-01-02) English language","Unknown","5","0"," "
"2021","(CAH19) language and area studies","(CAH19-01-02) English language","Unknown","5","5"," "
"2022","(CAH19) language and area studies","(CAH19-01-02) English language","Unknown","5","5"," "
