"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","Scotland","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","35","5"," "
"2023","Scotland","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","35","10","0.297"
"2022","Wales","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","15","0"," "
"2023","Wales","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","10","5"," "
"2019","Scotland","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","40","15","0.381"
"2020","Scotland","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","60","25","0.371"
"2021","Scotland","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","45","10"," "
"2022","Scotland","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","30","10"," "
"2023","Scotland","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","15","5"," "
"2022","Wales","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","10","5"," "
"2019","Scotland","30 - 34","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","20","5"," "
"2020","Scotland","30 - 34","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","15","5"," "
"2021","Scotland","30 - 34","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","10","5"," "
"2022","Scotland","30 - 34","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Scotland","30 - 34","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","35 and over","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","10","5"," "
"2020","Scotland","35 and over","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","10","0"," "
"2021","Scotland","35 and over","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Scotland","35 and over","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Scotland","35 and over","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","21 - 24","Northern Ireland","Male","Main scheme applicant","Main scheme application","15","0"," "
"2020","Scotland","21 - 24","Northern Ireland","Male","Main scheme applicant","Main scheme application","10","0"," "
"2021","Scotland","21 - 24","Northern Ireland","Male","Main scheme applicant","Main scheme application","20","0"," "
"2022","Scotland","21 - 24","Northern Ireland","Male","Main scheme applicant","Main scheme application","15","5"," "
"2023","Scotland","21 - 24","Northern Ireland","Male","Main scheme applicant","Main scheme application","5","0"," "
