"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","Wales","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Wales","25 - 29","Not EU","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","England","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","England","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","England","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Wales","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","England","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","England","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Wales","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","England","35 and over","England","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Scotland","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","Scotland","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","15","10","0.8"
"2021","Scotland","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Scotland","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10","0.909"
"2023","Scotland","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","Scotland","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10","0.909"
"2020","Scotland","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","25","20","0.8150000000000001"
"2021","Scotland","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Scotland","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Scotland","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","Scotland","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Scotland","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Scotland","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Scotland","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2020","Scotland","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","20","15","0.789"
"2021","Scotland","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Scotland","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","15","10"," "
"2023","Scotland","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001"
"2022","Wales","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","25","20","0.8260000000000001"
"2023","Wales","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","25","20","0.846"
"2022","Wales","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","10","10","0.909"
"2023","Wales","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Wales","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Wales","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Wales","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2021","Scotland","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","60","30","0.484"
"2020","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","60","10"," "
"2021","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","85","25","0.321"
"2022","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","55","30","0.5660000000000001"
"2023","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","35","25","0.639"
"2019","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","40","20","0.5"
"2020","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","45","20","0.426"
"2021","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","55","20","0.333"
"2022","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","30","15","0.5670000000000001"
"2023","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.708"
"2019","Scotland","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2020","Scotland","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","15","10"," "
"2021","Scotland","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","20","10"," "
