"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applicant","Main scheme application","Accepted applicants"
"2023","(CAH11) computing","(CAH11-01-01) computer science","All","Social/behavioural/communication impairment","All","All","470"
"2019","(CAH11) computing","(CAH11-01-02) information technology","All","Social/behavioural/communication impairment","All","All","30"
"2020","(CAH11) computing","(CAH11-01-02) information technology","All","Social/behavioural/communication impairment","All","All","40"
"2021","(CAH11) computing","(CAH11-01-02) information technology","All","Social/behavioural/communication impairment","All","All","35"
"2022","(CAH11) computing","(CAH11-01-02) information technology","All","Social/behavioural/communication impairment","All","All","35"
"2023","(CAH11) computing","(CAH11-01-02) information technology","All","Social/behavioural/communication impairment","All","All","30"
"2019","(CAH11) computing","(CAH11-01-03) information systems","All","Social/behavioural/communication impairment","All","All","10"
"2020","(CAH11) computing","(CAH11-01-03) information systems","All","Social/behavioural/communication impairment","All","All","10"
"2021","(CAH11) computing","(CAH11-01-03) information systems","All","Social/behavioural/communication impairment","All","All","20"
"2022","(CAH11) computing","(CAH11-01-03) information systems","All","Social/behavioural/communication impairment","All","All","15"
"2023","(CAH11) computing","(CAH11-01-03) information systems","All","Social/behavioural/communication impairment","All","All","10"
"2019","(CAH11) computing","(CAH11-01-04) software engineering","All","Social/behavioural/communication impairment","All","All","95"
"2020","(CAH11) computing","(CAH11-01-04) software engineering","All","Social/behavioural/communication impairment","All","All","115"
"2021","(CAH11) computing","(CAH11-01-04) software engineering","All","Social/behavioural/communication impairment","All","All","105"
"2022","(CAH11) computing","(CAH11-01-04) software engineering","All","Social/behavioural/communication impairment","All","All","110"
"2023","(CAH11) computing","(CAH11-01-04) software engineering","All","Social/behavioural/communication impairment","All","All","120"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Social/behavioural/communication impairment","All","All","25"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Social/behavioural/communication impairment","All","All","20"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Social/behavioural/communication impairment","All","All","35"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Social/behavioural/communication impairment","All","All","40"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Social/behavioural/communication impairment","All","All","45"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Social/behavioural/communication impairment","All","All","20"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Social/behavioural/communication impairment","All","All","15"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Social/behavioural/communication impairment","All","All","20"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Social/behavioural/communication impairment","All","All","15"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Social/behavioural/communication impairment","All","All","25"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Social/behavioural/communication impairment","All","All","15"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Social/behavioural/communication impairment","All","All","15"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Social/behavioural/communication impairment","All","All","30"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Social/behavioural/communication impairment","All","All","25"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Social/behavioural/communication impairment","All","All","40"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Social/behavioural/communication impairment","All","All","10"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Social/behavioural/communication impairment","All","All","5"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Social/behavioural/communication impairment","All","All","10"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Social/behavioural/communication impairment","All","All","10"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Social/behavioural/communication impairment","All","All","25"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Social/behavioural/communication impairment","All","All","15"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Social/behavioural/communication impairment","All","All","15"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Social/behavioural/communication impairment","All","All","25"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Social/behavioural/communication impairment","All","All","30"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Social/behavioural/communication impairment","All","All","30"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Social/behavioural/communication impairment","All","All","30"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Social/behavioural/communication impairment","All","All","45"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Social/behavioural/communication impairment","All","All","40"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Social/behavioural/communication impairment","All","All","55"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Social/behavioural/communication impairment","All","All","60"
"2019","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Social/behavioural/communication impairment","All","All","5"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Social/behavioural/communication impairment","All","All","5"
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Social/behavioural/communication impairment","All","All","5"
"2022","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Social/behavioural/communication impairment","All","All","15"
"2023","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Social/behavioural/communication impairment","All","All","15"
"2019","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Social/behavioural/communication impairment","All","All","10"
"2020","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Social/behavioural/communication impairment","All","All","10"
"2021","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Social/behavioural/communication impairment","All","All","15"
"2022","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Social/behavioural/communication impairment","All","All","15"
"2023","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Social/behavioural/communication impairment","All","All","15"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Social/behavioural/communication impairment","All","All","55"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Social/behavioural/communication impairment","All","All","80"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Social/behavioural/communication impairment","All","All","65"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Social/behavioural/communication impairment","All","All","80"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Social/behavioural/communication impairment","All","All","80"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Social/behavioural/communication impairment","All","All","20"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Social/behavioural/communication impairment","All","All","20"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Social/behavioural/communication impairment","All","All","20"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Social/behavioural/communication impairment","All","All","35"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Social/behavioural/communication impairment","All","All","20"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","All","Social/behavioural/communication impairment","All","All","110"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","All","Social/behavioural/communication impairment","All","All","115"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","All","Social/behavioural/communication impairment","All","All","125"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","All","Social/behavioural/communication impairment","All","All","130"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","All","Social/behavioural/communication impairment","All","All","125"
"2019","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","All","Social/behavioural/communication impairment","All","All","5"
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Social/behavioural/communication impairment","All","All","15"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Social/behavioural/communication impairment","All","All","15"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Social/behavioural/communication impairment","All","All","25"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Social/behavioural/communication impairment","All","All","25"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Social/behavioural/communication impairment","All","All","35"
"2021","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Social/behavioural/communication impairment","All","All","5"
"2022","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Social/behavioural/communication impairment","All","All","5"
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Social/behavioural/communication impairment","All","All","5"
"2019","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","Social/behavioural/communication impairment","All","All","5"
"2020","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","Social/behavioural/communication impairment","All","All","5"
"2021","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","Social/behavioural/communication impairment","All","All","5"
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","Social/behavioural/communication impairment","All","All","10"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Social/behavioural/communication impairment","All","All","140"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Social/behavioural/communication impairment","All","All","150"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Social/behavioural/communication impairment","All","All","175"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Social/behavioural/communication impairment","All","All","235"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Social/behavioural/communication impairment","All","All","305"
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Social/behavioural/communication impairment","All","All","5"
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Social/behavioural/communication impairment","All","All","5"
"2021","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Social/behavioural/communication impairment","All","All","5"
"2023","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Social/behavioural/communication impairment","All","All","5"
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Social/behavioural/communication impairment","All","All","145"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Social/behavioural/communication impairment","All","All","170"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Social/behavioural/communication impairment","All","All","195"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Social/behavioural/communication impairment","All","All","200"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Social/behavioural/communication impairment","All","All","225"
"2020","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Social/behavioural/communication impairment","All","All","5"
"2021","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Social/behavioural/communication impairment","All","All","5"
"2022","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Social/behavioural/communication impairment","All","All","5"
"2023","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Social/behavioural/communication impairment","All","All","5"
"2019","(CAH22) education and teaching","(CAH22-01-01) education","All","Social/behavioural/communication impairment","All","All","25"
"2020","(CAH22) education and teaching","(CAH22-01-01) education","All","Social/behavioural/communication impairment","All","All","45"
"2021","(CAH22) education and teaching","(CAH22-01-01) education","All","Social/behavioural/communication impairment","All","All","50"
"2022","(CAH22) education and teaching","(CAH22-01-01) education","All","Social/behavioural/communication impairment","All","All","75"
"2023","(CAH22) education and teaching","(CAH22-01-01) education","All","Social/behavioural/communication impairment","All","All","65"
"2019","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Social/behavioural/communication impairment","All","All","30"
"2020","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Social/behavioural/communication impairment","All","All","40"
"2021","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Social/behavioural/communication impairment","All","All","55"
"2022","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Social/behavioural/communication impairment","All","All","70"
"2023","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Social/behavioural/communication impairment","All","All","55"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Social/behavioural/communication impairment","All","All","5"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Social/behavioural/communication impairment","All","All","10"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Social/behavioural/communication impairment","All","All","5"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Social/behavioural/communication impairment","All","All","5"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Social/behavioural/communication impairment","All","All","25"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Social/behavioural/communication impairment","All","All","35"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Social/behavioural/communication impairment","All","All","35"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Social/behavioural/communication impairment","All","All","50"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Social/behavioural/communication impairment","All","All","50"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Social/behavioural/communication impairment","All","All","40"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Social/behavioural/communication impairment","All","All","45"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Social/behavioural/communication impairment","All","All","50"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Social/behavioural/communication impairment","All","All","55"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Social/behavioural/communication impairment","All","All","65"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Social/behavioural/communication impairment","All","All","5"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Social/behavioural/communication impairment","All","All","5"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Social/behavioural/communication impairment","All","All","5"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","Social/behavioural/communication impairment","All","All","5"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Social/behavioural/communication impairment","All","All","5"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Social/behavioural/communication impairment","All","All","5"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Social/behavioural/communication impairment","All","All","5"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","Social/behavioural/communication impairment","All","All","5"
"2019","(CAH16) law","(CAH16-01-01) law","All","Social/behavioural/communication impairment","All","All","110"
"2020","(CAH16) law","(CAH16-01-01) law","All","Social/behavioural/communication impairment","All","All","135"
"2021","(CAH16) law","(CAH16-01-01) law","All","Social/behavioural/communication impairment","All","All","170"
"2022","(CAH16) law","(CAH16-01-01) law","All","Social/behavioural/communication impairment","All","All","200"
"2023","(CAH16) law","(CAH16-01-01) law","All","Social/behavioural/communication impairment","All","All","230"
"2019","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Social/behavioural/communication impairment","All","All","5"
"2020","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Social/behavioural/communication impairment","All","All","10"
"2021","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Social/behavioural/communication impairment","All","All","15"
"2022","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Social/behavioural/communication impairment","All","All","10"
"2023","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Social/behavioural/communication impairment","All","All","15"
"2019","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Social/behavioural/communication impairment","All","All","5"
"2020","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Social/behavioural/communication impairment","All","All","10"
"2021","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Social/behavioural/communication impairment","All","All","10"
"2022","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Social/behavioural/communication impairment","All","All","15"
"2023","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Social/behavioural/communication impairment","All","All","15"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Visual impairment","All","All","15"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Visual impairment","All","All","15"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Visual impairment","All","All","15"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Visual impairment","All","All","10"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Visual impairment","All","All","50"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Visual impairment","All","All","20"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Visual impairment","All","All","20"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Visual impairment","All","All","25"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Visual impairment","All","All","30"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Visual impairment","All","All","45"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Visual impairment","All","All","15"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Visual impairment","All","All","10"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Visual impairment","All","All","15"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Visual impairment","All","All","15"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Visual impairment","All","All","35"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Visual impairment","All","All","5"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Visual impairment","All","All","5"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Visual impairment","All","All","5"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Visual impairment","All","All","5"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Visual impairment","All","All","15"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Visual impairment","All","All","15"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Visual impairment","All","All","10"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Visual impairment","All","All","5"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Visual impairment","All","All","5"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Visual impairment","All","All","15"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","All","Visual impairment","All","All","5"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Visual impairment","All","All","5"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Visual impairment","All","All","5"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Visual impairment","All","All","5"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","All","Visual impairment","All","All","5"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","All","Visual impairment","All","All","5"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","All","Visual impairment","All","All","5"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","All","Visual impairment","All","All","10"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","All","Visual impairment","All","All","5"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","All","Visual impairment","All","All","15"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","All","Visual impairment","All","All","5"
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","All","Visual impairment","All","All","15"
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","All","Visual impairment","All","All","5"
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","All","Visual impairment","All","All","5"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","All","Visual impairment","All","All","5"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","All","Visual impairment","All","All","5"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","All","Visual impairment","All","All","20"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","All","Visual impairment","All","All","5"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","All","Visual impairment","All","All","5"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","All","Visual impairment","All","All","15"
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","All","Visual impairment","All","All","5"
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","All","Visual impairment","All","All","5"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","All","Visual impairment","All","All","5"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","All","Visual impairment","All","All","5"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","All","Visual impairment","All","All","5"
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","All","Visual impairment","All","All","20"
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","All","Visual impairment","All","All","5"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","All","Visual impairment","All","All","5"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","All","Visual impairment","All","All","5"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","All","Visual impairment","All","All","10"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","All","Visual impairment","All","All","25"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","All","Visual impairment","All","All","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","All","Visual impairment","All","All","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","All","Visual impairment","All","All","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","All","Visual impairment","All","All","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","All","Visual impairment","All","All","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","All","Visual impairment","All","All","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","All","Visual impairment","All","All","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","All","Visual impairment","All","All","15"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","All","Visual impairment","All","All","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","All","Visual impairment","All","All","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","All","Visual impairment","All","All","10"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","All","Visual impairment","All","All","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","All","Visual impairment","All","All","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","All","Visual impairment","All","All","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","All","Visual impairment","All","All","15"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","All","Visual impairment","All","All","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","All","Visual impairment","All","All","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","All","Visual impairment","All","All","15"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","All","Visual impairment","All","All","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","All","Visual impairment","All","All","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","All","Visual impairment","All","All","15"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","All","Visual impairment","All","All","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","All","Visual impairment","All","All","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","All","Visual impairment","All","All","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","All","Visual impairment","All","All","10"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","All","Visual impairment","All","All","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","All","Visual impairment","All","All","10"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","All","Visual impairment","All","All","15"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","All","Visual impairment","All","All","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","All","Visual impairment","All","All","35"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","All","Visual impairment","All","All","10"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","All","Visual impairment","All","All","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","All","Visual impairment","All","All","15"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","All","Visual impairment","All","All","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","All","Visual impairment","All","All","45"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","All","Visual impairment","All","All","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","All","Visual impairment","All","All","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","All","Visual impairment","All","All","15"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","All","Visual impairment","All","All","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","All","Visual impairment","All","All","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","All","Visual impairment","All","All","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","All","Visual impairment","All","All","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","All","Visual impairment","All","All","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","All","Visual impairment","All","All","20"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","All","Visual impairment","All","All","5"
