"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","60"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","45"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","40"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","40"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","35"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","35"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","80"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","85"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","60"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","110"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","220"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","265"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","270"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","255"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","225"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","265"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","330"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","165"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","225"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","245"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","120"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","170"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","140"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","85"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","90"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","140"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","110"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","110"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","65"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","480"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","605"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","425"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","500"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","580"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","55"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","60"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","50"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","95"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","130"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","110"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","90"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","140"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","100"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","80"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","125"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","45"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","65"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","70"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","100"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","135"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","55"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","55"
