"Year","Predicted BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","8 points (D*DD)","Asian","All","All","535","475","0.895","0"
"2023","8 points (D*DD)","Asian","All","All","515","465","0.901","0"
"2012","9 points (D*D*D)","Asian","All","All","85","75","0.881","0"
"2013","9 points (D*D*D)","Asian","All","All","80","65","0.859","0"
"2014","9 points (D*D*D)","Asian","All","All","115","105","0.904","0"
"2015","9 points (D*D*D)","Asian","All","All","195","175","0.903","0"
"2016","9 points (D*D*D)","Asian","All","All","280","255","0.911","0"
"2017","9 points (D*D*D)","Asian","All","All","305","270","0.885","0"
"2018","9 points (D*D*D)","Asian","All","All","315","280","0.883","0"
"2019","9 points (D*D*D)","Asian","All","All","395","345","0.876","0"
"2020","9 points (D*D*D)","Asian","All","All","420","385","0.921","0"
"2021","9 points (D*D*D)","Asian","All","All","590","530","0.894","0"
"2022","9 points (D*D*D)","Asian","All","All","350","310","0.875","0"
"2023","9 points (D*D*D)","Asian","All","All","350","295","0.845","0"
"2013","10 points (D*D*D*)","Asian","All","All","195","170","0.863","0"
"2014","10 points (D*D*D*)","Asian","All","All","260","235","0.908","0"
"2015","10 points (D*D*D*)","Asian","All","All","380","340","0.9","0"
"2016","10 points (D*D*D*)","Asian","All","All","485","445","0.915","0"
"2017","10 points (D*D*D*)","Asian","All","All","570","520","0.917","0"
"2018","10 points (D*D*D*)","Asian","All","All","605","565","0.932","0"
"2019","10 points (D*D*D*)","Asian","All","All","670","620","0.924","0"
"2020","10 points (D*D*D*)","Asian","All","All","885","840","0.9510000000000001","0"
"2021","10 points (D*D*D*)","Asian","All","All","915","840","0.916","0"
"2022","10 points (D*D*D*)","Asian","All","All","425","370","0.879","0"
"2023","10 points (D*D*D*)","Asian","All","All","300","255","0.85","0"
"2010","1 point (PPP)","Mixed","All","All","20","10"," ","0"
"2011","1 point (PPP)","Mixed","All","All","25","10"," ","0"
"2012","1 point (PPP)","Mixed","All","All","20","15","0.591","0"
"2013","1 point (PPP)","Mixed","All","All","20","15","0.684","0"
"2014","1 point (PPP)","Mixed","All","All","20","10","0.5","0"
"2015","1 point (PPP)","Mixed","All","All","15","10","0.706","0"
"2016","1 point (PPP)","Mixed","All","All","15","5"," ","0"
"2017","1 point (PPP)","Mixed","All","All","10","5"," ","0"
"2018","1 point (PPP)","Mixed","All","All","10","5"," ","0"
"2019","1 point (PPP)","Mixed","All","All","15","15","0.875","0"
"2020","1 point (PPP)","Mixed","All","All","15","10"," ","0"
"2021","1 point (PPP)","Mixed","All","All","20","20","0.8180000000000001","0"
"2022","1 point (PPP)","Mixed","All","All","30","20","0.714","0"
"2023","1 point (PPP)","Mixed","All","All","30","25","0.719","0"
"2010","2 points (MPP)","Mixed","All","All","35","20","0.667","0"
"2011","2 points (MPP)","Mixed","All","All","30","15","0.5","0"
"2012","2 points (MPP)","Mixed","All","All","35","20","0.629","0"
"2013","2 points (MPP)","Mixed","All","All","25","20","0.8","0"
"2014","2 points (MPP)","Mixed","All","All","25","20","0.731","0"
"2015","2 points (MPP)","Mixed","All","All","25","15","0.542","0"
"2016","2 points (MPP)","Mixed","All","All","30","20","0.594","0"
"2017","2 points (MPP)","Mixed","All","All","25","15","0.583","0"
"2018","2 points (MPP)","Mixed","All","All","15","15","0.765","0"
"2019","2 points (MPP)","Mixed","All","All","25","15","0.708","0"
"2020","2 points (MPP)","Mixed","All","All","20","20","0.909","0"
"2021","2 points (MPP)","Mixed","All","All","40","30","0.763","0"
"2022","2 points (MPP)","Mixed","All","All","35","30","0.757","0"
"2023","2 points (MPP)","Mixed","All","All","40","35","0.85","0"
"2010","3 points (MMP)","Mixed","All","All","65","45","0.719","0"
"2011","3 points (MMP)","Mixed","All","All","60","45","0.717","0"
"2012","3 points (MMP)","Mixed","All","All","40","25","0.59","0"
"2013","3 points (MMP)","Mixed","All","All","50","40","0.765","0"
"2014","3 points (MMP)","Mixed","All","All","35","25","0.6940000000000001","0"
"2015","3 points (MMP)","Mixed","All","All","40","30","0.744","0"
"2016","3 points (MMP)","Mixed","All","All","30","25","0.8280000000000001","0"
"2017","3 points (MMP)","Mixed","All","All","25","15","0.538","0"
"2018","3 points (MMP)","Mixed","All","All","35","25","0.765","0"
"2019","3 points (MMP)","Mixed","All","All","30","25","0.8","0"
"2020","3 points (MMP)","Mixed","All","All","20","15","0.81","0"
"2021","3 points (MMP)","Mixed","All","All","45","35","0.837","0"
"2022","3 points (MMP)","Mixed","All","All","40","30","0.738","0"
"2023","3 points (MMP)","Mixed","All","All","45","30","0.6960000000000001","0"
"2010","4 points (MMM)","Mixed","All","All","150","105","0.684","0"
"2011","4 points (MMM)","Mixed","All","All","145","105","0.733","0"
"2012","4 points (MMM)","Mixed","All","All","130","85","0.659","0"
"2013","4 points (MMM)","Mixed","All","All","150","110","0.733","0"
"2014","4 points (MMM)","Mixed","All","All","120","85","0.731","0"
"2015","4 points (MMM)","Mixed","All","All","115","95","0.8160000000000001","0"
"2016","4 points (MMM)","Mixed","All","All","115","85","0.73","0"
"2017","4 points (MMM)","Mixed","All","All","75","65","0.857","0"
"2018","4 points (MMM)","Mixed","All","All","80","65","0.859","0"
"2019","4 points (MMM)","Mixed","All","All","65","50","0.797","0"
"2020","4 points (MMM)","Mixed","All","All","75","70","0.883","0"
"2021","4 points (MMM)","Mixed","All","All","95","75","0.8170000000000001","0"
"2022","4 points (MMM)","Mixed","All","All","130","105","0.803","0"
"2023","4 points (MMM)","Mixed","All","All","135","100","0.745","0"
"2010","5 points (DMM)","Mixed","All","All","135","115","0.837","0"
"2011","5 points (DMM)","Mixed","All","All","160","115","0.731","0"
"2012","5 points (DMM)","Mixed","All","All","155","120","0.792","0"
"2013","5 points (DMM)","Mixed","All","All","160","115","0.713","0"
"2014","5 points (DMM)","Mixed","All","All","165","125","0.755","0"
"2015","5 points (DMM)","Mixed","All","All","160","115","0.714","0"
"2016","5 points (DMM)","Mixed","All","All","165","140","0.855","0"
"2017","5 points (DMM)","Mixed","All","All","130","105","0.798","0"
"2018","5 points (DMM)","Mixed","All","All","105","95","0.907","0"
"2019","5 points (DMM)","Mixed","All","All","130","110","0.833","0"
"2020","5 points (DMM)","Mixed","All","All","140","120","0.871","0"
"2021","5 points (DMM)","Mixed","All","All","160","125","0.804","0"
"2022","5 points (DMM)","Mixed","All","All","170","140","0.8300000000000001","0"
"2023","5 points (DMM)","Mixed","All","All","190","145","0.761","0"
"2010","6 points (DDM)","Mixed","All","All","130","105","0.795","0"
"2011","6 points (DDM)","Mixed","All","All","125","105","0.854","0"
"2012","6 points (DDM)","Mixed","All","All","120","85","0.725","0"
"2013","6 points (DDM)","Mixed","All","All","160","115","0.741","0"
"2014","6 points (DDM)","Mixed","All","All","165","135","0.8140000000000001","0"
"2015","6 points (DDM)","Mixed","All","All","215","175","0.801","0"
"2016","6 points (DDM)","Mixed","All","All","185","150","0.796","0"
"2017","6 points (DDM)","Mixed","All","All","180","155","0.882","0"
"2018","6 points (DDM)","Mixed","All","All","140","110","0.797","0"
"2019","6 points (DDM)","Mixed","All","All","145","115","0.799","0"
"2020","6 points (DDM)","Mixed","All","All","160","135","0.862","0"
"2021","6 points (DDM)","Mixed","All","All","210","180","0.861","0"
"2022","6 points (DDM)","Mixed","All","All","205","160","0.783","0"
"2023","6 points (DDM)","Mixed","All","All","205","160","0.798","0"
"2010","7 points (DDD)","Mixed","All","All","145","110","0.747","0"
"2011","7 points (DDD)","Mixed","All","All","185","150","0.8160000000000001","0"
"2012","7 points (DDD)","Mixed","All","All","170","130","0.749","0"
"2013","7 points (DDD)","Mixed","All","All","190","145","0.772","0"
"2014","7 points (DDD)","Mixed","All","All","210","180","0.848","0"
"2015","7 points (DDD)","Mixed","All","All","230","185","0.8160000000000001","0"
"2016","7 points (DDD)","Mixed","All","All","170","140","0.8200000000000001","0"
"2017","7 points (DDD)","Mixed","All","All","195","165","0.8320000000000001","0"
"2018","7 points (DDD)","Mixed","All","All","170","145","0.855","0"
"2019","7 points (DDD)","Mixed","All","All","195","165","0.845","0"
"2020","7 points (DDD)","Mixed","All","All","215","190","0.892","0"
"2021","7 points (DDD)","Mixed","All","All","215","180","0.85","0"
"2022","7 points (DDD)","Mixed","All","All","240","180","0.748","0"
"2023","7 points (DDD)","Mixed","All","All","220","185","0.841","0"
"2012","8 points (D*DD)","Mixed","All","All","10","10","0.833","0"
"2013","8 points (D*DD)","Mixed","All","All","20","15","0.714","0"
"2014","8 points (D*DD)","Mixed","All","All","55","40","0.764","0"
"2015","8 points (D*DD)","Mixed","All","All","95","80","0.8210000000000001","0"
"2016","8 points (D*DD)","Mixed","All","All","110","90","0.835","0"
"2017","8 points (D*DD)","Mixed","All","All","100","85","0.86","0"
"2018","8 points (D*DD)","Mixed","All","All","110","95","0.862","0"
"2019","8 points (D*DD)","Mixed","All","All","110","90","0.8210000000000001","0"
"2020","8 points (D*DD)","Mixed","All","All","140","125","0.879","0"
"2021","8 points (D*DD)","Mixed","All","All","160","135","0.848","0"
"2022","8 points (D*DD)","Mixed","All","All","145","120","0.8220000000000001","0"
"2023","8 points (D*DD)","Mixed","All","All","155","135","0.847","0"
"2012","9 points (D*D*D)","Mixed","All","All","55","45","0.849","0"
"2013","9 points (D*D*D)","Mixed","All","All","40","30","0.795","0"
"2014","9 points (D*D*D)","Mixed","All","All","55","45","0.768","0"
"2015","9 points (D*D*D)","Mixed","All","All","95","80","0.8320000000000001","0"
"2016","9 points (D*D*D)","Mixed","All","All","105","85","0.8270000000000001","0"
"2017","9 points (D*D*D)","Mixed","All","All","100","85","0.838","0"
"2018","9 points (D*D*D)","Mixed","All","All","100","85","0.869","0"
"2019","9 points (D*D*D)","Mixed","All","All","110","95","0.889","0"
"2020","9 points (D*D*D)","Mixed","All","All","100","90","0.873","0"
"2021","9 points (D*D*D)","Mixed","All","All","145","115","0.793","0"
"2022","9 points (D*D*D)","Mixed","All","All","120","95","0.808","0"
"2023","9 points (D*D*D)","Mixed","All","All","100","80","0.837","0"
"2013","10 points (D*D*D*)","Mixed","All","All","95","75","0.787","0"
"2014","10 points (D*D*D*)","Mixed","All","All","130","105","0.803","0"
"2015","10 points (D*D*D*)","Mixed","All","All","195","155","0.797","0"
"2016","10 points (D*D*D*)","Mixed","All","All","210","170","0.801","0"
"2017","10 points (D*D*D*)","Mixed","All","All","220","185","0.858","0"
"2018","10 points (D*D*D*)","Mixed","All","All","225","190","0.861","0"
"2019","10 points (D*D*D*)","Mixed","All","All","190","165","0.872","0"
"2020","10 points (D*D*D*)","Mixed","All","All","205","175","0.868","0"
"2021","10 points (D*D*D*)","Mixed","All","All","225","195","0.854","0"
"2022","10 points (D*D*D*)","Mixed","All","All","170","140","0.839","0"
"2023","10 points (D*D*D*)","Mixed","All","All","100","85","0.8140000000000001","0"
"2010","1 point (PPP)","Other","All","All","5","0"," ","0"
"2011","1 point (PPP)","Other","All","All","5","0"," ","0"
"2012","1 point (PPP)","Other","All","All","5","0"," ","0"
"2013","1 point (PPP)","Other","All","All","10","10","0.917","0"
"2014","1 point (PPP)","Other","All","All","5","5"," ","0"
"2015","1 point (PPP)","Other","All","All","5","5"," ","0"
"2016","1 point (PPP)","Other","All","All","10","10"," ","0"
"2017","1 point (PPP)","Other","All","All","10","10"," ","0"
"2019","1 point (PPP)","Other","All","All","10","5"," ","0"
"2020","1 point (PPP)","Other","All","All","10","10"," ","0"
"2021","1 point (PPP)","Other","All","All","10","10"," ","0"
"2022","1 point (PPP)","Other","All","All","15","5"," ","0"
"2023","1 point (PPP)","Other","All","All","25","20","0.792","0"
"2010","2 points (MPP)","Other","All","All","10","5"," ","0"
"2011","2 points (MPP)","Other","All","All","10","5"," ","0"
"2012","2 points (MPP)","Other","All","All","10","10"," ","0"
"2013","2 points (MPP)","Other","All","All","5","5"," ","0"
"2014","2 points (MPP)","Other","All","All","15","10","0.6880000000000001","0"
"2015","2 points (MPP)","Other","All","All","20","15","0.778","0"
"2016","2 points (MPP)","Other","All","All","20","15","0.722","0"
"2017","2 points (MPP)","Other","All","All","20","15","0.833","0"
"2018","2 points (MPP)","Other","All","All","15","15","1","0"
"2019","2 points (MPP)","Other","All","All","10","5"," ","0"
"2020","2 points (MPP)","Other","All","All","15","15","1","0"
"2021","2 points (MPP)","Other","All","All","25","20","0.792","0"
"2022","2 points (MPP)","Other","All","All","25","20","0.87","0"
"2023","2 points (MPP)","Other","All","All","35","25","0.788","0"
"2010","3 points (MMP)","Other","All","All","15","5"," ","0"
"2011","3 points (MMP)","Other","All","All","15","10","0.75","0"
"2012","3 points (MMP)","Other","All","All","15","10"," ","0"
"2013","3 points (MMP)","Other","All","All","15","10","0.786","0"
"2014","3 points (MMP)","Other","All","All","20","10","0.579","0"
"2015","3 points (MMP)","Other","All","All","15","10"," ","0"
"2016","3 points (MMP)","Other","All","All","20","15","0.773","0"
"2017","3 points (MMP)","Other","All","All","15","10","0.923","0"
"2018","3 points (MMP)","Other","All","All","15","15","0.9410000000000001","0"
"2019","3 points (MMP)","Other","All","All","15","15","0.933","0"
"2020","3 points (MMP)","Other","All","All","15","15","0.9410000000000001","0"
"2021","3 points (MMP)","Other","All","All","40","35","0.895","0"
"2022","3 points (MMP)","Other","All","All","30","20","0.75","0"
"2023","3 points (MMP)","Other","All","All","40","35","0.786","0"
"2010","4 points (MMM)","Other","All","All","30","25","0.833","0"
"2011","4 points (MMM)","Other","All","All","45","35","0.837","0"
"2012","4 points (MMM)","Other","All","All","45","40","0.8300000000000001","0"
"2013","4 points (MMM)","Other","All","All","65","50","0.8130000000000001","0"
"2014","4 points (MMM)","Other","All","All","50","35","0.72","0"
"2015","4 points (MMM)","Other","All","All","50","45","0.843","0"
"2016","4 points (MMM)","Other","All","All","40","30","0.738","0"
"2017","4 points (MMM)","Other","All","All","30","30","0.875","0"
"2018","4 points (MMM)","Other","All","All","30","20","0.6880000000000001","0"
"2019","4 points (MMM)","Other","All","All","35","25","0.794","0"
"2020","4 points (MMM)","Other","All","All","45","45","0.936","0"
"2021","4 points (MMM)","Other","All","All","65","60","0.937","0"
"2022","4 points (MMM)","Other","All","All","85","75","0.839","0"
"2023","4 points (MMM)","Other","All","All","100","85","0.833","0"
"2010","5 points (DMM)","Other","All","All","30","30","0.906","0"
"2011","5 points (DMM)","Other","All","All","30","20","0.75","0"
"2012","5 points (DMM)","Other","All","All","35","25","0.6940000000000001","0"
"2013","5 points (DMM)","Other","All","All","60","45","0.758","0"
"2014","5 points (DMM)","Other","All","All","70","60","0.87","0"
"2015","5 points (DMM)","Other","All","All","70","65","0.887","0"
"2016","5 points (DMM)","Other","All","All","75","60","0.838","0"
"2017","5 points (DMM)","Other","All","All","60","55","0.887","0"
"2018","5 points (DMM)","Other","All","All","65","55","0.836","0"
"2019","5 points (DMM)","Other","All","All","80","70","0.885","0"
"2020","5 points (DMM)","Other","All","All","75","65","0.893","0"
"2021","5 points (DMM)","Other","All","All","95","85","0.903","0"
"2022","5 points (DMM)","Other","All","All","105","90","0.838","0"
"2023","5 points (DMM)","Other","All","All","135","115","0.844","0"
"2010","6 points (DDM)","Other","All","All","30","25","0.8130000000000001","0"
"2011","6 points (DDM)","Other","All","All","50","40","0.8130000000000001","0"
"2012","6 points (DDM)","Other","All","All","30","30","0.906","0"
"2013","6 points (DDM)","Other","All","All","55","45","0.87","0"
"2014","6 points (DDM)","Other","All","All","60","50","0.8170000000000001","0"
"2015","6 points (DDM)","Other","All","All","85","80","0.907","0"
"2016","6 points (DDM)","Other","All","All","70","60","0.855","0"
"2017","6 points (DDM)","Other","All","All","90","75","0.864","0"
"2018","6 points (DDM)","Other","All","All","80","75","0.936","0"
"2019","6 points (DDM)","Other","All","All","80","65","0.835","0"
"2020","6 points (DDM)","Other","All","All","95","90","0.927","0"
"2021","6 points (DDM)","Other","All","All","110","100","0.875","0"
"2022","6 points (DDM)","Other","All","All","135","110","0.8180000000000001","0"
"2023","6 points (DDM)","Other","All","All","135","115","0.851","0"
"2010","7 points (DDD)","Other","All","All","30","25","0.857","0"
"2011","7 points (DDD)","Other","All","All","45","40","0.911","0"
"2012","7 points (DDD)","Other","All","All","60","50","0.881","0"
"2013","7 points (DDD)","Other","All","All","70","65","0.889","0"
"2014","7 points (DDD)","Other","All","All","70","60","0.845","0"
"2015","7 points (DDD)","Other","All","All","95","85","0.904","0"
"2016","7 points (DDD)","Other","All","All","80","70","0.877","0"
"2017","7 points (DDD)","Other","All","All","80","70","0.886","0"
"2018","7 points (DDD)","Other","All","All","125","115","0.897","0"
"2019","7 points (DDD)","Other","All","All","125","115","0.9510000000000001","0"
"2020","7 points (DDD)","Other","All","All","130","110","0.875","0"
"2021","7 points (DDD)","Other","All","All","150","140","0.932","0"
"2022","7 points (DDD)","Other","All","All","170","150","0.876","0"
"2023","7 points (DDD)","Other","All","All","165","135","0.8140000000000001","0"
"2012","8 points (D*DD)","Other","All","All","5","5"," ","0"
"2013","8 points (D*DD)","Other","All","All","10","5"," ","0"
"2014","8 points (D*DD)","Other","All","All","30","30","0.966","0"
"2015","8 points (D*DD)","Other","All","All","50","50","0.96","0"
"2016","8 points (D*DD)","Other","All","All","45","45","0.935","0"
"2017","8 points (D*DD)","Other","All","All","55","50","0.9430000000000001","0"
"2018","8 points (D*DD)","Other","All","All","70","70","0.986","0"
"2019","8 points (D*DD)","Other","All","All","80","70","0.889","0"
"2020","8 points (D*DD)","Other","All","All","90","80","0.878","0"
"2021","8 points (D*DD)","Other","All","All","100","100","0.961","0"
"2022","8 points (D*DD)","Other","All","All","105","90","0.868","0"
"2023","8 points (D*DD)","Other","All","All","105","95","0.879","0"
"2012","9 points (D*D*D)","Other","All","All","10","10","0.909","0"
"2013","9 points (D*D*D)","Other","All","All","15","10"," ","0"
"2014","9 points (D*D*D)","Other","All","All","15","15","0.8130000000000001","0"
"2015","9 points (D*D*D)","Other","All","All","30","25","0.9","0"
"2016","9 points (D*D*D)","Other","All","All","30","30","0.906","0"
"2017","9 points (D*D*D)","Other","All","All","40","35","0.902","0"
"2018","9 points (D*D*D)","Other","All","All","50","45","0.904","0"
"2019","9 points (D*D*D)","Other","All","All","55","50","0.926","0"
"2020","9 points (D*D*D)","Other","All","All","60","55","0.918","0"
"2021","9 points (D*D*D)","Other","All","All","75","70","0.919","0"
"2022","9 points (D*D*D)","Other","All","All","70","65","0.9420000000000001","0"
"2023","9 points (D*D*D)","Other","All","All","70","65","0.917","0"
"2013","10 points (D*D*D*)","Other","All","All","20","20","0.9","0"
"2014","10 points (D*D*D*)","Other","All","All","30","25","0.9","0"
"2015","10 points (D*D*D*)","Other","All","All","60","55","0.918","0"
"2016","10 points (D*D*D*)","Other","All","All","65","60","0.968","0"
"2017","10 points (D*D*D*)","Other","All","All","80","75","0.925","0"
"2018","10 points (D*D*D*)","Other","All","All","85","80","0.931","0"
"2019","10 points (D*D*D*)","Other","All","All","80","65","0.848","0"
"2020","10 points (D*D*D*)","Other","All","All","110","100","0.911","0"
"2021","10 points (D*D*D*)","Other","All","All","115","105","0.904","0"
"2022","10 points (D*D*D*)","Other","All","All","80","70","0.897","0"
"2023","10 points (D*D*D*)","Other","All","All","40","35","0.897","0"
"2010","1 point (PPP)","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2021","1 point (PPP)","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2022","1 point (PPP)","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2023","1 point (PPP)","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2010","2 points (MPP)","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2012","2 points (MPP)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2018","2 points (MPP)","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2020","2 points (MPP)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2021","2 points (MPP)","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2022","2 points (MPP)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2023","2 points (MPP)","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2010","3 points (MMP)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2011","3 points (MMP)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2012","3 points (MMP)","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2013","3 points (MMP)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2014","3 points (MMP)","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2015","3 points (MMP)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2016","3 points (MMP)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2017","3 points (MMP)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2018","3 points (MMP)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2019","3 points (MMP)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2022","3 points (MMP)","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2023","3 points (MMP)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2010","4 points (MMM)","Unknown or Prefer Not To Say","All","All","20","10","0.667","0"
"2011","4 points (MMM)","Unknown or Prefer Not To Say","All","All","15","10"," ","0"
"2012","4 points (MMM)","Unknown or Prefer Not To Say","All","All","10","5"," ","0"
"2013","4 points (MMM)","Unknown or Prefer Not To Say","All","All","10","10","0.917","0"
"2014","4 points (MMM)","Unknown or Prefer Not To Say","All","All","10","5"," ","0"
"2015","4 points (MMM)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2016","4 points (MMM)","Unknown or Prefer Not To Say","All","All","10","5"," ","0"
"2017","4 points (MMM)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2018","4 points (MMM)","Unknown or Prefer Not To Say","All","All","10","5"," ","0"
"2019","4 points (MMM)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2020","4 points (MMM)","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2021","4 points (MMM)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2022","4 points (MMM)","Unknown or Prefer Not To Say","All","All","10","5"," ","0"
"2023","4 points (MMM)","Unknown or Prefer Not To Say","All","All","15","15","0.933","0"
"2010","5 points (DMM)","Unknown or Prefer Not To Say","All","All","10","5"," ","0"
"2011","5 points (DMM)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2012","5 points (DMM)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2013","5 points (DMM)","Unknown or Prefer Not To Say","All","All","10","5"," ","0"
"2014","5 points (DMM)","Unknown or Prefer Not To Say","All","All","15","10","0.786","0"
"2015","5 points (DMM)","Unknown or Prefer Not To Say","All","All","20","15","0.778","0"
"2016","5 points (DMM)","Unknown or Prefer Not To Say","All","All","20","20","0.9520000000000001","0"
"2017","5 points (DMM)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2018","5 points (DMM)","Unknown or Prefer Not To Say","All","All","15","10","0.846","0"
"2019","5 points (DMM)","Unknown or Prefer Not To Say","All","All","10","5"," ","0"
"2020","5 points (DMM)","Unknown or Prefer Not To Say","All","All","15","15","0.9380000000000001","0"
"2021","5 points (DMM)","Unknown or Prefer Not To Say","All","All","20","20","0.864","0"
"2022","5 points (DMM)","Unknown or Prefer Not To Say","All","All","20","15","0.684","0"
"2023","5 points (DMM)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2010","6 points (DDM)","Unknown or Prefer Not To Say","All","All","10","5"," ","0"
"2011","6 points (DDM)","Unknown or Prefer Not To Say","All","All","15","10","0.857","0"
"2012","6 points (DDM)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2013","6 points (DDM)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2014","6 points (DDM)","Unknown or Prefer Not To Say","All","All","15","10","0.667","0"
"2015","6 points (DDM)","Unknown or Prefer Not To Say","All","All","20","20","0.857","0"
"2016","6 points (DDM)","Unknown or Prefer Not To Say","All","All","20","20","0.905","0"
"2017","6 points (DDM)","Unknown or Prefer Not To Say","All","All","15","15","0.9380000000000001","0"
"2018","6 points (DDM)","Unknown or Prefer Not To Say","All","All","10","5"," ","0"
"2019","6 points (DDM)","Unknown or Prefer Not To Say","All","All","20","15","0.895","0"
"2020","6 points (DDM)","Unknown or Prefer Not To Say","All","All","15","15","0.929","0"
"2021","6 points (DDM)","Unknown or Prefer Not To Say","All","All","25","25","0.96","0"
"2022","6 points (DDM)","Unknown or Prefer Not To Say","All","All","20","15","0.895","0"
"2023","6 points (DDM)","Unknown or Prefer Not To Say","All","All","20","15","0.789","0"
"2010","7 points (DDD)","Unknown or Prefer Not To Say","All","All","20","20","0.9550000000000001","0"
"2011","7 points (DDD)","Unknown or Prefer Not To Say","All","All","25","20","0.87","0"
"2012","7 points (DDD)","Unknown or Prefer Not To Say","All","All","15","10","0.667","0"
"2013","7 points (DDD)","Unknown or Prefer Not To Say","All","All","10","5"," ","0"
"2014","7 points (DDD)","Unknown or Prefer Not To Say","All","All","15","15","0.8130000000000001","0"
"2015","7 points (DDD)","Unknown or Prefer Not To Say","All","All","20","20","1","0"
"2016","7 points (DDD)","Unknown or Prefer Not To Say","All","All","15","15","0.929","0"
"2017","7 points (DDD)","Unknown or Prefer Not To Say","All","All","25","20","0.84","0"
"2018","7 points (DDD)","Unknown or Prefer Not To Say","All","All","15","10","0.769","0"
"2019","7 points (DDD)","Unknown or Prefer Not To Say","All","All","25","20","0.8","0"
"2020","7 points (DDD)","Unknown or Prefer Not To Say","All","All","20","20","0.905","0"
"2021","7 points (DDD)","Unknown or Prefer Not To Say","All","All","25","20","0.8150000000000001","0"
"2022","7 points (DDD)","Unknown or Prefer Not To Say","All","All","30","20","0.786","0"
"2023","7 points (DDD)","Unknown or Prefer Not To Say","All","All","20","20","1","0"
"2014","8 points (D*DD)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2015","8 points (D*DD)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2016","8 points (D*DD)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2017","8 points (D*DD)","Unknown or Prefer Not To Say","All","All","15","10","0.8","0"
"2018","8 points (D*DD)","Unknown or Prefer Not To Say","All","All","15","15","0.933","0"
"2019","8 points (D*DD)","Unknown or Prefer Not To Say","All","All","20","15","0.889","0"
"2020","8 points (D*DD)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2021","8 points (D*DD)","Unknown or Prefer Not To Say","All","All","15","15","0.933","0"
"2022","8 points (D*DD)","Unknown or Prefer Not To Say","All","All","15","15","0.929","0"
"2023","8 points (D*DD)","Unknown or Prefer Not To Say","All","All","15","10","0.857","0"
"2015","9 points (D*D*D)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2016","9 points (D*D*D)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2017","9 points (D*D*D)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2018","9 points (D*D*D)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2019","9 points (D*D*D)","Unknown or Prefer Not To Say","All","All","15","15","0.929","0"
"2020","9 points (D*D*D)","Unknown or Prefer Not To Say","All","All","15","10","0.923","0"
"2021","9 points (D*D*D)","Unknown or Prefer Not To Say","All","All","15","15","0.933","0"
"2022","9 points (D*D*D)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2023","9 points (D*D*D)","Unknown or Prefer Not To Say","All","All","10","10","0.909","0"
"2013","10 points (D*D*D*)","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
