"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","International","EU (excluding UK)","France","21 - 24","Female","Main scheme applicant","Main scheme application","20","10"," ","0"
"2020","International","EU (excluding UK)","France","21 - 24","Female","Main scheme applicant","Main scheme application","25","15","0.654","0"
"2021","International","EU (excluding UK)","France","21 - 24","Female","Main scheme applicant","Main scheme application","30","5"," ","0"
"2022","International","EU (excluding UK)","France","21 - 24","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","International","EU (excluding UK)","Germany","21 - 24","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","International","EU (excluding UK)","Germany","21 - 24","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","International","EU (excluding UK)","Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","65","20","0.317","0"
"2020","International","EU (excluding UK)","Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","70","25","0.333","0"
"2021","International","EU (excluding UK)","Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","50","10","0.20400000000000001","0"
"2022","International","EU (excluding UK)","Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","30","5"," ","0"
"2023","International","EU (excluding UK)","Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","40","15","0.368","0"
"2019","International","EU (excluding UK)","Italy","21 - 24","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","International","EU (excluding UK)","Spain","21 - 24","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","International","Not EU","Bahrain","21 - 24","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","International","Not EU","Canada","21 - 24","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","International","Not EU","Canada","21 - 24","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","International","Not EU","Canada","21 - 24","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","International","Not EU","China","21 - 24","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","International","Not EU","China","21 - 24","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","International","Not EU","United States of America","21 - 24","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","International","Not EU","United States of America","21 - 24","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","International","Not EU","United States of America","21 - 24","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","International","Not EU","United States of America","21 - 24","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","International","Not EU","United States of America","21 - 24","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","UK","England","England","25 - 29","Female","Main scheme applicant","Main scheme application","20","5"," ","0"
"2020","UK","England","England","25 - 29","Female","Main scheme applicant","Main scheme application","25","15","0.56","0"
"2021","UK","England","England","25 - 29","Female","Main scheme applicant","Main scheme application","40","15","0.385","0"
"2022","UK","England","England","25 - 29","Female","Main scheme applicant","Main scheme application","25","5"," ","0"
"2023","UK","England","England","25 - 29","Female","Main scheme applicant","Main scheme application","15","10","0.588","0"
"2019","UK","Northern Ireland","Northern Ireland","25 - 29","Female","Main scheme applicant","Main scheme application","15","10"," ","0"
"2020","UK","Northern Ireland","Northern Ireland","25 - 29","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2021","UK","Northern Ireland","Northern Ireland","25 - 29","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2022","UK","Northern Ireland","Northern Ireland","25 - 29","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","UK","Northern Ireland","Northern Ireland","25 - 29","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Main scheme application","950","515","0.545","0"
"2020","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Main scheme application","895","475","0.533","0"
"2021","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Main scheme application","1145","530","0.464","0"
"2022","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Main scheme application","765","425","0.555","0"
"2023","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Main scheme application","550","300","0.542","0"
"2022","UK","Wales","Wales","25 - 29","Female","Main scheme applicant","Main scheme application","160","105","0.648","0"
"2023","UK","Wales","Wales","25 - 29","Female","Main scheme applicant","Main scheme application","145","100","0.6990000000000001","0"
