"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","North East","1260","1125","0.891"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","North East","1225","1090","0.892"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","North East","1155","1055","0.915"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","North East","1130","990","0.878"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","North East","1240","1085","0.873"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","North East","3100","1675","0.54"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","North East","3105","1690","0.544"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","North East","3620","1955","0.539"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","North East","3150","1570","0.498"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","North East","2225","1125","0.505"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","North East","800","250","0.309"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","North East","920","265","0.29"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","North East","1295","350","0.271"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","North East","1275","295","0.233"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","North East","1000","315","0.316"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","North East","15","15","0.933"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","North East","25","20","0.72"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","North East","30","20","0.733"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","North East","25","20","0.88"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","North East","15","10","0.8"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","North East","5","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","North East","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","North East","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","North East","20","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","North East","15","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","North East","20","0"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","North East","35","5"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","North East","35","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","North East","150","90","0.607"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","North East","155","75","0.47100000000000003"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","North East","215","120","0.5650000000000001"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","North East","240","135","0.552"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","North East","110","55","0.505"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","North East","1105","540","0.488"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","North East","1210","560","0.464"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","North East","1460","715","0.489"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","North East","1050","475","0.454"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","North East","840","325","0.386"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","North East","900","165","0.182"
