"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","Not deferred","All","England","Female","1009370","724260","0.718"
"2021","Not deferred","All","England","Female","1104225","768470","0.6960000000000001"
"2022","Not deferred","All","England","Female","1138630","750610","0.659"
"2023","Not deferred","All","England","Female","1085745","740375","0.682"
"2006","Deferred","All","England","Female","62675","45705","0.729"
"2007","Deferred","All","England","Female","61890","44735","0.723"
"2008","Deferred","All","England","Female","54000","39100","0.724"
"2009","Deferred","All","England","Female","53345","37945","0.711"
"2010","Deferred","All","England","Female","54415","35140","0.646"
"2011","Deferred","All","England","Female","29090","15280","0.525"
"2012","Deferred","All","England","Female","43415","29010","0.668"
"2013","Deferred","All","England","Female","40725","28700","0.705"
"2014","Deferred","All","England","Female","41985","30070","0.716"
"2015","Deferred","All","England","Female","44790","32820","0.733"
"2016","Deferred","All","England","Female","44165","33035","0.748"
"2017","Deferred","All","England","Female","44705","34990","0.783"
"2018","Deferred","All","England","Female","43150","34750","0.805"
"2019","Deferred","All","England","Female","44195","36090","0.8170000000000001"
"2020","Deferred","All","England","Female","44260","36505","0.8250000000000001"
"2021","Deferred","All","England","Female","53520","44205","0.8260000000000001"
"2022","Deferred","All","England","Female","47100","36240","0.769"
"2023","Deferred","All","England","Female","50815","40840","0.804"
"2006","Not deferred","All","Scotland","Female","75345","49255","0.654"
"2007","Not deferred","All","Scotland","Female","76575","49530","0.647"
"2008","Not deferred","All","Scotland","Female","68935","46305","0.672"
"2009","Not deferred","All","Scotland","Female","71470","48300","0.676"
"2010","Not deferred","All","Scotland","Female","90050","48505","0.539"
"2011","Not deferred","All","Scotland","Female","95990","45630","0.47500000000000003"
"2012","Not deferred","All","Scotland","Female","96065","47615","0.496"
"2013","Not deferred","All","Scotland","Female","96440","48745","0.505"
"2014","Not deferred","All","Scotland","Female","102540","52995","0.517"
"2015","Not deferred","All","Scotland","Female","113225","54730","0.483"
"2016","Not deferred","All","Scotland","Female","116770","55470","0.47500000000000003"
"2017","Not deferred","All","Scotland","Female","117475","57705","0.491"
"2018","Not deferred","All","Scotland","Female","115955","58790","0.507"
"2019","Not deferred","All","Scotland","Female","112890","58620","0.519"
"2020","Not deferred","All","Scotland","Female","113170","60675","0.536"
"2021","Not deferred","All","Scotland","Female","131305","65150","0.496"
"2022","Not deferred","All","Scotland","Female","120675","64010","0.53"
"2023","Not deferred","All","Scotland","Female","109460","64725","0.591"
"2006","Deferred","All","Scotland","Female","4055","2910","0.717"
"2007","Deferred","All","Scotland","Female","3635","2605","0.716"
"2008","Deferred","All","Scotland","Female","3515","2550","0.725"
"2009","Deferred","All","Scotland","Female","3215","2330","0.724"
"2010","Deferred","All","Scotland","Female","4110","2340","0.5690000000000001"
"2011","Deferred","All","Scotland","Female","3105","1510","0.487"
"2012","Deferred","All","Scotland","Female","2795","1500","0.536"
"2013","Deferred","All","Scotland","Female","2380","1255","0.527"
"2014","Deferred","All","Scotland","Female","2495","1380","0.552"
"2015","Deferred","All","Scotland","Female","3245","1580","0.487"
"2016","Deferred","All","Scotland","Female","2785","1410","0.506"
"2017","Deferred","All","Scotland","Female","3080","1695","0.551"
"2018","Deferred","All","Scotland","Female","2980","1800","0.604"
"2019","Deferred","All","Scotland","Female","2775","1655","0.597"
"2020","Deferred","All","Scotland","Female","2515","1595","0.635"
"2021","Deferred","All","Scotland","Female","3055","2010","0.657"
"2022","Deferred","All","Scotland","Female","2895","1750","0.605"
"2023","Deferred","All","Scotland","Female","2855","1790","0.627"
"2006","Not deferred","All","Wales","Female","47780","29715","0.622"
"2007","Not deferred","All","Wales","Female","47635","29895","0.628"
"2008","Not deferred","All","Wales","Female","44320","28770","0.649"
"2009","Not deferred","All","Wales","Female","47685","30300","0.635"
"2010","Not deferred","All","Wales","Female","50745","29865","0.588"
"2011","Not deferred","All","Wales","Female","53980","29980","0.555"
"2012","Not deferred","All","Wales","Female","54005","31435","0.582"
"2013","Not deferred","All","Wales","Female","52405","32005","0.611"
"2014","Not deferred","All","Wales","Female","53945","34235","0.635"
"2015","Not deferred","All","Wales","Female","54780","35710","0.652"
"2016","Not deferred","All","Wales","Female","55590","36840","0.663"
"2017","Not deferred","All","Wales","Female","52740","36530","0.6930000000000001"
"2018","Not deferred","All","Wales","Female","50725","35940","0.709"
"2019","Not deferred","All","Wales","Female","49890","35265","0.707"
"2020","Not deferred","All","Wales","Female","50295","35790","0.712"
"2021","Not deferred","All","Wales","Female","57505","39475","0.686"
"2022","Not deferred","All","Wales","Female","57795","37895","0.656"
"2023","Not deferred","All","Wales","Female","52415","36240","0.6910000000000001"
"2006","Deferred","All","Wales","Female","2180","1545","0.708"
"2007","Deferred","All","Wales","Female","1980","1455","0.734"
"2008","Deferred","All","Wales","Female","1995","1420","0.711"
"2009","Deferred","All","Wales","Female","1695","1215","0.717"
"2010","Deferred","All","Wales","Female","1985","1255","0.633"
"2011","Deferred","All","Wales","Female","1360","765","0.5630000000000001"
"2012","Deferred","All","Wales","Female","1370","840","0.612"
"2013","Deferred","All","Wales","Female","1285","855","0.664"
"2014","Deferred","All","Wales","Female","1300","895","0.6880000000000001"
"2015","Deferred","All","Wales","Female","1525","1040","0.682"
"2016","Deferred","All","Wales","Female","1515","1040","0.686"
"2017","Deferred","All","Wales","Female","1265","940","0.745"
"2018","Deferred","All","Wales","Female","1360","1085","0.799"
"2019","Deferred","All","Wales","Female","1435","1145","0.799"
"2020","Deferred","All","Wales","Female","1405","1145","0.8150000000000001"
"2021","Deferred","All","Wales","Female","1725","1400","0.811"
"2022","Deferred","All","Wales","Female","1805","1370","0.758"
"2023","Deferred","All","Wales","Female","1890","1455","0.77"
"2006","Not deferred","All","Not EU","Female","87255","52960","0.607"
"2007","Not deferred","All","Not EU","Female","94195","57845","0.614"
"2008","Not deferred","All","Not EU","Female","87215","52845","0.606"
"2009","Not deferred","All","Not EU","Female","95350","57500","0.603"
"2010","Not deferred","All","Not EU","Female","108985","64885","0.595"
"2011","Not deferred","All","Not EU","Female","119415","70985","0.594"
"2012","Not deferred","All","Not EU","Female","131135","78910","0.602"
"2013","Not deferred","All","Not EU","Female","141875","87260","0.615"
"2014","Not deferred","All","Not EU","Female","156335","96915","0.62"
"2015","Not deferred","All","Not EU","Female","160545","101840","0.634"
"2016","Not deferred","All","Not EU","Female","157795","101580","0.644"
"2017","Not deferred","All","Not EU","Female","161170","105710","0.656"
"2018","Not deferred","All","Not EU","Female","174170","113380","0.651"
"2019","Not deferred","All","Not EU","Female","186785","122935","0.658"
"2020","Not deferred","All","Not EU","Female","205610","136085","0.662"
"2021","Not deferred","All","Not EU","Female","235515","142055","0.603"
"2022","Not deferred","All","Not EU","Female","263900","143375","0.543"
"2023","Not deferred","All","Not EU","Female","269340","145840","0.541"
"2006","Deferred","All","Not EU","Female","1785","1365","0.765"
"2007","Deferred","All","Not EU","Female","1780","1320","0.741"
"2008","Deferred","All","Not EU","Female","1975","1390","0.705"
"2009","Deferred","All","Not EU","Female","1980","1360","0.6880000000000001"
"2010","Deferred","All","Not EU","Female","2370","1475","0.623"
"2011","Deferred","All","Not EU","Female","2160","1210","0.561"
"2012","Deferred","All","Not EU","Female","2450","1515","0.618"
"2013","Deferred","All","Not EU","Female","2855","1725","0.605"
"2014","Deferred","All","Not EU","Female","2875","1775","0.617"
"2015","Deferred","All","Not EU","Female","3000","1795","0.599"
"2016","Deferred","All","Not EU","Female","2855","1780","0.624"
"2017","Deferred","All","Not EU","Female","3175","2070","0.651"
"2018","Deferred","All","Not EU","Female","2610","1870","0.716"
"2019","Deferred","All","Not EU","Female","2755","1995","0.724"
"2020","Deferred","All","Not EU","Female","4060","3435","0.846"
"2021","Deferred","All","Not EU","Female","3685","2925","0.794"
"2022","Deferred","All","Not EU","Female","3070","2075","0.677"
"2023","Deferred","All","Not EU","Female","2810","1925","0.685"
"2006","Not deferred","All","EU (excluding UK)","Female","69090","36925","0.534"
"2007","Not deferred","All","EU (excluding UK)","Female","79070","43730","0.553"
"2008","Not deferred","All","EU (excluding UK)","Female","69870","39570","0.5660000000000001"
"2009","Not deferred","All","EU (excluding UK)","Female","79215","43830","0.553"
"2010","Not deferred","All","EU (excluding UK)","Female","101975","50515","0.495"
"2011","Not deferred","All","EU (excluding UK)","Female","112620","56870","0.505"
"2012","Not deferred","All","EU (excluding UK)","Female","99495","50955","0.512"
"2013","Not deferred","All","EU (excluding UK)","Female","105135","55330","0.526"
"2014","Not deferred","All","EU (excluding UK)","Female","113065","62695","0.554"
"2015","Not deferred","All","EU (excluding UK)","Female","122825","70395","0.5730000000000001"
"2016","Not deferred","All","EU (excluding UK)","Female","131685","78350","0.595"
"2017","Not deferred","All","EU (excluding UK)","Female","122840","76340","0.621"
"2018","Not deferred","All","EU (excluding UK)","Female","126250","79955","0.633"
"2019","Not deferred","All","EU (excluding UK)","Female","128640","82625","0.642"
"2020","Not deferred","All","EU (excluding UK)","Female","127690","83280","0.652"
"2021","Not deferred","All","EU (excluding UK)","Female","73190","44275","0.605"
"2022","Not deferred","All","EU (excluding UK)","Female","62020","35570","0.5730000000000001"
"2023","Not deferred","All","EU (excluding UK)","Female","59025","34625","0.587"
"2006","Deferred","All","EU (excluding UK)","Female","1720","1265","0.737"
"2007","Deferred","All","EU (excluding UK)","Female","1915","1380","0.72"
"2008","Deferred","All","EU (excluding UK)","Female","1770","1220","0.6890000000000001"
"2009","Deferred","All","EU (excluding UK)","Female","2065","1415","0.686"
"2010","Deferred","All","EU (excluding UK)","Female","2265","1390","0.614"
"2011","Deferred","All","EU (excluding UK)","Female","1745","935","0.536"
"2012","Deferred","All","EU (excluding UK)","Female","1990","1210","0.607"
"2013","Deferred","All","EU (excluding UK)","Female","1975","1220","0.619"
"2014","Deferred","All","EU (excluding UK)","Female","2135","1365","0.64"
"2015","Deferred","All","EU (excluding UK)","Female","2410","1570","0.652"
"2016","Deferred","All","EU (excluding UK)","Female","2465","1580","0.641"
"2017","Deferred","All","EU (excluding UK)","Female","2180","1460","0.671"
"2018","Deferred","All","EU (excluding UK)","Female","1965","1435","0.731"
"2019","Deferred","All","EU (excluding UK)","Female","1840","1370","0.745"
"2020","Deferred","All","EU (excluding UK)","Female","1485","1160","0.78"
"2021","Deferred","All","EU (excluding UK)","Female","1320","1095","0.8280000000000001"
"2022","Deferred","All","EU (excluding UK)","Female","1215","855","0.7020000000000001"
"2023","Deferred","All","EU (excluding UK)","Female","1095","795","0.724"
"2006","Not deferred","All","Northern Ireland","Male","36395","28100","0.772"
"2007","Not deferred","All","Northern Ireland","Male","35775","27690","0.774"
"2008","Not deferred","All","Northern Ireland","Male","29985","23610","0.787"
"2009","Not deferred","All","Northern Ireland","Male","32305","25160","0.779"
"2010","Not deferred","All","Northern Ireland","Male","36720","27615","0.752"
"2011","Not deferred","All","Northern Ireland","Male","39645","27885","0.7030000000000001"
"2012","Not deferred","All","Northern Ireland","Male","36850","27240","0.739"
"2013","Not deferred","All","Northern Ireland","Male","39685","30810","0.776"
"2014","Not deferred","All","Northern Ireland","Male","39815","31560","0.793"
"2015","Not deferred","All","Northern Ireland","Male","40250","31875","0.792"
"2016","Not deferred","All","Northern Ireland","Male","40825","31910","0.782"
"2017","Not deferred","All","Northern Ireland","Male","38555","30465","0.79"
"2018","Not deferred","All","Northern Ireland","Male","36675","29285","0.798"
"2019","Not deferred","All","Northern Ireland","Male","33645","27130","0.806"
"2020","Not deferred","All","Northern Ireland","Male","32565","26535","0.8150000000000001"
"2021","Not deferred","All","Northern Ireland","Male","34015","27405","0.806"
"2022","Not deferred","All","Northern Ireland","Male","33130","25850","0.78"
"2023","Not deferred","All","Northern Ireland","Male","32055","25560","0.797"
"2006","Deferred","All","Northern Ireland","Male","930","735","0.788"
"2007","Deferred","All","Northern Ireland","Male","805","620","0.769"
"2008","Deferred","All","Northern Ireland","Male","890","715","0.801"
"2009","Deferred","All","Northern Ireland","Male","1025","805","0.783"
"2010","Deferred","All","Northern Ireland","Male","945","720","0.764"
"2011","Deferred","All","Northern Ireland","Male","515","295","0.577"
"2012","Deferred","All","Northern Ireland","Male","605","460","0.759"
"2013","Deferred","All","Northern Ireland","Male","615","470","0.766"
"2014","Deferred","All","Northern Ireland","Male","675","535","0.796"
"2015","Deferred","All","Northern Ireland","Male","565","410","0.724"
"2016","Deferred","All","Northern Ireland","Male","720","530","0.738"
"2017","Deferred","All","Northern Ireland","Male","645","485","0.753"
"2018","Deferred","All","Northern Ireland","Male","690","550","0.796"
"2019","Deferred","All","Northern Ireland","Male","730","570","0.782"
"2020","Deferred","All","Northern Ireland","Male","740","625","0.843"
"2021","Deferred","All","Northern Ireland","Male","660","560","0.85"
"2022","Deferred","All","Northern Ireland","Male","690","555","0.801"
"2023","Deferred","All","Northern Ireland","Male","790","645","0.8190000000000001"
"2006","Not deferred","All","England","Male","655515","461550","0.704"
"2007","Not deferred","All","England","Male","702935","490965","0.6980000000000001"
"2008","Not deferred","All","England","Male","650270","458405","0.705"
"2009","Not deferred","All","England","Male","720970","490420","0.68"
"2010","Not deferred","All","England","Male","820145","520735","0.635"
"2011","Not deferred","All","England","Male","880050","546330","0.621"
"2012","Not deferred","All","England","Male","763660","498925","0.653"
"2013","Not deferred","All","England","Male","787270","551300","0.7000000000000001"
"2014","Not deferred","All","England","Male","815375","577085","0.708"
"2015","Not deferred","All","England","Male","820150","590505","0.72"
"2016","Not deferred","All","England","Male","814315","589340","0.724"
"2017","Not deferred","All","England","Male","783750","580655","0.741"
"2018","Not deferred","All","England","Male","747260","560380","0.75"
"2019","Not deferred","All","England","Male","739825","559430","0.756"
"2020","Not deferred","All","England","Male","741835","561180","0.756"
"2021","Not deferred","All","England","Male","795355","591775","0.744"
"2022","Not deferred","All","England","Male","841400","593200","0.705"
"2023","Not deferred","All","England","Male","827825","593360","0.717"
"2006","Deferred","All","England","Male","56895","43130","0.758"
"2007","Deferred","All","England","Male","55475","41750","0.753"
"2008","Deferred","All","England","Male","49105","37340","0.76"
"2009","Deferred","All","England","Male","48300","36110","0.748"
"2010","Deferred","All","England","Male","47880","34160","0.713"
"2011","Deferred","All","England","Male","21085","13155","0.624"
"2012","Deferred","All","England","Male","35255","26065","0.739"
"2013","Deferred","All","England","Male","31935","24930","0.781"
"2014","Deferred","All","England","Male","32270","25400","0.787"
"2015","Deferred","All","England","Male","33225","26130","0.787"
"2016","Deferred","All","England","Male","33310","26650","0.8"
"2017","Deferred","All","England","Male","34355","27975","0.8140000000000001"
"2018","Deferred","All","England","Male","33035","27365","0.8280000000000001"
"2019","Deferred","All","England","Male","32170","26655","0.8290000000000001"
"2020","Deferred","All","England","Male","30545","25695","0.841"
"2021","Deferred","All","England","Male","37415","31260","0.835"
"2022","Deferred","All","England","Male","34845","27460","0.788"
"2023","Deferred","All","England","Male","38705","31555","0.8150000000000001"
"2006","Not deferred","All","Scotland","Male","59235","43355","0.732"
"2007","Not deferred","All","Scotland","Male","59600","43180","0.724"
"2008","Not deferred","All","Scotland","Male","54085","39955","0.739"
"2009","Not deferred","All","Scotland","Male","58535","42280","0.722"
"2010","Not deferred","All","Scotland","Male","65965","40255","0.61"
"2011","Not deferred","All","Scotland","Male","70505","38010","0.539"
"2012","Not deferred","All","Scotland","Male","71155","39790","0.559"
"2013","Not deferred","All","Scotland","Male","73185","40775","0.557"
"2014","Not deferred","All","Scotland","Male","73665","42185","0.5730000000000001"
"2015","Not deferred","All","Scotland","Male","77975","42730","0.548"
"2016","Not deferred","All","Scotland","Male","78785","42655","0.541"
"2017","Not deferred","All","Scotland","Male","76415","43335","0.5670000000000001"
"2018","Not deferred","All","Scotland","Male","75650","43425","0.5740000000000001"
"2019","Not deferred","All","Scotland","Male","71615","42495","0.593"
"2020","Not deferred","All","Scotland","Male","70050","42505","0.607"
"2021","Not deferred","All","Scotland","Male","77455","45255","0.584"
"2022","Not deferred","All","Scotland","Male","75700","45295","0.598"
"2023","Not deferred","All","Scotland","Male","71035","45630","0.642"
"2006","Deferred","All","Scotland","Male","3100","2335","0.754"
"2007","Deferred","All","Scotland","Male","3115","2370","0.761"
"2008","Deferred","All","Scotland","Male","3045","2330","0.765"
"2009","Deferred","All","Scotland","Male","2940","2170","0.737"
"2010","Deferred","All","Scotland","Male","3000","1955","0.652"
"2011","Deferred","All","Scotland","Male","2220","1220","0.55"
"2012","Deferred","All","Scotland","Male","1855","1090","0.588"
"2013","Deferred","All","Scotland","Male","1695","1020","0.601"
"2014","Deferred","All","Scotland","Male","1770","1075","0.607"
"2015","Deferred","All","Scotland","Male","1850","1080","0.583"
"2016","Deferred","All","Scotland","Male","1905","1100","0.5760000000000001"
"2017","Deferred","All","Scotland","Male","1820","1070","0.589"
"2018","Deferred","All","Scotland","Male","1705","1150","0.673"
"2019","Deferred","All","Scotland","Male","1560","1050","0.674"
"2020","Deferred","All","Scotland","Male","1480","1030","0.6970000000000001"
"2021","Deferred","All","Scotland","Male","1710","1175","0.687"
"2022","Deferred","All","Scotland","Male","1980","1265","0.638"
"2023","Deferred","All","Scotland","Male","1820","1155","0.634"
"2006","Not deferred","All","Wales","Male","33830","24325","0.719"
"2007","Not deferred","All","Wales","Male","35165","25145","0.715"
"2008","Not deferred","All","Wales","Male","31490","22515","0.715"
"2009","Not deferred","All","Wales","Male","35175","24445","0.6950000000000001"
"2010","Not deferred","All","Wales","Male","38020","25060","0.659"
"2011","Not deferred","All","Wales","Male","39660","25585","0.645"
"2012","Not deferred","All","Wales","Male","38325","26150","0.682"
"2013","Not deferred","All","Wales","Male","37085","26630","0.718"
"2014","Not deferred","All","Wales","Male","38605","28145","0.729"
"2015","Not deferred","All","Wales","Male","38425","28440","0.74"
"2016","Not deferred","All","Wales","Male","37930","28370","0.748"
"2017","Not deferred","All","Wales","Male","36460","27830","0.763"
"2018","Not deferred","All","Wales","Male","34415","26605","0.773"
"2019","Not deferred","All","Wales","Male","32945","25620","0.778"
"2020","Not deferred","All","Wales","Male","32660","25590","0.783"
"2021","Not deferred","All","Wales","Male","35225","26905","0.764"
"2022","Not deferred","All","Wales","Male","37145","26860","0.723"
"2023","Not deferred","All","Wales","Male","34600","25690","0.742"
"2006","Deferred","All","Wales","Male","1775","1370","0.771"
"2007","Deferred","All","Wales","Male","1725","1335","0.774"
"2008","Deferred","All","Wales","Male","1475","1120","0.758"
"2009","Deferred","All","Wales","Male","1465","1060","0.722"
"2010","Deferred","All","Wales","Male","1420","990","0.6960000000000001"
"2011","Deferred","All","Wales","Male","945","630","0.666"
"2012","Deferred","All","Wales","Male","840","600","0.715"
"2013","Deferred","All","Wales","Male","1010","755","0.748"
"2014","Deferred","All","Wales","Male","935","690","0.739"
"2015","Deferred","All","Wales","Male","995","775","0.781"
"2016","Deferred","All","Wales","Male","985","755","0.769"
"2017","Deferred","All","Wales","Male","835","655","0.786"
"2018","Deferred","All","Wales","Male","1050","865","0.8230000000000001"
"2019","Deferred","All","Wales","Male","1025","835","0.8130000000000001"
"2020","Deferred","All","Wales","Male","890","770","0.866"
"2021","Deferred","All","Wales","Male","1240","1035","0.836"
"2022","Deferred","All","Wales","Male","1135","900","0.792"
"2023","Deferred","All","Wales","Male","1215","970","0.798"
"2006","Not deferred","All","Not EU","Male","103700","63355","0.611"
"2007","Not deferred","All","Not EU","Male","107505","66380","0.617"
"2008","Not deferred","All","Not EU","Male","99440","61180","0.615"
"2009","Not deferred","All","Not EU","Male","104195","63490","0.609"
"2010","Not deferred","All","Not EU","Male","112865","68015","0.603"
"2011","Not deferred","All","Not EU","Male","117210","71275","0.608"
"2012","Not deferred","All","Not EU","Male","126900","77930","0.614"
"2013","Not deferred","All","Not EU","Male","133445","83470","0.626"
"2014","Not deferred","All","Not EU","Male","139270","88080","0.632"
"2015","Not deferred","All","Not EU","Male","141765","91005","0.642"
"2016","Not deferred","All","Not EU","Male","139745","90605","0.648"
"2017","Not deferred","All","Not EU","Male","142650","94860","0.665"
"2018","Not deferred","All","Not EU","Male","151635","99190","0.654"
"2019","Not deferred","All","Not EU","Male","164110","107625","0.656"
"2020","Not deferred","All","Not EU","Male","179390","119125","0.664"
"2021","Not deferred","All","Not EU","Male","204125","124590","0.61"
"2022","Not deferred","All","Not EU","Male","229200","127100","0.555"
"2023","Not deferred","All","Not EU","Male","242210","132255","0.546"
"2006","Deferred","All","Not EU","Male","2515","1885","0.75"
"2007","Deferred","All","Not EU","Male","2900","2155","0.743"
"2008","Deferred","All","Not EU","Male","3485","2350","0.674"
"2009","Deferred","All","Not EU","Male","4065","2535","0.624"
"2010","Deferred","All","Not EU","Male","4625","2695","0.582"
"2011","Deferred","All","Not EU","Male","4355","2365","0.544"
"2012","Deferred","All","Not EU","Male","4690","2570","0.548"
"2013","Deferred","All","Not EU","Male","4890","2680","0.548"
"2014","Deferred","All","Not EU","Male","4930","2665","0.54"
"2015","Deferred","All","Not EU","Male","5290","2885","0.546"
"2016","Deferred","All","Not EU","Male","4675","2625","0.562"
"2017","Deferred","All","Not EU","Male","4490","2640","0.588"
"2018","Deferred","All","Not EU","Male","4060","2470","0.609"
"2019","Deferred","All","Not EU","Male","4470","2745","0.614"
"2020","Deferred","All","Not EU","Male","5240","3660","0.6990000000000001"
"2021","Deferred","All","Not EU","Male","5375","3405","0.633"
"2022","Deferred","All","Not EU","Male","4535","2565","0.5650000000000001"
"2023","Deferred","All","Not EU","Male","4510","2480","0.549"
"2006","Not deferred","All","EU (excluding UK)","Male","53830","31435","0.584"
"2007","Not deferred","All","EU (excluding UK)","Male","60700","35930","0.592"
"2008","Not deferred","All","EU (excluding UK)","Male","53270","31930","0.599"
"2009","Not deferred","All","EU (excluding UK)","Male","64300","37530","0.584"
"2010","Not deferred","All","EU (excluding UK)","Male","77920","41740","0.536"
"2011","Not deferred","All","EU (excluding UK)","Male","85250","46155","0.541"
"2012","Not deferred","All","EU (excluding UK)","Male","73185","40660","0.556"
"2013","Not deferred","All","EU (excluding UK)","Male","76105","43665","0.5740000000000001"
"2014","Not deferred","All","EU (excluding UK)","Male","78505","47165","0.601"
"2015","Not deferred","All","EU (excluding UK)","Male","85060","51785","0.609"
"2016","Not deferred","All","EU (excluding UK)","Male","89705","56045","0.625"
"2017","Not deferred","All","EU (excluding UK)","Male","85950","55800","0.649"
"2018","Not deferred","All","EU (excluding UK)","Male","85220","54900","0.644"
"2019","Not deferred","All","EU (excluding UK)","Male","85160","56050","0.658"
"2020","Not deferred","All","EU (excluding UK)","Male","83765","55385","0.661"
"2021","Not deferred","All","EU (excluding UK)","Male","45775","28455","0.622"
"2022","Not deferred","All","EU (excluding UK)","Male","38115","22360","0.587"
"2023","Not deferred","All","EU (excluding UK)","Male","37565","22060","0.587"
"2006","Deferred","All","EU (excluding UK)","Male","2040","1470","0.721"
"2007","Deferred","All","EU (excluding UK)","Male","2295","1530","0.667"
"2008","Deferred","All","EU (excluding UK)","Male","2240","1550","0.6920000000000001"
"2009","Deferred","All","EU (excluding UK)","Male","2535","1770","0.6970000000000001"
"2010","Deferred","All","EU (excluding UK)","Male","2885","1870","0.649"
"2011","Deferred","All","EU (excluding UK)","Male","2435","1500","0.617"
"2012","Deferred","All","EU (excluding UK)","Male","2585","1645","0.636"
"2013","Deferred","All","EU (excluding UK)","Male","2485","1570","0.631"
"2014","Deferred","All","EU (excluding UK)","Male","2545","1720","0.677"
"2015","Deferred","All","EU (excluding UK)","Male","2670","1785","0.669"
"2016","Deferred","All","EU (excluding UK)","Male","2595","1720","0.663"
"2017","Deferred","All","EU (excluding UK)","Male","2175","1575","0.725"
"2018","Deferred","All","EU (excluding UK)","Male","2485","1890","0.76"
"2019","Deferred","All","EU (excluding UK)","Male","2475","1860","0.752"
"2020","Deferred","All","EU (excluding UK)","Male","2380","1880","0.79"
"2021","Deferred","All","EU (excluding UK)","Male","1765","1320","0.747"
"2022","Deferred","All","EU (excluding UK)","Male","1700","1200","0.705"
"2023","Deferred","All","EU (excluding UK)","Male","1485","1120","0.753"
"2006","All","All","Northern Ireland","Female","50750","33795","0.666"
"2007","All","All","Northern Ireland","Female","51240","35080","0.685"
"2008","All","All","Northern Ireland","Female","43180","30610","0.709"
"2009","All","All","Northern Ireland","Female","43685","30695","0.7030000000000001"
"2010","All","All","Northern Ireland","Female","47990","30590","0.637"
"2011","All","All","Northern Ireland","Female","50730","29625","0.584"
"2012","All","All","Northern Ireland","Female","48540","30080","0.62"
"2013","All","All","Northern Ireland","Female","50850","31480","0.619"
"2014","All","All","Northern Ireland","Female","50885","32545","0.64"
"2015","All","All","Northern Ireland","Female","52905","34365","0.65"
"2016","All","All","Northern Ireland","Female","53660","35260","0.657"
"2017","All","All","Northern Ireland","Female","51580","34545","0.67"
"2018","All","All","Northern Ireland","Female","48990","33520","0.684"
"2019","All","All","Northern Ireland","Female","47910","32905","0.687"
"2020","All","All","Northern Ireland","Female","47315","33345","0.705"
"2021","All","All","Northern Ireland","Female","50350","32990","0.655"
"2022","All","All","Northern Ireland","Female","49800","32245","0.647"
"2023","All","All","Northern Ireland","Female","47760","33030","0.6920000000000001"
"2006","All","All","England","Female","865720","562700","0.65"
"2007","All","All","England","Female","929060","598070","0.644"
"2008","All","All","England","Female","894080","575870","0.644"
"2009","All","All","England","Female","965245","601600","0.623"
"2010","All","All","England","Female","1097640","618425","0.5630000000000001"
"2011","All","All","England","Female","1142025","621040","0.544"
"2012","All","All","England","Female","1042505","596315","0.5720000000000001"
"2013","All","All","England","Female","1067260","649905","0.609"
"2014","All","All","England","Female","1110600","687950","0.619"
"2015","All","All","England","Female","1128410","724475","0.642"
"2016","All","All","England","Female","1129080","734995","0.651"
"2017","All","All","England","Female","1069795","735455","0.687"
"2018","All","All","England","Female","1027790","730045","0.71"
"2019","All","All","England","Female","1025510","735130","0.717"
"2020","All","All","England","Female","1053630","760765","0.722"
"2021","All","All","England","Female","1157745","812675","0.7020000000000001"
"2022","All","All","England","Female","1185730","786850","0.664"
"2023","All","All","England","Female","1136560","781215","0.687"
"2006","All","All","Scotland","Female","79395","52165","0.657"
"2007","All","All","Scotland","Female","80210","52135","0.65"
"2008","All","All","Scotland","Female","72450","48855","0.674"
"2009","All","All","Scotland","Female","74685","50630","0.678"
"2010","All","All","Scotland","Female","94160","50845","0.54"
"2011","All","All","Scotland","Female","99095","47145","0.47600000000000003"
"2012","All","All","Scotland","Female","98860","49115","0.497"
"2013","All","All","Scotland","Female","98825","50000","0.506"
"2014","All","All","Scotland","Female","105035","54375","0.518"
"2015","All","All","Scotland","Female","116470","56315","0.483"
"2016","All","All","Scotland","Female","119555","56880","0.47600000000000003"
"2017","All","All","Scotland","Female","120555","59405","0.493"
"2018","All","All","Scotland","Female","118935","60590","0.509"
"2019","All","All","Scotland","Female","115665","60280","0.521"
"2020","All","All","Scotland","Female","115685","62275","0.538"
"2021","All","All","Scotland","Female","134360","67155","0.5"
"2022","All","All","Scotland","Female","123570","65760","0.532"
"2023","All","All","Scotland","Female","112320","66520","0.592"
"2006","All","All","Wales","Female","49965","31255","0.626"
"2007","All","All","Wales","Female","49615","31350","0.632"
"2008","All","All","Wales","Female","46315","30190","0.652"
"2009","All","All","Wales","Female","49380","31520","0.638"
"2010","All","All","Wales","Female","52725","31120","0.59"
"2011","All","All","Wales","Female","55340","30750","0.556"
"2012","All","All","Wales","Female","55375","32275","0.583"
"2013","All","All","Wales","Female","53695","32860","0.612"
"2014","All","All","Wales","Female","55250","35130","0.636"
"2015","All","All","Wales","Female","56305","36750","0.653"
"2016","All","All","Wales","Female","57105","37880","0.663"
"2017","All","All","Wales","Female","54005","37475","0.6940000000000001"
"2018","All","All","Wales","Female","52085","37025","0.711"
"2019","All","All","Wales","Female","51330","36410","0.709"
"2020","All","All","Wales","Female","51700","36935","0.714"
