"Year","Estranged status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Is not estranged from parents","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","80","55","0.679","0"
"2023","Is not estranged from parents","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","45","30","0.6890000000000001","0"
"2023","Is estranged from parents","25 - 29","England","Female","Main scheme applicant","Not main scheme application","100","65","0.643","0"
"2023","Is estranged from parents","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Is estranged from parents","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2023","Is not estranged from parents","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","20","0.84","0"
"2023","Is not estranged from parents","30 - 34","England","Female","Main scheme applicant","Not main scheme application","405","245","0.602","0"
"2023","Is not estranged from parents","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","50","30","0.6","0"
"2023","Is not estranged from parents","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","25","25","0.852","0"
"2023","Is estranged from parents","30 - 34","England","Female","Main scheme applicant","Not main scheme application","60","40","0.678","0"
"2023","Is estranged from parents","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is estranged from parents","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","35 and over","England","Female","Main scheme applicant","Not main scheme application","55","30","0.519","0"
"2023","Is not estranged from parents","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","35","30","0.912","0"
"2023","Is not estranged from parents","35 and over","England","Female","Main scheme applicant","Not main scheme application","900","570","0.63","0"
"2023","Is not estranged from parents","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","90","45","0.534","0"
