"Year","Domicile UK International","Domicile","Age group","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2008","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","336660","0"
"2009","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","342500","0"
"2010","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","336200","0"
"2011","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","329110","0"
"2012","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","332250","0"
"2013","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","326760","0"
"2014","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","324000","0"
"2015","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","329560","0"
"2016","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","322880","0"
"2017","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","319730","0"
"2018","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","312490","0"
"2019","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","305830","0"
"2020","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","302270","0"
"2021","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","312290","0"
"2022","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","320710","0"
"2023","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","329990","0"
"2006","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","32600","0"
"2007","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","32280","0"
"2008","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","33160","0"
"2009","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","32780","0"
"2010","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","32400","0"
"2011","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","32150","0"
"2012","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","31830","0"
