"Year","Domicile UK International","Domicile","Age group","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2007","UK","Wales","18","Male","All","Not main scheme application","400","20300","0.02"
"2008","UK","Wales","18","Male","All","Not main scheme application","500","20420","0.025"
"2009","UK","Wales","18","Male","All","Not main scheme application","530","20790","0.025"
"2010","UK","Wales","18","Male","All","Not main scheme application","490","19980","0.025"
"2011","UK","Wales","18","Male","All","Not main scheme application","460","19600","0.023"
"2012","UK","Wales","18","Male","All","Not main scheme application","520","19750","0.026000000000000002"
"2013","UK","Wales","18","Male","All","Not main scheme application","450","19370","0.023"
"2014","UK","Wales","18","Male","All","Not main scheme application","490","19260","0.025"
"2015","UK","Wales","18","Male","All","Not main scheme application","520","19360","0.027"
"2016","UK","Wales","18","Male","All","Not main scheme application","540","18540","0.029"
"2017","UK","Wales","18","Male","All","Not main scheme application","530","18180","0.029"
"2018","UK","Wales","18","Male","All","Not main scheme application","460","17670","0.026000000000000002"
"2019","UK","Wales","18","Male","All","Not main scheme application","510","17500","0.029"
"2020","UK","Wales","18","Male","All","Not main scheme application","600","16790","0.036000000000000004"
"2021","UK","Wales","18","Male","All","Not main scheme application","420","17110","0.025"
"2022","UK","Wales","18","Male","All","Not main scheme application","540","17290","0.031"
"2023","UK","Wales","18","Male","All","Not main scheme application","520","17840","0.029"
"2006","UK","Northern Ireland","18","Female","All","Main scheme application","4470","13160","0.34"
"2007","UK","Northern Ireland","18","Female","All","Main scheme application","4630","12760","0.363"
"2008","UK","Northern Ireland","18","Female","All","Main scheme application","4730","12750","0.371"
"2009","UK","Northern Ireland","18","Female","All","Main scheme application","4800","12680","0.378"
"2010","UK","Northern Ireland","18","Female","All","Main scheme application","4550","12440","0.365"
"2011","UK","Northern Ireland","18","Female","All","Main scheme application","4370","12340","0.354"
"2012","UK","Northern Ireland","18","Female","All","Main scheme application","4290","12380","0.34600000000000003"
"2013","UK","Northern Ireland","18","Female","All","Main scheme application","4450","12080","0.368"
"2014","UK","Northern Ireland","18","Female","All","Main scheme application","4330","11930","0.363"
"2015","UK","Northern Ireland","18","Female","All","Main scheme application","4340","12160","0.357"
"2016","UK","Northern Ireland","18","Female","All","Main scheme application","4400","11920","0.369"
"2017","UK","Northern Ireland","18","Female","All","Main scheme application","4320","11820","0.365"
"2018","UK","Northern Ireland","18","Female","All","Main scheme application","4120","11140","0.37"
"2019","UK","Northern Ireland","18","Female","All","Main scheme application","4100","10920","0.376"
"2020","UK","Northern Ireland","18","Female","All","Main scheme application","4700","10880","0.432"
"2021","UK","Northern Ireland","18","Female","All","Main scheme application","4860","10940","0.444"
"2022","UK","Northern Ireland","18","Female","All","Main scheme application","4730","11080","0.427"
"2023","UK","Northern Ireland","18","Female","All","Main scheme application","4660","11240","0.41400000000000003"
"2006","UK","England","18","Female","All","Main scheme application","79590","319840","0.249"
"2007","UK","England","18","Female","All","Main scheme application","80260","315670","0.254"
"2008","UK","England","18","Female","All","Main scheme application","86390","320340","0.27"
"2009","UK","England","18","Female","All","Main scheme application","88190","325520","0.271"
"2010","UK","England","18","Female","All","Main scheme application","87190","324070","0.269"
"2011","UK","England","18","Female","All","Main scheme application","87790","314540","0.279"
"2012","UK","England","18","Female","All","Main scheme application","85840","315630","0.272"
"2013","UK","England","18","Female","All","Main scheme application","89380","310320","0.28800000000000003"
"2014","UK","England","18","Female","All","Main scheme application","91200","306120","0.298"
"2015","UK","England","18","Female","All","Main scheme application","97130","313890","0.309"
"2016","UK","England","18","Female","All","Main scheme application","98020","307070","0.319"
"2017","UK","England","18","Female","All","Main scheme application","99060","304090","0.326"
"2018","UK","England","18","Female","All","Main scheme application","97460","296680","0.329"
"2019","UK","England","18","Female","All","Main scheme application","97510","292160","0.334"
"2020","UK","England","18","Female","All","Main scheme application","103970","286880","0.362"
"2021","UK","England","18","Female","All","Main scheme application","117270","296020","0.396"
"2022","UK","England","18","Female","All","Main scheme application","113700","305000","0.373"
"2023","UK","England","18","Female","All","Main scheme application","109020","313350","0.34800000000000003"
"2006","UK","Scotland","18","Female","All","Main scheme application","7040","31170","0.226"
"2007","UK","Scotland","18","Female","All","Main scheme application","6920","30920","0.224"
"2008","UK","Scotland","18","Female","All","Main scheme application","7160","31970","0.224"
"2009","UK","Scotland","18","Female","All","Main scheme application","7330","32080","0.228"
"2010","UK","Scotland","18","Female","All","Main scheme application","7820","31480","0.249"
"2011","UK","Scotland","18","Female","All","Main scheme application","7460","30710","0.243"
"2012","UK","Scotland","18","Female","All","Main scheme application","7650","30110","0.254"
"2013","UK","Scotland","18","Female","All","Main scheme application","7640","29740","0.257"
"2014","UK","Scotland","18","Female","All","Main scheme application","7830","29770","0.263"
"2015","UK","Scotland","18","Female","All","Main scheme application","7890","29350","0.269"
"2016","UK","Scotland","18","Female","All","Main scheme application","8010","28640","0.28"
"2017","UK","Scotland","18","Female","All","Main scheme application","8100","27820","0.291"
"2018","UK","Scotland","18","Female","All","Main scheme application","8160","27330","0.299"
"2019","UK","Scotland","18","Female","All","Main scheme application","8010","26390","0.304"
"2020","UK","Scotland","18","Female","All","Main scheme application","8190","26010","0.315"
"2021","UK","Scotland","18","Female","All","Main scheme application","9670","26770","0.361"
"2022","UK","Scotland","18","Female","All","Main scheme application","9330","27390","0.341"
"2023","UK","Scotland","18","Female","All","Main scheme application","9110","27970","0.326"
"2006","UK","Wales","18","Female","All","Main scheme application","4970","19370","0.256"
"2007","UK","Wales","18","Female","All","Main scheme application","4780","18990","0.251"
"2008","UK","Wales","18","Female","All","Main scheme application","5100","19090","0.267"
"2009","UK","Wales","18","Female","All","Main scheme application","5310","19530","0.272"
"2010","UK","Wales","18","Female","All","Main scheme application","5010","19880","0.252"
"2011","UK","Wales","18","Female","All","Main scheme application","4740","19000","0.25"
"2012","UK","Wales","18","Female","All","Main scheme application","4920","18800","0.262"
"2013","UK","Wales","18","Female","All","Main scheme application","4900","18430","0.266"
"2014","UK","Wales","18","Female","All","Main scheme application","5110","18230","0.28"
"2015","UK","Wales","18","Female","All","Main scheme application","5430","18320","0.296"
"2016","UK","Wales","18","Female","All","Main scheme application","5460","17770","0.307"
"2017","UK","Wales","18","Female","All","Main scheme application","5290","17340","0.305"
"2018","UK","Wales","18","Female","All","Main scheme application","5220","16730","0.312"
"2019","UK","Wales","18","Female","All","Main scheme application","5150","16100","0.32"
"2020","UK","Wales","18","Female","All","Main scheme application","5190","15720","0.33"
"2021","UK","Wales","18","Female","All","Main scheme application","6010","15960","0.377"
"2022","UK","Wales","18","Female","All","Main scheme application","5570","16520","0.337"
"2023","UK","Wales","18","Female","All","Main scheme application","5460","17200","0.317"
"2006","UK","Northern Ireland","18","Male","All","Main scheme application","3420","13680","0.25"
"2007","UK","Northern Ireland","18","Male","All","Main scheme application","3500","13500","0.259"
"2008","UK","Northern Ireland","18","Male","All","Main scheme application","3510","13280","0.264"
"2009","UK","Northern Ireland","18","Male","All","Main scheme application","3740","13310","0.281"
"2010","UK","Northern Ireland","18","Male","All","Main scheme application","3540","13070","0.271"
"2011","UK","Northern Ireland","18","Male","All","Main scheme application","3550","12660","0.28"
"2012","UK","Northern Ireland","18","Male","All","Main scheme application","3340","12750","0.262"
"2013","UK","Northern Ireland","18","Male","All","Main scheme application","3620","12440","0.291"
"2014","UK","Northern Ireland","18","Male","All","Main scheme application","3420","12340","0.277"
"2015","UK","Northern Ireland","18","Male","All","Main scheme application","3270","12680","0.258"
"2016","UK","Northern Ireland","18","Male","All","Main scheme application","3370","12530","0.269"
"2017","UK","Northern Ireland","18","Male","All","Main scheme application","3120","12380","0.252"
"2018","UK","Northern Ireland","18","Male","All","Main scheme application","3200","12060","0.266"
"2019","UK","Northern Ireland","18","Male","All","Main scheme application","3100","11470","0.27"
"2020","UK","Northern Ireland","18","Male","All","Main scheme application","3520","11390","0.309"
"2021","UK","Northern Ireland","18","Male","All","Main scheme application","3890","11400","0.341"
"2022","UK","Northern Ireland","18","Male","All","Main scheme application","3540","11800","0.3"
"2023","UK","Northern Ireland","18","Male","All","Main scheme application","3320","11950","0.278"
"2006","UK","England","18","Male","All","Main scheme application","65330","332100","0.197"
"2007","UK","England","18","Male","All","Main scheme application","65140","327910","0.199"
"2008","UK","England","18","Male","All","Main scheme application","68210","336660","0.203"
"2009","UK","England","18","Male","All","Main scheme application","70490","342500","0.20600000000000002"
"2010","UK","England","18","Male","All","Main scheme application","71260","336200","0.212"
"2011","UK","England","18","Male","All","Main scheme application","72420","329110","0.22"
"2012","UK","England","18","Male","All","Main scheme application","68880","332250","0.20700000000000002"
"2013","UK","England","18","Male","All","Main scheme application","72580","326760","0.222"
"2014","UK","England","18","Male","All","Main scheme application","73780","324000","0.228"
"2015","UK","England","18","Male","All","Main scheme application","76380","329560","0.232"
"2016","UK","England","18","Male","All","Main scheme application","77200","322880","0.23900000000000002"
"2017","UK","England","18","Male","All","Main scheme application","77430","319730","0.242"
"2018","UK","England","18","Male","All","Main scheme application","75810","312490","0.243"
"2019","UK","England","18","Male","All","Main scheme application","75310","305830","0.246"
"2020","UK","England","18","Male","All","Main scheme application","78670","302270","0.26"
"2021","UK","England","18","Male","All","Main scheme application","90790","312290","0.291"
"2022","UK","England","18","Male","All","Main scheme application","89290","320710","0.278"
"2023","UK","England","18","Male","All","Main scheme application","85330","329990","0.259"
"2006","UK","Scotland","18","Male","All","Main scheme application","5980","32600","0.183"
"2007","UK","Scotland","18","Male","All","Main scheme application","5630","32280","0.17400000000000002"
"2008","UK","Scotland","18","Male","All","Main scheme application","5870","33160","0.177"
"2009","UK","Scotland","18","Male","All","Main scheme application","6110","32780","0.186"
"2010","UK","Scotland","18","Male","All","Main scheme application","5960","32400","0.184"
"2011","UK","Scotland","18","Male","All","Main scheme application","5720","32150","0.178"
"2012","UK","Scotland","18","Male","All","Main scheme application","5560","31830","0.17500000000000002"
"2013","UK","Scotland","18","Male","All","Main scheme application","5630","31840","0.177"
"2014","UK","Scotland","18","Male","All","Main scheme application","5640","31510","0.179"
"2015","UK","Scotland","18","Male","All","Main scheme application","5580","30830","0.181"
"2016","UK","Scotland","18","Male","All","Main scheme application","5600","30190","0.186"
"2017","UK","Scotland","18","Male","All","Main scheme application","5570","29520","0.188"
"2018","UK","Scotland","18","Male","All","Main scheme application","5600","28240","0.198"
"2019","UK","Scotland","18","Male","All","Main scheme application","5150","27450","0.188"
"2020","UK","Scotland","18","Male","All","Main scheme application","5420","27130","0.2"
"2021","UK","Scotland","18","Male","All","Main scheme application","6310","28390","0.222"
"2022","UK","Scotland","18","Male","All","Main scheme application","6450","29050","0.222"
"2023","UK","Scotland","18","Male","All","Main scheme application","6370","29070","0.219"
"2006","UK","Wales","18","Male","All","Main scheme application","3860","20240","0.191"
"2007","UK","Wales","18","Male","All","Main scheme application","3770","20300","0.186"
"2008","UK","Wales","18","Male","All","Main scheme application","3730","20420","0.183"
"2009","UK","Wales","18","Male","All","Main scheme application","4090","20790","0.196"
"2010","UK","Wales","18","Male","All","Main scheme application","3800","19980","0.19"
"2011","UK","Wales","18","Male","All","Main scheme application","3680","19600","0.188"
"2012","UK","Wales","18","Male","All","Main scheme application","3680","19750","0.186"
"2013","UK","Wales","18","Male","All","Main scheme application","3780","19370","0.195"
"2014","UK","Wales","18","Male","All","Main scheme application","3920","19260","0.20400000000000001"
"2015","UK","Wales","18","Male","All","Main scheme application","3960","19360","0.20400000000000001"
"2016","UK","Wales","18","Male","All","Main scheme application","3930","18540","0.212"
"2017","UK","Wales","18","Male","All","Main scheme application","3850","18180","0.212"
"2018","UK","Wales","18","Male","All","Main scheme application","3830","17670","0.217"
"2019","UK","Wales","18","Male","All","Main scheme application","3660","17500","0.209"
"2020","UK","Wales","18","Male","All","Main scheme application","3640","16790","0.217"
"2021","UK","Wales","18","Male","All","Main scheme application","4150","17110","0.242"
"2022","UK","Wales","18","Male","All","Main scheme application","4000","17290","0.232"
"2023","UK","Wales","18","Male","All","Main scheme application","3790","17840","0.213"
"2006","UK","All","18","Female","All","Not main scheme application","10730","383540","0.028"
"2007","UK","All","18","Female","All","Not main scheme application","11020","378350","0.029"
"2008","UK","All","18","Female","All","Not main scheme application","12380","384160","0.032"
"2009","UK","All","18","Female","All","Not main scheme application","13130","389810","0.034"
"2010","UK","All","18","Female","All","Not main scheme application","13050","387880","0.034"
"2011","UK","All","18","Female","All","Not main scheme application","15520","376590","0.041"
"2012","UK","All","18","Female","All","Not main scheme application","15390","376930","0.041"
"2013","UK","All","18","Female","All","Not main scheme application","15360","370570","0.041"
"2014","UK","All","18","Female","All","Not main scheme application","16250","366050","0.044"
"2015","UK","All","18","Female","All","Not main scheme application","17690","373710","0.047"
"2016","UK","All","18","Female","All","Not main scheme application","18580","365400","0.051000000000000004"
"2017","UK","All","18","Female","All","Not main scheme application","19380","361070","0.054"
"2018","UK","All","18","Female","All","Not main scheme application","19690","351870","0.056"
"2019","UK","All","18","Female","All","Not main scheme application","21780","345580","0.063"
"2020","UK","All","18","Female","All","Not main scheme application","24050","339490","0.07100000000000001"
"2021","UK","All","18","Female","All","Not main scheme application","17700","349690","0.051000000000000004"
"2022","UK","All","18","Female","All","Not main scheme application","22900","359990","0.064"
"2023","UK","All","18","Female","All","Not main scheme application","24470","369760","0.066"
"2006","UK","All","18","Male","All","Not main scheme application","8800","398610","0.022"
"2007","UK","All","18","Male","All","Not main scheme application","8990","393990","0.023"
"2008","UK","All","18","Male","All","Not main scheme application","10150","403520","0.025"
"2009","UK","All","18","Male","All","Not main scheme application","11080","409390","0.027"
"2010","UK","All","18","Male","All","Not main scheme application","10950","401650","0.027"
"2011","UK","All","18","Male","All","Not main scheme application","12410","393520","0.032"
"2012","UK","All","18","Male","All","Not main scheme application","12560","396580","0.032"
"2013","UK","All","18","Male","All","Not main scheme application","11980","390410","0.031"
"2014","UK","All","18","Male","All","Not main scheme application","13070","387110","0.034"
"2015","UK","All","18","Male","All","Not main scheme application","13700","392430","0.035"
"2016","UK","All","18","Male","All","Not main scheme application","14360","384150","0.037"
"2017","UK","All","18","Male","All","Not main scheme application","15480","379820","0.041"
"2018","UK","All","18","Male","All","Not main scheme application","15290","370460","0.041"
"2019","UK","All","18","Male","All","Not main scheme application","17740","362260","0.049"
"2020","UK","All","18","Male","All","Not main scheme application","20570","357580","0.058"
"2021","UK","All","18","Male","All","Not main scheme application","14600","369190","0.04"
"2022","UK","All","18","Male","All","Not main scheme application","17810","378850","0.047"
"2023","UK","All","18","Male","All","Not main scheme application","20200","388850","0.052000000000000005"
"2006","UK","All","18","Female","All","Main scheme application","96070","383540","0.25"
"2007","UK","All","18","Female","All","Main scheme application","96590","378350","0.255"
"2008","UK","All","18","Female","All","Main scheme application","103380","384160","0.269"
"2009","UK","All","18","Female","All","Main scheme application","105630","389810","0.271"
"2010","UK","All","18","Female","All","Main scheme application","104570","387880","0.27"
"2011","UK","All","18","Female","All","Main scheme application","104370","376590","0.277"
"2012","UK","All","18","Female","All","Main scheme application","102700","376930","0.272"
"2013","UK","All","18","Female","All","Main scheme application","106370","370570","0.28700000000000003"
"2014","UK","All","18","Female","All","Main scheme application","108470","366050","0.296"
"2015","UK","All","18","Female","All","Main scheme application","114790","373710","0.307"
"2016","UK","All","18","Female","All","Main scheme application","115890","365400","0.317"
"2017","UK","All","18","Female","All","Main scheme application","116770","361070","0.323"
"2018","UK","All","18","Female","All","Main scheme application","114950","351870","0.327"
"2019","UK","All","18","Female","All","Main scheme application","114780","345580","0.332"
"2020","UK","All","18","Female","All","Main scheme application","122040","339490","0.359"
"2021","UK","All","18","Female","All","Main scheme application","137810","349690","0.394"
"2022","UK","All","18","Female","All","Main scheme application","133330","359990","0.37"
"2023","UK","All","18","Female","All","Main scheme application","128250","369760","0.34700000000000003"
"2006","UK","All","18","Male","All","Main scheme application","78590","398610","0.197"
"2007","UK","All","18","Male","All","Main scheme application","78040","393990","0.198"
"2008","UK","All","18","Male","All","Main scheme application","81310","403520","0.202"
"2009","UK","All","18","Male","All","Main scheme application","84420","409390","0.20600000000000002"
"2010","UK","All","18","Male","All","Main scheme application","84550","401650","0.211"
"2011","UK","All","18","Male","All","Main scheme application","85360","393520","0.217"
"2012","UK","All","18","Male","All","Main scheme application","81450","396580","0.20500000000000002"
"2013","UK","All","18","Male","All","Main scheme application","85620","390410","0.219"
"2014","UK","All","18","Male","All","Main scheme application","86760","387110","0.224"
"2015","UK","All","18","Male","All","Main scheme application","89190","392430","0.227"
"2016","UK","All","18","Male","All","Main scheme application","90100","384150","0.23500000000000001"
"2017","UK","All","18","Male","All","Main scheme application","89960","379820","0.23700000000000002"
"2018","UK","All","18","Male","All","Main scheme application","88440","370460","0.23900000000000002"
"2019","UK","All","18","Male","All","Main scheme application","87220","362260","0.241"
"2020","UK","All","18","Male","All","Main scheme application","91240","357580","0.255"
"2021","UK","All","18","Male","All","Main scheme application","105140","369190","0.28500000000000003"
"2022","UK","All","18","Male","All","Main scheme application","103290","378850","0.273"
"2023","UK","All","18","Male","All","Main scheme application","98810","388850","0.254"
"2006","All","All","18","Female","All","Not main scheme application","10730","383540","0.028"
"2007","All","All","18","Female","All","Not main scheme application","11020","378350","0.029"
"2008","All","All","18","Female","All","Not main scheme application","12380","384160","0.032"
"2009","All","All","18","Female","All","Not main scheme application","13130","389810","0.034"
"2010","All","All","18","Female","All","Not main scheme application","13050","387880","0.034"
"2011","All","All","18","Female","All","Not main scheme application","15520","376590","0.041"
"2012","All","All","18","Female","All","Not main scheme application","15390","376930","0.041"
"2013","All","All","18","Female","All","Not main scheme application","15360","370570","0.041"
"2014","All","All","18","Female","All","Not main scheme application","16250","366050","0.044"
"2015","All","All","18","Female","All","Not main scheme application","17690","373710","0.047"
"2016","All","All","18","Female","All","Not main scheme application","18580","365400","0.051000000000000004"
"2017","All","All","18","Female","All","Not main scheme application","19380","361070","0.054"
"2018","All","All","18","Female","All","Not main scheme application","19690","351870","0.056"
"2019","All","All","18","Female","All","Not main scheme application","21780","345580","0.063"
"2020","All","All","18","Female","All","Not main scheme application","24050","339490","0.07100000000000001"
"2021","All","All","18","Female","All","Not main scheme application","17700","349690","0.051000000000000004"
"2022","All","All","18","Female","All","Not main scheme application","22900","359990","0.064"
"2023","All","All","18","Female","All","Not main scheme application","24470","369760","0.066"
"2006","All","All","18","Male","All","Not main scheme application","8800","398610","0.022"
"2007","All","All","18","Male","All","Not main scheme application","8990","393990","0.023"
"2008","All","All","18","Male","All","Not main scheme application","10150","403520","0.025"
"2009","All","All","18","Male","All","Not main scheme application","11080","409390","0.027"
"2010","All","All","18","Male","All","Not main scheme application","10950","401650","0.027"
"2011","All","All","18","Male","All","Not main scheme application","12410","393520","0.032"
"2012","All","All","18","Male","All","Not main scheme application","12560","396580","0.032"
"2013","All","All","18","Male","All","Not main scheme application","11980","390410","0.031"
"2014","All","All","18","Male","All","Not main scheme application","13070","387110","0.034"
"2015","All","All","18","Male","All","Not main scheme application","13700","392430","0.035"
"2016","All","All","18","Male","All","Not main scheme application","14360","384150","0.037"
"2017","All","All","18","Male","All","Not main scheme application","15480","379820","0.041"
"2018","All","All","18","Male","All","Not main scheme application","15290","370460","0.041"
"2019","All","All","18","Male","All","Not main scheme application","17740","362260","0.049"
"2020","All","All","18","Male","All","Not main scheme application","20570","357580","0.058"
"2021","All","All","18","Male","All","Not main scheme application","14600","369190","0.04"
"2022","All","All","18","Male","All","Not main scheme application","17810","378850","0.047"
"2023","All","All","18","Male","All","Not main scheme application","20200","388850","0.052000000000000005"
"2006","All","All","18","Female","All","Main scheme application","96070","383540","0.25"
"2007","All","All","18","Female","All","Main scheme application","96590","378350","0.255"
"2008","All","All","18","Female","All","Main scheme application","103380","384160","0.269"
"2009","All","All","18","Female","All","Main scheme application","105630","389810","0.271"
"2010","All","All","18","Female","All","Main scheme application","104570","387880","0.27"
"2011","All","All","18","Female","All","Main scheme application","104370","376590","0.277"
"2012","All","All","18","Female","All","Main scheme application","102700","376930","0.272"
"2013","All","All","18","Female","All","Main scheme application","106370","370570","0.28700000000000003"
"2014","All","All","18","Female","All","Main scheme application","108470","366050","0.296"
"2015","All","All","18","Female","All","Main scheme application","114790","373710","0.307"
"2016","All","All","18","Female","All","Main scheme application","115890","365400","0.317"
"2017","All","All","18","Female","All","Main scheme application","116770","361070","0.323"
"2018","All","All","18","Female","All","Main scheme application","114950","351870","0.327"
"2019","All","All","18","Female","All","Main scheme application","114780","345580","0.332"
"2020","All","All","18","Female","All","Main scheme application","122040","339490","0.359"
"2021","All","All","18","Female","All","Main scheme application","137810","349690","0.394"
"2022","All","All","18","Female","All","Main scheme application","133330","359990","0.37"
"2023","All","All","18","Female","All","Main scheme application","128250","369760","0.34700000000000003"
"2006","All","All","18","Male","All","Main scheme application","78590","398610","0.197"
"2007","All","All","18","Male","All","Main scheme application","78040","393990","0.198"
"2008","All","All","18","Male","All","Main scheme application","81310","403520","0.202"
"2009","All","All","18","Male","All","Main scheme application","84420","409390","0.20600000000000002"
"2010","All","All","18","Male","All","Main scheme application","84550","401650","0.211"
"2011","All","All","18","Male","All","Main scheme application","85360","393520","0.217"
"2012","All","All","18","Male","All","Main scheme application","81450","396580","0.20500000000000002"
"2013","All","All","18","Male","All","Main scheme application","85620","390410","0.219"
"2014","All","All","18","Male","All","Main scheme application","86760","387110","0.224"
"2015","All","All","18","Male","All","Main scheme application","89190","392430","0.227"
"2016","All","All","18","Male","All","Main scheme application","90100","384150","0.23500000000000001"
"2017","All","All","18","Male","All","Main scheme application","89960","379820","0.23700000000000002"
"2018","All","All","18","Male","All","Main scheme application","88440","370460","0.23900000000000002"
"2019","All","All","18","Male","All","Main scheme application","87220","362260","0.241"
"2020","All","All","18","Male","All","Main scheme application","91240","357580","0.255"
"2021","All","All","18","Male","All","Main scheme application","105140","369190","0.28500000000000003"
"2022","All","All","18","Male","All","Main scheme application","103290","378850","0.273"
"2023","All","All","18","Male","All","Main scheme application","98810","388850","0.254"
"2006","UK","Northern Ireland","All","Female","All","Not main scheme application","410","13160","0.031"
"2007","UK","Northern Ireland","All","Female","All","Not main scheme application","410","12760","0.032"
"2008","UK","Northern Ireland","All","Female","All","Not main scheme application","420","12750","0.033"
"2009","UK","Northern Ireland","All","Female","All","Not main scheme application","440","12680","0.035"
"2010","UK","Northern Ireland","All","Female","All","Not main scheme application","360","12440","0.029"
"2011","UK","Northern Ireland","All","Female","All","Not main scheme application","410","12340","0.033"
"2012","UK","Northern Ireland","All","Female","All","Not main scheme application","460","12380","0.037"
"2013","UK","Northern Ireland","All","Female","All","Not main scheme application","410","12080","0.034"
"2014","UK","Northern Ireland","All","Female","All","Not main scheme application","400","11930","0.033"
"2015","UK","Northern Ireland","All","Female","All","Not main scheme application","410","12160","0.034"
"2016","UK","Northern Ireland","All","Female","All","Not main scheme application","460","11920","0.039"
"2017","UK","Northern Ireland","All","Female","All","Not main scheme application","520","11820","0.044"
"2018","UK","Northern Ireland","All","Female","All","Not main scheme application","500","11140","0.044"
"2019","UK","Northern Ireland","All","Female","All","Not main scheme application","510","10920","0.046"
"2020","UK","Northern Ireland","All","Female","All","Not main scheme application","590","10880","0.054"
"2021","UK","Northern Ireland","All","Female","All","Not main scheme application","560","10940","0.051000000000000004"
"2022","UK","Northern Ireland","All","Female","All","Not main scheme application","640","11080","0.058"
"2023","UK","Northern Ireland","All","Female","All","Not main scheme application","580","11240","0.052000000000000005"
"2006","UK","England","All","Female","All","Not main scheme application","9070","319840","0.028"
"2007","UK","England","All","Female","All","Not main scheme application","9420","315670","0.03"
"2008","UK","England","All","Female","All","Not main scheme application","10580","320340","0.033"
"2009","UK","England","All","Female","All","Not main scheme application","11200","325520","0.034"
"2010","UK","England","All","Female","All","Not main scheme application","11240","324070","0.035"
"2011","UK","England","All","Female","All","Not main scheme application","13890","314540","0.044"
"2012","UK","England","All","Female","All","Not main scheme application","13580","315630","0.043000000000000003"
"2013","UK","England","All","Female","All","Not main scheme application","13630","310320","0.044"
"2014","UK","England","All","Female","All","Not main scheme application","14780","306120","0.048"
"2015","UK","England","All","Female","All","Not main scheme application","15870","313890","0.051000000000000004"
"2016","UK","England","All","Female","All","Not main scheme application","16660","307070","0.054"
"2017","UK","England","All","Female","All","Not main scheme application","17410","304090","0.057"
"2018","UK","England","All","Female","All","Not main scheme application","17900","296680","0.06"
"2019","UK","England","All","Female","All","Not main scheme application","19940","292160","0.068"
"2020","UK","England","All","Female","All","Not main scheme application","21860","286880","0.076"
"2021","UK","England","All","Female","All","Not main scheme application","15970","296020","0.054"
"2022","UK","England","All","Female","All","Not main scheme application","20770","305000","0.068"
"2023","UK","England","All","Female","All","Not main scheme application","22470","313350","0.07200000000000001"
"2006","UK","Scotland","All","Female","All","Not main scheme application","620","31170","0.02"
"2007","UK","Scotland","All","Female","All","Not main scheme application","640","30920","0.021"
"2008","UK","Scotland","All","Female","All","Not main scheme application","780","31970","0.025"
"2009","UK","Scotland","All","Female","All","Not main scheme application","830","32080","0.026000000000000002"
"2010","UK","Scotland","All","Female","All","Not main scheme application","820","31480","0.026000000000000002"
"2011","UK","Scotland","All","Female","All","Not main scheme application","570","30710","0.018000000000000002"
"2012","UK","Scotland","All","Female","All","Not main scheme application","610","30110","0.02"
"2013","UK","Scotland","All","Female","All","Not main scheme application","660","29740","0.022"
"2014","UK","Scotland","All","Female","All","Not main scheme application","450","29770","0.015"
"2015","UK","Scotland","All","Female","All","Not main scheme application","680","29350","0.023"
"2016","UK","Scotland","All","Female","All","Not main scheme application","690","28640","0.024"
"2017","UK","Scotland","All","Female","All","Not main scheme application","680","27820","0.024"
"2018","UK","Scotland","All","Female","All","Not main scheme application","630","27330","0.023"
"2019","UK","Scotland","All","Female","All","Not main scheme application","630","26390","0.024"
"2020","UK","Scotland","All","Female","All","Not main scheme application","830","26010","0.032"
"2021","UK","Scotland","All","Female","All","Not main scheme application","570","26770","0.021"
"2022","UK","Scotland","All","Female","All","Not main scheme application","660","27390","0.024"
"2023","UK","Scotland","All","Female","All","Not main scheme application","690","27970","0.025"
"2006","UK","Wales","All","Female","All","Not main scheme application","630","19370","0.032"
"2007","UK","Wales","All","Female","All","Not main scheme application","560","18990","0.029"
"2008","UK","Wales","All","Female","All","Not main scheme application","590","19090","0.031"
"2009","UK","Wales","All","Female","All","Not main scheme application","660","19530","0.034"
"2010","UK","Wales","All","Female","All","Not main scheme application","630","19880","0.032"
"2011","UK","Wales","All","Female","All","Not main scheme application","660","19000","0.035"
"2012","UK","Wales","All","Female","All","Not main scheme application","750","18800","0.04"
"2013","UK","Wales","All","Female","All","Not main scheme application","670","18430","0.036000000000000004"
"2014","UK","Wales","All","Female","All","Not main scheme application","630","18230","0.035"
"2015","UK","Wales","All","Female","All","Not main scheme application","720","18320","0.04"
"2016","UK","Wales","All","Female","All","Not main scheme application","770","17770","0.043000000000000003"
"2017","UK","Wales","All","Female","All","Not main scheme application","770","17340","0.045"
"2018","UK","Wales","All","Female","All","Not main scheme application","670","16730","0.04"
"2019","UK","Wales","All","Female","All","Not main scheme application","700","16100","0.043000000000000003"
"2020","UK","Wales","All","Female","All","Not main scheme application","770","15720","0.049"
"2021","UK","Wales","All","Female","All","Not main scheme application","610","15960","0.038"
"2022","UK","Wales","All","Female","All","Not main scheme application","830","16520","0.05"
"2023","UK","Wales","All","Female","All","Not main scheme application","720","17200","0.042"
"2006","UK","Northern Ireland","All","Male","All","Not main scheme application","360","13680","0.026000000000000002"
"2007","UK","Northern Ireland","All","Male","All","Not main scheme application","320","13500","0.023"
"2008","UK","Northern Ireland","All","Male","All","Not main scheme application","300","13280","0.022"
"2009","UK","Northern Ireland","All","Male","All","Not main scheme application","310","13310","0.023"
"2010","UK","Northern Ireland","All","Male","All","Not main scheme application","290","13070","0.022"
