"Year","Achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","35","25","0.706","0"
"2011","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","80","60","0.707","0"
"2012","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","30","20","0.786","0"
"2013","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","35","35","0.971","0"
"2014","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","30","30","0.935","0"
"2015","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","60","55","0.887","0"
"2016","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","45","40","0.889","0"
"2017","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","45","45","0.9560000000000001","0"
"2018","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","60","55","0.869","0"
"2019","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","45","45","0.935","0"
"2020","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","40","35","0.9","0"
"2021","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","55","45","0.852","0"
"2022","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","65","55","0.846","0"
"2023","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","65","60","0.9380000000000001","0"
"2012","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2013","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2014","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","25","20","0.88","0"
"2015","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","25","20","0.704","0"
"2016","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","40","35","0.868","0"
"2017","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","35","30","0.838","0"
"2018","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","30","25","0.964","0"
"2019","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","45","40","0.933","0"
"2020","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","35","25","0.8180000000000001","0"
"2021","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","35","35","0.971","0"
"2022","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","45","40","0.911","0"
"2023","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","40","40","0.9520000000000001","0"
"2012","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","15","15","0.867","0"
"2013","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","25","25","0.923","0"
"2014","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","30","30","0.875","0"
"2015","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","45","40","0.886","0"
