"Year","Achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2016","10 points (D*D*D*)","Unknown or Prefer Not To Say","All","Not main scheme application","5","5"," ","0"
"2021","10 points (D*D*D*)","Unknown or Prefer Not To Say","All","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","White","All","Main scheme application","1320","555","0.418","0"
"2011","1 point (PPP)","White","All","Main scheme application","900","370","0.40800000000000003","0"
"2012","1 point (PPP)","White","All","Main scheme application","715","245","0.34","0"
"2013","1 point (PPP)","White","All","Main scheme application","620","225","0.362","0"
"2014","1 point (PPP)","White","All","Main scheme application","710","265","0.376","0"
"2015","1 point (PPP)","White","All","Main scheme application","570","225","0.398","0"
"2016","1 point (PPP)","White","All","Main scheme application","500","235","0.47100000000000003","0"
"2017","1 point (PPP)","White","All","Main scheme application","445","225","0.503","0"
"2018","1 point (PPP)","White","All","Main scheme application","380","225","0.591","0"
"2019","1 point (PPP)","White","All","Main scheme application","305","180","0.583","0"
"2020","1 point (PPP)","White","All","Main scheme application","335","215","0.639","0"
"2021","1 point (PPP)","White","All","Main scheme application","415","200","0.47900000000000004","0"
"2022","1 point (PPP)","White","All","Main scheme application","390","180","0.462","0"
"2023","1 point (PPP)","White","All","Main scheme application","435","195","0.45","0"
"2010","2 points (MPP)","White","All","Main scheme application","1320","640","0.485","0"
"2011","2 points (MPP)","White","All","Main scheme application","930","405","0.439","0"
"2012","2 points (MPP)","White","All","Main scheme application","905","425","0.466","0"
"2013","2 points (MPP)","White","All","Main scheme application","785","405","0.516","0"
"2014","2 points (MPP)","White","All","Main scheme application","820","430","0.523","0"
"2015","2 points (MPP)","White","All","Main scheme application","790","415","0.529","0"
"2016","2 points (MPP)","White","All","Main scheme application","735","425","0.58","0"
"2017","2 points (MPP)","White","All","Main scheme application","590","345","0.586","0"
"2018","2 points (MPP)","White","All","Main scheme application","555","350","0.637","0"
"2019","2 points (MPP)","White","All","Main scheme application","525","325","0.625","0"
"2020","2 points (MPP)","White","All","Main scheme application","535","380","0.709","0"
"2021","2 points (MPP)","White","All","Main scheme application","530","325","0.611","0"
"2022","2 points (MPP)","White","All","Main scheme application","595","310","0.516","0"
"2023","2 points (MPP)","White","All","Main scheme application","690","380","0.548","0"
"2010","3 points (MMP)","White","All","Main scheme application","1585","935","0.59","0"
"2011","3 points (MMP)","White","All","Main scheme application","1215","640","0.528","0"
"2012","3 points (MMP)","White","All","Main scheme application","1090","610","0.5630000000000001","0"
"2013","3 points (MMP)","White","All","Main scheme application","955","575","0.6","0"
"2014","3 points (MMP)","White","All","Main scheme application","1065","630","0.589","0"
"2015","3 points (MMP)","White","All","Main scheme application","1020","615","0.605","0"
"2016","3 points (MMP)","White","All","Main scheme application","955","610","0.637","0"
"2017","3 points (MMP)","White","All","Main scheme application","760","505","0.667","0"
"2018","3 points (MMP)","White","All","Main scheme application","730","510","0.6970000000000001","0"
"2019","3 points (MMP)","White","All","Main scheme application","685","455","0.659","0"
"2020","3 points (MMP)","White","All","Main scheme application","695","515","0.74","0"
"2021","3 points (MMP)","White","All","Main scheme application","685","450","0.658","0"
"2022","3 points (MMP)","White","All","Main scheme application","825","505","0.608","0"
"2023","3 points (MMP)","White","All","Main scheme application","825","525","0.64","0"
"2010","4 points (MMM)","White","All","Main scheme application","2490","1770","0.711","0"
"2011","4 points (MMM)","White","All","Main scheme application","2130","1420","0.667","0"
"2012","4 points (MMM)","White","All","Main scheme application","1765","1200","0.68","0"
"2013","4 points (MMM)","White","All","Main scheme application","1700","1210","0.71","0"
"2014","4 points (MMM)","White","All","Main scheme application","1705","1220","0.714","0"
"2015","4 points (MMM)","White","All","Main scheme application","1505","1070","0.712","0"
"2016","4 points (MMM)","White","All","Main scheme application","1435","1020","0.711","0"
"2017","4 points (MMM)","White","All","Main scheme application","1105","770","0.6960000000000001","0"
"2018","4 points (MMM)","White","All","Main scheme application","1080","810","0.748","0"
"2019","4 points (MMM)","White","All","Main scheme application","1015","750","0.74","0"
"2020","4 points (MMM)","White","All","Main scheme application","1035","780","0.751","0"
"2021","4 points (MMM)","White","All","Main scheme application","1085","750","0.6910000000000001","0"
"2022","4 points (MMM)","White","All","Main scheme application","1270","825","0.65","0"
"2023","4 points (MMM)","White","All","Main scheme application","1230","845","0.6880000000000001","0"
"2010","5 points (DMM)","White","All","Main scheme application","2765","2005","0.726","0"
"2011","5 points (DMM)","White","All","Main scheme application","2505","1860","0.743","0"
"2012","5 points (DMM)","White","All","Main scheme application","2320","1700","0.733","0"
"2013","5 points (DMM)","White","All","Main scheme application","2310","1745","0.756","0"
"2014","5 points (DMM)","White","All","Main scheme application","2420","1905","0.789","0"
"2015","5 points (DMM)","White","All","Main scheme application","2225","1745","0.785","0"
"2016","5 points (DMM)","White","All","Main scheme application","2005","1550","0.773","0"
"2017","5 points (DMM)","White","All","Main scheme application","1585","1225","0.773","0"
"2018","5 points (DMM)","White","All","Main scheme application","1550","1200","0.773","0"
"2019","5 points (DMM)","White","All","Main scheme application","1480","1165","0.786","0"
"2020","5 points (DMM)","White","All","Main scheme application","1405","1130","0.804","0"
"2021","5 points (DMM)","White","All","Main scheme application","1545","1160","0.751","0"
"2022","5 points (DMM)","White","All","Main scheme application","1645","1175","0.714","0"
"2023","5 points (DMM)","White","All","Main scheme application","1535","1110","0.722","0"
"2010","6 points (DDM)","White","All","Main scheme application","2570","1960","0.762","0"
"2011","6 points (DDM)","White","All","Main scheme application","2590","1970","0.76","0"
"2012","6 points (DDM)","White","All","Main scheme application","2350","1750","0.746","0"
"2013","6 points (DDM)","White","All","Main scheme application","2440","1895","0.778","0"
"2014","6 points (DDM)","White","All","Main scheme application","2700","2155","0.799","0"
"2015","6 points (DDM)","White","All","Main scheme application","2660","2105","0.79","0"
"2016","6 points (DDM)","White","All","Main scheme application","2490","1950","0.782","0"
"2017","6 points (DDM)","White","All","Main scheme application","2085","1655","0.793","0"
"2018","6 points (DDM)","White","All","Main scheme application","1900","1460","0.767","0"
"2019","6 points (DDM)","White","All","Main scheme application","1695","1320","0.777","0"
"2020","6 points (DDM)","White","All","Main scheme application","1565","1245","0.794","0"
"2021","6 points (DDM)","White","All","Main scheme application","1810","1375","0.759","0"
"2022","6 points (DDM)","White","All","Main scheme application","1895","1420","0.75","0"
"2023","6 points (DDM)","White","All","Main scheme application","1690","1280","0.757","0"
"2010","7 points (DDD)","White","All","Main scheme application","8990","6975","0.776","0"
"2011","7 points (DDD)","White","All","Main scheme application","10050","7820","0.778","0"
"2012","7 points (DDD)","White","All","Main scheme application","2625","1975","0.752","0"
"2013","7 points (DDD)","White","All","Main scheme application","2650","2055","0.776","0"
"2014","7 points (DDD)","White","All","Main scheme application","2795","2180","0.78","0"
"2015","7 points (DDD)","White","All","Main scheme application","2740","2135","0.78","0"
"2016","7 points (DDD)","White","All","Main scheme application","2075","1590","0.767","0"
"2017","7 points (DDD)","White","All","Main scheme application","1850","1465","0.791","0"
"2018","7 points (DDD)","White","All","Main scheme application","1795","1410","0.786","0"
"2019","7 points (DDD)","White","All","Main scheme application","1715","1360","0.794","0"
"2020","7 points (DDD)","White","All","Main scheme application","1605","1300","0.811","0"
"2021","7 points (DDD)","White","All","Main scheme application","1935","1535","0.793","0"
"2022","7 points (DDD)","White","All","Main scheme application","1960","1455","0.742","0"
"2023","7 points (DDD)","White","All","Main scheme application","1725","1340","0.775","0"
"2011","8 points (D*DD)","White","All","Main scheme application","25","20","0.87","0"
"2012","8 points (D*DD)","White","All","Main scheme application","1630","1255","0.77","0"
"2013","8 points (D*DD)","White","All","Main scheme application","1850","1410","0.762","0"
"2014","8 points (D*DD)","White","All","Main scheme application","1955","1515","0.775","0"
"2015","8 points (D*DD)","White","All","Main scheme application","2085","1600","0.767","0"
"2016","8 points (D*DD)","White","All","Main scheme application","2140","1655","0.773","0"
"2017","8 points (D*DD)","White","All","Main scheme application","1930","1545","0.8","0"
"2018","8 points (D*DD)","White","All","Main scheme application","1930","1500","0.776","0"
"2019","8 points (D*DD)","White","All","Main scheme application","1840","1490","0.809","0"
"2020","8 points (D*DD)","White","All","Main scheme application","1745","1430","0.8180000000000001","0"
"2021","8 points (D*DD)","White","All","Main scheme application","1895","1465","0.775","0"
"2022","8 points (D*DD)","White","All","Main scheme application","2185","1630","0.746","0"
"2023","8 points (D*DD)","White","All","Main scheme application","2000","1555","0.779","0"
"2011","9 points (D*D*D)","White","All","Main scheme application","10","5"," ","0"
"2012","9 points (D*D*D)","White","All","Main scheme application","1620","1245","0.768","0"
"2013","9 points (D*D*D)","White","All","Main scheme application","1795","1360","0.757","0"
"2014","9 points (D*D*D)","White","All","Main scheme application","2105","1625","0.772","0"
"2015","9 points (D*D*D)","White","All","Main scheme application","2190","1675","0.764","0"
"2016","9 points (D*D*D)","White","All","Main scheme application","2405","1875","0.779","0"
"2017","9 points (D*D*D)","White","All","Main scheme application","2165","1715","0.792","0"
"2018","9 points (D*D*D)","White","All","Main scheme application","2145","1680","0.783","0"
"2019","9 points (D*D*D)","White","All","Main scheme application","1910","1520","0.796","0"
"2020","9 points (D*D*D)","White","All","Main scheme application","2075","1710","0.8240000000000001","0"
"2021","9 points (D*D*D)","White","All","Main scheme application","2225","1720","0.772","0"
"2022","9 points (D*D*D)","White","All","Main scheme application","2465","1895","0.769","0"
"2023","9 points (D*D*D)","White","All","Main scheme application","1715","1350","0.787","0"
"2010","10 points (D*D*D*)","White","All","Main scheme application","5","0"," ","0"
"2011","10 points (D*D*D*)","White","All","Main scheme application","45","35","0.75","0"
"2012","10 points (D*D*D*)","White","All","Main scheme application","3955","3125","0.79","0"
"2013","10 points (D*D*D*)","White","All","Main scheme application","4615","3655","0.792","0"
"2014","10 points (D*D*D*)","White","All","Main scheme application","5820","4645","0.799","0"
"2015","10 points (D*D*D*)","White","All","Main scheme application","6305","4945","0.784","0"
"2016","10 points (D*D*D*)","White","All","Main scheme application","6010","4810","0.8","0"
"2017","10 points (D*D*D*)","White","All","Main scheme application","6500","5205","0.801","0"
"2018","10 points (D*D*D*)","White","All","Main scheme application","5645","4585","0.812","0"
"2019","10 points (D*D*D*)","White","All","Main scheme application","4595","3740","0.8140000000000001","0"
"2020","10 points (D*D*D*)","White","All","Main scheme application","5510","4545","0.8250000000000001","0"
"2021","10 points (D*D*D*)","White","All","Main scheme application","6055","4760","0.786","0"
"2022","10 points (D*D*D*)","White","All","Main scheme application","3285","2560","0.779","0"
"2023","10 points (D*D*D*)","White","All","Main scheme application","2015","1565","0.777","0"
"2010","1 point (PPP)","Black","All","Main scheme application","85","25","0.294","0"
"2011","1 point (PPP)","Black","All","Main scheme application","75","25","0.338","0"
"2012","1 point (PPP)","Black","All","Main scheme application","85","30","0.356","0"
"2013","1 point (PPP)","Black","All","Main scheme application","110","45","0.418","0"
"2014","1 point (PPP)","Black","All","Main scheme application","110","35","0.324","0"
"2015","1 point (PPP)","Black","All","Main scheme application","110","50","0.459","0"
"2016","1 point (PPP)","Black","All","Main scheme application","65","35","0.507","0"
"2017","1 point (PPP)","Black","All","Main scheme application","70","45","0.611","0"
"2018","1 point (PPP)","Black","All","Main scheme application","80","50","0.637","0"
"2019","1 point (PPP)","Black","All","Main scheme application","80","45","0.551","0"
"2020","1 point (PPP)","Black","All","Main scheme application","90","50","0.56","0"
"2021","1 point (PPP)","Black","All","Main scheme application","165","80","0.494","0"
"2022","1 point (PPP)","Black","All","Main scheme application","95","45","0.485","0"
"2023","1 point (PPP)","Black","All","Main scheme application","135","65","0.504","0"
"2010","2 points (MPP)","Black","All","Main scheme application","115","60","0.5","0"
"2011","2 points (MPP)","Black","All","Main scheme application","95","45","0.457","0"
"2012","2 points (MPP)","Black","All","Main scheme application","100","45","0.426","0"
"2013","2 points (MPP)","Black","All","Main scheme application","115","65","0.578","0"
"2014","2 points (MPP)","Black","All","Main scheme application","125","60","0.484","0"
"2015","2 points (MPP)","Black","All","Main scheme application","110","45","0.41400000000000003","0"
"2016","2 points (MPP)","Black","All","Main scheme application","130","80","0.609","0"
"2017","2 points (MPP)","Black","All","Main scheme application","90","60","0.674","0"
"2018","2 points (MPP)","Black","All","Main scheme application","110","70","0.642","0"
"2019","2 points (MPP)","Black","All","Main scheme application","100","55","0.525","0"
"2020","2 points (MPP)","Black","All","Main scheme application","145","105","0.728","0"
"2021","2 points (MPP)","Black","All","Main scheme application","150","85","0.546","0"
"2022","2 points (MPP)","Black","All","Main scheme application","170","95","0.554","0"
"2023","2 points (MPP)","Black","All","Main scheme application","200","105","0.535","0"
"2010","3 points (MMP)","Black","All","Main scheme application","125","80","0.656","0"
"2011","3 points (MMP)","Black","All","Main scheme application","110","60","0.555","0"
"2012","3 points (MMP)","Black","All","Main scheme application","120","65","0.551","0"
"2013","3 points (MMP)","Black","All","Main scheme application","145","90","0.643","0"
"2014","3 points (MMP)","Black","All","Main scheme application","130","80","0.62","0"
"2015","3 points (MMP)","Black","All","Main scheme application","135","80","0.591","0"
"2016","3 points (MMP)","Black","All","Main scheme application","155","90","0.587","0"
"2017","3 points (MMP)","Black","All","Main scheme application","105","65","0.607","0"
"2018","3 points (MMP)","Black","All","Main scheme application","110","75","0.6940000000000001","0"
"2019","3 points (MMP)","Black","All","Main scheme application","105","75","0.682","0"
"2020","3 points (MMP)","Black","All","Main scheme application","170","120","0.71","0"
"2021","3 points (MMP)","Black","All","Main scheme application","150","110","0.738","0"
"2022","3 points (MMP)","Black","All","Main scheme application","225","155","0.677","0"
"2023","3 points (MMP)","Black","All","Main scheme application","240","140","0.589","0"
"2010","4 points (MMM)","Black","All","Main scheme application","135","90","0.664","0"
"2011","4 points (MMM)","Black","All","Main scheme application","170","95","0.5710000000000001","0"
"2012","4 points (MMM)","Black","All","Main scheme application","190","115","0.601","0"
"2013","4 points (MMM)","Black","All","Main scheme application","215","145","0.673","0"
"2014","4 points (MMM)","Black","All","Main scheme application","210","145","0.679","0"
"2015","4 points (MMM)","Black","All","Main scheme application","220","145","0.662","0"
"2016","4 points (MMM)","Black","All","Main scheme application","210","150","0.7010000000000001","0"
"2017","4 points (MMM)","Black","All","Main scheme application","175","125","0.722","0"
"2018","4 points (MMM)","Black","All","Main scheme application","195","140","0.722","0"
"2019","4 points (MMM)","Black","All","Main scheme application","180","135","0.747","0"
"2020","4 points (MMM)","Black","All","Main scheme application","215","155","0.729","0"
"2021","4 points (MMM)","Black","All","Main scheme application","275","185","0.668","0"
"2022","4 points (MMM)","Black","All","Main scheme application","320","220","0.682","0"
"2023","4 points (MMM)","Black","All","Main scheme application","300","195","0.648","0"
"2010","5 points (DMM)","Black","All","Main scheme application","170","125","0.719","0"
"2011","5 points (DMM)","Black","All","Main scheme application","195","135","0.6990000000000001","0"
"2012","5 points (DMM)","Black","All","Main scheme application","190","125","0.667","0"
"2013","5 points (DMM)","Black","All","Main scheme application","255","180","0.711","0"
"2014","5 points (DMM)","Black","All","Main scheme application","265","180","0.687","0"
"2015","5 points (DMM)","Black","All","Main scheme application","295","215","0.717","0"
"2016","5 points (DMM)","Black","All","Main scheme application","280","205","0.738","0"
"2017","5 points (DMM)","Black","All","Main scheme application","270","195","0.724","0"
"2018","5 points (DMM)","Black","All","Main scheme application","240","185","0.782","0"
"2019","5 points (DMM)","Black","All","Main scheme application","265","180","0.677","0"
"2020","5 points (DMM)","Black","All","Main scheme application","245","175","0.728","0"
"2021","5 points (DMM)","Black","All","Main scheme application","380","285","0.745","0"
"2022","5 points (DMM)","Black","All","Main scheme application","360","245","0.684","0"
"2023","5 points (DMM)","Black","All","Main scheme application","405","280","0.6960000000000001","0"
"2010","6 points (DDM)","Black","All","Main scheme application","170","130","0.766","0"
"2011","6 points (DDM)","Black","All","Main scheme application","190","150","0.786","0"
"2012","6 points (DDM)","Black","All","Main scheme application","195","135","0.6960000000000001","0"
"2013","6 points (DDM)","Black","All","Main scheme application","260","195","0.745","0"
"2014","6 points (DDM)","Black","All","Main scheme application","275","195","0.715","0"
"2015","6 points (DDM)","Black","All","Main scheme application","295","210","0.71","0"
"2016","6 points (DDM)","Black","All","Main scheme application","295","205","0.6920000000000001","0"
"2017","6 points (DDM)","Black","All","Main scheme application","260","195","0.752","0"
"2018","6 points (DDM)","Black","All","Main scheme application","305","210","0.683","0"
"2019","6 points (DDM)","Black","All","Main scheme application","295","220","0.747","0"
"2020","6 points (DDM)","Black","All","Main scheme application","300","215","0.712","0"
"2021","6 points (DDM)","Black","All","Main scheme application","360","265","0.742","0"
"2022","6 points (DDM)","Black","All","Main scheme application","395","300","0.753","0"
"2023","6 points (DDM)","Black","All","Main scheme application","430","330","0.761","0"
"2010","7 points (DDD)","Black","All","Main scheme application","380","290","0.77","0"
"2011","7 points (DDD)","Black","All","Main scheme application","500","365","0.734","0"
"2012","7 points (DDD)","Black","All","Main scheme application","180","130","0.707","0"
"2013","7 points (DDD)","Black","All","Main scheme application","190","140","0.729","0"
"2014","7 points (DDD)","Black","All","Main scheme application","185","145","0.774","0"
"2015","7 points (DDD)","Black","All","Main scheme application","260","185","0.714","0"
"2016","7 points (DDD)","Black","All","Main scheme application","245","185","0.757","0"
"2017","7 points (DDD)","Black","All","Main scheme application","235","175","0.746","0"
"2018","7 points (DDD)","Black","All","Main scheme application","290","215","0.74","0"
"2019","7 points (DDD)","Black","All","Main scheme application","295","225","0.764","0"
"2020","7 points (DDD)","Black","All","Main scheme application","300","245","0.807","0"
"2021","7 points (DDD)","Black","All","Main scheme application","375","295","0.791","0"
"2022","7 points (DDD)","Black","All","Main scheme application","360","265","0.743","0"
"2023","7 points (DDD)","Black","All","Main scheme application","420","320","0.761","0"
"2012","8 points (D*DD)","Black","All","Main scheme application","110","75","0.667","0"
"2013","8 points (D*DD)","Black","All","Main scheme application","130","110","0.84","0"
"2014","8 points (D*DD)","Black","All","Main scheme application","175","135","0.774","0"
"2015","8 points (D*DD)","Black","All","Main scheme application","230","190","0.8140000000000001","0"
"2016","8 points (D*DD)","Black","All","Main scheme application","205","150","0.738","0"
"2017","8 points (D*DD)","Black","All","Main scheme application","215","165","0.771","0"
"2018","8 points (D*DD)","Black","All","Main scheme application","205","155","0.766","0"
"2019","8 points (D*DD)","Black","All","Main scheme application","295","225","0.764","0"
"2020","8 points (D*DD)","Black","All","Main scheme application","285","230","0.803","0"
"2021","8 points (D*DD)","Black","All","Main scheme application","275","215","0.788","0"
"2022","8 points (D*DD)","Black","All","Main scheme application","345","280","0.809","0"
"2023","8 points (D*DD)","Black","All","Main scheme application","355","280","0.781","0"
"2012","9 points (D*D*D)","Black","All","Main scheme application","105","80","0.762","0"
"2013","9 points (D*D*D)","Black","All","Main scheme application","130","90","0.719","0"
"2014","9 points (D*D*D)","Black","All","Main scheme application","170","130","0.75","0"
"2015","9 points (D*D*D)","Black","All","Main scheme application","210","150","0.726","0"
"2016","9 points (D*D*D)","Black","All","Main scheme application","220","150","0.685","0"
"2017","9 points (D*D*D)","Black","All","Main scheme application","245","190","0.775","0"
"2018","9 points (D*D*D)","Black","All","Main scheme application","180","145","0.8200000000000001","0"
"2019","9 points (D*D*D)","Black","All","Main scheme application","160","120","0.739","0"
"2020","9 points (D*D*D)","Black","All","Main scheme application","270","230","0.842","0"
"2021","9 points (D*D*D)","Black","All","Main scheme application","265","205","0.774","0"
"2022","9 points (D*D*D)","Black","All","Main scheme application","290","230","0.793","0"
"2023","9 points (D*D*D)","Black","All","Main scheme application","215","165","0.773","0"
"2011","10 points (D*D*D*)","Black","All","Main scheme application","5","5"," ","0"
"2012","10 points (D*D*D*)","Black","All","Main scheme application","150","110","0.725","0"
"2013","10 points (D*D*D*)","Black","All","Main scheme application","195","140","0.719","0"
"2014","10 points (D*D*D*)","Black","All","Main scheme application","310","220","0.7030000000000001","0"
"2015","10 points (D*D*D*)","Black","All","Main scheme application","420","300","0.718","0"
"2016","10 points (D*D*D*)","Black","All","Main scheme application","385","290","0.756","0"
"2017","10 points (D*D*D*)","Black","All","Main scheme application","435","330","0.763","0"
"2018","10 points (D*D*D*)","Black","All","Main scheme application","310","260","0.833","0"
"2019","10 points (D*D*D*)","Black","All","Main scheme application","250","195","0.782","0"
"2020","10 points (D*D*D*)","Black","All","Main scheme application","345","290","0.841","0"
"2021","10 points (D*D*D*)","Black","All","Main scheme application","445","380","0.846","0"
"2022","10 points (D*D*D*)","Black","All","Main scheme application","170","140","0.834","0"
"2023","10 points (D*D*D*)","Black","All","Main scheme application","110","85","0.78","0"
"2010","1 point (PPP)","Asian","All","Main scheme application","80","30","0.4","0"
"2011","1 point (PPP)","Asian","All","Main scheme application","85","25","0.291","0"
"2012","1 point (PPP)","Asian","All","Main scheme application","95","35","0.34400000000000003","0"
"2013","1 point (PPP)","Asian","All","Main scheme application","125","45","0.34400000000000003","0"
"2014","1 point (PPP)","Asian","All","Main scheme application","90","35","0.391","0"
"2015","1 point (PPP)","Asian","All","Main scheme application","125","55","0.46","0"
"2016","1 point (PPP)","Asian","All","Main scheme application","70","30","0.443","0"
"2017","1 point (PPP)","Asian","All","Main scheme application","60","30","0.47500000000000003","0"
"2018","1 point (PPP)","Asian","All","Main scheme application","85","45","0.494","0"
"2019","1 point (PPP)","Asian","All","Main scheme application","75","45","0.587","0"
"2020","1 point (PPP)","Asian","All","Main scheme application","90","55","0.593","0"
"2021","1 point (PPP)","Asian","All","Main scheme application","100","40","0.41600000000000004","0"
"2022","1 point (PPP)","Asian","All","Main scheme application","70","30","0.4","0"
"2023","1 point (PPP)","Asian","All","Main scheme application","130","50","0.379","0"
"2010","2 points (MPP)","Asian","All","Main scheme application","90","45","0.495","0"
"2011","2 points (MPP)","Asian","All","Main scheme application","80","30","0.363","0"
"2012","2 points (MPP)","Asian","All","Main scheme application","105","35","0.337","0"
"2013","2 points (MPP)","Asian","All","Main scheme application","115","60","0.544","0"
"2014","2 points (MPP)","Asian","All","Main scheme application","105","40","0.393","0"
"2015","2 points (MPP)","Asian","All","Main scheme application","105","50","0.495","0"
"2016","2 points (MPP)","Asian","All","Main scheme application","85","45","0.554","0"
"2017","2 points (MPP)","Asian","All","Main scheme application","70","40","0.5650000000000001","0"
"2018","2 points (MPP)","Asian","All","Main scheme application","95","60","0.667","0"
"2019","2 points (MPP)","Asian","All","Main scheme application","90","60","0.648","0"
"2020","2 points (MPP)","Asian","All","Main scheme application","125","80","0.645","0"
"2021","2 points (MPP)","Asian","All","Main scheme application","145","70","0.503","0"
"2022","2 points (MPP)","Asian","All","Main scheme application","185","105","0.582","0"
"2023","2 points (MPP)","Asian","All","Main scheme application","215","100","0.468","0"
"2010","3 points (MMP)","Asian","All","Main scheme application","110","70","0.643","0"
"2011","3 points (MMP)","Asian","All","Main scheme application","95","50","0.538","0"
"2012","3 points (MMP)","Asian","All","Main scheme application","105","55","0.533","0"
"2013","3 points (MMP)","Asian","All","Main scheme application","135","75","0.556","0"
"2014","3 points (MMP)","Asian","All","Main scheme application","125","60","0.465","0"
"2015","3 points (MMP)","Asian","All","Main scheme application","140","105","0.75","0"
"2016","3 points (MMP)","Asian","All","Main scheme application","125","80","0.642","0"
"2017","3 points (MMP)","Asian","All","Main scheme application","135","90","0.674","0"
"2018","3 points (MMP)","Asian","All","Main scheme application","135","90","0.684","0"
"2019","3 points (MMP)","Asian","All","Main scheme application","145","105","0.707","0"
"2020","3 points (MMP)","Asian","All","Main scheme application","195","140","0.728","0"
"2021","3 points (MMP)","Asian","All","Main scheme application","165","105","0.646","0"
"2022","3 points (MMP)","Asian","All","Main scheme application","240","150","0.631","0"
"2023","3 points (MMP)","Asian","All","Main scheme application","260","160","0.614","0"
"2010","4 points (MMM)","Asian","All","Main scheme application","160","115","0.73","0"
"2011","4 points (MMM)","Asian","All","Main scheme application","135","105","0.752","0"
"2012","4 points (MMM)","Asian","All","Main scheme application","175","110","0.632","0"
"2013","4 points (MMM)","Asian","All","Main scheme application","190","120","0.649","0"
"2014","4 points (MMM)","Asian","All","Main scheme application","185","135","0.737","0"
"2015","4 points (MMM)","Asian","All","Main scheme application","185","130","0.706","0"
"2016","4 points (MMM)","Asian","All","Main scheme application","180","130","0.7030000000000001","0"
"2017","4 points (MMM)","Asian","All","Main scheme application","135","95","0.706","0"
"2018","4 points (MMM)","Asian","All","Main scheme application","185","130","0.7010000000000001","0"
"2019","4 points (MMM)","Asian","All","Main scheme application","185","120","0.651","0"
"2020","4 points (MMM)","Asian","All","Main scheme application","270","185","0.6890000000000001","0"
"2021","4 points (MMM)","Asian","All","Main scheme application","290","200","0.686","0"
"2022","4 points (MMM)","Asian","All","Main scheme application","335","210","0.625","0"
"2023","4 points (MMM)","Asian","All","Main scheme application","345","225","0.653","0"
"2010","5 points (DMM)","Asian","All","Main scheme application","155","115","0.747","0"
"2011","5 points (DMM)","Asian","All","Main scheme application","235","175","0.736","0"
"2012","5 points (DMM)","Asian","All","Main scheme application","240","165","0.678","0"
"2013","5 points (DMM)","Asian","All","Main scheme application","270","215","0.801","0"
"2014","5 points (DMM)","Asian","All","Main scheme application","295","220","0.752","0"
"2015","5 points (DMM)","Asian","All","Main scheme application","310","240","0.772","0"
"2016","5 points (DMM)","Asian","All","Main scheme application","280","205","0.745","0"
"2017","5 points (DMM)","Asian","All","Main scheme application","265","205","0.779","0"
"2018","5 points (DMM)","Asian","All","Main scheme application","320","230","0.717","0"
"2019","5 points (DMM)","Asian","All","Main scheme application","300","220","0.738","0"
"2020","5 points (DMM)","Asian","All","Main scheme application","300","215","0.715","0"
"2021","5 points (DMM)","Asian","All","Main scheme application","395","290","0.735","0"
"2022","5 points (DMM)","Asian","All","Main scheme application","430","290","0.671","0"
"2023","5 points (DMM)","Asian","All","Main scheme application","475","335","0.706","0"
"2010","6 points (DDM)","Asian","All","Main scheme application","155","125","0.783","0"
"2011","6 points (DDM)","Asian","All","Main scheme application","185","150","0.8260000000000001","0"
"2012","6 points (DDM)","Asian","All","Main scheme application","200","145","0.739","0"
"2013","6 points (DDM)","Asian","All","Main scheme application","230","165","0.71","0"
"2014","6 points (DDM)","Asian","All","Main scheme application","330","235","0.713","0"
"2015","6 points (DDM)","Asian","All","Main scheme application","315","220","0.709","0"
"2016","6 points (DDM)","Asian","All","Main scheme application","345","260","0.748","0"
"2017","6 points (DDM)","Asian","All","Main scheme application","325","240","0.749","0"
"2018","6 points (DDM)","Asian","All","Main scheme application","340","260","0.768","0"
"2019","6 points (DDM)","Asian","All","Main scheme application","385","285","0.736","0"
"2020","6 points (DDM)","Asian","All","Main scheme application","405","320","0.792","0"
"2021","6 points (DDM)","Asian","All","Main scheme application","480","350","0.728","0"
"2022","6 points (DDM)","Asian","All","Main scheme application","525","360","0.6890000000000001","0"
"2023","6 points (DDM)","Asian","All","Main scheme application","555","385","0.6950000000000001","0"
"2010","7 points (DDD)","Asian","All","Main scheme application","500","415","0.8310000000000001","0"
"2011","7 points (DDD)","Asian","All","Main scheme application","660","535","0.8150000000000001","0"
"2012","7 points (DDD)","Asian","All","Main scheme application","230","165","0.713","0"
"2013","7 points (DDD)","Asian","All","Main scheme application","250","185","0.735","0"
"2014","7 points (DDD)","Asian","All","Main scheme application","335","240","0.71","0"
"2015","7 points (DDD)","Asian","All","Main scheme application","335","260","0.769","0"
"2016","7 points (DDD)","Asian","All","Main scheme application","325","240","0.737","0"
"2017","7 points (DDD)","Asian","All","Main scheme application","295","210","0.713","0"
"2018","7 points (DDD)","Asian","All","Main scheme application","375","285","0.764","0"
"2019","7 points (DDD)","Asian","All","Main scheme application","465","365","0.79","0"
"2020","7 points (DDD)","Asian","All","Main scheme application","445","345","0.783","0"
"2021","7 points (DDD)","Asian","All","Main scheme application","480","375","0.777","0"
"2022","7 points (DDD)","Asian","All","Main scheme application","520","365","0.705","0"
