"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","All","20","Scotland","110","20","0.164"
"2020","All","20","Scotland","100","15","0.15"
"2021","All","20","Scotland","140","15","0.107"
"2022","All","20","Scotland","145","25","0.186"
"2023","All","20","Scotland","85","15","0.176"
"2019","All","21 - 24","Scotland","300","55","0.187"
"2020","All","21 - 24","Scotland","380","75","0.192"
"2021","All","21 - 24","Scotland","410","65","0.154"
"2022","All","21 - 24","Scotland","380","60","0.161"
"2023","All","21 - 24","Scotland","245","55","0.233"
"2019","All","25 - 29","Scotland","265","50","0.192"
"2020","All","25 - 29","Scotland","360","65","0.178"
"2021","All","25 - 29","Scotland","535","85","0.163"
"2022","All","25 - 29","Scotland","325","55","0.17500000000000002"
"2023","All","25 - 29","Scotland","205","45","0.22"
"2019","All","30 - 34","Scotland","170","40","0.229"
"2020","All","30 - 34","Scotland","220","45","0.195"
"2021","All","30 - 34","Scotland","280","50","0.17500000000000002"
"2022","All","30 - 34","Scotland","220","40","0.17300000000000001"
"2023","All","30 - 34","Scotland","155","45","0.29"
"2019","All","35 and over","Scotland","185","40","0.216"
"2020","All","35 and over","Scotland","215","50","0.233"
"2021","All","35 and over","Scotland","310","35","0.116"
"2022","All","35 and over","Scotland","260","45","0.177"
"2023","All","35 and over","Scotland","185","50","0.259"
"2020","All","17 and under","Wales","5","0"," "
"2019","All","18","Wales","360","40","0.111"
"2020","All","18","Wales","500","75","0.146"
"2021","All","18","Wales","770","110","0.145"
"2022","All","18","Wales","640","95","0.147"
"2023","All","18","Wales","465","95","0.20600000000000002"
"2019","All","19","Wales","225","25","0.116"
"2020","All","19","Wales","205","20","0.107"
"2021","All","19","Wales","310","25","0.081"
"2022","All","19","Wales","190","35","0.184"
"2023","All","19","Wales","120","15","0.133"
"2019","All","20","Wales","115","15","0.122"
"2020","All","20","Wales","85","15","0.153"
"2021","All","20","Wales","150","15","0.08700000000000001"
"2022","All","20","Wales","125","20","0.152"
"2023","All","20","Wales","105","20","0.19"
"2019","All","21 - 24","Wales","430","70","0.158"
"2020","All","21 - 24","Wales","335","50","0.152"
"2021","All","21 - 24","Wales","365","45","0.11800000000000001"
"2022","All","21 - 24","Wales","230","40","0.178"
"2023","All","21 - 24","Wales","185","40","0.227"
"2019","All","25 - 29","Wales","290","35","0.114"
"2020","All","25 - 29","Wales","260","60","0.223"
"2021","All","25 - 29","Wales","440","60","0.14100000000000001"
"2022","All","25 - 29","Wales","275","55","0.193"
"2023","All","25 - 29","Wales","220","60","0.28200000000000003"
"2019","All","30 - 34","Wales","195","30","0.149"
"2020","All","30 - 34","Wales","230","45","0.191"
"2021","All","30 - 34","Wales","240","40","0.158"
"2022","All","30 - 34","Wales","220","45","0.2"
"2023","All","30 - 34","Wales","180","50","0.289"
"2019","All","35 and over","Wales","135","25","0.178"
"2020","All","35 and over","Wales","140","30","0.221"
"2021","All","35 and over","Wales","185","25","0.146"
"2022","All","35 and over","Wales","155","40","0.271"
"2023","All","35 and over","Wales","125","40","0.32"
"2019","All","17 and under","Not EU","5","0"," "
"2020","All","17 and under","Not EU","10","0"," "
"2021","All","17 and under","Not EU","10","0"," "
"2022","All","17 and under","Not EU","5","0"," "
"2023","All","17 and under","Not EU","5","5"," "
"2019","All","18","Not EU","55","10"," "
"2020","All","18","Not EU","55","10","0.182"
"2021","All","18","Not EU","45","5"," "
"2022","All","18","Not EU","80","5"," "
"2023","All","18","Not EU","55","15","0.23600000000000002"
"2019","All","19","Not EU","35","0"," "
"2020","All","19","Not EU","25","0"," "
"2021","All","19","Not EU","45","5"," "
