"Year","Predicted A level points","Age group","Domicile","Gender","Applicants with conditional unconditional offer","Applicants with direct unconditional offer","Applicants with other unconditional offer","Applicants with offer with unconditional component","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2015","16 point(s)","18","Wales","Female","55","20","15","80","60","20","15","100"
"2016","16 point(s)","18","England","Female","1505","490","350","2180","1680","500","355","2530"
"2016","16 point(s)","18","Northern Ireland","Female","15","10","5","30","20","10","5","30"
"2016","16 point(s)","18","Wales","Female","50","30","20","95","55","40","20","115"
"2017","16 point(s)","18","England","Female","2390","490","225","2875","2755","525","225","3505"
"2017","16 point(s)","18","Northern Ireland","Female","30","10","15","55","35","10","15","60"
"2017","16 point(s)","18","Wales","Female","85","25","15","115","85","35","20","140"
"2018","16 point(s)","18","England","Female","2700","425","245","3135","3285","450","250","3990"
"2018","16 point(s)","18","Northern Ireland","Female","35","5","0","40","40","5","0","50"
"2018","16 point(s)","18","Wales","Female","90","15","10","105","110","20","10","135"
"2019","16 point(s)","18","England","Female","2990","375","320","3435","3765","405","320","4490"
"2019","16 point(s)","18","Northern Ireland","Female","35","5","5","45","40","5","5","45"
"2019","16 point(s)","18","Wales","Female","105","25","15","130","135","30","15","180"
"2020","16 point(s)","18","England","Female","1020","1210","400","2310","1095","1400","435","2935"
"2020","16 point(s)","18","Northern Ireland","Female","10","30","25","60","15","35","30","80"
"2020","16 point(s)","18","Wales","Female","30","35","25","80","35","40","30","105"
"2021","16 point(s)","18","England","Female","0","515","80","570","0","565","85","650"
"2021","16 point(s)","18","Northern Ireland","Female","0","25","0","25","0","30","0","30"
"2021","16 point(s)","18","Wales","Female","0","35","5","35","0","40","5","45"
"2022","16 point(s)","18","England","Female","105","685","205","950","105","805","215","1125"
"2022","16 point(s)","18","Northern Ireland","Female","0","5","5","5","0","5","5","10"
"2022","16 point(s)","18","Wales","Female","0","30","15","50","0","35","15","55"
"2023","16 point(s)","18","England","Female","0","595","195","765","0","665","210","875"
"2023","16 point(s)","18","Northern Ireland","Female","0","5","0","5","0","5","0","10"
"2023","16 point(s)","18","Wales","Female","0","10","15","25","0","10","25","30"
"2013","17 point(s)","18","England","Female","0","10","15","30","0","15","15","30"
"2014","17 point(s)","18","England","Female","460","155","65","655","480","160","65","705"
"2014","17 point(s)","18","Northern Ireland","Female","0","5","5","10","0","5","5","10"
"2014","17 point(s)","18","Wales","Female","20","0","5","25","20","0","5","25"
"2015","17 point(s)","18","England","Female","780","200","115","1040","860","200","120","1180"
"2015","17 point(s)","18","Northern Ireland","Female","5","5","5","10","5","5","5","15"
"2015","17 point(s)","18","Wales","Female","25","5","5","35","30","5","5","40"
"2016","17 point(s)","18","England","Female","910","215","140","1195","1015","220","140","1375"
"2016","17 point(s)","18","Northern Ireland","Female","5","0","0","10","10","0","0","10"
"2016","17 point(s)","18","Wales","Female","40","10","10","60","40","10","10","60"
"2017","17 point(s)","18","England","Female","1330","180","75","1515","1520","190","75","1790"
"2017","17 point(s)","18","Northern Ireland","Female","10","0","5","15","10","0","5","15"
"2017","17 point(s)","18","Wales","Female","50","10","5","60","55","10","5","70"
"2018","17 point(s)","18","England","Female","1535","165","75","1705","1835","170","75","2080"
"2018","17 point(s)","18","Northern Ireland","Female","15","5","5","25","15","5","5","25"
"2018","17 point(s)","18","Wales","Female","50","5","10","60","60","10","10","80"
"2019","17 point(s)","18","England","Female","1810","125","100","1935","2210","145","105","2460"
"2019","17 point(s)","18","Northern Ireland","Female","20","5","0","25","20","5","0","25"
"2019","17 point(s)","18","Wales","Female","70","5","5","75","85","5","5","90"
"2020","17 point(s)","18","England","Female","505","560","170","1105","525","630","185","1340"
"2020","17 point(s)","18","Northern Ireland","Female","5","10","5","20","5","15","5","25"
"2020","17 point(s)","18","Wales","Female","10","15","10","30","10","15","10","35"
"2021","17 point(s)","18","England","Female","0","315","40","340","0","345","40","385"
"2021","17 point(s)","18","Northern Ireland","Female","0","15","0","15","0","20","0","20"
"2021","17 point(s)","18","Wales","Female","0","10","5","15","0","10","5","15"
"2022","17 point(s)","18","England","Female","40","350","120","490","40","420","120","580"
"2022","17 point(s)","18","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2022","17 point(s)","18","Wales","Female","0","10","15","25","0","10","15","30"
"2023","17 point(s)","18","England","Female","0","320","100","405","0","360","105","470"
"2023","17 point(s)","18","Wales","Female","0","10","5","15","0","10","5","15"
"2013","18 point(s)","18","England","Female","0","5","10","15","0","5","10","15"
"2014","18 point(s)","18","England","Female","335","100","35","460","355","100","35","490"
"2014","18 point(s)","18","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2014","18 point(s)","18","Wales","Female","10","0","0","10","10","0","0","15"
