"Year","FSM status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","In receipt of free school meals","21 - 24","England","Female","All","Main scheme application","3245","1770","0.546","0"
"2023","In receipt of free school meals","21 - 24","Scotland","Female","All","Main scheme application","480","285","0.597","0"
"2023","In receipt of free school meals","21 - 24","Wales","Female","All","Main scheme application","195","115","0.577","0"
"2023","Not in receipt of free school meals","21 - 24","Northern Ireland","Female","All","Main scheme application","625","325","0.519","0"
"2023","Not in receipt of free school meals","21 - 24","England","Female","All","Main scheme application","13630","7530","0.552","0"
"2023","Not in receipt of free school meals","21 - 24","Scotland","Female","All","Main scheme application","3350","2105","0.628","0"
"2023","Not in receipt of free school meals","21 - 24","Wales","Female","All","Main scheme application","1225","785","0.64","0"
"2023","Don't know","21 - 24","Northern Ireland","Female","All","Main scheme application","40","25","0.619","0"
"2023","Don't know","21 - 24","England","Female","All","Main scheme application","1245","690","0.553","0"
"2023","Don't know","21 - 24","Scotland","Female","All","Main scheme application","200","130","0.634","0"
"2023","Don't know","21 - 24","Wales","Female","All","Main scheme application","80","55","0.654","0"
"2023","Not declared","21 - 24","Northern Ireland","Female","All","Main scheme application","15","10"," ","0"
"2023","Not declared","21 - 24","England","Female","All","Main scheme application","510","245","0.48","0"
"2023","Not declared","21 - 24","Scotland","Female","All","Main scheme application","50","30","0.577","0"
"2023","Not declared","21 - 24","Wales","Female","All","Main scheme application","20","10","0.579","0"
"2023","In receipt of free school meals","25 - 29","Northern Ireland","Female","All","Main scheme application","55","25","0.456","0"
"2023","In receipt of free school meals","25 - 29","England","Female","All","Main scheme application","1055","575","0.546","0"
"2023","In receipt of free school meals","25 - 29","Scotland","Female","All","Main scheme application","215","135","0.625","0"
"2023","In receipt of free school meals","25 - 29","Wales","Female","All","Main scheme application","70","45","0.597","0"
"2023","Not in receipt of free school meals","25 - 29","Northern Ireland","Female","All","Main scheme application","270","125","0.457","0"
"2023","Not in receipt of free school meals","25 - 29","England","Female","All","Main scheme application","6815","3705","0.544","0"
"2023","Not in receipt of free school meals","25 - 29","Scotland","Female","All","Main scheme application","1830","1130","0.617","0"
"2023","Not in receipt of free school meals","25 - 29","Wales","Female","All","Main scheme application","610","350","0.5700000000000001","0"
"2023","Don't know","25 - 29","Northern Ireland","Female","All","Main scheme application","10","5"," ","0"
"2023","Don't know","25 - 29","England","Female","All","Main scheme application","605","355","0.586","0"
"2023","Don't know","25 - 29","Scotland","Female","All","Main scheme application","130","80","0.625","0"
"2023","Don't know","25 - 29","Wales","Female","All","Main scheme application","40","30","0.732","0"
"2023","Not declared","25 - 29","Northern Ireland","Female","All","Main scheme application","5","5"," ","0"
"2023","Not declared","25 - 29","England","Female","All","Main scheme application","345","190","0.553","0"
"2023","Not declared","25 - 29","Scotland","Female","All","Main scheme application","20","15","0.591","0"
"2023","Not declared","25 - 29","Wales","Female","All","Main scheme application","15","5"," ","0"
"2023","In receipt of free school meals","30 - 34","Northern Ireland","Female","All","Main scheme application","30","20","0.621","0"
"2023","In receipt of free school meals","30 - 34","England","Female","All","Main scheme application","600","340","0.5690000000000001","0"
"2023","In receipt of free school meals","30 - 34","Scotland","Female","All","Main scheme application","110","65","0.62","0"
"2023","In receipt of free school meals","30 - 34","Wales","Female","All","Main scheme application","55","35","0.63","0"
"2023","Not in receipt of free school meals","30 - 34","Northern Ireland","Female","All","Main scheme application","170","80","0.47900000000000004","0"
"2023","Not in receipt of free school meals","30 - 34","England","Female","All","Main scheme application","4990","2810","0.5630000000000001","0"
"2023","Not in receipt of free school meals","30 - 34","Scotland","Female","All","Main scheme application","1160","760","0.657","0"
"2023","Not in receipt of free school meals","30 - 34","Wales","Female","All","Main scheme application","385","235","0.616","0"
"2023","Don't know","30 - 34","Northern Ireland","Female","All","Main scheme application","15","5"," ","0"
"2023","Don't know","30 - 34","England","Female","All","Main scheme application","435","245","0.5650000000000001","0"
"2023","Don't know","30 - 34","Scotland","Female","All","Main scheme application","75","50","0.7030000000000001","0"
"2023","Don't know","30 - 34","Wales","Female","All","Main scheme application","35","20","0.636","0"
"2023","Not declared","30 - 34","Northern Ireland","Female","All","Main scheme application","5","0"," ","0"
"2023","Not declared","30 - 34","England","Female","All","Main scheme application","305","175","0.5730000000000001","0"
"2023","Not declared","30 - 34","Scotland","Female","All","Main scheme application","15","5"," ","0"
