"Year","Qualification group","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","A level Only (With extended project)","Quintile 2","All","Main scheme application","4680","3595","0.769","0"
"2020","A level Only (With extended project)","Quintile 2","All","Main scheme application","4740","3650","0.77","0"
"2021","A level Only (With extended project)","Quintile 2","All","Main scheme application","4655","3780","0.812","0"
"2022","A level Only (With extended project)","Quintile 2","All","Main scheme application","4770","3605","0.756","0"
"2023","A level Only (With extended project)","Quintile 2","All","Main scheme application","4600","3445","0.748","0"
"2008","A level Only (Without extended project)","Quintile 2","All","Main scheme application","32460","25770","0.794","0"
"2009","A level Only (Without extended project)","Quintile 2","All","Main scheme application","34395","26480","0.77","0"
"2010","A level Only (Without extended project)","Quintile 2","All","Main scheme application","35680","25755","0.722","0"
"2011","A level Only (Without extended project)","Quintile 2","All","Main scheme application","35110","24930","0.71","0"
"2012","A level Only (Without extended project)","Quintile 2","All","Main scheme application","30135","21460","0.712","0"
"2013","A level Only (Without extended project)","Quintile 2","All","Main scheme application","29280","21600","0.738","0"
"2014","A level Only (Without extended project)","Quintile 2","All","Main scheme application","28325","20535","0.725","0"
"2015","A level Only (Without extended project)","Quintile 2","All","Main scheme application","27600","20150","0.73","0"
"2016","A level Only (Without extended project)","Quintile 2","All","Main scheme application","27340","20195","0.739","0"
"2017","A level Only (Without extended project)","Quintile 2","All","Main scheme application","26260","19555","0.745","0"
"2018","A level Only (Without extended project)","Quintile 2","All","Main scheme application","25030","18730","0.748","0"
"2019","A level Only (Without extended project)","Quintile 2","All","Main scheme application","23420","17020","0.727","0"
"2020","A level Only (Without extended project)","Quintile 2","All","Main scheme application","24225","17905","0.739","0"
"2021","A level Only (Without extended project)","Quintile 2","All","Main scheme application","25990","19760","0.76","0"
"2022","A level Only (Without extended project)","Quintile 2","All","Main scheme application","26170","18725","0.715","0"
"2023","A level Only (Without extended project)","Quintile 2","All","Main scheme application","26310","18375","0.6980000000000001","0"
"2008","BTEC Only","Quintile 2","All","Main scheme application","1535","1085","0.709","0"
"2009","BTEC Only","Quintile 2","All","Main scheme application","2065","1400","0.679","0"
"2010","BTEC Only","Quintile 2","All","Main scheme application","2890","1825","0.63","0"
"2011","BTEC Only","Quintile 2","All","Main scheme application","3385","2100","0.621","0"
"2012","BTEC Only","Quintile 2","All","Main scheme application","12375","8455","0.683","0"
"2013","BTEC Only","Quintile 2","All","Main scheme application","13485","9695","0.719","0"
"2014","BTEC Only","Quintile 2","All","Main scheme application","15815","11330","0.716","0"
"2015","BTEC Only","Quintile 2","All","Main scheme application","16395","11715","0.714","0"
"2016","BTEC Only","Quintile 2","All","Main scheme application","15790","11400","0.722","0"
"2017","BTEC Only","Quintile 2","All","Main scheme application","14195","10530","0.742","0"
"2018","BTEC Only","Quintile 2","All","Main scheme application","12795","9590","0.749","0"
"2019","BTEC Only","Quintile 2","All","Main scheme application","11885","8945","0.753","0"
"2020","BTEC Only","Quintile 2","All","Main scheme application","11925","9210","0.772","0"
"2021","BTEC Only","Quintile 2","All","Main scheme application","12630","9050","0.717","0"
"2022","BTEC Only","Quintile 2","All","Main scheme application","11495","8025","0.6980000000000001","0"
"2023","BTEC Only","Quintile 2","All","Main scheme application","10175","7105","0.6980000000000001","0"
"2008","A level & BTEC","Quintile 2","All","Main scheme application","375","280","0.751","0"
"2009","A level & BTEC","Quintile 2","All","Main scheme application","685","535","0.778","0"
"2010","A level & BTEC","Quintile 2","All","Main scheme application","985","690","0.7010000000000001","0"
"2011","A level & BTEC","Quintile 2","All","Main scheme application","1385","925","0.668","0"
"2012","A level & BTEC","Quintile 2","All","Main scheme application","4815","3560","0.739","0"
"2013","A level & BTEC","Quintile 2","All","Main scheme application","5855","4465","0.762","0"
"2014","A level & BTEC","Quintile 2","All","Main scheme application","7020","5350","0.763","0"
"2015","A level & BTEC","Quintile 2","All","Main scheme application","7945","6060","0.763","0"
"2016","A level & BTEC","Quintile 2","All","Main scheme application","7640","5890","0.771","0"
"2017","A level & BTEC","Quintile 2","All","Main scheme application","6760","5270","0.78","0"
"2018","A level & BTEC","Quintile 2","All","Main scheme application","5855","4535","0.775","0"
"2019","A level & BTEC","Quintile 2","All","Main scheme application","5770","4465","0.774","0"
"2020","A level & BTEC","Quintile 2","All","Main scheme application","6065","4810","0.793","0"
"2021","A level & BTEC","Quintile 2","All","Main scheme application","6465","5065","0.783","0"
"2022","A level & BTEC","Quintile 2","All","Main scheme application","6260","4780","0.763","0"
"2023","A level & BTEC","Quintile 2","All","Main scheme application","5565","4030","0.724","0"
"2008","SQA Only","Quintile 2","All","Main scheme application","2750","1840","0.669","0"
"2009","SQA Only","Quintile 2","All","Main scheme application","2940","1955","0.665","0"
"2010","SQA Only","Quintile 2","All","Main scheme application","3675","2230","0.607","0"
"2011","SQA Only","Quintile 2","All","Main scheme application","3695","2190","0.593","0"
"2012","SQA Only","Quintile 2","All","Main scheme application","3645","2165","0.595","0"
"2013","SQA Only","Quintile 2","All","Main scheme application","3835","2360","0.615","0"
"2014","SQA Only","Quintile 2","All","Main scheme application","4105","2605","0.635","0"
"2015","SQA Only","Quintile 2","All","Main scheme application","4615","2845","0.616","0"
"2016","SQA Only","Quintile 2","All","Main scheme application","4745","2885","0.608","0"
"2017","SQA Only","Quintile 2","All","Main scheme application","4820","3090","0.641","0"
"2018","SQA Only","Quintile 2","All","Main scheme application","4820","3235","0.672","0"
"2019","SQA Only","Quintile 2","All","Main scheme application","4750","3180","0.669","0"
"2020","SQA Only","Quintile 2","All","Main scheme application","4720","3295","0.6980000000000001","0"
"2021","SQA Only","Quintile 2","All","Main scheme application","5295","3555","0.671","0"
"2022","SQA Only","Quintile 2","All","Main scheme application","4855","3270","0.673","0"
"2023","SQA Only","Quintile 2","All","Main scheme application","4555","3235","0.709","0"
"2008","IB Only","Quintile 2","All","Main scheme application","125","100","0.78","0"
"2009","IB Only","Quintile 2","All","Main scheme application","195","130","0.656","0"
"2010","IB Only","Quintile 2","All","Main scheme application","320","220","0.684","0"
"2011","IB Only","Quintile 2","All","Main scheme application","375","260","0.6920000000000001","0"
"2012","IB Only","Quintile 2","All","Main scheme application","355","265","0.745","0"
"2013","IB Only","Quintile 2","All","Main scheme application","320","235","0.73","0"
"2014","IB Only","Quintile 2","All","Main scheme application","315","215","0.684","0"
"2015","IB Only","Quintile 2","All","Main scheme application","355","270","0.763","0"
"2016","IB Only","Quintile 2","All","Main scheme application","310","245","0.782","0"
"2017","IB Only","Quintile 2","All","Main scheme application","355","280","0.781","0"
"2018","IB Only","Quintile 2","All","Main scheme application","330","265","0.808","0"
"2019","IB Only","Quintile 2","All","Main scheme application","330","250","0.762","0"
"2020","IB Only","Quintile 2","All","Main scheme application","330","245","0.748","0"
"2021","IB Only","Quintile 2","All","Main scheme application","335","265","0.795","0"
"2022","IB Only","Quintile 2","All","Main scheme application","410","315","0.765","0"
"2023","IB Only","Quintile 2","All","Main scheme application","385","265","0.685","0"
"2008","A level & WB","Quintile 2","All","Main scheme application","145","125","0.864","0"
"2009","A level & WB","Quintile 2","All","Main scheme application","365","310","0.847","0"
"2010","A level & WB","Quintile 2","All","Main scheme application","675","530","0.786","0"
"2011","A level & WB","Quintile 2","All","Main scheme application","1090","855","0.785","0"
"2012","A level & WB","Quintile 2","All","Main scheme application","1230","965","0.785","0"
"2013","A level & WB","Quintile 2","All","Main scheme application","1230","995","0.809","0"
"2014","A level & WB","Quintile 2","All","Main scheme application","1305","1035","0.792","0"
"2015","A level & WB","Quintile 2","All","Main scheme application","1270","995","0.784","0"
"2016","A level & WB","Quintile 2","All","Main scheme application","1375","1120","0.8150000000000001","0"
"2017","A level & WB","Quintile 2","All","Main scheme application","1270","1050","0.8270000000000001","0"
"2018","A level & WB","Quintile 2","All","Main scheme application","1255","1030","0.8210000000000001","0"
"2019","A level & WB","Quintile 2","All","Main scheme application","1255","1030","0.8220000000000001","0"
"2020","A level & WB","Quintile 2","All","Main scheme application","1180","960","0.812","0"
"2021","A level & WB","Quintile 2","All","Main scheme application","1420","1175","0.8290000000000001","0"
"2022","A level & WB","Quintile 2","All","Main scheme application","1400","1080","0.771","0"
"2023","A level & WB","Quintile 2","All","Main scheme application","1305","1060","0.811","0"
"2013","Cambridge Technicals only","Quintile 2","All","Main scheme application","5","0"," ","0"
"2014","Cambridge Technicals only","Quintile 2","All","Main scheme application","100","60","0.61","0"
"2015","Cambridge Technicals only","Quintile 2","All","Main scheme application","175","120","0.684","0"
"2016","Cambridge Technicals only","Quintile 2","All","Main scheme application","275","180","0.65","0"
"2017","Cambridge Technicals only","Quintile 2","All","Main scheme application","405","290","0.717","0"
"2018","Cambridge Technicals only","Quintile 2","All","Main scheme application","505","370","0.737","0"
"2019","Cambridge Technicals only","Quintile 2","All","Main scheme application","675","510","0.753","0"
"2020","Cambridge Technicals only","Quintile 2","All","Main scheme application","810","605","0.744","0"
"2021","Cambridge Technicals only","Quintile 2","All","Main scheme application","810","590","0.728","0"
"2022","Cambridge Technicals only","Quintile 2","All","Main scheme application","950","650","0.683","0"
"2023","Cambridge Technicals only","Quintile 2","All","Main scheme application","960","625","0.651","0"
"2009","Access to HE only","Quintile 2","All","Main scheme application","270","170","0.637","0"
"2010","Access to HE only","Quintile 2","All","Main scheme application","240","160","0.668","0"
"2011","Access to HE only","Quintile 2","All","Main scheme application","75","45","0.618","0"
"2012","Access to HE only","Quintile 2","All","Main scheme application","385","225","0.582","0"
"2013","Access to HE only","Quintile 2","All","Main scheme application","4115","2645","0.643","0"
"2014","Access to HE only","Quintile 2","All","Main scheme application","4540","3050","0.673","0"
"2015","Access to HE only","Quintile 2","All","Main scheme application","4325","2870","0.664","0"
"2016","Access to HE only","Quintile 2","All","Main scheme application","4590","2955","0.644","0"
"2017","Access to HE only","Quintile 2","All","Main scheme application","4445","3090","0.6950000000000001","0"
"2018","Access to HE only","Quintile 2","All","Main scheme application","4120","3085","0.749","0"
"2019","Access to HE only","Quintile 2","All","Main scheme application","4130","3085","0.747","0"
"2020","Access to HE only","Quintile 2","All","Main scheme application","4690","3530","0.752","0"
"2021","Access to HE only","Quintile 2","All","Main scheme application","4700","3390","0.721","0"
"2022","Access to HE only","Quintile 2","All","Main scheme application","4450","3080","0.6920000000000001","0"
"2023","Access to HE only","Quintile 2","All","Main scheme application","3950","2705","0.685","0"
"2013","A level & Cambridge Technicals","Quintile 2","All","Main scheme application","30","25","0.867","0"
"2014","A level & Cambridge Technicals","Quintile 2","All","Main scheme application","340","255","0.749","0"
"2015","A level & Cambridge Technicals","Quintile 2","All","Main scheme application","530","400","0.758","0"
"2016","A level & Cambridge Technicals","Quintile 2","All","Main scheme application","685","545","0.798","0"
"2017","A level & Cambridge Technicals","Quintile 2","All","Main scheme application","725","585","0.807","0"
"2018","A level & Cambridge Technicals","Quintile 2","All","Main scheme application","830","655","0.786","0"
"2019","A level & Cambridge Technicals","Quintile 2","All","Main scheme application","1120","890","0.792","0"
"2020","A level & Cambridge Technicals","Quintile 2","All","Main scheme application","1235","1000","0.809","0"
"2021","A level & Cambridge Technicals","Quintile 2","All","Main scheme application","1275","1025","0.804","0"
"2022","A level & Cambridge Technicals","Quintile 2","All","Main scheme application","1455","1080","0.74","0"
"2023","A level & Cambridge Technicals","Quintile 2","All","Main scheme application","1490","1100","0.74","0"
"2008","Other","Quintile 2","All","Main scheme application","32410","20870","0.644","0"
"2009","Other","Quintile 2","All","Main scheme application","37570","23580","0.628","0"
"2010","Other","Quintile 2","All","Main scheme application","43355","23835","0.55","0"
"2011","Other","Quintile 2","All","Main scheme application","42475","23335","0.549","0"
"2012","Other","Quintile 2","All","Main scheme application","26355","13345","0.506","0"
"2013","Other","Quintile 2","All","Main scheme application","22905","12245","0.534","0"
"2014","Other","Quintile 2","All","Main scheme application","23180","12365","0.534","0"
"2015","Other","Quintile 2","All","Main scheme application","22860","12595","0.551","0"
"2016","Other","Quintile 2","All","Main scheme application","22910","13045","0.5700000000000001","0"
"2017","Other","Quintile 2","All","Main scheme application","21280","12920","0.607","0"
"2018","Other","Quintile 2","All","Main scheme application","21685","13545","0.625","0"
"2019","Other","Quintile 2","All","Main scheme application","22490","14330","0.637","0"
"2020","Other","Quintile 2","All","Main scheme application","22730","15475","0.681","0"
"2021","Other","Quintile 2","All","Main scheme application","25365","16150","0.637","0"
"2022","Other","Quintile 2","All","Main scheme application","26655","16095","0.604","0"
"2023","Other","Quintile 2","All","Main scheme application","26940","15915","0.591","0"
"2008","A level Only (With extended project)","Quintile 3","All","Main scheme application","110","90","0.852","0"
"2009","A level Only (With extended project)","Quintile 3","All","Main scheme application","500","410","0.8240000000000001","0"
"2010","A level Only (With extended project)","Quintile 3","All","Main scheme application","1935","1560","0.806","0"
"2011","A level Only (With extended project)","Quintile 3","All","Main scheme application","3245","2630","0.81","0"
"2012","A level Only (With extended project)","Quintile 3","All","Main scheme application","3805","3065","0.805","0"
"2013","A level Only (With extended project)","Quintile 3","All","Main scheme application","4575","3710","0.812","0"
"2014","A level Only (With extended project)","Quintile 3","All","Main scheme application","5235","4105","0.784","0"
"2015","A level Only (With extended project)","Quintile 3","All","Main scheme application","5595","4470","0.799","0"
"2016","A level Only (With extended project)","Quintile 3","All","Main scheme application","5650","4435","0.785","0"
"2017","A level Only (With extended project)","Quintile 3","All","Main scheme application","5820","4620","0.794","0"
"2018","A level Only (With extended project)","Quintile 3","All","Main scheme application","6385","5030","0.788","0"
"2019","A level Only (With extended project)","Quintile 3","All","Main scheme application","6605","5095","0.772","0"
"2020","A level Only (With extended project)","Quintile 3","All","Main scheme application","6665","5125","0.769","0"
"2021","A level Only (With extended project)","Quintile 3","All","Main scheme application","6700","5430","0.81","0"
"2022","A level Only (With extended project)","Quintile 3","All","Main scheme application","6820","5155","0.756","0"
"2023","A level Only (With extended project)","Quintile 3","All","Main scheme application","6750","5020","0.744","0"
"2008","A level Only (Without extended project)","Quintile 3","All","Main scheme application","43030","33975","0.79","0"
"2009","A level Only (Without extended project)","Quintile 3","All","Main scheme application","45970","35460","0.771","0"
"2010","A level Only (Without extended project)","Quintile 3","All","Main scheme application","47710","34410","0.721","0"
"2011","A level Only (Without extended project)","Quintile 3","All","Main scheme application","46855","33495","0.715","0"
"2012","A level Only (Without extended project)","Quintile 3","All","Main scheme application","40145","28305","0.705","0"
"2013","A level Only (Without extended project)","Quintile 3","All","Main scheme application","39815","29320","0.736","0"
"2014","A level Only (Without extended project)","Quintile 3","All","Main scheme application","38080","27555","0.724","0"
"2015","A level Only (Without extended project)","Quintile 3","All","Main scheme application","37780","27515","0.728","0"
"2016","A level Only (Without extended project)","Quintile 3","All","Main scheme application","36930","26975","0.73","0"
"2017","A level Only (Without extended project)","Quintile 3","All","Main scheme application","35450","26065","0.735","0"
"2018","A level Only (Without extended project)","Quintile 3","All","Main scheme application","33350","24380","0.731","0"
"2019","A level Only (Without extended project)","Quintile 3","All","Main scheme application","32160","23265","0.723","0"
"2020","A level Only (Without extended project)","Quintile 3","All","Main scheme application","32610","23585","0.723","0"
"2021","A level Only (Without extended project)","Quintile 3","All","Main scheme application","34630","26030","0.752","0"
"2022","A level Only (Without extended project)","Quintile 3","All","Main scheme application","34835","24510","0.704","0"
"2023","A level Only (Without extended project)","Quintile 3","All","Main scheme application","34585","23855","0.6900000000000001","0"
"2008","BTEC Only","Quintile 3","All","Main scheme application","1540","1115","0.724","0"
"2009","BTEC Only","Quintile 3","All","Main scheme application","2040","1435","0.7020000000000001","0"
"2010","BTEC Only","Quintile 3","All","Main scheme application","2960","1855","0.626","0"
"2011","BTEC Only","Quintile 3","All","Main scheme application","3455","2120","0.613","0"
"2012","BTEC Only","Quintile 3","All","Main scheme application","12690","8535","0.672","0"
"2013","BTEC Only","Quintile 3","All","Main scheme application","14160","9975","0.705","0"
"2014","BTEC Only","Quintile 3","All","Main scheme application","15990","11195","0.7000000000000001","0"
"2015","BTEC Only","Quintile 3","All","Main scheme application","16850","11900","0.706","0"
"2016","BTEC Only","Quintile 3","All","Main scheme application","16245","11515","0.709","0"
"2017","BTEC Only","Quintile 3","All","Main scheme application","15200","11170","0.735","0"
"2018","BTEC Only","Quintile 3","All","Main scheme application","13705","10245","0.748","0"
"2019","BTEC Only","Quintile 3","All","Main scheme application","12935","9515","0.736","0"
"2020","BTEC Only","Quintile 3","All","Main scheme application","13110","9960","0.76","0"
"2021","BTEC Only","Quintile 3","All","Main scheme application","14155","10200","0.72","0"
"2022","BTEC Only","Quintile 3","All","Main scheme application","12825","8780","0.685","0"
"2023","BTEC Only","Quintile 3","All","Main scheme application","11135","7625","0.685","0"
"2008","A level & BTEC","Quintile 3","All","Main scheme application","440","330","0.748","0"
"2009","A level & BTEC","Quintile 3","All","Main scheme application","700","545","0.777","0"
"2010","A level & BTEC","Quintile 3","All","Main scheme application","990","710","0.721","0"
"2011","A level & BTEC","Quintile 3","All","Main scheme application","1305","880","0.675","0"
"2012","A level & BTEC","Quintile 3","All","Main scheme application","5315","3860","0.726","0"
"2013","A level & BTEC","Quintile 3","All","Main scheme application","6210","4665","0.751","0"
"2014","A level & BTEC","Quintile 3","All","Main scheme application","7840","5895","0.752","0"
"2015","A level & BTEC","Quintile 3","All","Main scheme application","8555","6425","0.751","0"
"2016","A level & BTEC","Quintile 3","All","Main scheme application","8245","6265","0.76","0"
"2017","A level & BTEC","Quintile 3","All","Main scheme application","7640","5875","0.769","0"
"2018","A level & BTEC","Quintile 3","All","Main scheme application","6560","5045","0.769","0"
"2019","A level & BTEC","Quintile 3","All","Main scheme application","6400","4870","0.761","0"
"2020","A level & BTEC","Quintile 3","All","Main scheme application","6685","5265","0.788","0"
"2021","A level & BTEC","Quintile 3","All","Main scheme application","7330","5625","0.768","0"
"2022","A level & BTEC","Quintile 3","All","Main scheme application","7055","5205","0.738","0"
"2023","A level & BTEC","Quintile 3","All","Main scheme application","6210","4590","0.74","0"
"2008","SQA Only","Quintile 3","All","Main scheme application","4565","3200","0.7010000000000001","0"
"2009","SQA Only","Quintile 3","All","Main scheme application","4890","3420","0.6990000000000001","0"
"2010","SQA Only","Quintile 3","All","Main scheme application","5735","3570","0.623","0"
"2011","SQA Only","Quintile 3","All","Main scheme application","5950","3640","0.612","0"
"2012","SQA Only","Quintile 3","All","Main scheme application","6080","3725","0.613","0"
"2013","SQA Only","Quintile 3","All","Main scheme application","6000","3830","0.638","0"
"2014","SQA Only","Quintile 3","All","Main scheme application","6230","3960","0.636","0"
"2015","SQA Only","Quintile 3","All","Main scheme application","7000","4355","0.622","0"
"2016","SQA Only","Quintile 3","All","Main scheme application","7175","4525","0.63","0"
"2017","SQA Only","Quintile 3","All","Main scheme application","7125","4705","0.66","0"
"2018","SQA Only","Quintile 3","All","Main scheme application","6770","4590","0.678","0"
"2019","SQA Only","Quintile 3","All","Main scheme application","6740","4525","0.671","0"
"2020","SQA Only","Quintile 3","All","Main scheme application","6690","4715","0.704","0"
"2021","SQA Only","Quintile 3","All","Main scheme application","7495","5095","0.679","0"
"2022","SQA Only","Quintile 3","All","Main scheme application","7015","4825","0.6880000000000001","0"
"2023","SQA Only","Quintile 3","All","Main scheme application","6165","4445","0.721","0"
"2008","IB Only","Quintile 3","All","Main scheme application","180","135","0.758","0"
"2009","IB Only","Quintile 3","All","Main scheme application","305","205","0.683","0"
"2010","IB Only","Quintile 3","All","Main scheme application","500","340","0.681","0"
"2011","IB Only","Quintile 3","All","Main scheme application","545","395","0.727","0"
"2012","IB Only","Quintile 3","All","Main scheme application","510","360","0.7030000000000001","0"
"2013","IB Only","Quintile 3","All","Main scheme application","485","360","0.744","0"
"2014","IB Only","Quintile 3","All","Main scheme application","495","350","0.711","0"
"2015","IB Only","Quintile 3","All","Main scheme application","500","375","0.745","0"
"2016","IB Only","Quintile 3","All","Main scheme application","535","410","0.768","0"
"2017","IB Only","Quintile 3","All","Main scheme application","540","405","0.752","0"
"2018","IB Only","Quintile 3","All","Main scheme application","525","390","0.746","0"
"2019","IB Only","Quintile 3","All","Main scheme application","515","385","0.742","0"
"2020","IB Only","Quintile 3","All","Main scheme application","530","425","0.798","0"
"2021","IB Only","Quintile 3","All","Main scheme application","585","480","0.8170000000000001","0"
"2022","IB Only","Quintile 3","All","Main scheme application","595","445","0.749","0"
"2023","IB Only","Quintile 3","All","Main scheme application","585","435","0.742","0"
"2008","A level & WB","Quintile 3","All","Main scheme application","215","185","0.873","0"
"2009","A level & WB","Quintile 3","All","Main scheme application","470","390","0.8310000000000001","0"
"2010","A level & WB","Quintile 3","All","Main scheme application","710","590","0.8320000000000001","0"
"2011","A level & WB","Quintile 3","All","Main scheme application","1230","960","0.781","0"
"2012","A level & WB","Quintile 3","All","Main scheme application","1380","1140","0.8270000000000001","0"
"2013","A level & WB","Quintile 3","All","Main scheme application","1475","1200","0.812","0"
"2014","A level & WB","Quintile 3","All","Main scheme application","1505","1235","0.8200000000000001","0"
"2015","A level & WB","Quintile 3","All","Main scheme application","1525","1270","0.8300000000000001","0"
"2016","A level & WB","Quintile 3","All","Main scheme application","1625","1320","0.8130000000000001","0"
"2017","A level & WB","Quintile 3","All","Main scheme application","1605","1325","0.8260000000000001","0"
"2018","A level & WB","Quintile 3","All","Main scheme application","1410","1180","0.839","0"
"2019","A level & WB","Quintile 3","All","Main scheme application","1350","1095","0.812","0"
"2020","A level & WB","Quintile 3","All","Main scheme application","1210","1005","0.8290000000000001","0"
"2021","A level & WB","Quintile 3","All","Main scheme application","1470","1220","0.8290000000000001","0"
"2022","A level & WB","Quintile 3","All","Main scheme application","1490","1180","0.792","0"
"2023","A level & WB","Quintile 3","All","Main scheme application","1300","1055","0.8140000000000001","0"
"2013","Cambridge Technicals only","Quintile 3","All","Main scheme application","15","5"," ","0"
"2014","Cambridge Technicals only","Quintile 3","All","Main scheme application","120","70","0.602","0"
"2015","Cambridge Technicals only","Quintile 3","All","Main scheme application","180","130","0.72","0"
"2016","Cambridge Technicals only","Quintile 3","All","Main scheme application","290","220","0.764","0"
"2017","Cambridge Technicals only","Quintile 3","All","Main scheme application","375","290","0.775","0"
"2018","Cambridge Technicals only","Quintile 3","All","Main scheme application","500","360","0.721","0"
"2019","Cambridge Technicals only","Quintile 3","All","Main scheme application","705","510","0.72","0"
"2020","Cambridge Technicals only","Quintile 3","All","Main scheme application","780","605","0.773","0"
"2021","Cambridge Technicals only","Quintile 3","All","Main scheme application","870","640","0.736","0"
"2022","Cambridge Technicals only","Quintile 3","All","Main scheme application","1065","725","0.682","0"
"2023","Cambridge Technicals only","Quintile 3","All","Main scheme application","1025","670","0.655","0"
"2009","Access to HE only","Quintile 3","All","Main scheme application","260","155","0.596","0"
"2010","Access to HE only","Quintile 3","All","Main scheme application","215","135","0.619","0"
"2011","Access to HE only","Quintile 3","All","Main scheme application","55","35","0.661","0"
"2012","Access to HE only","Quintile 3","All","Main scheme application","795","475","0.599","0"
"2013","Access to HE only","Quintile 3","All","Main scheme application","3680","2350","0.638","0"
"2014","Access to HE only","Quintile 3","All","Main scheme application","4115","2695","0.655","0"
"2015","Access to HE only","Quintile 3","All","Main scheme application","3715","2425","0.653","0"
"2016","Access to HE only","Quintile 3","All","Main scheme application","4150","2560","0.617","0"
"2017","Access to HE only","Quintile 3","All","Main scheme application","3890","2610","0.671","0"
"2018","Access to HE only","Quintile 3","All","Main scheme application","3750","2730","0.728","0"
"2019","Access to HE only","Quintile 3","All","Main scheme application","3615","2705","0.747","0"
"2020","Access to HE only","Quintile 3","All","Main scheme application","4095","3050","0.745","0"
"2021","Access to HE only","Quintile 3","All","Main scheme application","4285","3005","0.7010000000000001","0"
"2022","Access to HE only","Quintile 3","All","Main scheme application","3905","2620","0.671","0"
"2023","Access to HE only","Quintile 3","All","Main scheme application","3380","2285","0.677","0"
"2013","A level & Cambridge Technicals","Quintile 3","All","Main scheme application","20","15","0.65","0"
"2014","A level & Cambridge Technicals","Quintile 3","All","Main scheme application","330","245","0.736","0"
"2015","A level & Cambridge Technicals","Quintile 3","All","Main scheme application","535","430","0.797","0"
"2016","A level & Cambridge Technicals","Quintile 3","All","Main scheme application","655","500","0.762","0"
"2017","A level & Cambridge Technicals","Quintile 3","All","Main scheme application","745","600","0.808","0"
"2018","A level & Cambridge Technicals","Quintile 3","All","Main scheme application","975","780","0.799","0"
"2019","A level & Cambridge Technicals","Quintile 3","All","Main scheme application","1195","915","0.767","0"
"2020","A level & Cambridge Technicals","Quintile 3","All","Main scheme application","1465","1170","0.798","0"
"2021","A level & Cambridge Technicals","Quintile 3","All","Main scheme application","1470","1135","0.772","0"
"2022","A level & Cambridge Technicals","Quintile 3","All","Main scheme application","1675","1240","0.739","0"
"2023","A level & Cambridge Technicals","Quintile 3","All","Main scheme application","1575","1195","0.76","0"
"2008","Other","Quintile 3","All","Main scheme application","35415","22740","0.642","0"
"2009","Other","Quintile 3","All","Main scheme application","39945","24720","0.619","0"
"2010","Other","Quintile 3","All","Main scheme application","46445","25450","0.548","0"
"2011","Other","Quintile 3","All","Main scheme application","44820","24355","0.543","0"
"2012","Other","Quintile 3","All","Main scheme application","28020","13710","0.489","0"
"2013","Other","Quintile 3","All","Main scheme application","25005","12990","0.52","0"
"2014","Other","Quintile 3","All","Main scheme application","24955","13200","0.529","0"
"2015","Other","Quintile 3","All","Main scheme application","24190","13150","0.544","0"
"2016","Other","Quintile 3","All","Main scheme application","24555","13545","0.552","0"
"2017","Other","Quintile 3","All","Main scheme application","22845","13625","0.596","0"
"2018","Other","Quintile 3","All","Main scheme application","22575","13775","0.61","0"
"2019","Other","Quintile 3","All","Main scheme application","24010","14960","0.623","0"
"2020","Other","Quintile 3","All","Main scheme application","23245","15665","0.674","0"
"2021","Other","Quintile 3","All","Main scheme application","25855","16280","0.63","0"
"2022","Other","Quintile 3","All","Main scheme application","27240","16040","0.589","0"
"2023","Other","Quintile 3","All","Main scheme application","27405","16080","0.587","0"
"2008","A level Only (With extended project)","Quintile 4","All","Main scheme application","135","100","0.746","0"
"2009","A level Only (With extended project)","Quintile 4","All","Main scheme application","660","560","0.847","0"
"2010","A level Only (With extended project)","Quintile 4","All","Main scheme application","2535","2060","0.8130000000000001","0"
"2011","A level Only (With extended project)","Quintile 4","All","Main scheme application","4350","3555","0.8170000000000001","0"
"2012","A level Only (With extended project)","Quintile 4","All","Main scheme application","5100","4135","0.811","0"
"2013","A level Only (With extended project)","Quintile 4","All","Main scheme application","6305","5135","0.8140000000000001","0"
"2014","A level Only (With extended project)","Quintile 4","All","Main scheme application","7235","5810","0.803","0"
"2015","A level Only (With extended project)","Quintile 4","All","Main scheme application","7575","6105","0.806","0"
"2016","A level Only (With extended project)","Quintile 4","All","Main scheme application","7725","6215","0.804","0"
"2017","A level Only (With extended project)","Quintile 4","All","Main scheme application","7925","6290","0.794","0"
"2018","A level Only (With extended project)","Quintile 4","All","Main scheme application","8565","6685","0.781","0"
"2019","A level Only (With extended project)","Quintile 4","All","Main scheme application","8950","6915","0.772","0"
"2020","A level Only (With extended project)","Quintile 4","All","Main scheme application","9055","6880","0.76","0"
"2021","A level Only (With extended project)","Quintile 4","All","Main scheme application","9095","7345","0.808","0"
"2022","A level Only (With extended project)","Quintile 4","All","Main scheme application","9570","7440","0.778","0"
"2023","A level Only (With extended project)","Quintile 4","All","Main scheme application","9225","7010","0.76","0"
"2008","A level Only (Without extended project)","Quintile 4","All","Main scheme application","55920","44175","0.79","0"
"2009","A level Only (Without extended project)","Quintile 4","All","Main scheme application","60075","46110","0.768","0"
"2010","A level Only (Without extended project)","Quintile 4","All","Main scheme application","61520","44795","0.728","0"
"2011","A level Only (Without extended project)","Quintile 4","All","Main scheme application","60585","43770","0.722","0"
"2012","A level Only (Without extended project)","Quintile 4","All","Main scheme application","52365","37195","0.71","0"
