"Year","Qualification group","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","165","145","0.879","0"
"2019","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","165","155","0.927","0"
"2020","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","185","165","0.897","0"
"2021","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","85","70","0.847","0"
"2022","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","135","115","0.8310000000000001","0"
"2023","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","165","145","0.886","0"
"2008","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2009","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2010","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","55","45","0.868","0"
"2011","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","125","115","0.919","0"
"2012","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","140","135","0.986","0"
"2013","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","135","120","0.902","0"
"2014","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","155","130","0.863","0"
"2015","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","165","150","0.892","0"
"2016","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","160","150","0.9430000000000001","0"
"2017","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","150","140","0.9400000000000001","0"
"2018","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","130","125","0.9530000000000001","0"
"2019","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","125","120","0.937","0"
"2020","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","155","145","0.9420000000000001","0"
"2021","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","100","100","0.98","0"
"2022","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","115","105","0.915","0"
"2023","A level & WB","Quintile 5","Main scheme applicant","Not main scheme application","125","110","0.871","0"
"2014","Cambridge Technicals only","Quintile 5","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2015","Cambridge Technicals only","Quintile 5","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2016","Cambridge Technicals only","Quintile 5","Main scheme applicant","Not main scheme application","20","15","0.65","0"
"2017","Cambridge Technicals only","Quintile 5","Main scheme applicant","Not main scheme application","40","35","0.85","0"
"2018","Cambridge Technicals only","Quintile 5","Main scheme applicant","Not main scheme application","35","30","0.9390000000000001","0"
"2019","Cambridge Technicals only","Quintile 5","Main scheme applicant","Not main scheme application","55","55","0.9470000000000001","0"
"2020","Cambridge Technicals only","Quintile 5","Main scheme applicant","Not main scheme application","75","70","0.92","0"
"2021","Cambridge Technicals only","Quintile 5","Main scheme applicant","Not main scheme application","75","70","0.908","0"
"2022","Cambridge Technicals only","Quintile 5","Main scheme applicant","Not main scheme application","95","85","0.914","0"
"2023","Cambridge Technicals only","Quintile 5","Main scheme applicant","Not main scheme application","105","85","0.8190000000000001","0"
"2009","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","25","15","0.64","0"
"2010","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","15","10","0.647","0"
"2011","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","15","10","0.706","0"
"2012","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","245","165","0.672","0"
"2013","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","460","315","0.686","0"
"2014","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","495","340","0.6880000000000001","0"
"2015","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","460","345","0.744","0"
"2016","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","490","355","0.722","0"
"2017","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","415","310","0.746","0"
"2018","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","310","260","0.839","0"
"2019","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","355","300","0.844","0"
"2020","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","300","260","0.86","0"
"2021","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","375","305","0.809","0"
"2022","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","325","240","0.737","0"
"2023","Access to HE only","Quintile 5","Main scheme applicant","Not main scheme application","270","205","0.769","0"
"2013","A level & Cambridge Technicals","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","A level & Cambridge Technicals","Quintile 5","Main scheme applicant","Not main scheme application","40","35","0.868","0"
"2015","A level & Cambridge Technicals","Quintile 5","Main scheme applicant","Not main scheme application","55","50","0.9450000000000001","0"
"2016","A level & Cambridge Technicals","Quintile 5","Main scheme applicant","Not main scheme application","70","65","0.971","0"
"2017","A level & Cambridge Technicals","Quintile 5","Main scheme applicant","Not main scheme application","90","80","0.932","0"
"2018","A level & Cambridge Technicals","Quintile 5","Main scheme applicant","Not main scheme application","115","110","0.9570000000000001","0"
"2019","A level & Cambridge Technicals","Quintile 5","Main scheme applicant","Not main scheme application","125","115","0.921","0"
"2020","A level & Cambridge Technicals","Quintile 5","Main scheme applicant","Not main scheme application","190","175","0.926","0"
"2021","A level & Cambridge Technicals","Quintile 5","Main scheme applicant","Not main scheme application","175","165","0.931","0"
"2022","A level & Cambridge Technicals","Quintile 5","Main scheme applicant","Not main scheme application","190","180","0.9470000000000001","0"
"2023","A level & Cambridge Technicals","Quintile 5","Main scheme applicant","Not main scheme application","180","170","0.934","0"
"2008","Other","Quintile 5","Main scheme applicant","Not main scheme application","3470","3130","0.902","0"
"2009","Other","Quintile 5","Main scheme applicant","Not main scheme application","4095","3230","0.789","0"
"2010","Other","Quintile 5","Main scheme applicant","Not main scheme application","4685","3490","0.744","0"
"2011","Other","Quintile 5","Main scheme applicant","Not main scheme application","5500","3735","0.679","0"
"2012","Other","Quintile 5","Main scheme applicant","Not main scheme application","3550","2550","0.718","0"
"2013","Other","Quintile 5","Main scheme applicant","Not main scheme application","2970","2225","0.749","0"
"2014","Other","Quintile 5","Main scheme applicant","Not main scheme application","3070","2285","0.744","0"
"2015","Other","Quintile 5","Main scheme applicant","Not main scheme application","2915","2215","0.76","0"
"2016","Other","Quintile 5","Main scheme applicant","Not main scheme application","2785","2085","0.749","0"
"2017","Other","Quintile 5","Main scheme applicant","Not main scheme application","2675","2125","0.794","0"
"2018","Other","Quintile 5","Main scheme applicant","Not main scheme application","2455","2010","0.8180000000000001","0"
"2019","Other","Quintile 5","Main scheme applicant","Not main scheme application","2705","2195","0.81","0"
"2020","Other","Quintile 5","Main scheme applicant","Not main scheme application","2515","2060","0.8200000000000001","0"
"2021","Other","Quintile 5","Main scheme applicant","Not main scheme application","2325","1805","0.775","0"
"2022","Other","Quintile 5","Main scheme applicant","Not main scheme application","2780","2125","0.764","0"
"2023","Other","Quintile 5","Main scheme applicant","Not main scheme application","2895","2325","0.802","0"
"2008","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2009","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","20","15","0.85","0"
"2011","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","20","15","0.8","0"
"2012","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","30","25","0.839","0"
"2013","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","30","25","0.8280000000000001","0"
"2014","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","30","25","0.8130000000000001","0"
"2015","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","25","20","0.87","0"
"2016","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","30","25","0.8130000000000001","0"
"2017","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","25","20","0.833","0"
"2018","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","35","25","0.6940000000000001","0"
"2019","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","40","30","0.789","0"
"2020","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","40","30","0.8160000000000001","0"
"2021","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","30","25","0.793","0"
"2022","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","20","15","0.7000000000000001","0"
"2023","A level Only (With extended project)","Unknown","Main scheme applicant","Main scheme application","20","10","0.667","0"
"2008","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","3530","2775","0.786","0"
"2009","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","600","445","0.743","0"
"2010","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","425","310","0.721","0"
"2011","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","360","245","0.6900000000000001","0"
"2012","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","325","215","0.651","0"
"2013","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","240","165","0.6930000000000001","0"
"2014","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","240","155","0.651","0"
"2015","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","205","135","0.662","0"
"2016","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","200","135","0.6920000000000001","0"
"2017","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","200","140","0.7000000000000001","0"
"2018","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","190","125","0.67","0"
"2019","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","165","105","0.646","0"
"2020","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","135","90","0.669","0"
"2021","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","165","110","0.677","0"
"2022","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","65","45","0.712","0"
"2023","A level Only (Without extended project)","Unknown","Main scheme applicant","Main scheme application","60","40","0.672","0"
"2008","BTEC Only","Unknown","Main scheme applicant","Main scheme application","120","85","0.723","0"
"2009","BTEC Only","Unknown","Main scheme applicant","Main scheme application","35","30","0.8240000000000001","0"
"2010","BTEC Only","Unknown","Main scheme applicant","Main scheme application","30","20","0.667","0"
"2011","BTEC Only","Unknown","Main scheme applicant","Main scheme application","20","15","0.722","0"
"2012","BTEC Only","Unknown","Main scheme applicant","Main scheme application","95","65","0.67","0"
"2013","BTEC Only","Unknown","Main scheme applicant","Main scheme application","100","70","0.687","0"
"2014","BTEC Only","Unknown","Main scheme applicant","Main scheme application","90","60","0.663","0"
"2015","BTEC Only","Unknown","Main scheme applicant","Main scheme application","95","70","0.731","0"
"2016","BTEC Only","Unknown","Main scheme applicant","Main scheme application","85","60","0.7020000000000001","0"
"2017","BTEC Only","Unknown","Main scheme applicant","Main scheme application","60","45","0.717","0"
"2018","BTEC Only","Unknown","Main scheme applicant","Main scheme application","65","55","0.806","0"
"2019","BTEC Only","Unknown","Main scheme applicant","Main scheme application","65","45","0.667","0"
"2020","BTEC Only","Unknown","Main scheme applicant","Main scheme application","55","40","0.714","0"
"2021","BTEC Only","Unknown","Main scheme applicant","Main scheme application","60","40","0.623","0"
"2022","BTEC Only","Unknown","Main scheme applicant","Main scheme application","15","15","0.8130000000000001","0"
"2023","BTEC Only","Unknown","Main scheme applicant","Main scheme application","15","10"," ","0"
"2008","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","30","20","0.7000000000000001","0"
"2009","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","10","10"," ","0"
"2012","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","35","25","0.7030000000000001","0"
"2013","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","55","40","0.722","0"
"2014","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","50","35","0.708","0"
"2015","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","40","30","0.756","0"
"2016","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","50","40","0.8240000000000001","0"
"2017","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","35","25","0.7030000000000001","0"
"2018","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","35","20","0.647","0"
"2019","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","30","25","0.75","0"
"2020","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","30","25","0.839","0"
"2021","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","30","20","0.714","0"
"2022","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","20","15","0.8","0"
"2023","A level & BTEC","Unknown","Main scheme applicant","Main scheme application","15","10","0.769","0"
"2008","SQA Only","Unknown","Main scheme applicant","Main scheme application","520","360","0.686","0"
"2009","SQA Only","Unknown","Main scheme applicant","Main scheme application","60","35","0.557","0"
"2010","SQA Only","Unknown","Main scheme applicant","Main scheme application","60","40","0.613","0"
"2011","SQA Only","Unknown","Main scheme applicant","Main scheme application","45","30","0.681","0"
"2012","SQA Only","Unknown","Main scheme applicant","Main scheme application","35","25","0.657","0"
"2013","SQA Only","Unknown","Main scheme applicant","Main scheme application","45","25","0.5","0"
"2014","SQA Only","Unknown","Main scheme applicant","Main scheme application","25","10","0.47800000000000004","0"
"2015","SQA Only","Unknown","Main scheme applicant","Main scheme application","25","15","0.63","0"
"2016","SQA Only","Unknown","Main scheme applicant","Main scheme application","40","20","0.512","0"
"2017","SQA Only","Unknown","Main scheme applicant","Main scheme application","30","20","0.667","0"
"2018","SQA Only","Unknown","Main scheme applicant","Main scheme application","30","20","0.6880000000000001","0"
"2019","SQA Only","Unknown","Main scheme applicant","Main scheme application","35","15","0.424","0"
"2020","SQA Only","Unknown","Main scheme applicant","Main scheme application","25","10","0.444","0"
"2021","SQA Only","Unknown","Main scheme applicant","Main scheme application","30","15","0.516","0"
"2022","SQA Only","Unknown","Main scheme applicant","Main scheme application","15","10"," ","0"
"2023","SQA Only","Unknown","Main scheme applicant","Main scheme application","5","0"," ","0"
"2008","IB Only","Unknown","Main scheme applicant","Main scheme application","65","50","0.797","0"
"2009","IB Only","Unknown","Main scheme applicant","Main scheme application","60","45","0.729","0"
"2010","IB Only","Unknown","Main scheme applicant","Main scheme application","70","55","0.783","0"
