"Year","Difference between predicted and achieved SQA advanced higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","All","Quintile 2","Main scheme applicant","Main scheme application","115","100","0.867","0"
"2016","All","Quintile 2","Main scheme applicant","Main scheme application","145","130","0.883","0"
"2017","All","Quintile 2","Main scheme applicant","Main scheme application","115","100","0.878","0"
"2018","All","Quintile 2","Main scheme applicant","Main scheme application","175","150","0.861","0"
"2019","All","Quintile 2","Main scheme applicant","Main scheme application","165","150","0.921","0"
"2020","All","Quintile 2","Main scheme applicant","Main scheme application","155","140","0.892","0"
"2021","All","Quintile 2","Main scheme applicant","Main scheme application","160","145","0.918","0"
"2022","All","Quintile 2","Main scheme applicant","Main scheme application","190","170","0.899","0"
"2023","All","Quintile 2","Main scheme applicant","Main scheme application","190","175","0.932","0"
"2010","All","Quintile 3","Main scheme applicant","Main scheme application","215","185","0.866","0"
"2011","All","Quintile 3","Main scheme applicant","Main scheme application","235","210","0.898","0"
"2012","All","Quintile 3","Main scheme applicant","Main scheme application","240","205","0.851","0"
"2013","All","Quintile 3","Main scheme applicant","Main scheme application","255","230","0.902","0"
"2014","All","Quintile 3","Main scheme applicant","Main scheme application","275","235","0.854","0"
"2015","All","Quintile 3","Main scheme applicant","Main scheme application","270","235","0.864","0"
"2016","All","Quintile 3","Main scheme applicant","Main scheme application","275","240","0.866","0"
"2017","All","Quintile 3","Main scheme applicant","Main scheme application","270","240","0.896","0"
"2018","All","Quintile 3","Main scheme applicant","Main scheme application","280","240","0.854","0"
"2019","All","Quintile 3","Main scheme applicant","Main scheme application","295","260","0.882","0"
"2020","All","Quintile 3","Main scheme applicant","Main scheme application","290","260","0.903","0"
"2021","All","Quintile 3","Main scheme applicant","Main scheme application","325","295","0.899","0"
"2022","All","Quintile 3","Main scheme applicant","Main scheme application","375","325","0.874","0"
"2023","All","Quintile 3","Main scheme applicant","Main scheme application","365","340","0.931","0"
"2010","All","Quintile 4","Main scheme applicant","Main scheme application","390","350","0.895","0"
"2011","All","Quintile 4","Main scheme applicant","Main scheme application","415","355","0.86","0"
"2012","All","Quintile 4","Main scheme applicant","Main scheme application","410","360","0.878","0"
"2013","All","Quintile 4","Main scheme applicant","Main scheme application","425","370","0.873","0"
"2014","All","Quintile 4","Main scheme applicant","Main scheme application","440","400","0.9","0"
"2015","All","Quintile 4","Main scheme applicant","Main scheme application","465","410","0.877","0"
"2016","All","Quintile 4","Main scheme applicant","Main scheme application","445","400","0.896","0"
"2017","All","Quintile 4","Main scheme applicant","Main scheme application","460","405","0.874","0"
"2018","All","Quintile 4","Main scheme applicant","Main scheme application","460","420","0.913","0"
"2019","All","Quintile 4","Main scheme applicant","Main scheme application","405","350","0.864","0"
"2020","All","Quintile 4","Main scheme applicant","Main scheme application","440","380","0.866","0"
"2021","All","Quintile 4","Main scheme applicant","Main scheme application","475","415","0.876","0"
"2022","All","Quintile 4","Main scheme applicant","Main scheme application","525","465","0.88","0"
"2023","All","Quintile 4","Main scheme applicant","Main scheme application","605","550","0.907","0"
"2010","All","Quintile 5","Main scheme applicant","Main scheme application","1215","1085","0.894","0"
"2011","All","Quintile 5","Main scheme applicant","Main scheme application","1305","1175","0.9","0"
"2012","All","Quintile 5","Main scheme applicant","Main scheme application","1255","1080","0.861","0"
"2013","All","Quintile 5","Main scheme applicant","Main scheme application","1425","1275","0.893","0"
"2014","All","Quintile 5","Main scheme applicant","Main scheme application","1330","1170","0.88","0"
"2015","All","Quintile 5","Main scheme applicant","Main scheme application","1455","1285","0.883","0"
"2016","All","Quintile 5","Main scheme applicant","Main scheme application","1415","1250","0.886","0"
"2017","All","Quintile 5","Main scheme applicant","Main scheme application","1410","1240","0.88","0"
"2018","All","Quintile 5","Main scheme applicant","Main scheme application","1435","1285","0.895","0"
"2019","All","Quintile 5","Main scheme applicant","Main scheme application","1355","1215","0.896","0"
"2020","All","Quintile 5","Main scheme applicant","Main scheme application","1370","1225","0.893","0"
"2021","All","Quintile 5","Main scheme applicant","Main scheme application","1650","1475","0.892","0"
"2022","All","Quintile 5","Main scheme applicant","Main scheme application","1610","1435","0.891","0"
"2023","All","Quintile 5","Main scheme applicant","Main scheme application","1715","1565","0.914","0"
"2010","0 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","0 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","0 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","0 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","0 points","All","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2016","0 points","All","Main scheme applicant","Not main scheme application","15","15","1","0"
"2017","0 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","0 points","All","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2019","0 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","0 points","All","Main scheme applicant","Not main scheme application","30","25","0.867","0"
"2021","0 points","All","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2022","0 points","All","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","0 points","All","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2011","1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","1 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-1 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-1 points","All","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2013","-1 points","All","Main scheme applicant","Not main scheme application","15","15","1","0"
"2014","-1 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","-1 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-1 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","-1 points","All","Main scheme applicant","Not main scheme application","15","10","0.75","0"
"2018","-1 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","-1 points","All","Main scheme applicant","Not main scheme application","15","15","1","0"
"2020","-1 points","All","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2021","-1 points","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2022","-1 points","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2023","-1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-2 points","All","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2013","-2 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","-2 points","All","Main scheme applicant","Not main scheme application","15","10","0.706","0"
"2015","-2 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","-2 points","All","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2021","-2 points","All","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2022","-2 points","All","Main scheme applicant","Not main scheme application","20","10","0.611","0"
"2023","-2 points","All","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2010","-3 points","All","Main scheme applicant","Not main scheme application","10","10","1","0"
"2011","-3 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-3 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","-3 points","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2016","-3 points","All","Main scheme applicant","Not main scheme application","15","15","0.765","0"
"2017","-3 points","All","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2018","-3 points","All","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2019","-3 points","All","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2020","-3 points","All","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2021","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
