"Year","NPD ethnic group","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2021","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","720","4560","0.158"
"2021","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","4270","27980","0.152"
"2021","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","2370","15620","0.152"
"2021","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","160","980","0.163"
"2021","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1680","13640","0.123"
"2021","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","23010","201190","0.114"
"2022","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","720","5000","0.145"
"2022","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","4150","29790","0.139"
"2022","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","2280","16490","0.138"
"2022","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","190","990","0.188"
"2022","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1660","14770","0.112"
"2022","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","23160","205180","0.113"
"2023","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","680","5600","0.122"
"2023","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","3800","31720","0.12"
"2023","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","2240","17790","0.126"
"2023","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","170","1090","0.159"
"2023","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1670","16140","0.10400000000000001"
"2023","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","21770","210110","0.10400000000000001"
"2006","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","150","2360","0.064"
"2006","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1970","18620","0.106"
"2006","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","670","9750","0.069"
"2006","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","140","1110","0.125"
"2006","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","350","5570","0.062"
"2006","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","14840","249980","0.059000000000000004"
"2007","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","190","2650","0.07100000000000001"
"2007","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1720","18260","0.094"
