"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2021","Northern Ireland","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","10","0.17200000000000001"
"2022","Northern Ireland","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","15","0.203"
"2023","Northern Ireland","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","55","5"," "
"2020","England","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","England","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","England","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","England","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","England","18","England","Female","Main scheme applicant","Main scheme application","2110","695","0.33"
"2020","England","18","England","Female","Main scheme applicant","Main scheme application","2340","915","0.392"
"2021","England","18","England","Female","Main scheme applicant","Main scheme application","2865","905","0.316"
"2022","England","18","England","Female","Main scheme applicant","Main scheme application","2975","860","0.289"
"2023","England","18","England","Female","Main scheme applicant","Main scheme application","2530","965","0.381"
"2019","Northern Ireland","18","England","Female","Main scheme applicant","Main scheme application","15","0"," "
"2020","Northern Ireland","18","England","Female","Main scheme applicant","Main scheme application","15","0"," "
"2021","Northern Ireland","18","England","Female","Main scheme applicant","Main scheme application","20","0"," "
"2022","Northern Ireland","18","England","Female","Main scheme applicant","Main scheme application","20","0"," "
"2023","Northern Ireland","18","England","Female","Main scheme applicant","Main scheme application","20","0"," "
"2019","Scotland","18","England","Female","Main scheme applicant","Main scheme application","50","0"," "
"2020","Scotland","18","England","Female","Main scheme applicant","Main scheme application","45","0"," "
"2021","Scotland","18","England","Female","Main scheme applicant","Main scheme application","80","0"," "
"2022","Scotland","18","England","Female","Main scheme applicant","Main scheme application","80","5"," "
"2023","Scotland","18","England","Female","Main scheme applicant","Main scheme application","65","0"," "
"2019","Wales","18","England","Female","Main scheme applicant","Main scheme application","245","5"," "
"2020","Wales","18","England","Female","Main scheme applicant","Main scheme application","270","5"," "
"2021","Wales","18","England","Female","Main scheme applicant","Main scheme application","405","20","0.052000000000000005"
"2022","Wales","18","England","Female","Main scheme applicant","Main scheme application","400","10"," "
"2023","Wales","18","England","Female","Main scheme applicant","Main scheme application","325","30","0.08700000000000001"
"2019","England","19","England","Female","Main scheme applicant","Main scheme application","885","325","0.367"
"2020","England","19","England","Female","Main scheme applicant","Main scheme application","880","315","0.357"
"2021","England","19","England","Female","Main scheme applicant","Main scheme application","1070","310","0.291"
"2022","England","19","England","Female","Main scheme applicant","Main scheme application","1025","245","0.24"
"2023","England","19","England","Female","Main scheme applicant","Main scheme application","835","270","0.327"
"2019","Northern Ireland","19","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Northern Ireland","19","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Northern Ireland","19","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Northern Ireland","19","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","19","England","Female","Main scheme applicant","Main scheme application","30","0"," "
"2020","Scotland","19","England","Female","Main scheme applicant","Main scheme application","20","0"," "
"2021","Scotland","19","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2022","Scotland","19","England","Female","Main scheme applicant","Main scheme application","15","0"," "
"2023","Scotland","19","England","Female","Main scheme applicant","Main scheme application","15","0"," "
"2019","Wales","19","England","Female","Main scheme applicant","Main scheme application","85","0"," "
"2020","Wales","19","England","Female","Main scheme applicant","Main scheme application","100","0"," "
"2021","Wales","19","England","Female","Main scheme applicant","Main scheme application","130","0"," "
"2022","Wales","19","England","Female","Main scheme applicant","Main scheme application","100","0"," "
"2023","Wales","19","England","Female","Main scheme applicant","Main scheme application","80","5"," "
"2019","England","20","England","Female","Main scheme applicant","Main scheme application","505","165","0.33"
"2020","England","20","England","Female","Main scheme applicant","Main scheme application","520","195","0.374"
"2021","England","20","England","Female","Main scheme applicant","Main scheme application","595","160","0.266"
"2022","England","20","England","Female","Main scheme applicant","Main scheme application","595","145","0.245"
"2023","England","20","England","Female","Main scheme applicant","Main scheme application","500","165","0.334"
"2019","Northern Ireland","20","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Northern Ireland","20","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Northern Ireland","20","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","20","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","Scotland","20","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Scotland","20","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2022","Scotland","20","England","Female","Main scheme applicant","Main scheme application","15","0"," "
"2023","Scotland","20","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","Wales","20","England","Female","Main scheme applicant","Main scheme application","50","5"," "
