2022 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
HIGHER LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
,,,,,,,,,
    TOTAL FEMALE,127,281,292,231,133,62,21,7,1154
,,,,,,,,,
    % FEMALE ,11,24.4,25.3,20,11.5,5.4,1.8,0.6,
,,,,,,,,,
    TOTAL MALE,653,1625,1887,1764,1048,463,141,57,7638
,,,,,,,,,
    % MALE ,8.5,21.3,24.7,23.1,13.7,6.1,1.8,0.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CUNTASAÍOCHT,1207,1132,932,804,681,493,356,321,5926
,,,,,,,,,
    ACCOUNTING,20.4,19.1,15.7,13.6,11.5,8.3,6,5.4,
,,,,,,,,,
    TOTAL FEMALE,575,500,442,360,290,230,141,131,2669
,,,,,,,,,
    % FEMALE ,21.5,18.7,16.6,13.5,10.9,8.6,5.3,4.9,
,,,,,,,,,
    TOTAL MALE,632,632,490,444,391,263,215,190,3257
,,,,,,,,,
    % MALE ,19.4,19.4,15,13.6,12,8.1,6.6,5.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GNÓ,2801,3208,2859,2516,2142,1507,934,361,16328
,,,,,,,,,
    BUSINESS,17.2,19.7,17.5,15.4,13.1,9.2,5.7,2.2,
,,,,,,,,,
    TOTAL FEMALE,1690,1760,1448,1200,973,629,427,159,8286
,,,,,,,,,
    % FEMALE ,20.4,21.2,17.5,14.5,11.7,7.6,5.2,1.9,
,,,,,,,,,
    TOTAL MALE,1111,1448,1411,1316,1169,878,507,202,8042
,,,,,,,,,
    % MALE ,13.8,18,17.6,16.4,14.5,10.9,6.3,2.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
    EACNAMAÍOCHT,663,1491,1338,832,498,232,77,24,5155
,,,,,,,,,
    ECONOMICS,12.9,28.9,25.9,16.1,9.7,4.5,1.5,0.5,
,,,,,,,,,
    TOTAL FEMALE,273,592,503,300,166,85,32,8,1959
,,,,,,,,,
    % FEMALE ,13.9,30.2,25.7,15.3,8.5,4.3,1.6,0.4,
,,,,,,,,,
    TOTAL MALE,390,899,835,532,332,147,45,16,3196
,,,,,,,,,
    % MALE ,12.2,28.1,26.1,16.6,10.4,4.6,1.4,0.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SEAPÁINIS,62,46,36,36,21,12,5,1,219
,,,,,,,,,
    JAPANESE,28.3,21,16.4,16.4,9.6,5.5,2.3,0.5,
,,,,,,,,,
    TOTAL FEMALE,36,28,20,21,14,4,1,0,124
,,,,,,,,,
    % FEMALE ,29,22.6,16.1,16.9,11.3,3.2,0.8,0,
,,,,,,,,,
    TOTAL MALE,26,18,16,15,7,8,4,1,95
,,,,,,,,,
    % MALE ,27.4,18.9,16.8,15.8,7.4,8.4,4.2,1.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    ARAIBIS,77,23,17,13,17,11,5,9,172
,,,,,,,,,
    ARABIC,44.8,13.4,9.9,7.6,9.9,6.4,2.9,5.2,
,,,,,,,,,
    TOTAL FEMALE,42,13,9,4,4,4,1,1,78
,,,,,,,,,
    % FEMALE ,53.8,16.7,11.5,5.1,5.1,5.1,1.3,1.3,
,,,,,,,,,
    TOTAL MALE,35,10,8,9,13,7,4,8,94
,,,,,,,,,
    % MALE ,37.2,10.6,8.5,9.6,13.8,7.4,4.3,8.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    TEICNEOLAÍOCHT,315,531,492,331,207,76,37,13,2002
,,,,,,,,,
    TECHNOLOGY,15.7,26.5,24.6,16.5,10.3,3.8,1.8,0.6,
,,,,,,,,,
    TOTAL FEMALE,87,109,94,44,36,8,10,4,392
,,,,,,,,,
    % FEMALE ,22.2,27.8,24,11.2,9.2,2,2.6,1,
,,,,,,,,,
    TOTAL MALE,228,422,398,287,171,68,27,9,1610
,,,,,,,,,
    % MALE ,14.2,26.2,24.7,17.8,10.6,4.2,1.7,0.6,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CEOL,1754,2463,1366,494,116,28,6,7,6234
,,,,,,,,,
    MUSIC,28.1,39.5,21.9,7.9,1.9,0.4,0.1,0.1,
,,,,,,,,,
    TOTAL FEMALE,1296,1717,914,329,76,16,4,5,4357
,,,,,,,,,
    % FEMALE ,29.7,39.4,21,7.6,1.7,0.4,0.1,0.1,
 ,,,,,,,,,
,,,,,,,,,
    TOTAL MALE,458,746,452,165,40,12,2,2,1877
,,,,,,,,,
    % MALE ,24.4,39.7,24.1,8.8,2.1,0.6,0.1,0.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EACNAMAÍOCHT BHAIL,1169,2183,2468,2107,1351,587,170,30,10065
,,,,,,,,,
    HOME ECONOMICS S &,11.6,21.7,24.5,20.9,13.4,5.8,1.7,0.3,
,,,,,,,,,
    TOTAL FEMALE,1133,2079,2228,1821,1078,439,123,16,8917
,,,,,,,,,
    % FEMALE ,12.7,23.3,25,20.4,12.1,4.9,1.4,0.2,
,,,,,,,,,
    TOTAL MALE,36,104,240,286,273,148,47,14,1148
,,,,,,,,,
    % MALE ,3.1,9.1,20.9,24.9,23.8,12.9,4.1,1.2,
