"Entry year","Region of provider","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2022 - 2023","Yorkshire and the Humber","19","Northern Ireland","Female","Not main scheme application","5"
"2022 - 2023","North East","19","Northern Ireland","Female","Not main scheme application","5"
"2022 - 2023","North West","19","Northern Ireland","Female","Not main scheme application","25"
"2023 - 2024","London","19","Northern Ireland","Female","Not main scheme application","5"
"2023 - 2024","Scotland","19","Northern Ireland","Female","Not main scheme application","5"
"2023 - 2024","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","155"
"2023 - 2024","North East","19","Northern Ireland","Female","Not main scheme application","10"
"2023 - 2024","North West","19","Northern Ireland","Female","Not main scheme application","15"
"2006 - 2007","Scotland","20","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","Northern Ireland","20","Northern Ireland","Female","Not main scheme application","30"
"2006 - 2007","North West","20","Northern Ireland","Female","Not main scheme application","10"
"2007 - 2008","Scotland","20","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","Northern Ireland","20","Northern Ireland","Female","Not main scheme application","30"
"2007 - 2008","North West","20","Northern Ireland","Female","Not main scheme application","10"
"2008 - 2009","Scotland","20","Northern Ireland","Female","Not main scheme application","5"
"2008 - 2009","Northern Ireland","20","Northern Ireland","Female","Not main scheme application","30"
"2008 - 2009","North West","20","Northern Ireland","Female","Not main scheme application","10"
"2009 - 2010","West Midlands","20","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","Northern Ireland","20","Northern Ireland","Female","Not main scheme application","35"
"2009 - 2010","South West","20","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Northern Ireland","20","Northern Ireland","Female","Not main scheme application","15"
"2010 - 2011","North East","20","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","North West","20","Northern Ireland","Female","Not main scheme application","15"
"2011 - 2012","Scotland","20","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Northern Ireland","20","Northern Ireland","Female","Not main scheme application","20"
"2011 - 2012","East of England","20","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","North West","20","Northern Ireland","Female","Not main scheme application","10"
"2012 - 2013","London","20","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","Scotland","20","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","Northern Ireland","20","Northern Ireland","Female","Not main scheme application","20"
