"Entry year","Tariff group of provider","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2013 - 2014","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","15"
"2013 - 2014","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","15"
"2014 - 2015","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2015 - 2016","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2015 - 2016","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2016 - 2017","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2016 - 2017","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2017 - 2018","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2018 - 2019","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2019 - 2020","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","15"
"2019 - 2020","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2020 - 2021","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2020 - 2021","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","15"
"2021 - 2022","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2022 - 2023","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","30"
"2022 - 2023","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2023 - 2024","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","15"
"2023 - 2024","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2006 - 2007","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2006 - 2007","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2007 - 2008","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2008 - 2009","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2008 - 2009","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2011 - 2012","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2012 - 2013","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","5"
"2013 - 2014","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","15"
"2013 - 2014","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2014 - 2015","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2014 - 2015","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2015 - 2016","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","15"
"2015 - 2016","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","5"
"2016 - 2017","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","15"
"2016 - 2017","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","20"
"2017 - 2018","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","20"
"2018 - 2019","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2019 - 2020","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","20"
"2019 - 2020","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2020 - 2021","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","25"
"2020 - 2021","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","30"
"2021 - 2022","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2022 - 2023","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","40"
"2022 - 2023","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","10"
"2023 - 2024","Lower tariff","35 and over","Northern Ireland","Female","Not main scheme application","25"
"2023 - 2024","Medium tariff","35 and over","Northern Ireland","Female","Not main scheme application","15"
"2006 - 2007","Lower tariff","17 and under","England","Female","Not main scheme application","40"
"2006 - 2007","Higher tariff","17 and under","England","Female","Not main scheme application","10"
"2006 - 2007","Medium tariff","17 and under","England","Female","Not main scheme application","30"
"2007 - 2008","Lower tariff","17 and under","England","Female","Not main scheme application","65"
"2007 - 2008","Higher tariff","17 and under","England","Female","Not main scheme application","20"
"2007 - 2008","Medium tariff","17 and under","England","Female","Not main scheme application","30"
"2008 - 2009","Lower tariff","17 and under","England","Female","Not main scheme application","105"
"2008 - 2009","Higher tariff","17 and under","England","Female","Not main scheme application","20"
"2008 - 2009","Medium tariff","17 and under","England","Female","Not main scheme application","40"
"2009 - 2010","Lower tariff","17 and under","England","Female","Not main scheme application","80"
"2009 - 2010","Higher tariff","17 and under","England","Female","Not main scheme application","15"
"2009 - 2010","Medium tariff","17 and under","England","Female","Not main scheme application","25"
"2010 - 2011","Lower tariff","17 and under","England","Female","Not main scheme application","65"
"2010 - 2011","Higher tariff","17 and under","England","Female","Not main scheme application","10"
"2010 - 2011","Medium tariff","17 and under","England","Female","Not main scheme application","35"
"2011 - 2012","Lower tariff","17 and under","England","Female","Not main scheme application","35"
"2011 - 2012","Higher tariff","17 and under","England","Female","Not main scheme application","10"
"2011 - 2012","Medium tariff","17 and under","England","Female","Not main scheme application","30"
"2012 - 2013","Lower tariff","17 and under","England","Female","Not main scheme application","30"
"2012 - 2013","Higher tariff","17 and under","England","Female","Not main scheme application","15"
"2012 - 2013","Medium tariff","17 and under","England","Female","Not main scheme application","20"
"2013 - 2014","Lower tariff","17 and under","England","Female","Not main scheme application","75"
"2013 - 2014","Higher tariff","17 and under","England","Female","Not main scheme application","20"
"2013 - 2014","Medium tariff","17 and under","England","Female","Not main scheme application","15"
"2014 - 2015","Lower tariff","17 and under","England","Female","Not main scheme application","65"
"2014 - 2015","Higher tariff","17 and under","England","Female","Not main scheme application","15"
"2014 - 2015","Medium tariff","17 and under","England","Female","Not main scheme application","20"
