"Entry year","Provider country","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2018 - 2019","Wales","18","Northern Ireland","Male","Main scheme application","30"
"2019 - 2020","England","18","Northern Ireland","Male","Main scheme application","645"
"2019 - 2020","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2185"
"2019 - 2020","Scotland","18","Northern Ireland","Male","Main scheme application","230"
"2019 - 2020","Wales","18","Northern Ireland","Male","Main scheme application","25"
"2020 - 2021","England","18","Northern Ireland","Male","Main scheme application","675"
"2020 - 2021","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2615"
"2020 - 2021","Scotland","18","Northern Ireland","Male","Main scheme application","180"
"2020 - 2021","Wales","18","Northern Ireland","Male","Main scheme application","20"
"2021 - 2022","England","18","Northern Ireland","Male","Main scheme application","780"
"2021 - 2022","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2870"
"2021 - 2022","Scotland","18","Northern Ireland","Male","Main scheme application","230"
"2021 - 2022","Wales","18","Northern Ireland","Male","Main scheme application","25"
"2022 - 2023","England","18","Northern Ireland","Male","Main scheme application","675"
"2022 - 2023","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2685"
"2022 - 2023","Scotland","18","Northern Ireland","Male","Main scheme application","180"
"2022 - 2023","Wales","18","Northern Ireland","Male","Main scheme application","35"
"2023 - 2024","England","18","Northern Ireland","Male","Main scheme application","590"
"2023 - 2024","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2535"
"2023 - 2024","Scotland","18","Northern Ireland","Male","Main scheme application","150"
"2023 - 2024","Wales","18","Northern Ireland","Male","Main scheme application","25"
"2006 - 2007","England","19","Northern Ireland","Male","Main scheme application","175"
"2006 - 2007","Northern Ireland","19","Northern Ireland","Male","Main scheme application","330"
"2006 - 2007","Scotland","19","Northern Ireland","Male","Main scheme application","50"
"2006 - 2007","Wales","19","Northern Ireland","Male","Main scheme application","5"
"2007 - 2008","England","19","Northern Ireland","Male","Main scheme application","185"
"2007 - 2008","Northern Ireland","19","Northern Ireland","Male","Main scheme application","380"
"2007 - 2008","Scotland","19","Northern Ireland","Male","Main scheme application","55"
"2007 - 2008","Wales","19","Northern Ireland","Male","Main scheme application","10"
"2008 - 2009","England","19","Northern Ireland","Male","Main scheme application","200"
"2008 - 2009","Northern Ireland","19","Northern Ireland","Male","Main scheme application","405"
"2008 - 2009","Scotland","19","Northern Ireland","Male","Main scheme application","50"
"2008 - 2009","Wales","19","Northern Ireland","Male","Main scheme application","5"
"2009 - 2010","England","19","Northern Ireland","Male","Main scheme application","195"
"2009 - 2010","Northern Ireland","19","Northern Ireland","Male","Main scheme application","410"
"2009 - 2010","Scotland","19","Northern Ireland","Male","Main scheme application","60"
"2009 - 2010","Wales","19","Northern Ireland","Male","Main scheme application","5"
"2010 - 2011","England","19","Northern Ireland","Male","Main scheme application","245"
"2010 - 2011","Northern Ireland","19","Northern Ireland","Male","Main scheme application","485"
"2010 - 2011","Scotland","19","Northern Ireland","Male","Main scheme application","60"
"2010 - 2011","Wales","19","Northern Ireland","Male","Main scheme application","15"
"2011 - 2012","England","19","Northern Ireland","Male","Main scheme application","330"
"2011 - 2012","Northern Ireland","19","Northern Ireland","Male","Main scheme application","530"
"2011 - 2012","Scotland","19","Northern Ireland","Male","Main scheme application","60"
"2011 - 2012","Wales","19","Northern Ireland","Male","Main scheme application","15"
"2012 - 2013","England","19","Northern Ireland","Male","Main scheme application","215"
"2012 - 2013","Northern Ireland","19","Northern Ireland","Male","Main scheme application","540"
"2012 - 2013","Scotland","19","Northern Ireland","Male","Main scheme application","45"
"2012 - 2013","Wales","19","Northern Ireland","Male","Main scheme application","10"
"2013 - 2014","England","19","Northern Ireland","Male","Main scheme application","230"
"2013 - 2014","Northern Ireland","19","Northern Ireland","Male","Main scheme application","620"
"2013 - 2014","Scotland","19","Northern Ireland","Male","Main scheme application","55"
"2013 - 2014","Wales","19","Northern Ireland","Male","Main scheme application","5"
"2014 - 2015","England","19","Northern Ireland","Male","Main scheme application","285"
"2014 - 2015","Northern Ireland","19","Northern Ireland","Male","Main scheme application","625"
"2014 - 2015","Scotland","19","Northern Ireland","Male","Main scheme application","40"
"2014 - 2015","Wales","19","Northern Ireland","Male","Main scheme application","10"
"2015 - 2016","England","19","Northern Ireland","Male","Main scheme application","295"
"2015 - 2016","Northern Ireland","19","Northern Ireland","Male","Main scheme application","600"
"2015 - 2016","Scotland","19","Northern Ireland","Male","Main scheme application","40"
"2015 - 2016","Wales","19","Northern Ireland","Male","Main scheme application","10"
"2016 - 2017","England","19","Northern Ireland","Male","Main scheme application","330"
"2016 - 2017","Northern Ireland","19","Northern Ireland","Male","Main scheme application","690"
"2016 - 2017","Scotland","19","Northern Ireland","Male","Main scheme application","55"
"2016 - 2017","Wales","19","Northern Ireland","Male","Main scheme application","20"
"2017 - 2018","England","19","Northern Ireland","Male","Main scheme application","325"
"2017 - 2018","Northern Ireland","19","Northern Ireland","Male","Main scheme application","570"
"2017 - 2018","Scotland","19","Northern Ireland","Male","Main scheme application","45"
"2017 - 2018","Wales","19","Northern Ireland","Male","Main scheme application","10"
"2018 - 2019","England","19","Northern Ireland","Male","Main scheme application","270"
"2018 - 2019","Northern Ireland","19","Northern Ireland","Male","Main scheme application","615"
"2018 - 2019","Scotland","19","Northern Ireland","Male","Main scheme application","45"
"2018 - 2019","Wales","19","Northern Ireland","Male","Main scheme application","10"
"2019 - 2020","England","19","Northern Ireland","Male","Main scheme application","270"
"2019 - 2020","Northern Ireland","19","Northern Ireland","Male","Main scheme application","560"
"2019 - 2020","Scotland","19","Northern Ireland","Male","Main scheme application","45"
"2019 - 2020","Wales","19","Northern Ireland","Male","Main scheme application","5"
"2020 - 2021","England","19","Northern Ireland","Male","Main scheme application","265"
"2020 - 2021","Northern Ireland","19","Northern Ireland","Male","Main scheme application","550"
"2020 - 2021","Scotland","19","Northern Ireland","Male","Main scheme application","45"
"2020 - 2021","Wales","19","Northern Ireland","Male","Main scheme application","10"
"2021 - 2022","England","19","Northern Ireland","Male","Main scheme application","255"
"2021 - 2022","Northern Ireland","19","Northern Ireland","Male","Main scheme application","435"
"2021 - 2022","Scotland","19","Northern Ireland","Male","Main scheme application","35"
"2021 - 2022","Wales","19","Northern Ireland","Male","Main scheme application","10"
"2022 - 2023","England","19","Northern Ireland","Male","Main scheme application","180"
"2022 - 2023","Northern Ireland","19","Northern Ireland","Male","Main scheme application","390"
"2022 - 2023","Scotland","19","Northern Ireland","Male","Main scheme application","25"
"2022 - 2023","Wales","19","Northern Ireland","Male","Main scheme application","10"
"2023 - 2024","England","19","Northern Ireland","Male","Main scheme application","155"
"2023 - 2024","Northern Ireland","19","Northern Ireland","Male","Main scheme application","340"
"2023 - 2024","Scotland","19","Northern Ireland","Male","Main scheme application","30"
"2023 - 2024","Wales","19","Northern Ireland","Male","Main scheme application","10"
"2006 - 2007","England","20","Northern Ireland","Male","Main scheme application","90"
"2006 - 2007","Northern Ireland","20","Northern Ireland","Male","Main scheme application","140"
"2006 - 2007","Scotland","20","Northern Ireland","Male","Main scheme application","30"
"2006 - 2007","Wales","20","Northern Ireland","Male","Main scheme application","5"
"2007 - 2008","England","20","Northern Ireland","Male","Main scheme application","90"
"2007 - 2008","Northern Ireland","20","Northern Ireland","Male","Main scheme application","155"
"2007 - 2008","Scotland","20","Northern Ireland","Male","Main scheme application","25"
"2007 - 2008","Wales","20","Northern Ireland","Male","Main scheme application","5"
"2008 - 2009","England","20","Northern Ireland","Male","Main scheme application","105"
"2008 - 2009","Northern Ireland","20","Northern Ireland","Male","Main scheme application","195"
"2008 - 2009","Scotland","20","Northern Ireland","Male","Main scheme application","25"
"2009 - 2010","England","20","Northern Ireland","Male","Main scheme application","90"
"2009 - 2010","Northern Ireland","20","Northern Ireland","Male","Main scheme application","220"
"2009 - 2010","Scotland","20","Northern Ireland","Male","Main scheme application","20"
"2009 - 2010","Wales","20","Northern Ireland","Male","Main scheme application","5"
"2010 - 2011","England","20","Northern Ireland","Male","Main scheme application","110"
"2010 - 2011","Northern Ireland","20","Northern Ireland","Male","Main scheme application","230"
"2010 - 2011","Scotland","20","Northern Ireland","Male","Main scheme application","25"
"2010 - 2011","Wales","20","Northern Ireland","Male","Main scheme application","5"
"2011 - 2012","England","20","Northern Ireland","Male","Main scheme application","135"
"2011 - 2012","Northern Ireland","20","Northern Ireland","Male","Main scheme application","275"
"2011 - 2012","Scotland","20","Northern Ireland","Male","Main scheme application","20"
"2011 - 2012","Wales","20","Northern Ireland","Male","Main scheme application","10"
"2012 - 2013","England","20","Northern Ireland","Male","Main scheme application","110"
"2012 - 2013","Northern Ireland","20","Northern Ireland","Male","Main scheme application","305"
"2012 - 2013","Scotland","20","Northern Ireland","Male","Main scheme application","15"
"2012 - 2013","Wales","20","Northern Ireland","Male","Main scheme application","5"
"2013 - 2014","England","20","Northern Ireland","Male","Main scheme application","155"
"2013 - 2014","Northern Ireland","20","Northern Ireland","Male","Main scheme application","355"
"2013 - 2014","Scotland","20","Northern Ireland","Male","Main scheme application","20"
"2013 - 2014","Wales","20","Northern Ireland","Male","Main scheme application","10"
"2014 - 2015","England","20","Northern Ireland","Male","Main scheme application","150"
"2014 - 2015","Northern Ireland","20","Northern Ireland","Male","Main scheme application","385"
"2014 - 2015","Scotland","20","Northern Ireland","Male","Main scheme application","15"
"2014 - 2015","Wales","20","Northern Ireland","Male","Main scheme application","5"
"2015 - 2016","England","20","Northern Ireland","Male","Main scheme application","135"
"2015 - 2016","Northern Ireland","20","Northern Ireland","Male","Main scheme application","330"
"2015 - 2016","Scotland","20","Northern Ireland","Male","Main scheme application","15"
"2015 - 2016","Wales","20","Northern Ireland","Male","Main scheme application","5"
"2016 - 2017","England","20","Northern Ireland","Male","Main scheme application","130"
"2016 - 2017","Northern Ireland","20","Northern Ireland","Male","Main scheme application","400"
"2016 - 2017","Scotland","20","Northern Ireland","Male","Main scheme application","25"
"2016 - 2017","Wales","20","Northern Ireland","Male","Main scheme application","5"
"2017 - 2018","England","20","Northern Ireland","Male","Main scheme application","160"
"2017 - 2018","Northern Ireland","20","Northern Ireland","Male","Main scheme application","420"
"2017 - 2018","Scotland","20","Northern Ireland","Male","Main scheme application","15"
"2018 - 2019","England","20","Northern Ireland","Male","Main scheme application","145"
"2018 - 2019","Northern Ireland","20","Northern Ireland","Male","Main scheme application","395"
"2018 - 2019","Scotland","20","Northern Ireland","Male","Main scheme application","15"
"2018 - 2019","Wales","20","Northern Ireland","Male","Main scheme application","5"
"2019 - 2020","England","20","Northern Ireland","Male","Main scheme application","105"
"2019 - 2020","Northern Ireland","20","Northern Ireland","Male","Main scheme application","410"
"2019 - 2020","Scotland","20","Northern Ireland","Male","Main scheme application","15"
"2019 - 2020","Wales","20","Northern Ireland","Male","Main scheme application","5"
