"Year","POLAR4 Quintile","Age group","Domicile","Gender","Applicants with conditional unconditional offer","Applicants with direct unconditional offer","Applicants with other unconditional offer","Applicants with offer with unconditional component","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2023","All","18","England","Female","0","14290","3995","17530","0","16540","4245","20780"
"2023","All","18","Northern Ireland","Female","0","105","30","130","0","130","30","160"
"2023","All","18","Wales","Female","0","340","200","520","0","410","235","645"
"2013","All","18","England","Male","0","705","420","1100","0","860","425","1290"
"2013","All","18","Northern Ireland","Male","0","10","5","15","0","10","5","20"
"2013","All","18","Wales","Male","0","20","75","95","0","20","75","95"
"2014","All","18","England","Male","3435","2380","1395","6955","3640","2605","1465","7705"
"2014","All","18","Northern Ireland","Male","25","35","20","80","25","40","30","95"
"2014","All","18","Wales","Male","75","60","125","260","80","65","150","290"
"2015","All","18","England","Male","6070","3410","3775","12410","6540","3725","3835","14100"
"2015","All","18","Northern Ireland","Male","40","40","60","135","40","50","60","150"
"2015","All","18","Wales","Male","100","115","205","405","105","120","255","480"
"2016","All","18","England","Male","8615","6230","4345","17845","9485","6815","4445","20745"
"2016","All","18","Northern Ireland","Male","50","90","30","170","55","105","30","190"
"2016","All","18","Wales","Male","170","255","225","620","180","295","270","745"
"2017","All","18","England","Male","14495","8080","5750","25665","16900","9125","6060","32080"
"2017","All","18","Northern Ireland","Male","110","100","100","295","120","110","105","335"
"2017","All","18","Wales","Male","275","390","295","900","295","455","345","1095"
"2018","All","18","England","Male","20645","10080","8050","33945","25055","11660","8215","44930"
"2018","All","18","Northern Ireland","Male","215","185","110","465","240","205","115","560"
"2018","All","18","Wales","Male","545","420","325","1165","650","480","360","1495"
"2019","All","18","England","Male","25625","11255","8235","38420","32190","13195","8580","53965"
"2019","All","18","Northern Ireland","Male","235","120","75","395","275","140","80","500"
"2019","All","18","Wales","Male","610","810","240","1480","740","1065","260","2065"
"2020","All","18","England","Male","12600","21115","17155","41795","14160","27155","21055","62370"
"2020","All","18","Northern Ireland","Male","75","215","800","1000","80","260","1115","1455"
"2020","All","18","Wales","Male","210","950","1310","2055","225","1260","1825","3310"
"2021","All","18","England","Male","5","9090","1825","10555","5","10465","1890","12360"
"2021","All","18","Northern Ireland","Male","0","120","15","130","0","130","15","145"
"2021","All","18","Wales","Male","0","865","165","965","0","1110","205","1315"
"2022","All","18","England","Male","2120","13170","3955","18195","2285","15675","4210","22170"
"2022","All","18","Northern Ireland","Male","15","90","15","120","15","105","15","140"
"2022","All","18","Wales","Male","60","370","310","695","60","430","380","865"
