"Year","Qualification group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2017","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.966","5"
"2018","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","45","40","0.9530000000000001","0"
"2019","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","75","75","0.973","5"
"2020","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","115","110","0.991","5"
"2021","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","70","70","0.986","5"
"2022","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.863","5"
"2023","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.92","5"
"2015","A level & BTEC","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","A level & BTEC","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","A level & BTEC","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","A level & BTEC","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","A level & BTEC","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2009","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9","5"
"2010","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2013","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","0.875","5"
"2014","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2015","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2016","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2017","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","30","1","5"
"2018","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001","10"
"2019","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","25","20","0.875","5"
"2020","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","65","55","0.836","15"
"2021","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","25","20","0.917","5"
"2022","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","25","15","0.6960000000000001","5"
