"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","International","Not EU","Japan","21 - 24","Female","5","0"," "
"2022","International","Not EU","Korea, Republic of","21 - 24","Female","5","0"," "
"2020","International","Not EU","Kuwait","21 - 24","Female","5","0"," "
"2021","International","Not EU","Mauritius","21 - 24","Female","5","0"," "
"2019","International","Not EU","Pakistan","21 - 24","Female","5","0"," "
"2023","International","Not EU","Pakistan","21 - 24","Female","5","0"," "
"2023","International","Not EU","Qatar","21 - 24","Female","5","0"," "
"2021","International","Not EU","Thailand","21 - 24","Female","5","0"," "
"2019","International","Not EU","United Arab Emirates","21 - 24","Female","5","0"," "
"2023","International","Not EU","United Arab Emirates","21 - 24","Female","5","0"," "
"2019","International","Not EU","United States of America","21 - 24","Female","20","5"," "
"2020","International","Not EU","United States of America","21 - 24","Female","10","5"," "
"2021","International","Not EU","United States of America","21 - 24","Female","5","5"," "
"2022","International","Not EU","United States of America","21 - 24","Female","15","5"," "
"2023","International","Not EU","United States of America","21 - 24","Female","15","0"," "
"2019","International","Not EU","USSR (Not In Use)","21 - 24","Female","5","0"," "
"2020","International","Not EU","Not Known","21 - 24","Female","5","0"," "
"2019","UK","England","England","25 - 29","Female","45","10","0.244"
"2020","UK","England","England","25 - 29","Female","60","15","0.28300000000000003"
"2021","UK","England","England","25 - 29","Female","110","25","0.23600000000000002"
"2022","UK","England","England","25 - 29","Female","75","10","0.16"
"2023","UK","England","England","25 - 29","Female","40","15","0.425"
"2019","UK","Northern Ireland","Northern Ireland","25 - 29","Female","65","15","0.231"
"2020","UK","Northern Ireland","Northern Ireland","25 - 29","Female","45","10"," "
"2021","UK","Northern Ireland","Northern Ireland","25 - 29","Female","60","15","0.217"
"2022","UK","Northern Ireland","Northern Ireland","25 - 29","Female","35","10","0.28600000000000003"
"2023","UK","Northern Ireland","Northern Ireland","25 - 29","Female","40","5"," "
"2019","UK","Scotland","Scotland","25 - 29","Female","3320","755","0.228"
"2020","UK","Scotland","Scotland","25 - 29","Female","3115","750","0.241"
"2021","UK","Scotland","Scotland","25 - 29","Female","4225","900","0.213"
"2022","UK","Scotland","Scotland","25 - 29","Female","2920","765","0.262"
"2023","UK","Scotland","Scotland","25 - 29","Female","2020","570","0.28300000000000003"
"2019","UK","Wales","Wales","25 - 29","Female","5","0"," "
"2020","UK","Wales","Wales","25 - 29","Female","5","0"," "
"2021","UK","Wales","Wales","25 - 29","Female","5","0"," "
"2022","UK","Wales","Wales","25 - 29","Female","355","195","0.549"
"2023","UK","Wales","Wales","25 - 29","Female","305","155","0.515"
"2019","International","EU (excluding UK)","France","25 - 29","Female","25","10"," "
"2020","International","EU (excluding UK)","France","25 - 29","Female","20","10"," "
"2021","International","EU (excluding UK)","France","25 - 29","Female","20","10"," "
"2022","International","EU (excluding UK)","France","25 - 29","Female","10","5"," "
"2019","International","EU (excluding UK)","Germany","25 - 29","Female","10","0"," "
"2020","International","EU (excluding UK)","Germany","25 - 29","Female","20","5"," "
"2022","International","EU (excluding UK)","Germany","25 - 29","Female","5","5"," "
"2020","International","EU (excluding UK)","Greece","25 - 29","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","25 - 29","Female","100","15","0.14"
"2020","International","EU (excluding UK)","Ireland","25 - 29","Female","175","25","0.154"
"2021","International","EU (excluding UK)","Ireland","25 - 29","Female","110","15","0.11800000000000001"
