"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","All","Scotland","Female","10865","2530","0.233"
"2020","All","Scotland","Female","11265","2735","0.243"
"2021","All","Scotland","Female","14145","2920","0.20600000000000002"
"2022","All","Scotland","Female","10075","2670","0.265"
"2023","All","Scotland","Female","8015","2395","0.299"
"2019","All","Wales","Female","10","5"," "
"2020","All","Wales","Female","25","5"," "
"2021","All","Wales","Female","5","0"," "
"2022","All","Wales","Female","1710","905","0.53"
"2023","All","Wales","Female","1550","790","0.509"
"2019","All","Not EU","Female","140","35","0.243"
"2020","All","Not EU","Female","165","45","0.267"
"2021","All","Not EU","Female","155","30","0.187"
"2022","All","Not EU","Female","225","55","0.249"
"2023","All","Not EU","Female","220","35","0.155"
"2019","All","EU (excluding UK)","Female","605","110","0.179"
"2020","All","EU (excluding UK)","Female","690","140","0.203"
"2021","All","EU (excluding UK)","Female","450","80","0.182"
"2022","All","EU (excluding UK)","Female","310","80","0.265"
"2023","All","EU (excluding UK)","Female","230","55","0.23"
"2019","All","Northern Ireland","Male","75","10","0.147"
"2020","All","Northern Ireland","Male","50","5"," "
"2021","All","Northern Ireland","Male","110","10","0.1"
"2022","All","Northern Ireland","Male","100","35","0.37"
"2023","All","Northern Ireland","Male","35","10","0.28600000000000003"
"2019","All","England","Male","105","25","0.257"
"2020","All","England","Male","105","30","0.276"
"2021","All","England","Male","130","30","0.223"
"2022","All","England","Male","180","50","0.267"
"2023","All","England","Male","150","60","0.40700000000000003"
"2019","All","Scotland","Male","4280","930","0.218"
"2020","All","Scotland","Male","4230","985","0.233"
"2021","All","Scotland","Male","5410","1075","0.199"
"2022","All","Scotland","Male","4140","990","0.23900000000000002"
