"Year","UK region","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2017","Unknown","25 - 29","All","Male","All","All","35","25","0.788","0"
"2018","Unknown","25 - 29","All","Male","All","All","45","35","0.8180000000000001","0"
"2019","Unknown","25 - 29","All","Male","All","All","45","40","0.8300000000000001","0"
"2020","Unknown","25 - 29","All","Male","All","All","40","30","0.762","0"
"2021","Unknown","25 - 29","All","Male","All","All","205","195","0.97","0"
"2022","Unknown","25 - 29","All","Male","All","All","35","30","0.909","0"
"2023","Unknown","25 - 29","All","Male","All","All","175","165","0.9480000000000001","0"
"2006","North East","30 - 34","All","Male","All","All","155","105","0.673","0"
"2007","North East","30 - 34","All","Male","All","All","165","115","0.706","0"
"2008","North East","30 - 34","All","Male","All","All","155","105","0.667","5"
"2009","North East","30 - 34","All","Male","All","All","215","145","0.676","10"
"2010","North East","30 - 34","All","Male","All","All","220","125","0.5680000000000001","10"
"2011","North East","30 - 34","All","Male","All","All","225","140","0.621","10"
"2012","North East","30 - 34","All","Male","All","All","190","125","0.651","5"
"2013","North East","30 - 34","All","Male","All","All","205","145","0.6960000000000001","10"
"2014","North East","30 - 34","All","Male","All","All","200","130","0.667","5"
"2015","North East","30 - 34","All","Male","All","All","180","120","0.67","5"
"2016","North East","30 - 34","All","Male","All","All","195","130","0.674","0"
"2017","North East","30 - 34","All","Male","All","All","180","135","0.743","5"
"2018","North East","30 - 34","All","Male","All","All","175","140","0.806","5"
"2019","North East","30 - 34","All","Male","All","All","195","155","0.787","5"
"2020","North East","30 - 34","All","Male","All","All","185","150","0.8130000000000001","5"
"2021","North East","30 - 34","All","Male","All","All","200","145","0.734","0"
"2022","North East","30 - 34","All","Male","All","All","175","125","0.71","5"
"2023","North East","30 - 34","All","Male","All","All","175","125","0.705","5"
"2006","North West","30 - 34","All","Male","All","All","500","380","0.761","20"
"2007","North West","30 - 34","All","Male","All","All","545","400","0.733","15"
"2008","North West","30 - 34","All","Male","All","All","550","410","0.746","25"
"2009","North West","30 - 34","All","Male","All","All","725","495","0.684","25"
"2010","North West","30 - 34","All","Male","All","All","830","515","0.621","20"
"2011","North West","30 - 34","All","Male","All","All","785","500","0.633","20"
"2012","North West","30 - 34","All","Male","All","All","680","425","0.626","15"
"2013","North West","30 - 34","All","Male","All","All","720","465","0.646","20"
"2014","North West","30 - 34","All","Male","All","All","730","465","0.633","15"
"2015","North West","30 - 34","All","Male","All","All","675","465","0.6880000000000001","20"
"2016","North West","30 - 34","All","Male","All","All","685","455","0.666","15"
"2017","North West","30 - 34","All","Male","All","All","600","455","0.758","10"
"2018","North West","30 - 34","All","Male","All","All","575","415","0.724","15"
"2019","North West","30 - 34","All","Male","All","All","545","420","0.775","10"
"2020","North West","30 - 34","All","Male","All","All","670","535","0.801","20"
"2021","North West","30 - 34","All","Male","All","All","685","510","0.739","10"
"2022","North West","30 - 34","All","Male","All","All","825","650","0.791","10"
"2023","North West","30 - 34","All","Male","All","All","875","695","0.795","10"
"2006","Yorkshire and The Humber","30 - 34","All","Male","All","All","360","270","0.747","10"
"2007","Yorkshire and The Humber","30 - 34","All","Male","All","All","365","270","0.747","10"
"2008","Yorkshire and The Humber","30 - 34","All","Male","All","All","405","315","0.778","15"
"2009","Yorkshire and The Humber","30 - 34","All","Male","All","All","500","360","0.715","25"
"2010","Yorkshire and The Humber","30 - 34","All","Male","All","All","515","310","0.605","20"
"2011","Yorkshire and The Humber","30 - 34","All","Male","All","All","545","335","0.614","10"
"2012","Yorkshire and The Humber","30 - 34","All","Male","All","All","500","325","0.647","20"
"2013","Yorkshire and The Humber","30 - 34","All","Male","All","All","445","295","0.664","15"
"2014","Yorkshire and The Humber","30 - 34","All","Male","All","All","410","265","0.653","10"
"2015","Yorkshire and The Humber","30 - 34","All","Male","All","All","420","275","0.658","10"
"2016","Yorkshire and The Humber","30 - 34","All","Male","All","All","365","245","0.665","10"
"2017","Yorkshire and The Humber","30 - 34","All","Male","All","All","335","235","0.707","10"
"2018","Yorkshire and The Humber","30 - 34","All","Male","All","All","315","240","0.759","5"
"2019","Yorkshire and The Humber","30 - 34","All","Male","All","All","330","230","0.707","0"
"2020","Yorkshire and The Humber","30 - 34","All","Male","All","All","385","290","0.753","5"
"2021","Yorkshire and The Humber","30 - 34","All","Male","All","All","405","300","0.742","5"
"2022","Yorkshire and The Humber","30 - 34","All","Male","All","All","500","405","0.8140000000000001","10"
"2023","Yorkshire and The Humber","30 - 34","All","Male","All","All","655","510","0.78","5"
"2006","East Midlands","30 - 34","All","Male","All","All","235","170","0.713","10"
"2007","East Midlands","30 - 34","All","Male","All","All","240","175","0.73","5"
"2008","East Midlands","30 - 34","All","Male","All","All","275","200","0.725","15"
"2009","East Midlands","30 - 34","All","Male","All","All","335","215","0.641","20"
"2010","East Midlands","30 - 34","All","Male","All","All","395","235","0.588","20"
"2011","East Midlands","30 - 34","All","Male","All","All","350","205","0.592","15"
"2012","East Midlands","30 - 34","All","Male","All","All","300","175","0.592","10"
"2013","East Midlands","30 - 34","All","Male","All","All","280","175","0.632","15"
"2014","East Midlands","30 - 34","All","Male","All","All","310","205","0.659","10"
"2015","East Midlands","30 - 34","All","Male","All","All","270","165","0.623","10"
"2016","East Midlands","30 - 34","All","Male","All","All","285","185","0.651","5"
"2017","East Midlands","30 - 34","All","Male","All","All","245","170","0.687","5"
"2018","East Midlands","30 - 34","All","Male","All","All","255","185","0.735","5"
"2019","East Midlands","30 - 34","All","Male","All","All","225","175","0.77","5"
"2020","East Midlands","30 - 34","All","Male","All","All","350","280","0.79","10"
"2021","East Midlands","30 - 34","All","Male","All","All","345","255","0.742","0"
"2022","East Midlands","30 - 34","All","Male","All","All","340","260","0.764","5"
"2023","East Midlands","30 - 34","All","Male","All","All","555","390","0.6970000000000001","5"
"2006","West Midlands","30 - 34","All","Male","All","All","295","190","0.65","10"
"2007","West Midlands","30 - 34","All","Male","All","All","305","225","0.736","10"
"2008","West Midlands","30 - 34","All","Male","All","All","420","320","0.764","15"
"2009","West Midlands","30 - 34","All","Male","All","All","490","335","0.682","20"
"2010","West Midlands","30 - 34","All","Male","All","All","515","295","0.5670000000000001","30"
"2011","West Midlands","30 - 34","All","Male","All","All","555","300","0.54","20"
"2012","West Midlands","30 - 34","All","Male","All","All","495","300","0.6","15"
"2013","West Midlands","30 - 34","All","Male","All","All","490","300","0.617","5"
"2014","West Midlands","30 - 34","All","Male","All","All","480","300","0.627","15"
"2015","West Midlands","30 - 34","All","Male","All","All","460","310","0.672","10"
"2016","West Midlands","30 - 34","All","Male","All","All","385","255","0.657","10"
"2017","West Midlands","30 - 34","All","Male","All","All","330","225","0.683","5"
"2018","West Midlands","30 - 34","All","Male","All","All","385","275","0.723","5"
"2019","West Midlands","30 - 34","All","Male","All","All","520","440","0.843","15"
"2020","West Midlands","30 - 34","All","Male","All","All","540","440","0.8180000000000001","10"
"2021","West Midlands","30 - 34","All","Male","All","All","625","505","0.8140000000000001","10"
"2022","West Midlands","30 - 34","All","Male","All","All","655","540","0.8200000000000001","15"
"2023","West Midlands","30 - 34","All","Male","All","All","760","590","0.775","10"
"2006","East of England","30 - 34","All","Male","All","All","280","200","0.716","15"
"2007","East of England","30 - 34","All","Male","All","All","245","180","0.729","10"
"2008","East of England","30 - 34","All","Male","All","All","275","185","0.68","10"
"2009","East of England","30 - 34","All","Male","All","All","375","260","0.6900000000000001","20"
"2010","East of England","30 - 34","All","Male","All","All","420","210","0.505","10"
"2011","East of England","30 - 34","All","Male","All","All","430","215","0.497","20"
"2012","East of England","30 - 34","All","Male","All","All","380","220","0.58","10"
"2013","East of England","30 - 34","All","Male","All","All","420","265","0.637","15"
"2014","East of England","30 - 34","All","Male","All","All","370","255","0.6980000000000001","10"
"2015","East of England","30 - 34","All","Male","All","All","370","225","0.612","10"
"2016","East of England","30 - 34","All","Male","All","All","370","245","0.659","10"
"2017","East of England","30 - 34","All","Male","All","All","285","180","0.643","5"
"2018","East of England","30 - 34","All","Male","All","All","260","190","0.73","5"
"2019","East of England","30 - 34","All","Male","All","All","285","210","0.743","5"
"2020","East of England","30 - 34","All","Male","All","All","315","235","0.743","5"
"2021","East of England","30 - 34","All","Male","All","All","370","280","0.754","5"
"2022","East of England","30 - 34","All","Male","All","All","480","405","0.838","10"
"2023","East of England","30 - 34","All","Male","All","All","465","365","0.788","10"
"2006","London","30 - 34","All","Male","All","All","940","590","0.626","30"
"2007","London","30 - 34","All","Male","All","All","930","625","0.675","30"
"2008","London","30 - 34","All","Male","All","All","1015","695","0.686","35"
"2009","London","30 - 34","All","Male","All","All","1200","710","0.59","65"
"2010","London","30 - 34","All","Male","All","All","1430","785","0.55","60"
"2011","London","30 - 34","All","Male","All","All","1460","780","0.535","95"
"2012","London","30 - 34","All","Male","All","All","1265","725","0.5720000000000001","60"
"2013","London","30 - 34","All","Male","All","All","1190","720","0.606","75"
"2014","London","30 - 34","All","Male","All","All","1385","865","0.624","70"
"2015","London","30 - 34","All","Male","All","All","1365","880","0.643","65"
"2016","London","30 - 34","All","Male","All","All","1245","790","0.634","45"
"2017","London","30 - 34","All","Male","All","All","1160","785","0.676","45"
"2018","London","30 - 34","All","Male","All","All","1250","925","0.741","20"
"2019","London","30 - 34","All","Male","All","All","1285","1010","0.787","35"
"2020","London","30 - 34","All","Male","All","All","1350","1050","0.78","65"
"2021","London","30 - 34","All","Male","All","All","1500","1140","0.759","20"
"2022","London","30 - 34","All","Male","All","All","2085","1785","0.855","25"
"2023","London","30 - 34","All","Male","All","All","1805","1460","0.809","30"
"2006","South East","30 - 34","All","Male","All","All","445","280","0.637","15"
"2007","South East","30 - 34","All","Male","All","All","440","295","0.671","15"
"2008","South East","30 - 34","All","Male","All","All","460","325","0.704","15"
"2009","South East","30 - 34","All","Male","All","All","600","370","0.617","20"
"2010","South East","30 - 34","All","Male","All","All","670","395","0.589","20"
"2011","South East","30 - 34","All","Male","All","All","675","400","0.589","30"
"2012","South East","30 - 34","All","Male","All","All","585","325","0.557","10"
"2013","South East","30 - 34","All","Male","All","All","605","395","0.647","20"
"2014","South East","30 - 34","All","Male","All","All","580","355","0.611","10"
"2015","South East","30 - 34","All","Male","All","All","565","370","0.661","15"
"2016","South East","30 - 34","All","Male","All","All","505","305","0.599","15"
"2017","South East","30 - 34","All","Male","All","All","425","295","0.6960000000000001","10"
"2018","South East","30 - 34","All","Male","All","All","400","265","0.661","10"
"2019","South East","30 - 34","All","Male","All","All","395","295","0.743","5"
"2020","South East","30 - 34","All","Male","All","All","510","370","0.724","25"
"2021","South East","30 - 34","All","Male","All","All","590","445","0.748","10"
"2022","South East","30 - 34","All","Male","All","All","645","500","0.773","10"
"2023","South East","30 - 34","All","Male","All","All","560","430","0.762","10"
"2006","South West","30 - 34","All","Male","All","All","295","220","0.753","10"
"2007","South West","30 - 34","All","Male","All","All","300","220","0.733","5"
"2008","South West","30 - 34","All","Male","All","All","330","230","0.7020000000000001","10"
"2009","South West","30 - 34","All","Male","All","All","400","265","0.654","20"
"2010","South West","30 - 34","All","Male","All","All","425","280","0.659","10"
"2011","South West","30 - 34","All","Male","All","All","475","280","0.594","10"
"2012","South West","30 - 34","All","Male","All","All","420","265","0.628","10"
"2013","South West","30 - 34","All","Male","All","All","410","270","0.655","10"
"2014","South West","30 - 34","All","Male","All","All","455","290","0.643","10"
"2015","South West","30 - 34","All","Male","All","All","375","240","0.645","10"
"2016","South West","30 - 34","All","Male","All","All","425","290","0.677","5"
"2017","South West","30 - 34","All","Male","All","All","310","210","0.676","10"
"2018","South West","30 - 34","All","Male","All","All","300","215","0.728","0"
"2019","South West","30 - 34","All","Male","All","All","330","245","0.741","5"
"2020","South West","30 - 34","All","Male","All","All","335","260","0.784","10"
"2021","South West","30 - 34","All","Male","All","All","320","210","0.661","5"
"2022","South West","30 - 34","All","Male","All","All","315","200","0.645","5"
"2023","South West","30 - 34","All","Male","All","All","280","205","0.725","5"
"2006","Northern Ireland","30 - 34","All","Male","All","All","85","45","0.524","0"
"2007","Northern Ireland","30 - 34","All","Male","All","All","70","45","0.652","0"
"2008","Northern Ireland","30 - 34","All","Male","All","All","70","40","0.592","0"
"2009","Northern Ireland","30 - 34","All","Male","All","All","90","65","0.753","0"
"2010","Northern Ireland","30 - 34","All","Male","All","All","115","65","0.584","0"
"2011","Northern Ireland","30 - 34","All","Male","All","All","115","75","0.681","0"
"2012","Northern Ireland","30 - 34","All","Male","All","All","115","75","0.635","0"
"2013","Northern Ireland","30 - 34","All","Male","All","All","110","60","0.523","5"
"2014","Northern Ireland","30 - 34","All","Male","All","All","120","80","0.661","0"
"2015","Northern Ireland","30 - 34","All","Male","All","All","140","100","0.704","0"
"2016","Northern Ireland","30 - 34","All","Male","All","All","130","60","0.481","0"
"2017","Northern Ireland","30 - 34","All","Male","All","All","110","55","0.495","0"
"2018","Northern Ireland","30 - 34","All","Male","All","All","90","50","0.538","0"
"2019","Northern Ireland","30 - 34","All","Male","All","All","95","65","0.6990000000000001","0"
"2020","Northern Ireland","30 - 34","All","Male","All","All","85","50","0.595","0"
"2021","Northern Ireland","30 - 34","All","Male","All","All","110","65","0.596","0"
"2022","Northern Ireland","30 - 34","All","Male","All","All","105","60","0.5710000000000001","0"
"2023","Northern Ireland","30 - 34","All","Male","All","All","70","40","0.556","0"
"2006","Scotland","30 - 34","All","Male","All","All","405","290","0.715","5"
"2007","Scotland","30 - 34","All","Male","All","All","405","300","0.746","5"
"2008","Scotland","30 - 34","All","Male","All","All","470","345","0.738","10"
"2009","Scotland","30 - 34","All","Male","All","All","570","435","0.758","10"
"2010","Scotland","30 - 34","All","Male","All","All","685","455","0.665","5"
"2011","Scotland","30 - 34","All","Male","All","All","670","410","0.612","5"
"2012","Scotland","30 - 34","All","Male","All","All","700","445","0.636","5"
"2013","Scotland","30 - 34","All","Male","All","All","700","445","0.637","10"
"2014","Scotland","30 - 34","All","Male","All","All","650","400","0.613","10"
"2015","Scotland","30 - 34","All","Male","All","All","820","480","0.584","15"
"2016","Scotland","30 - 34","All","Male","All","All","890","535","0.6","10"
"2017","Scotland","30 - 34","All","Male","All","All","850","545","0.642","5"
"2018","Scotland","30 - 34","All","Male","All","All","920","560","0.612","10"
"2019","Scotland","30 - 34","All","Male","All","All","870","565","0.648","5"
"2020","Scotland","30 - 34","All","Male","All","All","940","620","0.657","20"
"2021","Scotland","30 - 34","All","Male","All","All","970","600","0.62","10"
"2022","Scotland","30 - 34","All","Male","All","All","830","505","0.612","10"
"2023","Scotland","30 - 34","All","Male","All","All","725","475","0.658","10"
"2006","Wales","30 - 34","All","Male","All","All","175","125","0.72","5"
"2007","Wales","30 - 34","All","Male","All","All","175","135","0.778","0"
"2008","Wales","30 - 34","All","Male","All","All","205","150","0.715","5"
"2009","Wales","30 - 34","All","Male","All","All","260","200","0.771","10"
"2010","Wales","30 - 34","All","Male","All","All","255","160","0.631","5"
"2011","Wales","30 - 34","All","Male","All","All","255","155","0.612","5"
"2012","Wales","30 - 34","All","Male","All","All","295","180","0.618","5"
"2013","Wales","30 - 34","All","Male","All","All","245","165","0.68","5"
"2014","Wales","30 - 34","All","Male","All","All","245","170","0.687","5"
"2015","Wales","30 - 34","All","Male","All","All","215","140","0.648","5"
"2016","Wales","30 - 34","All","Male","All","All","235","165","0.708","0"
"2017","Wales","30 - 34","All","Male","All","All","220","165","0.756","5"
"2018","Wales","30 - 34","All","Male","All","All","220","165","0.748","5"
"2019","Wales","30 - 34","All","Male","All","All","195","155","0.786","5"
"2020","Wales","30 - 34","All","Male","All","All","215","160","0.741","5"
"2021","Wales","30 - 34","All","Male","All","All","210","140","0.679","5"
"2022","Wales","30 - 34","All","Male","All","All","235","155","0.671","5"
"2023","Wales","30 - 34","All","Male","All","All","195","145","0.736","5"
"2006","Unknown","30 - 34","All","Male","All","All","80","65","0.8230000000000001","0"
"2007","Unknown","30 - 34","All","Male","All","All","65","55","0.891","0"
"2008","Unknown","30 - 34","All","Male","All","All","120","85","0.737","0"
"2009","Unknown","30 - 34","All","Male","All","All","70","60","0.853","0"
"2010","Unknown","30 - 34","All","Male","All","All","55","35","0.607","0"
"2011","Unknown","30 - 34","All","Male","All","All","35","15","0.5","0"
"2012","Unknown","30 - 34","All","Male","All","All","40","25","0.634","0"
"2013","Unknown","30 - 34","All","Male","All","All","35","30","0.8","0"
"2014","Unknown","30 - 34","All","Male","All","All","15","10","0.647","0"
"2015","Unknown","30 - 34","All","Male","All","All","15","15","0.933","0"
"2016","Unknown","30 - 34","All","Male","All","All","20","20","0.8180000000000001","0"
"2017","Unknown","30 - 34","All","Male","All","All","20","15","0.778","0"
"2018","Unknown","30 - 34","All","Male","All","All","20","15","0.7000000000000001","0"
"2019","Unknown","30 - 34","All","Male","All","All","20","15","0.684","0"
"2020","Unknown","30 - 34","All","Male","All","All","20","20","0.864","0"
"2021","Unknown","30 - 34","All","Male","All","All","195","190","0.979","0"
"2022","Unknown","30 - 34","All","Male","All","All","25","20","0.875","0"
"2023","Unknown","30 - 34","All","Male","All","All","145","145","0.993","0"
"2006","North East","35 and over","All","Male","All","All","215","145","0.674","5"
"2007","North East","35 and over","All","Male","All","All","240","170","0.7010000000000001","5"
"2008","North East","35 and over","All","Male","All","All","225","155","0.6930000000000001","5"
"2009","North East","35 and over","All","Male","All","All","265","165","0.62","10"
"2010","North East","35 and over","All","Male","All","All","360","225","0.631","15"
"2011","North East","35 and over","All","Male","All","All","325","180","0.5630000000000001","15"
"2012","North East","35 and over","All","Male","All","All","295","195","0.656","10"
"2013","North East","35 and over","All","Male","All","All","300","200","0.661","10"
"2014","North East","35 and over","All","Male","All","All","265","185","0.685","10"
"2015","North East","35 and over","All","Male","All","All","270","185","0.6910000000000001","10"
"2016","North East","35 and over","All","Male","All","All","260","175","0.668","5"
"2017","North East","35 and over","All","Male","All","All","200","140","0.6970000000000001","5"
"2018","North East","35 and over","All","Male","All","All","260","205","0.786","0"
"2019","North East","35 and over","All","Male","All","All","275","215","0.788","10"
"2020","North East","35 and over","All","Male","All","All","300","215","0.719","10"
"2021","North East","35 and over","All","Male","All","All","275","205","0.746","5"
"2022","North East","35 and over","All","Male","All","All","275","200","0.725","5"
"2023","North East","35 and over","All","Male","All","All","305","205","0.661","5"
"2006","North West","35 and over","All","Male","All","All","715","525","0.734","30"
"2007","North West","35 and over","All","Male","All","All","795","610","0.766","30"
"2008","North West","35 and over","All","Male","All","All","950","725","0.761","30"
"2009","North West","35 and over","All","Male","All","All","1180","800","0.679","60"
"2010","North West","35 and over","All","Male","All","All","1230","720","0.583","35"
"2011","North West","35 and over","All","Male","All","All","1180","655","0.555","40"
"2012","North West","35 and over","All","Male","All","All","1090","665","0.611","35"
"2013","North West","35 and over","All","Male","All","All","1065","700","0.659","40"
"2014","North West","35 and over","All","Male","All","All","1080","685","0.632","35"
"2015","North West","35 and over","All","Male","All","All","1095","690","0.628","40"
"2016","North West","35 and over","All","Male","All","All","1060","645","0.609","30"
"2017","North West","35 and over","All","Male","All","All","975","665","0.681","20"
"2018","North West","35 and over","All","Male","All","All","895","630","0.7030000000000001","10"
"2019","North West","35 and over","All","Male","All","All","1065","825","0.773","15"
"2020","North West","35 and over","All","Male","All","All","1265","1005","0.792","35"
"2021","North West","35 and over","All","Male","All","All","1300","950","0.731","25"
"2022","North West","35 and over","All","Male","All","All","1725","1370","0.794","30"
"2023","North West","35 and over","All","Male","All","All","2050","1675","0.8170000000000001","30"
"2006","Yorkshire and The Humber","35 and over","All","Male","All","All","485","365","0.753","10"
"2007","Yorkshire and The Humber","35 and over","All","Male","All","All","475","350","0.741","20"
"2008","Yorkshire and The Humber","35 and over","All","Male","All","All","685","520","0.757","20"
"2009","Yorkshire and The Humber","35 and over","All","Male","All","All","765","565","0.736","25"
"2010","Yorkshire and The Humber","35 and over","All","Male","All","All","815","510","0.623","30"
"2011","Yorkshire and The Humber","35 and over","All","Male","All","All","735","445","0.606","25"
"2012","Yorkshire and The Humber","35 and over","All","Male","All","All","765","485","0.636","25"
"2013","Yorkshire and The Humber","35 and over","All","Male","All","All","630","400","0.638","20"
"2014","Yorkshire and The Humber","35 and over","All","Male","All","All","660","415","0.632","25"
"2015","Yorkshire and The Humber","35 and over","All","Male","All","All","620","400","0.646","25"
"2016","Yorkshire and The Humber","35 and over","All","Male","All","All","590","350","0.595","25"
"2017","Yorkshire and The Humber","35 and over","All","Male","All","All","555","385","0.6890000000000001","15"
"2018","Yorkshire and The Humber","35 and over","All","Male","All","All","560","395","0.704","20"
"2019","Yorkshire and The Humber","35 and over","All","Male","All","All","570","425","0.745","20"
"2020","Yorkshire and The Humber","35 and over","All","Male","All","All","650","485","0.747","15"
"2021","Yorkshire and The Humber","35 and over","All","Male","All","All","700","530","0.756","10"
"2022","Yorkshire and The Humber","35 and over","All","Male","All","All","930","745","0.797","20"
"2023","Yorkshire and The Humber","35 and over","All","Male","All","All","1385","1065","0.769","15"
"2006","East Midlands","35 and over","All","Male","All","All","380","265","0.6880000000000001","15"
"2007","East Midlands","35 and over","All","Male","All","All","335","260","0.769","20"
"2008","East Midlands","35 and over","All","Male","All","All","435","315","0.716","35"
"2009","East Midlands","35 and over","All","Male","All","All","550","385","0.6960000000000001","35"
"2010","East Midlands","35 and over","All","Male","All","All","615","325","0.525","20"
"2011","East Midlands","35 and over","All","Male","All","All","555","300","0.543","20"
"2012","East Midlands","35 and over","All","Male","All","All","490","275","0.5660000000000001","15"
"2013","East Midlands","35 and over","All","Male","All","All","495","300","0.601","25"
"2014","East Midlands","35 and over","All","Male","All","All","550","325","0.593","15"
"2015","East Midlands","35 and over","All","Male","All","All","600","380","0.633","20"
"2016","East Midlands","35 and over","All","Male","All","All","570","320","0.56","20"
"2017","East Midlands","35 and over","All","Male","All","All","475","320","0.677","15"
"2018","East Midlands","35 and over","All","Male","All","All","450","320","0.715","15"
"2019","East Midlands","35 and over","All","Male","All","All","440","315","0.721","5"
"2020","East Midlands","35 and over","All","Male","All","All","555","415","0.749","20"
"2021","East Midlands","35 and over","All","Male","All","All","590","460","0.775","15"
"2022","East Midlands","35 and over","All","Male","All","All","625","445","0.712","25"
"2023","East Midlands","35 and over","All","Male","All","All","1330","930","0.6980000000000001","25"
"2006","West Midlands","35 and over","All","Male","All","All","450","325","0.72","20"
"2007","West Midlands","35 and over","All","Male","All","All","470","350","0.742","15"
"2008","West Midlands","35 and over","All","Male","All","All","625","445","0.715","20"
"2009","West Midlands","35 and over","All","Male","All","All","860","595","0.6900000000000001","40"
"2010","West Midlands","35 and over","All","Male","All","All","940","525","0.56","40"
"2011","West Midlands","35 and over","All","Male","All","All","850","470","0.553","30"
"2012","West Midlands","35 and over","All","Male","All","All","820","505","0.617","20"
"2013","West Midlands","35 and over","All","Male","All","All","800","485","0.607","20"
"2014","West Midlands","35 and over","All","Male","All","All","815","495","0.606","35"
"2015","West Midlands","35 and over","All","Male","All","All","850","505","0.597","15"
"2016","West Midlands","35 and over","All","Male","All","All","730","430","0.59","20"
"2017","West Midlands","35 and over","All","Male","All","All","650","425","0.655","10"
"2018","West Midlands","35 and over","All","Male","All","All","685","475","0.6950000000000001","20"
"2019","West Midlands","35 and over","All","Male","All","All","985","795","0.808","15"
"2020","West Midlands","35 and over","All","Male","All","All","1150","955","0.8280000000000001","35"
"2021","West Midlands","35 and over","All","Male","All","All","1160","895","0.771","20"
"2022","West Midlands","35 and over","All","Male","All","All","1290","1035","0.801","25"
"2023","West Midlands","35 and over","All","Male","All","All","1725","1315","0.762","25"
"2006","East of England","35 and over","All","Male","All","All","445","300","0.668","15"
"2007","East of England","35 and over","All","Male","All","All","380","285","0.745","20"
"2008","East of England","35 and over","All","Male","All","All","500","370","0.735","30"
"2009","East of England","35 and over","All","Male","All","All","655","455","0.6930000000000001","35"
"2010","East of England","35 and over","All","Male","All","All","715","380","0.527","35"
"2011","East of England","35 and over","All","Male","All","All","715","365","0.512","40"
"2012","East of England","35 and over","All","Male","All","All","700","420","0.599","15"
"2013","East of England","35 and over","All","Male","All","All","650","390","0.602","30"
"2014","East of England","35 and over","All","Male","All","All","780","480","0.615","20"
"2015","East of England","35 and over","All","Male","All","All","815","520","0.637","25"
"2016","East of England","35 and over","All","Male","All","All","770","495","0.642","25"
"2017","East of England","35 and over","All","Male","All","All","645","445","0.6940000000000001","20"
"2018","East of England","35 and over","All","Male","All","All","670","485","0.721","20"
"2019","East of England","35 and over","All","Male","All","All","655","490","0.747","15"
"2020","East of England","35 and over","All","Male","All","All","750","565","0.753","25"
"2021","East of England","35 and over","All","Male","All","All","820","585","0.71","15"
"2022","East of England","35 and over","All","Male","All","All","1045","810","0.778","25"
"2023","East of England","35 and over","All","Male","All","All","1150","890","0.774","25"
"2006","London","35 and over","All","Male","All","All","1255","815","0.649","55"
"2007","London","35 and over","All","Male","All","All","1240","790","0.637","60"
"2008","London","35 and over","All","Male","All","All","1485","1010","0.681","65"
"2009","London","35 and over","All","Male","All","All","1840","1090","0.593","140"
"2010","London","35 and over","All","Male","All","All","2140","1040","0.485","140"
"2011","London","35 and over","All","Male","All","All","2265","1120","0.496","145"
"2012","London","35 and over","All","Male","All","All","2150","1120","0.522","115"
"2013","London","35 and over","All","Male","All","All","2260","1285","0.5690000000000001","140"
"2014","London","35 and over","All","Male","All","All","3055","1975","0.647","140"
"2015","London","35 and over","All","Male","All","All","3090","1950","0.631","170"
"2016","London","35 and over","All","Male","All","All","3135","1970","0.628","120"
"2017","London","35 and over","All","Male","All","All","2770","1920","0.6940000000000001","130"
"2018","London","35 and over","All","Male","All","All","3240","2465","0.761","80"
"2019","London","35 and over","All","Male","All","All","3720","3070","0.8250000000000001","110"
"2020","London","35 and over","All","Male","All","All","3230","2465","0.763","155"
"2021","London","35 and over","All","Male","All","All","3685","2715","0.737","60"
"2022","London","35 and over","All","Male","All","All","4665","3765","0.807","85"
"2023","London","35 and over","All","Male","All","All","4545","3655","0.804","85"
"2006","South East","35 and over","All","Male","All","All","620","430","0.6910000000000001","25"
"2007","South East","35 and over","All","Male","All","All","590","410","0.6980000000000001","20"
"2008","South East","35 and over","All","Male","All","All","695","485","0.7030000000000001","20"
"2009","South East","35 and over","All","Male","All","All","930","580","0.625","45"
"2010","South East","35 and over","All","Male","All","All","1015","560","0.552","45"
"2011","South East","35 and over","All","Male","All","All","1015","540","0.53","30"
"2012","South East","35 and over","All","Male","All","All","895","500","0.56","30"
"2013","South East","35 and over","All","Male","All","All","935","555","0.594","45"
"2014","South East","35 and over","All","Male","All","All","1050","620","0.589","30"
"2015","South East","35 and over","All","Male","All","All","1065","625","0.59","35"
"2016","South East","35 and over","All","Male","All","All","1070","605","0.5650000000000001","25"
"2017","South East","35 and over","All","Male","All","All","850","555","0.656","30"
"2018","South East","35 and over","All","Male","All","All","820","555","0.677","20"
"2019","South East","35 and over","All","Male","All","All","960","725","0.757","20"
"2020","South East","35 and over","All","Male","All","All","1035","745","0.722","35"
"2021","South East","35 and over","All","Male","All","All","1135","755","0.668","35"
"2022","South East","35 and over","All","Male","All","All","1225","880","0.719","35"
"2023","South East","35 and over","All","Male","All","All","1285","910","0.707","30"
"2006","South West","35 and over","All","Male","All","All","470","340","0.718","15"
"2007","South West","35 and over","All","Male","All","All","475","350","0.736","20"
"2008","South West","35 and over","All","Male","All","All","500","345","0.683","15"
"2009","South West","35 and over","All","Male","All","All","690","450","0.65","30"
"2010","South West","35 and over","All","Male","All","All","695","405","0.586","10"
"2011","South West","35 and over","All","Male","All","All","610","365","0.599","20"
"2012","South West","35 and over","All","Male","All","All","580","375","0.648","10"
"2013","South West","35 and over","All","Male","All","All","590","400","0.679","20"
"2014","South West","35 and over","All","Male","All","All","695","470","0.674","25"
